#NAME?	#NAME?
(1) (Japanese) maple	(1) (ஜப்பானிய) மேப்பிள்
They are playing in the park.	பூங்காவில் விளையாடுகிறார்கள்.
They are very smart.	அவர்கள் மிகவும் புத்திசாலிகள்.
They arrived at eight.	எட்டு மணிக்கு வந்தார்கள்.
They arrived in the morning.	அவர்கள் காலையில் வந்தனர்.
They asked if I could help.	நான் உதவ முடியுமா என்று கேட்டார்கள்.
They asked where the station was.	ஸ்டேஷன் எங்கே என்று கேட்டார்கள்.
They broke up last year.	கடந்த ஆண்டு பிரிந்தனர்.
They can speak both languages.	அவர்கள் இரு மொழிகளையும் பேசக்கூடியவர்கள்.
They can't afford that house.	அவர்களால் அந்த வீட்டை வாங்க முடியாது.
They didn't know the way.	அவர்களுக்கு வழி தெரியவில்லை.
They don't have a car.	அவர்களிடம் கார் இல்லை.
They don't understand the question.	கேள்வி அவர்களுக்குப் புரியவில்லை.
They had already gone home.	அவர்கள் ஏற்கனவே வீட்டிற்கு சென்றிருந்தனர்.
They had finished before we arrived.	நாங்கள் வருவதற்கு முன்பே முடித்துவிட்டார்கள்.
They had never tried Indian food.	அவர்கள் ஒருபோதும் இந்திய உணவை முயற்சித்ததில்லை.
They have a lovely garden.	அவர்களுக்கு அழகான தோட்டம் உள்ளது.
They have a new baby.	இவர்களுக்கு புதிதாக குழந்தை பிறந்துள்ளது.
They have been building the house for months.	வீடு கட்டி பல மாதங்களாகிறது.
They have been practicing all afternoon.	அவர்கள் மதியம் முழுவதும் பயிற்சி செய்தனர்.
They have bought a new house.	புது வீடு வாங்கியுள்ளனர்.
They have finished their homework.	அவர்கள் வீட்டுப்பாடத்தை முடித்துவிட்டார்கள்.
They have to clean their room.	அவர்கள் அறையை சுத்தம் செய்ய வேண்டும்.
They have two dogs.	அவர்களிடம் இரண்டு நாய்கள் உள்ளன.
They haven't arrived yet.	அவர்கள் இன்னும் வரவில்லை.
They haven't been answering my calls.	அவர்கள் எனது அழைப்புகளுக்கு பதிலளிக்கவில்லை.
They haven't eaten yet.	அவர்கள் இன்னும் சாப்பிடவில்லை.
They left early, and we did too.	அவர்கள் சீக்கிரம் கிளம்பினார்கள், நாங்களும் சென்றோம்.
They may not have received the message.	அவர்கள் செய்தியைப் பெறாமல் இருக்கலாம்.
They might arrive early.	அவர்கள் முன்கூட்டியே வரலாம்.
They might be at the airport now.	அவர்கள் இப்போது விமான நிலையத்தில் இருக்கலாம்.
They moved here in 2020.	அவர்கள் 2020 இல் இங்கு குடியேறினர்.
They must be careful.	அவர்கள் கவனமாக இருக்க வேண்டும்.
They plan to travel next month.	அடுத்த மாதம் பயணம் செய்ய திட்டமிட்டுள்ளனர்.
They played football all day.	அவர்கள் நாள் முழுவதும் கால்பந்து விளையாடினர்.
They said the train was late.	ரயில் தாமதமானது என்றார்கள்.
They said they had seen the movie.	படம் பார்த்ததாகச் சொன்னார்கள்.
They said they were happy.	மகிழ்ச்சியாக இருப்பதாகச் சொன்னார்கள்.
They said they would help.	உதவுவதாகச் சொன்னார்கள்.
They should arrive on time.	அவர்கள் சரியான நேரத்தில் வர வேண்டும்.
They should see that movie.	அவர்கள் அந்தப் படத்தைப் பார்க்க வேண்டும்.
They shouldn't be late.	அவர்கள் தாமதிக்கக் கூடாது.
They started to rain.	மழை பெய்ய ஆரம்பித்தன.
They study every night.	தினமும் இரவு படிக்கிறார்கள்.
They swam across the river.	அவர்கள் ஆற்றின் குறுக்கே நீந்தினர்.
They told us to wait outside.	எங்களை வெளியே காத்திருக்கச் சொன்னார்கள்.
They visit us on holidays.	விடுமுறை நாட்களில் எங்களிடம் வருவார்கள்.
They walked through the park.	அவர்கள் பூங்கா வழியாக நடந்தார்கள்.
They walked toward the beach.	கடற்கரையை நோக்கி நடந்தார்கள்.
They were arguing about money.	பணம் தொடர்பாக வாக்குவாதம் செய்தனர்.
They were playing outside.	வெளியில் விளையாடிக் கொண்டிருந்தார்கள்.
They were very happy.	அவர்கள் மிகவும் மகிழ்ச்சியாக இருந்தனர்.
They were watching TV at 9 p.m.	இரவு 9 மணிக்கு டிவி பார்த்துக் கொண்டிருந்தனர்.
They weren't paying attention.	அவர்கள் கவனம் செலுத்தவில்லை.
They will arrive at seven.	ஏழு மணிக்கு வருவார்கள்.
They will be arriving at noon.	அவர்கள் மதியம் வருவார்கள்.
They will be having a meeting at that time.	அந்த நேரத்தில் அவர்கள் ஒரு சந்திப்பை நடத்துவார்கள்.
They will be staying for a week.	ஒரு வாரம் தங்குவார்கள்.
They will have built the bridge by 2029.	2029க்குள் பாலத்தை கட்டிவிடுவார்கள்.
They will have moved to their new house by then.	அதற்குள் அவர்கள் புதிய வீட்டிற்குச் சென்றுவிடுவார்கள்.
They won't be taking the train.	அவர்கள் ரயிலில் செல்ல மாட்டார்கள்.
They won't believe you.	அவர்கள் உங்களை நம்ப மாட்டார்கள்.
They won't have arrived by midnight.	நள்ளிரவில் அவர்கள் வந்திருக்க மாட்டார்கள்.
They would help if they could.	அவர்களால் முடிந்தால் உதவுவார்கள்.
This appears to be a significant factor.	இது ஒரு குறிப்பிடத்தக்க காரணியாகத் தெரிகிறது.
This apple is sweeter than that one.	இந்த ஆப்பிள் அதை விட இனிமையானது.
This area is beautiful.	இந்தப் பகுதி அழகானது.
This bag is heavier than that one.	இந்த பை அதை விட கனமானது.
This bag is mine.	இந்த பை என்னுடையது.
This book is easy to read.	இந்த புத்தகம் படிக்க எளிதானது.
This book is interesting.	இந்த புத்தகம் சுவாரஸ்யமானது.
This book is more interesting than that one.	இந்த புத்தகம் அதை விட சுவாரஸ்யமானது.
This book is new.	இந்தப் புத்தகம் புதியது.
This book is read by many people.	இந்த புத்தகம் பலரால் படிக்கப்படுகிறது.
This bridge was built in 1990.	இந்த பாலம் 1990 இல் கட்டப்பட்டது.
This building was designed by a famous architect.	இந்த கட்டிடம் பிரபல கட்டிடக் கலைஞரால் வடிவமைக்கப்பட்டது.
This cake looks delicious.	இந்த கேக் சுவையாக தெரிகிறது.
This car is new.	இந்த கார் புதியது.
This coffee is hotter than that one.	இந்த காபி அதை விட சூடாக இருக்கிறது.
This color suits you.	இந்த நிறம் உங்களுக்கு பொருந்தும்.
This dictionary is expensive.	இந்த அகராதி விலை உயர்ந்தது.
This gift is for you.	இந்த பரிசு உங்களுக்கானது.
This hotel is the most famous.	இந்த ஹோட்டல் மிகவும் பிரபலமானது.
This is a beautiful town.	இது ஒரு அழகான ஊர்.
This is a book.	இது ஒரு புத்தகம்.
This is a photo from two years ago.	இரண்டு வருடங்களுக்கு முன் எடுத்த புகைப்படம் இது.
This is an easy question.	இது எளிதான கேள்வி.
This is delicious!	இது சுவையானது!
This is expensive.	இது விலை உயர்ந்தது.
This is more expensive than that.	இதைவிட விலை அதிகம்.
This is my book.	இது என்னுடைய புத்தகம்.
This is my house.	இது என் வீடு.
This is my pen.	இது என் பேனா.
This is my phone.	இது என் போன்.
This is not a pencil.	இது பென்சில் அல்ல.
This is not mine.	இது என்னுடையது அல்ல.
This is not yours.	இது உங்களுடையது அல்ல.
This is the best day of my life.	இது என் வாழ்வின் சிறந்த நாள்.
This is the biggest city in India.	இது இந்தியாவின் மிகப்பெரிய நகரம்.
This is the book which I told you about.	இது நான் சொன்ன புத்தகம்.
This is the cheapest.	இதுவே மலிவானது.
This is the easiest question.	இது எளிதான கேள்வி.
This is the hardest in class.	வகுப்பில் இதுவே கடினமானது.
This is the most beautiful place I know.	இது எனக்கு தெரிந்த மிக அழகான இடம்.
This is the most expensive hotel.	இது மிகவும் விலையுயர்ந்த ஹோட்டல்.
This is the wrong stop.	இது தவறான நிறுத்தம்.
This movie is better than that one.	அதைவிட இந்தப் படம் நன்றாக இருக்கிறது.
This one I like best.	இது எனக்கு மிகவும் பிடித்தது.
This one is good.	இது நல்லது.
This phone is more expensive.	இந்த போன் விலை அதிகம்.
This place is not quiet.	இந்த இடம் அமைதியாக இல்லை.
This place is quiet.	இந்த இடம் அமைதியானது.
This problem can be solved easily.	இந்த சிக்கலை எளிதாக தீர்க்க முடியும்.
This restaurant's food is delicious.	இந்த உணவகத்தின் உணவு சுவையானது.
This room is not quiet.	இந்த அறை அமைதியாக இல்லை.
This room is smaller than the kitchen.	இந்த அறை சமையலறையை விட சிறியது.
This room is wide and bright.	இந்த அறை அகலமாகவும் பிரகாசமாகவும் இருக்கிறது.
This room's window is big.	இந்த அறையின் ஜன்னல் பெரியது.
This shop is cheaper than that one.	இந்த கடை அதை விட மலிவானது.
This shop is famous.	இந்தக் கடை பிரபலமானது.
This shop is popular not only with Japanese but also foreigners.	இந்த கடை ஜப்பானியர்கள் மட்டுமின்றி வெளிநாட்டவர்களிடமும் பிரபலமானது.
This shop's ramen is delicious.	இந்தக் கடையின் ராமன் சுவையாக இருக்கிறது.
This song is sung by many people.	இந்தப் பாடலை பலர் பாடியுள்ளனர்.
This time next week, I will be flying to London.	இந்த முறை அடுத்த வாரம், நான் லண்டனுக்கு பறக்கிறேன்.
This time tomorrow I will be flying to Tokyo.	இந்த நேரத்தில் நான் நாளை டோக்கியோவுக்கு பறக்கிறேன்.
This town is big.	இந்த ஊர் பெரியது.
This train goes to Osaka.	இந்த ரயில் ஒசாகா வரை செல்கிறது.
This trip was wonderful.	இந்தப் பயணம் அற்புதமாக இருந்தது.
This word is used every day.	இந்த வார்த்தை ஒவ்வொரு நாளும் பயன்படுத்தப்படுகிறது.
Those are his shoes.	அவை அவருடைய காலணிகள்.
Three apples, please.	மூன்று ஆப்பிள்கள், தயவுசெய்து.
Three birds are flying.	மூன்று பறவைகள் பறக்கின்றன.
Three sheets of paper, please.	தயவுசெய்து மூன்று தாள்கள்.
Thunder is scary.	இடி பயங்கரமானது.
Thursday	வியாழன்
Thursday (short)	வியாழன் (குறுகிய)
Time flies fast.	நேரம் வேகமாக பறக்கிறது.
To Tokyo Station, please.	டோக்கியோ நிலையத்திற்கு, தயவுசெய்து.
To begin with, the economic benefits are clear.	தொடங்குவதற்கு, பொருளாதார நன்மைகள் தெளிவாக உள்ளன.
To illustrate, consider the case of rural education.	விளக்குவதற்கு, கிராமப்புறக் கல்வியின் விஷயத்தைக் கவனியுங்கள்.
To my delight, I got the job.	என் மகிழ்ச்சிக்கு, எனக்கு வேலை கிடைத்தது.
Today is Monday.	இன்று திங்கட்கிழமை.
Today is busier than yesterday.	நேற்றை விட இன்று பரபரப்பானது.
Today is colder than yesterday.	நேற்றை விட இன்று குளிர் அதிகமாக உள்ளது.
Today is hotter than yesterday.	நேற்றை விட இன்று வெப்பம் அதிகமாக உள்ளது.
Today is rainy.	இன்று மழை.
Today is the hottest day of the year.	இன்று ஆண்டின் வெப்பமான நாள்.
Today sure is hot.	இன்று நிச்சயம் சூடாக இருக்கிறது.
Today's weather is nice, isn't it?	இன்றைய வானிலை நன்றாக இருக்கிறது, இல்லையா?
Today's weather is nice.	இன்றைய வானிலை நன்றாக உள்ளது.
Tokyo is bigger than Kyoto.	டோக்கியோ கியோட்டோவை விட பெரியது.
Tomorrow is Wednesday.	நாளை புதன்கிழமை.
Tomorrow is a holiday.	நாளை விடுமுறை.
Tomorrow is not a holiday.	நாளை விடுமுறை இல்லை.
Tonight is cold.	இன்றிரவு குளிர்.
Too many people were there.	அங்கு அதிகமான மக்கள் இருந்தனர்.
Too much sugar is bad.	அதிக சர்க்கரை கெட்டது.
Traveling in Japan is fun.	ஜப்பானில் பயணம் செய்வது வேடிக்கையாக உள்ளது.
Traveling opens your mind.	பயணம் உங்கள் மனதை திறக்கும்.
Tree	மரம்
Tuesday	செவ்வாய்
Tuesday (short)	செவ்வாய் (குறுகிய)
Turn left at the corner.	மூலையில் இடதுபுறம் திரும்பவும்.
Turn right at the traffic light.	போக்குவரத்து விளக்கில் வலதுபுறம் திரும்பவும்.
Two bowls of rice, please.	தயவுசெய்து இரண்டு கிண்ணம் அரிசி.
Two copies of this textbook, please.	இந்த பாடப்புத்தகத்தின் இரண்டு பிரதிகள், தயவுசெய்து.
Two pens, please.	இரண்டு பேனாக்கள், தயவுசெய்து.
Two people came.	இரண்டு பேர் வந்தனர்.
U.S.A.	யு.எஸ்.ஏ.
Umbrella	குடை
Under no circumstances should you open this door.	எந்த சூழ்நிலையிலும் இந்த கதவை திறக்க கூடாது.
Until what date is your work?	எந்த தேதி வரை உங்கள் வேலை?
Violin	வயலின்
Visitors must show their ID.	பார்வையாளர்கள் தங்கள் ஐடியைக் காட்ட வேண்டும்.
Wait a moment, please.	சற்று பொறுங்கள், தயவுசெய்து.
Walking home, I saw a rainbow.	வீட்டிற்கு நடந்து சென்றபோது ஒரு வானவில் பார்த்தேன்.
Was she crying?	அவள் அழுது கொண்டிருந்தாளா?
Wash your hands often.	உங்கள் கைகளை அடிக்கடி கழுவுங்கள்.
Water	தண்ணீர்
Water boils at 100 degrees.	தண்ணீர் 100 டிகிரியில் கொதிக்கிறது.
Water, please.	தண்ணீர் தாருங்கள்.
We are eating lunch now.	நாங்கள் இப்போது மதிய உணவு சாப்பிடுகிறோம்.
We are flying to Delhi tomorrow.	நாளை விமானத்தில் டெல்லி செல்கிறோம்.
We are from the same city.	நாங்கள் ஒரே ஊரைச் சேர்ந்தவர்கள்.
We are going to travel to Japan.	நாங்கள் ஜப்பானுக்குப் பயணிக்கப் போகிறோம்.
We are going to watch a movie later.	பிறகு படம் பார்க்கப் போகிறோம்.
We are good friends.	நாங்கள் நல்ல நண்பர்கள்.
We are happy.	நாங்கள் மகிழ்ச்சியாக இருக்கிறோம்.
We are not going out tonight.	நாங்கள் இன்றிரவு வெளியே செல்ல மாட்டோம்.
We are not late.	நாங்கள் தாமதிக்கவில்லை.
We are staying at a hotel.	நாங்கள் ஒரு ஹோட்டலில் தங்கியிருக்கிறோம்.
We are very close.	நாங்கள் மிகவும் நெருக்கமாக இருக்கிறோம்.
We aren't going to sell the house.	நாங்கள் வீட்டை விற்கப் போவதில்லை.
We can decide later.	பிறகு முடிவு செய்யலாம்.
We can meet tomorrow.	நாளை சந்திக்கலாம்.
We can't go out tonight.	இன்றிரவு எங்களால் வெளியே செல்ல முடியாது.
We celebrate birthdays together.	நாங்கள் ஒன்றாக பிறந்தநாள் கொண்டாடுகிறோம்.
We celebrate the new year.	நாங்கள் புத்தாண்டைக் கொண்டாடுகிறோம்.
We celebrated the success.	வெற்றியைக் கொண்டாடினோம்.
We climbed to the top of the mountain.	மலை உச்சிக்கு ஏறினோம்.
We considered moving to another city.	நாங்கள் வேறு ஊருக்கு செல்ல நினைத்தோம்.
We decided to stay home.	வீட்டிலேயே இருக்க முடிவு செய்தோம்.
We didn't find the place.	நாங்கள் இடத்தைக் கண்டுபிடிக்கவில்லை.
We didn't go to the party.	நாங்கள் விருந்துக்கு செல்லவில்லை.
We didn't have to wait long.	நாங்கள் நீண்ட நேரம் காத்திருக்க வேண்டியதில்லை.
We don't have any questions.	எங்களிடம் எந்த கேள்வியும் இல்லை.
We don't have sugar.	எங்களிடம் சர்க்கரை இல்லை.
We don't watch TV much.	நாங்கள் அதிகம் டிவி பார்ப்பதில்லை.
We drove to the airport.	நாங்கள் விமான நிலையத்திற்கு சென்றோம்.
We eat dinner at eight.	இரவு உணவு எட்டு மணிக்கு சாப்பிடுகிறோம்.
We eat lunch at noon.	நாங்கள் மதிய உணவு சாப்பிடுகிறோம்.
We go on holiday in August.	நாங்கள் ஆகஸ்ட் மாதம் விடுமுறைக்கு செல்கிறோம்.
We go shopping on Saturday.	நாங்கள் சனிக்கிழமை ஷாப்பிங் செல்கிறோம்.
We go to the beach in summer.	கோடையில் நாங்கள் கடற்கரைக்குச் செல்கிறோம்.
We got disconnected.	நாங்கள் துண்டிக்கப்பட்டோம்.
We had a great time.	நாங்கள் மிகவும் மகிழ்ச்சியாக இருந்தோம்.
We had a lot of fun.	நாங்கள் மிகவும் வேடிக்கையாக இருந்தோம்.
We had a party with family.	குடும்பத்துடன் விருந்து வைத்தோம்.
We had booked the tickets online.	நாங்கள் ஆன்லைனில் டிக்கெட் முன்பதிவு செய்திருந்தோம்.
We had heard about that restaurant before.	அந்த உணவகத்தைப் பற்றி முன்பே கேள்விப்பட்டிருந்தோம்.
We had met each other before.	நாங்கள் முன்பு ஒருவரை ஒருவர் சந்தித்தோம்.
We hadn't planned to stay so long.	நாங்கள் இவ்வளவு காலம் தங்க திட்டமிட்டிருக்கவில்லை.
We have a big house.	எங்களுக்கு ஒரு பெரிய வீடு உள்ளது.
We have a meeting today.	இன்று ஒரு சந்திப்பு உள்ளது.
We have a new client today.	இன்று எங்களிடம் புதிய வாடிக்கையாளர் இருக்கிறார்.
We have been friends since childhood.	சிறுவயதில் இருந்தே நாங்கள் நண்பர்கள்.
We have been living here for ten years.	பத்து வருடங்களாக இங்கு வசித்து வருகிறோம்.
We have been planning this party for a month.	ஒரு மாதமாக இந்த பார்ட்டியை திட்டமிட்டு வருகிறோம்.
We have been saving money for a trip.	நாங்கள் ஒரு பயணத்திற்காக பணத்தை சேமித்து வருகிறோம்.
We have eaten at that restaurant many times.	அந்த உணவகத்தில் பலமுறை சாப்பிட்டிருக்கிறோம்.
We have known each other for years.	நாங்கள் ஒருவருக்கொருவர் பல ஆண்டுகளாக அறிந்திருக்கிறோம்.
We have known each other since childhood.	குழந்தை பருவத்திலிருந்தே நாங்கள் ஒருவருக்கொருவர் தெரியும்.
We have lived here since 2019.	நாங்கள் 2019 முதல் இங்கு வசித்து வருகிறோம்.
We have lunch together.	நாங்கள் ஒன்றாக மதிய உணவு சாப்பிடுகிறோம்.
We have many things to do.	நாம் செய்ய நிறைய விஷயங்கள் உள்ளன.
We have no time to lose.	இழக்க நேரமில்லை.
We have only five minutes.	எங்களுக்கு ஐந்து நிமிடங்கள் மட்டுமே உள்ளன.
We have some good news.	எங்களிடம் சில நல்ல செய்திகள் உள்ளன.
We have to pay the bill.	பில் கட்ட வேண்டும்.
We haven't decided yet.	நாங்கள் இன்னும் முடிவு செய்யவில்லை.
We haven't seen him for ages.	பல ஆண்டுகளாக நாங்கள் அவரைப் பார்த்ததில்லை.
We live in a small town.	நாங்கள் ஒரு சிறிய நகரத்தில் வசிக்கிறோம்.
We live together.	நாங்கள் ஒன்றாக வாழ்கிறோம்.
We may have to cancel the trip.	பயணத்தை ரத்து செய்ய வேண்டி வரலாம்.
We may not have enough time.	நமக்கு நேரம் போதாமல் இருக்கலாம்.
We meet on Friday.	வெள்ளிக்கிழமை சந்திப்போம்.
We meet tomorrow afternoon.	நாளை மதியம் சந்திப்போம்.
We met at the cafe.	ஓட்டலில் சந்தித்தோம்.
We might go out for dinner.	நாங்கள் இரவு உணவிற்கு வெளியே செல்லலாம்.
We must leave now.	நாம் இப்போது புறப்பட வேண்டும்.
We must respect our parents.	நாம் நம் பெற்றோரை மதிக்க வேண்டும்.
We need a lot of water.	எங்களுக்கு நிறைய தண்ணீர் தேவை.
We need some milk.	எங்களுக்கு கொஞ்சம் பால் வேண்டும்.
We need to get the car repaired.	நாங்கள் காரை சரிசெய்ய வேண்டும்.
We played football yesterday.	நாங்கள் நேற்று கால்பந்து விளையாடினோம்.
We played music all night.	நாங்கள் இரவு முழுவதும் இசை வாசித்தோம்.
We ran to the bus stop.	பேருந்து நிறுத்தத்திற்கு ஓடினோம்.
We really enjoyed it.	நாங்கள் அதை மிகவும் ரசித்தோம்.
We saw a great movie.	அருமையான படம் பார்த்தோம்.
We saw an elephant at the zoo.	மிருகக்காட்சிசாலையில் ஒரு யானையைப் பார்த்தோம்.
We saw many birds.	பல பறவைகளைப் பார்த்தோம்.
We saw some birds in the sky.	வானத்தில் சில பறவைகளைப் பார்த்தோம்.
We should be kind to animals.	விலங்குகளிடம் கருணை காட்ட வேண்டும்.
We should leave early.	நாம் சீக்கிரம் கிளம்ப வேண்டும்.
We should save money.	நாம் பணத்தை சேமிக்க வேண்டும்.
We shouldn't talk in the library.	லைப்ரரியில் பேசக்கூடாது.
We shouldn't waste food.	நாம் உணவை வீணாக்கக் கூடாது.
We split the bill.	நாங்கள் மசோதாவைப் பிரித்தோம்.
We spoke to the manager.	மேலாளரிடம் பேசினோம்.
We stayed there for a week.	அங்கே ஒரு வாரம் தங்கினோம்.
We talk about everything.	நாங்கள் எல்லாவற்றையும் பற்றி பேசுகிறோம்.
We took a family photo.	குடும்ப புகைப்படம் எடுத்தோம்.
We took lots of photos.	நிறைய புகைப்படங்கள் எடுத்தோம்.
We took photos together.	ஒன்றாக புகைப்படம் எடுத்தோம்.
We use online meetings.	நாங்கள் ஆன்லைன் சந்திப்புகளைப் பயன்படுத்துகிறோம்.
We visited our grandparents.	நாங்கள் எங்கள் தாத்தா பாட்டிகளைப் பார்த்தோம்.
We waited for an hour.	ஒரு மணி நேரம் காத்திருந்தோம்.
We walked along the beach.	கடற்கரையோரம் நடந்தோம்.
We want to see the museum.	நாங்கள் அருங்காட்சியகத்தைப் பார்க்க விரும்புகிறோம்.
We watch TV after dinner.	இரவு உணவுக்குப் பிறகு டிவி பார்க்கிறோம்.
We watch TV in the evening.	நாங்கள் மாலையில் டிவி பார்க்கிறோம்.
We went to the station.	ஸ்டேஷன் சென்றோம்.
We were having dinner together.	நாங்கள் ஒன்றாக இரவு உணவு சாப்பிட்டுக் கொண்டிருந்தோம்.
We were walking in the park.	நாங்கள் பூங்காவில் நடந்து கொண்டிருந்தோம்.
We were watching the match together.	நாங்கள் ஒன்றாக போட்டியை பார்த்துக்கொண்டிருந்தோம்.
We weren't expecting you.	நாங்கள் உங்களை எதிர்பார்க்கவில்லை.
We will be celebrating her birthday next month.	அடுத்த மாதம் அவரது பிறந்தநாளை கொண்டாடுவோம்.
We will be driving through the night.	நாங்கள் இரவு முழுவதும் ஓட்டுவோம்.
We will be staying at a hotel in Goa.	நாங்கள் கோவாவில் ஒரு ஹோட்டலில் தங்குவோம்.
We will have lived here for ten years by 2030.	2030ல் பத்து வருடங்கள் இங்கு வாழ்வோம்.
We will have tested the machine before using it.	இயந்திரத்தைப் பயன்படுத்துவதற்கு முன்பு நாங்கள் அதைச் சோதித்திருப்போம்.
We will meet again soon.	விரைவில் மீண்டும் சந்திப்போம்.
We won't be needing this anymore.	எங்களுக்கு இனி இது தேவைப்படாது.
We won't give up.	விட்டுக்கொடுக்க மாட்டோம்.
We won't have spent all our money.	நாங்கள் எங்கள் பணத்தை எல்லாம் செலவழித்திருக்க மாட்டோம்.
We would have dinner at seven.	நாங்கள் ஏழு மணிக்கு இரவு உணவு சாப்பிடுவோம்.
We would visit them every summer.	ஒவ்வொரு கோடையிலும் நாங்கள் அவர்களைப் பார்ப்போம்.
We wouldn't have been late if we had left on time.	சரியான நேரத்தில் கிளம்பியிருந்தால் தாமதமாகியிருக்காது.
We'll have dinner at eight.	எட்டு மணிக்கு இரவு உணவு சாப்பிடுவோம்.
We'll see what happens.	என்ன நடக்கிறது என்று பார்ப்போம்.
We'll welcome the new year.	புத்தாண்டை வரவேற்போம்.
We're almost there.	நாங்கள் கிட்டத்தட்ட அங்கு வந்துவிட்டோம்.
We're going to have a party on Saturday.	நாங்கள் சனிக்கிழமை விருந்து வைக்கப் போகிறோம்.
We're ready to order.	நாங்கள் ஆர்டர் செய்ய தயாராக இருக்கிறோம்.
Wear a warm coat.	சூடான கோட் அணியுங்கள்.
Wednesday	புதன்
Wednesday (short)	புதன் (குறுகிய)
Welcome (to our store)	வரவேற்கிறோம் (எங்கள் கடைக்கு)
Welcome home	வீட்டிற்கு வரவேற்கிறோம்
Welcome home (polite)	வீட்டிற்கு வரவேற்கிறோம் (கண்ணியமாக)
Welcome.	வரவேற்கிறோம்.
Were I you, I would accept the offer.	நான் நீயாக இருந்தால், நான் சலுகையை ஏற்றுக்கொள்வேன்.
Were you sleeping?	நீங்கள் தூங்கிக் கொண்டிருந்தீர்களா?
What I really need is more time.	எனக்கு உண்மையில் அதிக நேரம் தேவை.
What are you doing now?	இப்போது என்ன செய்கிறீர்கள்?
What are you doing?	என்ன செய்கிறாய்?
What are you going to do tonight?	இன்றிரவு நீங்கள் என்ன செய்யப் போகிறீர்கள்?
What are your plans for the weekend?	வார இறுதியில் உங்கள் திட்டங்கள் என்ன?
What are your working hours?	உங்கள் வேலை நேரம் என்ன?
What color do you like?	உங்களுக்கு என்ன நிறம் பிடிக்கும்?
What color is your car?	உங்கள் கார் என்ன நிறம்?
What country's person is (he)? (Where is he from?)	எந்த நாட்டைச் சேர்ந்தவர் (அவர்)? (அவர் எங்கிருந்து வருகிறார்?)
What day is it today?	இன்று என்ன நாள்?
What day is today?	இன்று என்ன நாள்?
What day of the week is it today?	இன்று வாரத்தின் எந்த நாள்?
What did you do last weekend?	கடந்த வார இறுதியில் என்ன செய்தீர்கள்?
What did you do on the weekend?	வார இறுதியில் என்ன செய்தீர்கள்?
What did you eat?	என்ன சாப்பிட்டாய்?
What do you do for work?	நீங்கள் வேலைக்கு என்ன செய்கிறீர்கள்?
What do you eat?	நீங்கள் என்ன சாப்பிடுகிறீர்கள்?
What do you like?	உங்களுக்கு என்ன பிடிக்கும்?
What do you recommend for dessert?	இனிப்புக்கு நீங்கள் என்ன பரிந்துரைக்கிறீர்கள்?
What do you think?	நீங்கள் என்ன நினைக்கிறீர்கள்?
What do you want for breakfast?	காலை உணவுக்கு என்ன வேண்டும்?
What do you want to eat?	நீங்கள் என்ன சாப்பிட விரும்புகிறீர்கள்?
What do you want?	உனக்கு என்ன வேண்டும்?
What does she do?	அவள் என்ன செய்கிறாள்?
What is that?	அது என்ன?
What is this?	இது என்ன?
What is today's date?	இன்றைய தேதி என்ன?
What is your favorite dream?	உங்களுக்கு பிடித்த கனவு என்ன?
What is your favorite food?	உங்களுக்கு பிடித்த உணவு எது?
What is your hobby in Japan?	ஜப்பானில் உங்கள் பொழுதுபோக்கு என்ன?
What is your name?	உங்கள் பெயர் என்ன?
What kind of music do you like?	நீங்கள் எந்த வகையான இசையை விரும்புகிறீர்கள்?
What languages can you speak?	உங்களால் என்ன மொழிகள் பேச முடியும்?
What month is it now?	இப்போது என்ன மாதம்?
What shall we do?	நாம் என்ன செய்வோம்?
What should I do?	நான் என்ன செய்ய வேண்டும்?
What should I/we do?	நான்/நாம் என்ன செய்ய வேண்டும்?
What should we do now?	இப்போது நாம் என்ன செய்ய வேண்டும்?
What sport do you like?	உங்களுக்கு என்ன விளையாட்டு பிடிக்கும்?
What time do you sleep every day?	தினமும் எத்தனை மணிக்கு தூங்குகிறீர்கள்?
What time do you usually wake up?	நீங்கள் வழக்கமாக எத்தனை மணிக்கு எழுந்திருப்பீர்கள்?
What time does school start?	பள்ளி எத்தனை மணிக்கு தொடங்கும்?
What time does the bank open?	வங்கி எத்தனை மணிக்கு திறக்கும்?
What time is boarding?	எத்தனை மணிக்கு போர்டிங்?
What time is check-out?	செக்-அவுட் எத்தனை மணிக்கு?
What time is checkout?	செக் அவுட் எத்தனை மணிக்கு?
What time is it now?	இப்போது மணி என்ன?
What time is it?	மணி என்ன?
What time is the next train?	அடுத்த ரயில் எத்தனை மணிக்கு?
What time shall we meet?	எத்தனை மணிக்கு சந்திப்போம்?
What time should we meet?	எந்த நேரத்தில் சந்திக்க வேண்டும்?
What was he doing there?	அவர் அங்கு என்ன செய்து கொண்டிருந்தார்?
What were you doing at midnight?	நள்ளிரவில் என்ன செய்து கொண்டிருந்தாய்?
What would you like to drink?	நீங்கள் என்ன குடிக்க விரும்புகிறீர்கள்?
What would you like?	நீங்கள் எதை விரும்புகிறீர்கள்?
What year is it now?	இப்போது என்ன வருடம்?
What's the forecast?	முன்னறிவிப்பு என்ன?
What's the price?	விலை என்ன?
What's today's temperature?	இன்றைய வெப்பநிலை என்ன?
What's your address?	உங்கள் முகவரி என்ன?
What's your favorite thing?	உங்களுக்கு பிடித்த விஷயம் என்ன?
