#NAME?	＃名前？
(1) (Japanese) maple	(1) (モミジ)
My friend made me a cake.	友達が私にケーキを作ってくれました。
My grades improved a lot.	私の成績はとても良くなりました。
My grades improved.	成績が上がりました。
My grandfather cooks dinner.	私の祖父が夕食を作ります。
My grandfather is eighty.	私の祖父は80歳です。
My grandmother is wise.	私の祖母は賢いです。
My grandmother tells great stories.	私の祖母は素晴らしい話をします。
My house is bigger than yours.	私の家はあなたの家より大きいです。
My house is here.	私の家はここです。
My mother is a teacher.	私の母は教師です。
My mother is good at cooking.	私の母は料理が上手です。
My mother is kind.	私の母は優しいです。
My mother is well.	私の母は元気です。
My name is Alex.	私の名前はアレックスです。
My older sister lives in India.	私の姉はインドに住んでいます。
My phone broke.	携帯電話が壊れてしまいました。
My phone is in my pocket.	私の携帯電話はポケットの中にあります。
My phone is on silent.	私の電話はサイレントになっています。
My phone was stolen.	携帯電話が盗まれました。
My salary increased.	給料が上がりました。
My schedule is busy this week.	今週はスケジュールが忙しいです。
My sister and I grow flowers.	妹と私は花を育てています。
My sister has two children.	私の姉には二人の子供がいます。
My sister made a cake and brought it.	妹がケーキを作って持ってきてくれました。
My stomach hurts.	お腹が痛いです。
My temperature is normal.	私の体温は正常です。
My throat hurts.	喉が痛いです。
My wallet was found on the street.	私の財布が路上で見つかりました。
National Diet; parliament; congress	国会;議会;議会
Never have I seen such a beautiful sunset.	こんなに美しい夕日を見たのは初めてです。
New Year's	新年
New Year's Day	元旦
Next month is busy.	来月は忙しいです。
Nice to meet you	よろしくお願いします
Nice to meet you (please treat me well).	初めまして（よろしくお願いします）。
Nice to meet you too.	私の方もお会いできてうれしいです。
Nice to meet you.	はじめまして。
No Smoking!	禁煙！
No ice, please.	氷は入れないでください。
No sooner had I left than it started raining.	私が出発するとすぐに雨が降り始めました。
No, I don't have it.	いいえ、持っていません。
No, not yet.	いいえ、まだです。
No, she doesn't.	いいえ、そうではありません。
No; Not at all	いいえ;まったくそうではありません
North Pole	北極
Nose	鼻
Not only did she win, but she also set a record.	彼女は勝っただけでなく、記録も樹立した。
Not until later did he understand the problem.	彼がその問題を理解したのは後になってからでした。
Notwithstanding the risks, they proceeded.	リスクにもかかわらず、彼らは前進した。
November	11月
OK	OK
October	10月
Of course.	もちろんです。
Oh!	おお！
On the way back, I go to the supermarket.	帰りにスーパーに行きます。
On the whole, the advantages outweigh the drawbacks.	全体として、利点が欠点を上回ります。
On weekends I do things like shopping and watching movies.	週末にはショッピングをしたり、映画を見たりします。
Once he starts talking, he never stops.	彼は一度話し始めると決して止まらない。
One bottle of beer, please.	ビールを1本お願いします。
One glass of water, please.	水を一杯ください。
One more bowl of rice, please.	ご飯をもう一杯ください。
One more time, please.	もう一度お願いします。
One pair of shoes, please.	靴を一足ください。
One piece of cake, please.	ケーキを一つください。
One slice of bread, please.	パンを1枚ください。
One ticket to the airport, please.	空港までのチケットを1枚ください。
One, two, three…	1、2、3…
Only now that things have reached this point did he realize.	事態がここまで来て初めて彼は気づいた。
Orange	オレンジ
Orient	オリエント
Our office is in the city center.	私たちのオフィスは市内中心部にあります。
Our teacher is very kind.	私たちの先生はとても親切です。
Our understanding of the brain has grown.	脳についての私たちの理解は深まりました。
Outside is cold.	外は寒いです。
P.M.	午後
PIN number	暗証番号
PM (also means afternoon)	PM（午後という意味もあります）
Passengers must fasten their belts.	乗客はベルトを締めなければなりません。
Pen	ペン
Please be on time.	時間通りに来てください。
Please bring an umbrella.	傘をご持参ください。
Please call a taxi to the airport.	空港までのタクシーを呼んでください。
Please call an ambulance.	救急車を呼んでください。
Please call me.	電話してください。
Please call someone.	誰かに電話してください。
Please call the police.	警察に電話してください。
Please carry this.	これを運んでください。
Please close the door.	ドアを閉めてください。
Please come again.	また来てください。
Please come back soon.	すぐに戻ってきてください。
Please come here.	ここに来てください。
Please come this way.	こちらに来てください。
Please come tomorrow.	明日来てください。
Please cut this paper.	この紙を切ってください。
Please don't break it.	壊さないでください。
Please don't come late.	遅刻しないでください。
Please don't enter this room.	この部屋に入らないでください。
Please don't forget.	忘れないでください。
Please don't smoke here.	ここではタバコを吸わないで下さい。
Please don't smoke.	喫煙しないでください。
Please don't talk here.	ここでは話さないでください。
Please don't talk while eating.	食事中は話さないでください。
Please don't worry.	ご心配なく。
Please drink lots of water.	水をたくさん飲んでください。
Please drive slowly.	ゆっくり運転してください。
Please email me the file.	ファイルを電子メールで私に送ってください。
Please explain it again.	もう一度説明してください。
Please fasten your seatbelt.	シートベルトを締めてください。
Please fill it with gas.	ガスを充填してください。
Please fill out this form.	このフォームにご記入ください。
Please get off here.	ここで降りてください。
Please give me a coffee.	コーヒーをください。
Please give me coffee.	コーヒーをください。
Please give me some water.	水をください。
Please give me the menu.	メニューを教えてください。
Please give me this book.	この本をください。
Please give me three pens.	ペンを3本ください。
Please give me two apples.	リンゴを２個ください。
Please give me water.	水をください。
Please give me...	ください...
Please give my best regards (to ...)	よろしくお願いします(...へ)
Please go buy some milk.	牛乳を買いに行ってください。
Please go straight.	直進してください。
Please go that way.	そちらへ行ってください。
Please help me!	私を助けてください！
Please help me.	私を助けてください。
Please hold on a moment.	しばらくお待ちください。
Please leave home and come back	家を出て帰ってきてください
Please look at this photo.	この写真を見てください。
Please look at this.	これを見てください。
Please open the door.	ドアを開けてください。
Please open the window.	窓を開けてください。
Please read this book.	この本を読んでください。
Please rest today.	今日は休んでください。
Please say it again.	もう一度言ってください。
Please say it once more.	もう一度言ってください。
Please send an email.	メールをお送りください。
Please send the photo.	写真を送ってください。
Please show me the menu.	メニューを見せてください。
Please sing a song.	歌を歌ってください。
Please sit here.	ここに座ってください。
Please sit on this chair.	この椅子に座ってください。
Please sleep early.	早く寝てください。
Please speak in a loud voice.	大きな声で話してください。
Please speak slowly.	ゆっくり話してください。
Please speak with feeling.	気持ちを込めて話してください。
Please step back.	下がってください。
Please stop making noise.	騒ぐのはやめてください。
Please take a photo.	写真を撮ってください。
Please take me to the hospital.	病院に連れて行ってください。
Please take me to this address.	この住所まで連れて行ってください。
Please take out the trash.	ゴミは持ち帰りましょう。
Please take that photo.	その写真を撮ってください。
Please take this medicine.	この薬を飲んでください。
Please teach me.	教えてください。
Please tell me the phone number.	電話番号を教えてください。
Please tell me your phone number.	電話番号を教えてください。
Please turn down the music.	音楽を下げてください。
Please turn left.	左折してください。
Please turn off your phone.	携帯電話の電源をお切りください。
Please turn right.	右折してください。
Please turn up the volume.	音量を上げてください。
Please wait a moment.	しばらくお待ちください。
Please wait for the bus.	バスをお待ちください。
Please wait here.	ここでお待ちください。
Please wake up early tomorrow.	明日は早く起きてください。
Please wear a jacket.	ジャケットを着用してください。
Please write here.	ここに書いてください。
Please write it down.	書き留めてください。
Please write your name.	あなたの名前を書いてください。
Prices are rising.	価格は上昇しています。
Prime Minister	首相
Queen	女王
Rabbit	ウサギ
Ramen, please.	ラーメンをください。
Rarely does he eat out.	彼が外食することはめったにありません。
Reading helps me improve.	読書は私の上達に役立ちます。
Really?	本当に？
Relationships need care.	人間関係には注意が必要です。
Rice is eaten in many countries.	米は多くの国で食べられています。
Right or left, which one?	右と左、どっち？
Room key, please.	ルームキーをください。
Rules are made to be broken.	ルールは破られるために作られています。
Run!	走る！
Sadly, I couldn't go to the party.	残念ながら、私はパーティーに行くことができませんでした。
Saturday	土曜日
Saturday (short)	土曜日（短い）
School was closed.	学校は閉鎖されました。
See you later!	また後で！
See you next week!	また来週お会いしましょう！
See you next week.	また来週お会いしましょう。
See you tomorrow!	また明日ね！
See you tomorrow.	また明日ね。
See you. (lit., I'm leaving ahead of you.)	またね。 (文字通り、私はあなたより先に出発します。)
Seldom do we see such dedication.	このような献身的な取り組みはめったに見られません。
September	9月
Shall I carry your bag?	あなたのカバンを運んであげましょうか？
Shall I help you?	手伝いましょうか？
Shall I help?	手伝いましょうか？
Shall I make tea?	お茶を作りましょうか？
Shall I open the door?	ドアを開けましょうか？
Shall I open the window?	窓を開けましょうか？
Shall we eat together?	一緒に食べませんか？
Shall we go watch a movie?	映画を見に行きませんか？
She always smiles at me.	彼女はいつも私に微笑んでくれます。
She asked if I wanted coffee.	彼女は私にコーヒーが欲しいかどうか尋ねた。
She asked if I was okay.	彼女は私に大丈夫かと尋ねました。
She ate an apple.	彼女はリンゴを食べました。
She ate an orange.	彼女はオレンジを食べました。
She bought a dress.	彼女はドレスを買った。
She bought a new phone.	彼女は新しい電話を買った。
She bought some flowers.	彼女は花をいくつか買った。
She can play the piano.	彼女はピアノを弾くことができます。
She can speak French; he can too.	彼女はフランス語を話すことができます。彼にもできます。
She can speak three languages.	彼女は 3 つの言語を話すことができます。
She climbed up the stairs.	彼女は階段を上りました。
She couldn't come to class yesterday.	彼女は昨日授業に来られませんでした。
She decided to study abroad.	彼女は留学することに決めた。
She didn't watch TV.	彼女はテレビを見ませんでした。
She doesn't drink much coffee.	彼女はコーヒーをあまり飲みません。
She doesn't eat fish.	彼女は魚を食べません。
She doesn't have any time.	彼女には時間がありません。
She doesn't like loud music.	彼女は大音量の音楽が好きではありません。
She doesn't work on Fridays.	彼女は金曜日には働きません。
She fell under the table.	彼女はテーブルの下に落ちた。
She finished cooking dinner.	彼女は夕食の準備を終えた。
She goes to bed at night.	彼女は夜寝ます。
She had already left when I called.	私が電話したとき、彼女はすでに出発していました。
She had cooked dinner by the time we got home.	私たちが家に着くまでに彼女は夕食を作ってくれていました。
She had forgotten my name.	彼女は私の名前を忘れていました。
She had studied hard before the exam.	彼女は試験前に一生懸命勉強した。
She had to take a taxi.	彼女はタクシーに乗らなければなりませんでした。
She has a dog and a cat.	彼女は犬と猫を飼っています。
She has a good job.	彼女は良い仕事に就いています。
She has a lot of clothes.	彼女はたくさんの服を持っています。
She has already left.	彼女はもう出発してしまいました。
She has become a great singer.	彼女は素晴らしい歌手になりました。
She has been cooking since morning.	彼女は朝から料理をしています。
She has been crying.	彼女はずっと泣いていました。
She has been learning to cook.	彼女は料理を習っています。
She has been looking for a new job.	彼女は新しい仕事を探しています。
She has been sick since Monday.	彼女は月曜日から病気です。
She has finished her homework.	彼女は宿題を終えました。
She has long hair.	彼女は長い髪を持っています。
She has many friends.	彼女にはたくさんの友達がいます。
She has some money.	彼女はいくらかのお金を持っています。
She has three boxes.	彼女は箱を 3 つ持っています。
She has three children.	彼女には 3 人の子供がいます。
She has to cook dinner.	彼女は夕食を作らなければなりません。
She has to wake up early.	彼女は早く起きなければなりません。
She has to work on Saturday.	彼女は土曜日に仕事をしなければなりません。
She has worked here since 2019.	彼女は2019年からここで働いています。
She has written three books.	彼女は3冊の本を書きました。
She hates waking up early.	彼女は早起きするのが嫌いです。
She is a doctor.	彼女は医者です。
She is an engineer.	彼女はエンジニアです。
She is capable of solving complex problems.	彼女は複雑な問題を解決する能力があります。
She is cooking dinner.	彼女は夕食を作っています。
She is going to become a doctor.	彼女は医者になるつもりです。
She is going to buy a new phone.	彼女は新しい携帯電話を買うつもりです。
She is going to call you tonight.	彼女は今夜あなたに電話するつもりです。
She is good at cooking.	彼女は料理が上手です。
She is having her house painted.	彼女は家の塗装を行っています。
She is my mother.	彼女は私の母です。
She is my younger sister.	彼女は私の妹です。
She is not at home.	彼女は家にいません。
She is standing at the door.	彼女はドアのところに立っています。
She is the best student.	彼女は最高の生徒です。
She is the most beautiful.	彼女は最も美しいです。
She is the most talented student.	彼女は最も才能のある生徒です。
She is the tallest in her class.	彼女はクラスで一番背が高いです。
She is wearing a red dress.	彼女は赤いドレスを着ています。
She is writing a letter.	彼女は手紙を書いています。
She lives in Mumbai.	彼女はムンバイに住んでいます。
She lives in Tokyo.	彼女は東京に住んでいます。
She looked as if she were about to burst into tears.	彼女は今にも泣き出しそうな顔をした。
She looks like her mother.	彼女は母親に似ています。
She made a delicious cake.	彼女はおいしいケーキを作りました。
She made some cookies.	彼女はクッキーをいくつか作りました。
She may call you later.	彼女は後であなたに電話するかもしれません。
She may come to the party.	彼女はパーティーに来るかもしれない。
She may not come today.	彼女は今日は来ないかもしれない。
She might be sleeping now.	彼女は今寝ているかもしれない。
She might not be feeling well.	彼女は気分が優れないかもしれません。
She moved to a new city.	彼女は新しい街に引っ越しました。
She must see a doctor.	彼女は医者に診てもらう必要がある。
She needs to rest.	彼女は休む必要がある。
She plays the piano.	彼女はピアノを弾きます。
She promised to call me.	彼女は私に電話することを約束した。
She pushed the box across the floor.	彼女は箱を床に押し倒しました。
She ran across the street.	彼女は通りの向こう側に走って向かいました。
She realized she had forgotten her keys.	彼女は鍵を忘れたことに気づきました。
She remembered to bring the tickets.	彼女はチケットを忘れずに持ってきました。
She runs faster than me.	彼女は私より速く走ります。
She said it was raining outside.	彼女は外は雨が降っていると言いました。
She said she could swim.	彼女は泳げると言った。
She said she had finished the work.	彼女はその仕事を終えたと言った。
She said she was learning English.	彼女は英語を勉強していると言った。
She said she would call me.	彼女は私に電話すると言った。
She said that she was tired.	彼女は疲れていると言った。
She said the food was delicious.	彼女は食べ物が美味しかったと言いました。
She sat in front of the TV.	彼女はテレビの前に座りました。
She should bring an umbrella.	彼女は傘を持ってくるべきです。
She should eat healthier food.	彼女はもっと健康的な食べ物を食べるべきです。
She should study harder.	彼女はもっと勉強するべきだ。
She sings more beautifully than him.	彼女は彼よりも美しく歌います。
She spent a lot of money.	彼女はたくさんのお金を使いました。
She stepped out of the car.	彼女は車から降りた。
She studied for two hours.	彼女は２時間勉強した。
She suggested going to the park.	彼女は公園に行くことを提案した。
She teaches at a school.	彼女は学校で教えています。
She told me not to worry.	彼女は私に心配しないでと言った。
She told me she would call.	彼女は私に電話すると言った。
She told me that she loved me.	彼女は私を愛していると言った。
She used to live in Mumbai.	彼女はかつてムンバイに住んでいました。
She walked into the room.	彼女は部屋に入っていきました。
She was born in June.	彼女は6月に生まれました。
She was born on a Sunday.	彼女は日曜日に生まれました。
She was cooking when I arrived.	私が到着したとき、彼女は料理をしていた。
She was cooking while he was working.	彼が仕事をしている間、彼女は料理をしていました。
She was singing in the shower.	彼女はシャワーの中で歌っていた。
She was wearing a blue dress.	彼女は青いドレスを着ていました。
She wasn't at the meeting.	彼女は会議にいませんでした。
She will be cooking dinner at six.	彼女は6時に夕食を作る予定です。
She will be happy if we visit her.	私たちが彼女を訪問したら、彼女は喜ぶでしょう。
She will be teaching at that school next year.	彼女は来年その学校で教えることになる。
She will have cooked dinner by seven.	彼女は7時までに夕食を作るでしょう。
She will have finished her degree by then.	彼女はその時までに学位を取得しているでしょう。
She will have learned enough by the exam.	彼女は試験までに十分学んだだろう。
She will love this gift.	彼女はこの贈り物をきっと気に入るはずです。
She will pass the exam.	彼女は試験に合格するでしょう。
She works in a hospital.	彼女は病院で働いています。
She would have passed if she had studied.	もし勉強していれば彼女は合格しただろう。
She would like to join us.	彼女は私たちに加わりたいと思っています。
She would never lie to me.	彼女は私に決して嘘をつきませんでした。
She wrote a long email.	彼女は長いメールを書きました。
Shinkansen;	新幹線;
Shinto shrine	神社
Shitamachi; lower parts of town	下町;町の下層部
Should I wear a jacket?	ジャケットを着たほうがいいですか？
Should we call him now?	今すぐ彼に電話したほうがいいでしょうか？
Sign here, please.	ここに署名してください。
Since I returned it yesterday, it should be at the library.	昨日返したので図書館にあるはずです。
Sincerely yours	よろしくお願いします
Sit down.	座ってください。
Sleep is important for health.	睡眠は健康にとって重要です。
Some support the reform; others oppose it.	改革を支持する人もいる。他の人はそれに反対します。
Some water, please.	水をください。
Someone is hurt.	誰かが怪我をしています。
Soon you will be speaking English fluently.	すぐにあなたは英語を流暢に話せるようになります。
Sorry, I didn't catch that.	申し訳ありませんが、聞き取れませんでした。
Sorry, I'm busy then.	ごめんなさい、それでは忙しいんです。
Sorry, I'm busy.	申し訳ありませんが、忙しいです。
South America	南アメリカ
Speaking. Who's calling?	話す。誰が電話してるの？
Sports Day	体育祭
Spring is beautiful.	春は美しいですね。
St. Valentine's Day	聖バレンタインデー
Stairs, please (to the stairs).	階段をお願いします（階段まで）。
Starting with this film, we'll release international works one after another.	本作を皮切りに、海外作品も続々とリリースしていきます。
Students must do their homework.	学生は宿題をしなければなりません。
Students should do their homework.	学生は宿題をしなければなりません。
Such was her success that she retired early.	彼女はあまりに成功したので、早期に引退した。
Summer is hotter than winter.	夏は冬より暑いです。
Summer is my favorite season.	夏は私の一番好きな季節です。
Sun	太陽
Sunday	日曜日
Sunday (short)	日曜日（短い）
Sunday lunch is a family tradition.	日曜日の昼食は家族の伝統です。
Suppose you were the president, what would you do?	もしあなたが大統領だったら、何をしますか?
Surprisingly, he was actually Japanese.	驚いたことに彼は実は日本人だった。
Sushi is Japanese food.	寿司は日本食です。
Sweden	スウェーデン
T-shirt	Tシャツ
TV	テレビ
Take an umbrella with you.	傘を持って行きましょう。
Take any seat you like.	お好きな席にお座りください。
Take care of yourself	気をつけてね
Take care of yourself.	ご自愛ください。
Take care!	気をつけて！
Take this medicine twice a day.	この薬を1日2回服用してください。
Takeshi's book	たけしさんの本
Tea time is my favorite.	ティータイムが私のお気に入りです。
Ten envelopes, please.	封筒を10枚お願いします。
Thank God you're safe.	神に感謝します、あなたは安全です。
Thank you	ありがとう
Thank you (in advance)	ありがとうございます（事前に）
Thank you (polite)	ありがとうございます（丁寧）
Thank you for helping me.	助けてくれてありがとう。
Thank you for the gift.	贈り物をありがとう。
Thank you for the meal.	ごちそうさまでした。
Thank you for the ride.	ご乗車いただきありがとうございました。
Thank you very much for your....	どうぞよろしくお願いいたします。
Thank you very much.	ありがとうございました。
Thank you very much. (past tense)	どうもありがとうございます。 (過去形)
Thank you.	ありがとうございます。
Thanks for the meal (after eating)	ごちそうさまでした（食後）
Thanks for the meal (after eating) (polite)	ごちそうさまでした（食後）（丁寧）
Thanks for the meal (before eating)	ごちそうさまでした（食事前）
Thanks for the meal.	ごちそうさまでした。
Thanks for your help today.	本日はご協力いただきありがとうございました。
Thanks for your help.	ご協力いただきありがとうございます。
Thanks to god; thanks to you	神様に感謝します。あなたのおかげで
That (over there) is a phone.	それ（あそこ）は電話です。
That book is red.	あの本は赤いです。
That book was not expensive.	その本は高価ではありませんでした。
That cake looks delicious.	そのケーキは美味しそうです。
That helped a lot.	それはとても役に立ちました。
That is a book.	それは本です。
That is my friend's bag.	それは私の友達のバッグです。
That is your bag.	それはあなたのバッグです。
That person is French.	あの人はフランス人です。
That person is not Indian.	あの人はインド人ではありません。
That restaurant is delicious.	あのレストランはおいしいです。
That someone like a teacher would make a kanji mistake…	先生みたいな人が漢字を間違えるとは…。
That sounds fun!	それは楽しそうですね！
That sounds good.	いいですね。
That sounds great!	それは素晴らしいですね！
That surprised me!	それは私を驚かせました！
That teacher is not only good at teaching but also kind.	あの先生は教えるのが上手なだけでなく、優しいです。
That test was difficult.	そのテストは難しかったです。
That was fun!	楽しかったです！
That was fun.	あれは楽しかったです。
That was the worst meal I've had.	それは私が食べた中で最悪の食事でした。
That would be fine.; That wouldn't be necessary.	それでいいでしょう。;それは必要ありません。
That would be wonderful.	それは素晴らしいことでしょう。
That'll be 12 dollars. Cash or card?	それは12ドルになります。現金ですか、それともカードですか？
That'll be 5000 yen per night. How many nights?	1泊5000円になります。何泊ですか？
That's 15 dollars, please. Cash or card?	それは15ドルでお願いします。現金ですか、それともカードですか？
That's 25 dollars.	それは25ドルです。
That's 8 dollars, whenever you're ready.	準備ができたらいつでも 8 ドルです。
That's a good deal.	それはいいことだ。
That's cheap.	安いですね。
That's expensive.	それは高価です。
That's great news!	素晴らしいニュースですね！
That's nice, isn't it.	それはいいですね。
That's really funny!	それは本当に面白いですね！
That's right.	それは正しい。
That's right.; Let me see.	それは正しい。;そうねぇ。
That's too bad.	それは残念です。
That's too expensive.	それは高すぎます。
That's very kind of you.	貴方のご親切に感謝します。
The Nile is the longest river.	ナイル川は最長の川です。
The ambulance is coming.	救急車が来ています。
The assignment is due next week.	課題は来週の期限です。
The baby is crying.	赤ちゃんが泣いています。
The baby sleeps at night.	赤ちゃんは夜寝ます。
The ball is under the chair.	ボールは椅子の下にあります。
The ball rolled under the sofa.	ボールがソファの下に転がり落ちた。
The balloons are beautiful.	風船は美しいですね。
The bank closes at 5.	銀行は5時に閉まります。
The bank is between the shop and the cafe.	銀行はお店とカフェの間にあります。
The bank is next to the station.	銀行は駅の隣にあります。
The bill, please.	請求書をお願いします。
The bird flew over the house.	鳥が家の上を飛んでいきました。
The birds are above the trees.	鳥は木の上にいます。
The book is on the table.	本はテーブルの上にあります。
The book was written in 1950.	この本は 1950 年に書かれました。
The books written in the 19th century are rare.	19世紀に書かれた本は珍しい。
The box is behind the door.	箱はドアの後ろにあります。
The bridge damaged in the storm has been repaired.	嵐で壊れた橋は修復されました。
The bridge was damaged by the flood.	橋は洪水で損傷した。
The bus goes through the city center.	バスは市内中心部を通過します。
The bus is coming.	バスが来ます。
The bus is late again.	バスがまた遅れました。
The bus was late again.	バスはまた遅れた。
The cake was made by my sister.	ケーキは私の妹が作りました。
The cat is on the sofa.	猫がソファの上にいます。
The cat is under the bed.	猫がベッドの下にいます。
The cat is under the table.	猫がテーブルの下にいます。
The cat jumped onto the table.	猫はテーブルに飛び乗った。
The children are doing homework.	子供たちは宿題をしています。
The children are in the garden.	子供たちは庭にいます。
The children are playing in the park.	子供たちは公園で遊んでいます。
The children were laughing loudly.	子どもたちは大声で笑っていました。
The city is noisier than the village.	都会は村よりも騒がしい。
The city of Tokyo is big.	東京の街は大きいです。
The class starts on Monday.	授業は月曜日に始まります。
The coffee machine is broken.	コーヒーマシンが壊れてしまった。
The committee recommends that the policy be revised.	委員会は方針を見直すよう勧告する。
The cup is near the window.	コップは窓の近くにあります。
The deadline is Friday.	締め切りは金曜日です。
The deadline is next Monday.	締め切りは来週の月曜日です。
The decorations are pretty.	装飾がきれいです。
The discovery of penicillin transformed medicine.	ペニシリンの発見は医学を変えました。
The doctor checked me.	医者は私を検査しました。
The doctor recommended that she rest.	医者は彼女に休むように勧めた。
The dog has four legs.	犬には4本の足があります。
The dog is black.	犬は黒いです。
The dog is in the garden.	犬は庭にいます。
The dog jumped over the fence.	犬は柵を飛び越えた。
The dog was barking all night.	その犬は一晩中吠えていました。
The fare rises according to distance.	距離に応じて運賃が上がります。
The fireworks were amazing.	花火は素晴らしかったです。
The first plan failed and the second succeeded.	最初の計画は失敗し、2 番目の計画は成功しました。
The floor was mopped by the cleaner.	床は掃除機で拭きました。
The flower bloomed.	花が咲きました。
The flowers bloom in spring.	花は春に咲きます。
The food at this place is great.	この場所の食事は最高です。
The food is cooked by my mother.	食事は母が作ってくれます。
The food is delicious.	食べ物はおいしいです。
The guests had arrived before midnight.	ゲストたちは真夜中前に到着しました。
The house was cleaned yesterday.	昨日家は掃除されました。
The implementation of the plan was delayed.	計画の実施は遅れた。
The key was found.	鍵が見つかりました。
The keys are in my bag.	鍵は私のカバンの中にあります。
The keys are on the table.	鍵はテーブルの上にあります。
The kids have been playing outside all day.	子どもたちは一日中外で遊んでいます。
The lamp is on the desk.	ランプは机の上にあります。
The laundry basket is full.	洗濯かごがいっぱいです。
The letter was written by her.	その手紙は彼女によって書かれました。
The letters are delivered every morning.	手紙は毎朝配達されます。
The light doesn't work.	ライトが点灯しません。
The light is on.	ライトが点灯しています。
The light isn't working.	ライトが点灯しません。
The line is busy.	電話中です。
The local food is amazing.	地元の食べ物は素晴らしいです。
The man sitting there is my uncle.	そこに座っている男性は私の叔父です。
The man was very kind.	その男性はとても親切でした。
The man who lives next door is a doctor.	隣に住んでいる男性は医者です。
The manager is out today.	今日はマネージャーが不在です。
The medicine isn't working.	薬が効かないんです。
The meeting is at 3 pm.	会議は午後3時です。
The meeting is at noon.	会議は正午です。
The meeting is next week.	会議は来週です。
The meeting might be postponed.	会議は延期されるかもしれない。
The meeting will be held on Monday.	会議は月曜日に開催されます。
The meeting will start at nine.	会議は9時に始まります。
The message was sent at noon.	メッセージは正午に送信されました。
The moon is beautiful.	月が綺麗ですね。
The morning is the best time.	朝が一番いい時間帯です。
The movie had started when we entered.	私たちが入ったとき、映画が始まっていました。
The museum is that big white building with the red sign.	博物館は赤い看板が付いた大きな白い建物です。
The museum? Sure, just go straight and turn left at the bank.	博物館？もちろん、そのまま直進して銀行のところで左折してください。
The new one is better.	新しい方が良いです。
The news was reported on TV.	そのニュースはテレビで報道されました。
The painting was sold for a million.	その絵は100万で売られた。
The party is at eight tonight.	パーティーは今夜8時からです。
The party is on New Year's Eve.	パーティーは大晦日にあります。
The party room is decorated.	パーティールームが飾り付けられています。
The party starts at seven.	パーティーは7時に始まります。
The party was fun.	パーティーは楽しかったです。
The payment failed.	支払いに失敗しました。
The phone is ringing.	電話が鳴っています。
The phone was expensive.	電話は高価でした。
The picture is above the sofa.	写真はソファーの上です。
The plan is to leave at nine.	予定では9時に出発する予定です。
The plan might change if it rains.	雨が降ったら計画が変更になるかもしれません。
The plane flew across the ocean.	飛行機は海を越えて飛んだ。
The portions are huge.	量は膨大です。
The price has gone up.	価格が上がってしまいました。
The price tag is missing.	値札が欠品しております。
The problem was solved.	問題は解決しました。
The project will be finished soon.	プロジェクトはもうすぐ終了します。
The red one or the white one — which do you like?	赤と白、どちらが好きですか?
The reforms were effective, albeit controversial.	この改革は効果的であったが、物議を醸した。
The rent is high.	家賃は高いです。
The report must be finished today.	レポートは今日中に終わらせなければなりません。
The restaurant is on the corner.	レストランは角にあります。
The restroom is over there.	トイレはあそこにあります。
The results tend to support the hypothesis.	結果は仮説を裏付ける傾向があります。
The river flows into the sea.	川は海に流れ込みます。
The river flows through the city.	川は街を流れています。
The road is closed.	道路は閉鎖されています。
The road might be closed.	道路が通行止めになる可能性があります。
The room is clean.	部屋はきれいです。
The room is very clean.	部屋はとても清潔です。
The room was filled with smoke.	部屋は煙で充満した。
The rules should be changed.	ルールは変えるべきだ。
The sales went up this month.	今月は売上が上がりました。
The school is near the station.	学校は駅の近くにあります。
The school is next to the park.	学校は公園の隣にあります。
The school starts at nine.	学校は9時に始まります。
The school teacher came.	学校の先生が来ました。
The shoes are in the cupboard.	靴は戸棚の中にあります。
The shop had closed by the time we got there.	私たちがそこに着くまでに店は閉まっていた。
The shop opens at nine.	お店は9時に開きます。
The shop staff were kind.	お店のスタッフさんは親切でした。
The show was watched by millions.	その番組は何百万人もの人々に視聴されました。
The signal is bad here.	ここは信号が悪いです。
The signal is bad.	信号が悪いです。
The sky is blue.	空は青いです。
The sky is clear.	空は晴れています。
The soup is too hot.	スープが熱すぎます。
The store closes at 9.	その店は9時に閉まります。
The store opens at 10.	店は10時に開きます。
The store opens at nine.	店は9時に開きます。
The students that passed will celebrate.	合格した生徒たちはお祝いをします。
The subway is convenient.	地下鉄が便利です。
The subway is faster.	地下鉄の方が早いですよ。
The sun is bright today.	今日は太陽が明るいです。
The sun is hot.	太陽は暑いです。
The sun is shining.	太陽が輝いています。
The sun rises in the east.	太陽は東から昇ります。
The sun was shining brightly.	太陽が明るく輝いていました。
The supermarket is on this street.	スーパーマーケットはこの通りにあります。
The teacher is kind.	先生は優しいです。
The teacher wasn't here today.	今日は先生がいませんでした。
The teacher will be checking our homework.	先生は私たちの宿題をチェックします。
The teacher writes and the student reads.	教師が書き、生徒が読みます。
The team is going to win tonight.	チームは今夜勝つだろう。
The test is tomorrow.	テストは明日です。
The tickets were sold out.	チケットは完売しました。
The toilet is over there.	トイレはあそこにあります。
The total is fifty dollars.	合計は50ドルです。
The town is very quiet.	町はとても静かです。
The traffic is a bit heavy today.	今日はちょっと交通量​​が多いです。
The train goes through the tunnel.	電車はトンネルを通過します。
The train had left before we arrived.	私たちが到着する前に電車は出発してしまいました。
The train has left.	電車は出発してしまいました。
The train is delayed.	電車が遅れています。
The train is faster than the bus.	電車はバスより速いです。
The train leaves at 7:30.	電車は7時30分に出発します。
The train leaves at noon.	電車は正午に出発します。
