வணக்கம் நண்பரே	Hello friend
இன்று வெப்பநிலை அதிகம்	The temperature is high today
வெப்பநிலை குறைந்தது	The temperature decreased
வானிலை எப்படி உள்ளது	How is the weather
வானிலை செய்தி படித்தேன்	I read the weather news
மழை முன்னறிவிப்பு வந்தது	The rain forecast came
வானிலை முன்னறிவிப்பு சரியில்லை	The weather forecast is not correct
இது ஒரு நல்ல பருவம்	This is a good season
மழை பருவம் தொடங்கியது	The rainy season started
வசந்தம் மிக அழகானது	Spring is very beautiful
வசந்தம் மலர்களை தருகிறது	Spring brings flowers
கோடை வெயில் அதிகம்	Summer heat is high
இலையுதிர் காலம் தொடங்கியது	Autumn season started
இலையுதிர் காலம் மரங்களை மாற்றும்	Autumn changes the trees
குளிர்காலம் மிகவும் கடினம்	Winter is very difficult
குளிர்காலம் எனக்கு பிடிக்கும்	I like winter
உலர் சருமம் எனக்கு உள்ளது	I have dry skin
உலர் காற்று வீசியது	Dry wind blew
ஈரமான துணி இங்கே உள்ளது	The wet cloth is here
ஈரமான தரை கவனமாக இரு	Be careful of the wet floor
ஈரமான காற்று வீசுகிறது	Humid wind is blowing
இங்கு ஈரமான வானிலை	It is humid weather here
தண்ணீர் உறைதல் தொடங்கியது	The water freezing started
உறைதல் புள்ளியில் நீர் உறையும்	Water freezes at the freezing point
அவர் புத்தகத்தை விற்க விரும்புகிறார்	He wants to sell the book
இந்த வீட்டை விற்க முடியும்	This house can be sell
இந்த ஆப்பிள் மலிவானது	This apple is cheap
அங்கே மலிவான ஆடைகள் உள்ளன	There are cheap clothes there
இது விலையுயர்ந்த கடிகாரம்	This is an expensive watch
விலையுயர்ந்த கார் அவருக்கு வேண்டும்	He wants an expensive car
எனது அட்டை இங்கே உள்ளது	My card is here
இந்த அட்டை வேலை செய்யவில்லை	This card is not working
பல்பொருள் அங்காடி திறந்திருக்கிறது	The supermarket is open
பல்பொருள் அங்காடி எங்கே உள்ளது	Where is the supermarket
சந்தை மிகவும் பரபரப்பாக உள்ளது	The market is very busy
நான் சந்தை சென்றேன்	I went to the market
வணிக வளாகம் தூரமாக உள்ளது	The mall is far
பெரிய வணிக வளாகம் அங்கு உள்ளது	A large mall is there
இந்த அளவு சரியாக இல்லை	This size is not correct
அவளுக்கு சரியான அளவு தெரியுமா	Does she know the correct size
இது சிறிய பெட்டி	This is a small box
சிறிய பூனை இங்கே இருக்கிறது	A small cat is here
நடுத்தர அளவு எனக்கு வேண்டும்	I want medium size
இது நடுத்தர விலை	This is medium price
பெரிய மரம் அங்கிருக்கிறது	A large tree is there
எனக்கு பெரிய அளவு வேண்டும்	I want a large size
பணத்தை இங்கே செலுத்து	Pay the money here
வரி செலுத்த வேண்டும்	Must pay the tax
எனக்கு அதிக செலவு ஆனது	It cost me a lot
உணவுக்கு அதிக செலவு ஆகும்	It will cost more for food
நான் நேரம் செலவு செய்கிறேன்	I spend time
அவர் பணம் செலவு செய்தார்	He spent money
பணத்தை சேமிக்க வேண்டும்	Must save money
சேமிக்க வழி உள்ளது	There is a way to save
இன்று விற்பனை உள்ளது	There is a sale today
இந்த விற்பனை நன்றாக உள்ளது	This sale is good
இங்கே தள்ளுபடி உண்டு	There is a discount here
தள்ளுபடி எவ்வளவு என்று சொல்லுங்கள்	Tell me how much the discount is
ரசீது இங்கே உள்ளது	The receipt is here
ரசீது அவசியம் வேண்டும்	The receipt is absolutely needed
சிறிய மாற்றம் தேவை	A small change is needed
இந்த மாற்றம் நல்லது	This change is good
வாடிக்கையாளர் காத்திருக்கிறார்	The customer is waiting
அவர் ஒரு நல்ல வாடிக்கையாளர்	He is a good customer
உதவியாளர் எனக்கு உதவினார்	The assistant helped me
உதவியாளர் எங்கே இருக்கிறார்	Where is the assistant
கூடை நிறைய பழங்கள் உள்ளன	The basket is full of fruits
இந்த கூடை கனமாக உள்ளது	This basket is heavy
தள்ளுவண்டி காலியாக உள்ளது	The trolley is empty
தள்ளுவண்டி இங்கே நிறுத்துங்கள்	Stop the trolley here
புதிய ஆடைகள் வாங்கினேன்	I bought new clothes
இந்த ஆடைகள் அழகு	These clothes are beautiful
இதை முயற்சி செய்	Try on this
உடை முயற்சி செய்	Try on the dress
நிறத்தை தேர்வு செய்	Choose the color
உங்களுக்கு எது தேர்வு	Which is your choice
விலையை பேரம் பேசுங்கள்	Bargain the price
அவர் பேரம் பேசினார்	He bargained
எனக்கு வருத்தம் இருக்கிறது	I have sadness
அவருக்கு வருத்தம் வந்தது	He felt sad
அவனுக்கு கோபம் வந்தது	He became angry
கோபம் வேண்டாம்	Don't be angry
எனக்கு பசி இருக்கிறது	I am hungry
குழந்தைக்கு பசி எடுத்தது	The child got hungry
எனக்கு தாகம் இருக்கிறது	I am thirsty
அவருக்கு தாகம் வந்தது	He felt thirsty
கவலை வேண்டாம்	Don't worry
அவளுக்கு கவலை அதிகம்	She has much worry
அவன் உற்சாகமாக இருக்கிறான்	He is excited
நாம் உற்சாகமாக இருந்தோம்	We were excited
அவனுக்கு சலித்தது	He got bored
வேலை எனக்கு சலித்தது	The work bored me
அவன் பயந்து போனான்	He got scared
குழந்தை பயந்து அழுதது	The child cried scared
இது ஒரு ஆச்சரியம்	This is a surprise
எனக்கு ஆச்சரியம் இருந்தது	I was surprised
அவனுக்கு பதட்டம் இருக்கிறது	He is nervous
எனக்கு பதட்டம் வந்தது	I felt nervous
அவளுக்கு பொறாமை அதிகம்	She has much jealousy
பொறாமை வேண்டாம்	Don't be jealous
அவனுக்கு தனிமை பிடித்திருந்தது	He liked the loneliness
தனிமை எனக்கு கஷ்டம்	Loneliness is hard for me
அவள் ஒரு வெட்கப்படுபவர்	She is a shy person
அவன் வெட்கப்படுபவர்	He is a shy person
எனக்கு குழப்பம் உள்ளது	I have confusion
அவனுக்கு குழப்பம் வந்தது	He got confused
எனக்கு உடம்பு சரியில்லை	I am sick
அவளுக்கு உடம்பு சரியில்லை	She is sick
நான் நன்றாக இருக்கிறேன்	I am fine
அவன் நன்றாக இருக்கிறான்	He is fine
இது பெரிய வீடு	This is a great big house
அவர் பெரிய மனிதர்	He is a great man
அவளுக்கு வருத்தம் வந்தது	She became upset
அவர் எரிச்சலடைந்தார்	He got annoyed
அவள் எரிச்சலடைந்தார்	She got annoyed
எனக்கு ஏமாற்றம் இருந்தது	I was disappointed
அவனுக்கு ஏமாற்றம் வந்தது	He felt disappointed
எனக்கு சங்கடமாக இருந்தது	I felt embarrassed
அவளுக்கு சங்கடமாக இருந்தது	She felt embarrassed
மனம் நிம்மதியடைந்தது	The mind felt relieved
அவன் நிம்மதியடைந்தது	He felt relieved
அவர்கள் நன்றியுள்ளவர்கள்	They are grateful
நாம் நன்றியுள்ளவர்கள்	We are grateful
அதை உணர்கிறேன்	I feel that
வலியை உணர்கிறேன்	I feel the pain
எனது மனநிலை நன்றாக உள்ளது	My mood is good
அவளது மனநிலை மோசமாக இருந்தது	Her mood was bad
அன்பு ஒரு உணர்ச்சி	Love is an emotion
உணர்ச்சி முக்கியமானது	Emotion is important
இந்த பாடல் இனிமையானது	This song is sweet
எனக்கு அந்த பாடல் பிடிக்கும்	I like that song
புதிய திரைப்படம் வெளியானது	A new movie was released
இந்த திரைப்படம் மிக நீளம்	This movie is very long
படம் பார்ப்பது எனக்கு பிடிக்கும்	I like watching movies
இந்த படம் அழகாக இருக்கிறது	This picture is beautiful
விளையாட்டு உடலை ஆரோக்கியமாக வைக்கும்	Sport keeps the body healthy
எனக்கு பிடித்த விளையாட்டு கிரிக்கெட்	My favorite sport is cricket
இந்த விளையாட்டு கடினமாக உள்ளது	This game is difficult
புதிய விளையாட்டு கற்றுக்கொள்	Learn a new game
வாசிப்பு மனதிற்கு நல்லது	Reading is good for the mind
அவளுக்கு வாசிப்பு பிடிக்கும்	She likes reading
இந்த ஓவியம் மிக அழகானது	This painting is very beautiful
எனக்கு ஓவியம் வரைய பிடிக்கும்	I like to paint
வரைதல் ஒரு நல்ல கலை	Drawing is a good art
அவன் வரைதல் பழகுகிறான்	He is practicing drawing
பாடுவது எனக்கு விருப்பம்	I like singing
அவள் அழகாக பாடுவது கேட்கிறேன்	I hear her singing beautifully
சமையல் ஒரு கலை	Cooking is an art
அம்மா சமையல் செய்கிறார்	Mother is cooking
இந்த பயணம் இனிமையானது	This travel is sweet
பயணம் செய்வது மகிழ்ச்சி	Traveling is joyful
மீன்பிடித்தல் ஒரு பொறுமையான வேலை	Fishing is a patient job
அவன் மீன்பிடித்தல் சென்றான்	He went fishing
நடைபயணம் ஆரோக்கியமானது	Hiking is healthy
எனக்கு மலை நடைபயணம் பிடிக்கும்	I like mountain hiking
புகைப்படம் எடுத்தல் எனக்கு பிக்கம்	I like photography
அவன் புகைப்படம் எடுத்தல் தொடங்கினான்	He started photography
இந்த தோட்டம் பெரியது	This garden is big
எங்கள் தோட்டம் அழகானது	Our garden is beautiful
அவர் ஒரு தன்னார்வ தொண்டர்	He is a volunteer
அவர்கள் சிறந்த தொண்டர்	They are good volunteers
எனது பொழுதுபோக்கு வாசிப்பு	My hobby is reading
உன் பொழுதுபோக்கு என்ன	What is your hobby
இது ஒரு வேடிக்கை வேலை	This is a fun job
குழந்தைகளுக்கு வேடிக்கை பிடிக்கும்	Children like fun
நான் இங்கே ஓய்வெடுக்க வேண்டும்	I need to relax here
நீ சற்று ஓய்வெடுக்க வேண்டும்	You need to relax a bit
இயற்கையை அனுபவிக்க வேண்டும்	One must enjoy nature
அவர்கள் இசையை அனுபவிக்கிறார்கள்	They enjoy the music
இந்த புத்தகம் சுவாரஸ்யமான கதை	This book is an interesting story
அவர் சுவாரஸ்யமான மனிதர்	He is an interesting man
இந்த வேலை எனக்கு சலிப்பு	This work is boring to me
அங்கே சலிப்பு ஏற்படும்	Boredom will occur there
எனக்கு இலவச நேரம் வேண்டும்	I want free time
அவளுக்கு இலவச நேரம் இல்லை	She has no free time
வார இறுதி மகிழ்ச்சியாக இருந்தது	The weekend was happy
இந்த கட்சி பெரியது	This party is big
அவர்கள் ஒரு கட்சி வைத்தனர்	They threw a party
இசை கச்சேரி சிறப்பாக இருந்தது	The music concert was great
நாளை ஒரு கச்சேரி உண்டு	There is a concert tomorrow
மருத்துவர் இங்கே இருக்கிறார்	The doctor is here
மருத்துவர் வந்தார்கள்	The doctor came
செவிலியர் அன்பானவர்	The nurse is kind
செவிலியர் உதவினார்	The nurse helped
மருந்து சாப்பிடுங்கள்	Take the medicine
இது நல்ல மருந்து	This is a good medicine
மாத்திரை இங்கே உள்ளது	The tablet is here
இந்த மாத்திரை கசக்கும்	This tablet is bitter
மருத்துவமனை பெரியது	The hospital is big
மருத்துவமனை எங்கே உள்ளது?	Where is the hospital?
கிளினிக் அருகில் உள்ளது	The clinic is nearby
கிளினிக் மூடியது	The clinic is closed
எனக்கு கால் வலி	I have leg pain
வலி குறைந்தது	The pain decreased
எனக்கு தலைவலி உள்ளது	I have a headache
தலைவலி அதிகமாக உள்ளது	The headache is severe
அவனுக்கு வயிற்றுவலி உள்ளது	He has a stomachache
வயிற்றுவலி சரியானது	The stomachache is better
எனக்கு பல்வலி இருக்கிறது	I have a toothache
பல்வலி பயங்கரம்	The toothache is terrible
அவருக்கு காய்ச்சல் உள்ளது	He has a fever
காய்ச்சல் குறைந்தது	The fever decreased
எனக்கு இருமல் உள்ளது	I have a cough
இருமல் அதிகமாக உள்ளது	The cough is severe
வெளியே குளிர் அதிகம்	It is very cold outside
எனக்கு குளிர் எடுக்கிறது	I feel cold
எனக்கு காய்ச்சல் வந்தது	I got the flu
காய்ச்சல் சரியில்லை	The flu is not better
கொஞ்சம் ஓய்வு எடுங்கள்	Take some rest
அவர் ஆரோக்கியமான மனிதர்	He is a healthy man
ஆரோக்கியமான உணவு நல்லது	Healthy food is good
அவருக்கு உடம்பு சரியில்லை	He is sick
எனக்கு இன்று உடம்பு சரியில்லை	I am sick today
யார் காயப்படுத்தியது?	Who hurt (you)?
அவர் என்னை காயப்படுத்தியது	He hurt me
எனக்கு காயம் உள்ளது	I have an injury
காயம் ஆழமானது	The injury is deep
எனக்கு நியமனம் உள்ளது	I have an appointment
நேரத்திற்கு நியமனம் செய்யுங்கள்	Make an appointment on time
உடல் சரிபார்ப்பு அவசியம்	Body check-up is necessary
சரிபார்ப்பு முடிந்தது	The check-up is finished
மருந்துச்சீட்டு எங்கே உள்ளது?	Where is the prescription?
மருந்துச்சீட்டு இங்கே இருக்கிறது	The prescription is here
சிகிச்சை தொடர்கிறது	The treatment continues
சிகிச்சை முடிந்தது	The treatment ended
மருத்துவர் ஆலோசனை வழங்கினார்	The doctor gave advice
நல்ல ஆலோசனை கேட்டேன்	I heard good advice
உடற்பயிற்சி உடலுக்கு நல்லது	Exercise is good for the body
தினமும் உடற்பயிற்சி செய்யுங்கள்	Do exercise daily
வைட்டமின் அவசியம்	Vitamin is essential
இந்த வைட்டமின் நல்லது	This vitamin is good
தடுப்பூசி போட்டேன்	I got the vaccine
தடுப்பூசி முக்கியமானது	The vaccine is important
அவர் விரைவில் மீட்க	He will recover soon
உடல்நலம் மீட்க வேண்டும்	Health should recover
நான் நன்றாக உணர்கிறேன்	I feel better
இப்போது நன்றாக உணர்கிறேன்	Now I feel better
வங்கி அருகில் உள்ளது	The bank is nearby
வங்கி மூடல்	The bank is closed
தபால் அலுவலகம் எங்கே உள்ளது?	Where is the post office?
தபால் அலுவலகம் தொலைவில் உள்ளது	The post office is far
நூலகம் பெரியது	The library is big
அருங்காட்சியகம் இன்று திறந்தது	The museum opened today
அருங்காட்சியகம் அழகாக உள்ளது	The museum is beautiful
பூங்கா பசுமையாக உள்ளது	The park is green
பூங்காவிற்கு செல்லுங்கள்	Go to the park
நிலையம் மிக அருகில்	The station is very close
இரயில் நிலையம் எங்குள்ளது?	Where is the railway station?
விமான நிலையம் பெரியது	The airport is big
விமான நிலையம் தொலைவில் உள்ளது	The airport is far away
சந்தை இங்கே உள்ளது	The market is here
இந்த தெரு குறுகலானது	This street is narrow
தெருவில் மக்கள் உள்ளனர்	There are people on the street
சாலை சுத்தமாக உள்ளது	The road is clean
பாலம் பழையது	The bridge is old
பாலம் மிக நீளமானது	The bridge is very long
கட்டிடம் உயரமாக உள்ளது	The building is tall
புதிய கட்டிடம் இது	This is a new building
மருத்துவமனை அருகில் உள்ளது	The hospital is nearby
உணவகம் நன்றாக உள்ளது	The restaurant is good
உணவகம் மூடிவிட்டது	The restaurant is closed
கஃபே மிகவும் சிறியது	The café is very small
கஃபே இங்கே உள்ளது	The café is here
ஹோட்டல் வசதியாக உள்ளது	The hotel is comfortable
ஹோட்டல் எங்கே உள்ளது?	Where is the hotel?
தேவாலயம் அமைதியாக உள்ளது	The church is quiet
தேவாலயம் அருகில் உள்ளது	The church is nearby
கோவில் மிகவும் பழமையானது	The temple is very old
கோவில் அழகாக உள்ளது	The temple is beautiful
மசூதி தொலைவில் உள்ளது	The mosque is far
மசூதி இங்கே உள்ளது	The mosque is here
சினிமா மிகவும் நன்றாக இருந்தது	The cinema was very good
சினிமா எப்போது தொடங்கும்?	When will the cinema start?
தியேட்டர் மிக பெரியது	The theatre is very big
தியேட்டர் எங்குள்ளது?	Where is the theatre?
அலுவலகம் இன்று மூடிவிட்டது	The office is closed today
அலுவலகம் தொலைவில் உள்ளது	The office is far away
சதுரம் பெரியதாக உள்ளது	The square is big
சதுரம் இங்கே உள்ளது	The square is here
மூலையில் கடை உள்ளது	There is a shop in the corner
மூலையில் பூக்கள் உள்ளன	There are flowers in the corner
இந்த திசை சரியானது	This direction is correct
திசை எங்குள்ளது?	Where is the direction?
வரைபடம் தெளிவாக உள்ளது	The map is clear
வரைபடம் எங்கே உள்ளது?	Where is the map?
நேராக செல்லுங்கள்	Go straight
நேராக நடந்து வா	Walk straight
பேருந்து மெதுவாக வருகிறது	The bus is coming slowly
பெரிய பேருந்து இங்கே உள்ளது	A big bus is here
ரயில் நிலையத்திற்கு செல்	Go to the train station
இந்த ரயில் வேகமானது	This train is fast
கார் சிவப்பு நிறத்தில் உள்ளது	The car is red in color
எனக்கு ஒரு கார் வேண்டும்	I want a car
பைக் மிகவும் வேகமானது	The bike is very fast
புதிய பைக் நன்றாக உள்ளது	The new bike is good
விமானம் உயரத்தில் பறக்கிறது	The plane flies high
பெரிய விமானம் வந்தது	The big airplane came
கடலில் படகு உள்ளது	The boat is in the sea
சின்ன படகு மெதுவாக செல்கிறது	The small boat goes slowly
கப்பல் துறைமுகத்தில் உள்ளது	The ship is at the port
பெரிய கப்பல் கடலில் உள்ளது	The big ship is in the sea
மெட்ரோ ரயில் விரைவானது	The metro train is fast
மெட்ரோ நிலையத்திற்கு செல்	Go to the metro station
டிக்கெட் விலை குறைவு	The ticket price is low
டிக்கெட் எங்கே உள்ளது?	Where is the ticket?
நிலையத்தில் கூட்டம் உள்ளது	There is a crowd at the station
பேருந்து நிலையம் தூரத்தில் உள்ளது	The bus station is far away
மேடை எண் நான்கு	Platform number four
மேடையில் காத்திரு	Wait on the platform
பயணம் இனிமையாக இருந்தது	The journey was pleasant
இந்த பயணம் நீளம்	This trip is long
டிரைவர் கவனமாக ஓட்டுகிறார்	The driver drives carefully
நல்ல டிரைவர் வந்தார்	A good driver came
பயணி அமைதியாக இருக்கிறார்	The passenger is quiet
பயணி டிக்கெட் வைத்திருக்கிறார்	The passenger has a ticket
போக்குவரத்து இன்று அதிகம்	Traffic is heavy today
நகரத்தில் போக்குவரத்து அதிகம்	There is much traffic in the city
போக்குவரத்து நெரிசல் கடுமையாக உள்ளது	The traffic jam is severe
இங்கே போக்குவரத்து நெரிசல் உள்ளது	There is a traffic jam here
இந்த பாதை சரியானது	This route is correct
புதிய பாதை எளிது	The new route is easy
வரைபடம் மேஜையில் உள்ளது	The map is on the table
வரைபடம் மிகவும் பெரியது	The map is very big
கார் ஓட்டுவது கடினம்	Driving the car is difficult
மெதுவாக ஓட்டு	Drive slowly
பைக் சவாரி மகிழ்ச்சி	The bike ride is joyful
சவாரி செய்ய எனக்கு விருப்பம்	I want to ride
பறவைகள் வானில் பறக்க	Birds fly in the sky
விமானம் உயரத்தில் பறக்க	The plane flies high
பந்து பிடிக்க முயற்சி செய்	Try to catch the ball
பேருந்து பிடிக்க விரைந்து செல்	Hurry to catch the bus
அவன் அழைப்பை மிஸ் செய்தான்	He missed the call
பேருந்தை மிஸ் செய்துவிட்டேன்	I missed the bus
ரயில் நாளை வந்து சேரும்	The train will arrive tomorrow
அவர் இன்று வந்து சேரும்	He will arrive today
ரயில் இப்போது புறப்படு	The train departs now
அவர் ஊரை புறப்படு	He departs the town
ரயில் வருகையில் தாமதம்	The train arrival is delayed
நேரத்தில் தாமதம் வேண்டாம்	Do not want delay in time
அட்டவணை இங்கே உள்ளது	The schedule is here
நேர அட்டவணை சரியானது	The time schedule is correct
எனது தொழில் மகிழ்ச்சி அளிக்கிறது	My career gives happiness
நல்ல தொழில் தேடுங்கள்	Search for a good career
அவருக்கு அதிக அனுபவம் உள்ளது	He has a lot of experience
எனக்கு புதிய அனுபவம் கிடைத்தது	I got a new experience
நேர்காணல் நாளை நடக்கும்	The interview will happen tomorrow
நேர்காணல் மிக கடினமாக இருந்தது	The interview was very difficult
எனது சம்பளம் குறைவு	My salary is low
சம்பளம் எப்போது கிடைக்கும்	When will the salary be received
தினசரி கூலி எவ்வளவு	How much is the daily wage
கூலி இன்னும் கிடைக்கவில்லை	The wage is not received yet
மேலாளர் அலுவலகத்தில் உள்ளார்	The manager is in the office
புதிய மேலாளர் வந்தார்	A new manager came
சக ஊழியர் உதவி செய்தார்	The colleague helped
எனது சக ஊழியர் அன்பானவர்	My colleague is kind
சந்திப்பு இன்று மாலை உள்ளது	The meeting is this evening
இந்த சந்திப்பு முக்கியமானது	This meeting is important
திட்டம் சிறப்பாக உள்ளது	The project is great
புதிய திட்டம் தொடங்கியது	The new project started
காலக்கெடு நாளை முடியும்	The deadline ends tomorrow
காலக்கெடுவை கவனியுங்கள்	Notice the deadline
அவருக்கு பதவி உயர்வு கிடைத்தது	He got a promotion
பதவி உயர்வு மகிழ்ச்சி அளிக்கிறது	Promotion gives happiness
வீட்டை வாடகைக்கு விடுங்கள்	Rent out the house
கார்களை வாடகைக்கு எடுத்தேன்	I hired cars
வேலைக்கு விண்ணப்பிக்க வேண்டும்	Must apply for the job
நான் இன்று விண்ணப்பிக்கிறேன்	I apply today
பயிற்சி இன்று தொடங்கியது	Training started today
சிறந்த பயிற்சி அவசியம்	Good training is necessary
அவருக்கு நல்ல திறமை உள்ளது	He has good skill
புதிய திறமையை வளர்த்துக் கொள்ளுங்கள்	Develop new skill
மறுதொடக்கம் செய்ய நேரம் எடுக்கும்	It will take time to restart
மறுதொடக்கம் செய்ய முயற்சி செய்யுங்கள்	Try to restart
முதலாளிக்கு அழைப்பு வந்தது	The boss got a call
இது எனது பொறுப்பு	This is my responsibility
பெரிய பொறுப்பு எனக்கு உள்ளது	I have a big responsibility
வாடிக்கையாளர் மகிழ்ச்சி அடைந்தார்	The customer was happy
புதிய வாடிக்கையாளர் வந்தார்	A new client came
வாடிக்கையாளர் பணம் செலுத்தினார்	The client paid money
அலுவலகம் தூய்மையாக உள்ளது	The office is clean
அலுவலகம் எங்கே உள்ளது	Where is the office
பணியிடம் அமைதியாக உள்ளது	The workplace is quiet
பணியிடம் தூய்மையாக இருக்க வேண்டும்	The workplace must be clean
அவர் இன்று ஓய்வு பெற்றார்	He retired today
எனக்கு இப்போது ஓய்வு வேண்டும்	I want rest now
இது ஒரு பெரிய சாதனை	This is a big achievement
அவரது சாதனை வியப்பானது	His achievement is amazing
பணியாளர் வேலை செய்கிறார்	The employee is working
நல்ல பணியாளர் தேவை	A good employee is needed
முதலாளி உதவி செய்தார்	The employer helped
நல்ல முதலாளி கிடைத்தார்	A good employer was found
இது ஒரு நல்ல வாய்ப்பு	This is a good opportunity
வாய்ப்பு கிடைத்தால் சொல்லுங்கள்	Tell me if an opportunity comes
இந்த பொருள் சரியானது	This subject is correct
புதிய பொருள் கடினமாக உள்ளது	The new subject is difficult
இந்த தேர்வு எளிது	This exam is easy
அவருக்கு ஒரு பட்டம் உள்ளது	He has a degree
பட்டம் பெறுவது அவசியம்	Getting a degree is necessary
பல்கலைக்கழகம் எங்கே உள்ளது?	Where is the university?
அவருக்கு இசையில் திறமை உள்ளது	He has skill in music
திறமை பயிற்சியால் வரும்	Skill comes with practice
அவருக்கு அதிக அறிவு உள்ளது	He has a lot of knowledge
அறிவு ஒரு சக்தி	Knowledge is a power
தினமும் பயிற்சி செய்	Practice every day
பயிற்சி மிகவும் முக்கியம்	Practice is very important
திறமையை மேம்படுத்த வேண்டும்	Must improve the skill
நானும் அதை மேம்படுத்த விரும்புகிறேன்	I also want to improve it
என் இலக்கு வெற்றி	My goal is success
இலக்கு தெளிவாக இரு	Keep the goal clear
இந்த பாடம் எளிது	This lesson is easy
அடுத்த பாடம் என்ன?	What is the next lesson?
வீட்டுப்பாடம் முடித்தாயா?	Did you finish the homework?
வீட்டுப்பாடம் கடினமாக உள்ளது	The homework is difficult
கட்டுரை நன்றாக உள்ளது	The essay is good
ஒரு கட்டுரை எழுது	Write an essay
விரிவுரை இன்று இல்லை	There is no lecture today
விரிவுரை பயனுள்ளதாக இருந்தது	The lecture was useful
பேராசிரியர் வகுப்பிற்கு வந்தார்	The professor came to class
அவர் சிறந்த பேராசிரியர்	He is a great professor
மாணவர் புத்தகத்தைப் படித்தார்	The student read the book
நல்ல மாணவர் பாராட்டுவார்	A good student will be praised
அவர் ஒரு பட்டதாரி	He is a graduate
பட்டதாரி வேலை தேடுகிறார்	The graduate is searching for a job
உதவித்தொகை கிடைக்குமா?	Can the scholarship be obtained?
உதவித்தொகை மாணவருக்கு உதவியது	The scholarship helped the student
ஆராய்ச்சி தொடர்கிறது	The research continues
புதிய ஆராய்ச்சி தேவை	New research is needed
ஆசிரியர் பாடம் எடுத்தார்	The tutor taught the lesson
ஆசிரியர் அன்பாக இருக்கிறார்	The tutor is kind
வளாகம் மிகவும் அழகானது	The campus is very beautiful
வளாகத்தில் மரங்கள் உள்ளன	There are trees in the campus
டிப்ளமோ படிப்பு முடிந்தது	The diploma course ended
டிப்ளமோ சான்றிதழ் உள்ளது	There is a diploma certificate
கல்வி ஒரு செல்வம்	Education is a wealth
கல்வி அனைவருக்கும் தேவை	Education is needed for all
தமிழ் கற்றுக்கொள்	Learn Tamil
அதை கற்றுக்கொள்வது எளிது	Learning that is easy
எனக்கு புரியும்	I understand
உங்களுக்கு புரியும் என்று நினைக்கிறேன்	I think you will understand
மனப்பாடம் செய்யாதே	Do not memorize
மனப்பாடம் செய்வது கடினம்	Memorizing is difficult
படிப்பு மிகவும் முக்கியம்	Study is very important
அவரது படிப்பு முடிந்தது	His study ended
எங்கள் கலாச்சாரம் மிகவும் பழமையானது	Our culture is very ancient
கலாச்சாரம் மனிதர்களை இணைக்கிறது	Culture connects people
அவர்களின் பாரம்பரியம் சிறப்பு	Their tradition is special
இந்த பாரம்பரியம் அழியக்கூடாது	This tradition should not perish
இது ஒரு பழைய வழக்கம்	This is an old custom
உங்கள் வழக்கம் என்ன?	What is your custom?
இந்த திருவிழா மிகவும் பிரமாண்டமானது	This festival is very grand
திருவிழா மகிழ்ச்சியை தரும்	Festival brings happiness
சுற்றுலா பயணிகள் இங்கு வருகிறார்கள்	Tourists come here
அவர் ஒரு சிறந்த சுற்றுலா பயணтешеளி	He is a great tourist
வழிகாட்டி道を காண்பிப்பார்	The guide will show the way
சிறந்த வழிகாட்டி உங்களுக்கு உதவுவார்	A good guide will help you
இந்த பயணம் நீண்டது	This journey is long
பயணம் மகிழ்ச்சியாக இருக்கட்டும்	Let the journey be happy
அவர் ஒரு நினைவு பரிசு வாங்கினார்	He bought a souvenir
இந்த நினைவு பரிசு அழகாக உள்ளது	This souvenir is beautiful
அவர் வெளிநாட்டில் வசிக்கிறார்	He lives abroad
வெளிநாட்டில் வேலை செய்வது கடினம்	Working abroad is difficult
உள்ளூர் உணவு சுவையாக இருக்கும்	Local food will be tasty
உள்ளூர் சந்தைக்கு செல்லுங்கள்	Go to the local market
இந்த பயணம் எளிதானது	This trip is easy
எனக்கு ஒரு வார விடுமுறை வேண்டும்	I want a one week vacation
விடுமுறை நாட்கள் மகிழ்ச்சியானவை	Vacation days are happy
நாளை எனக்கு விடுமுறை	Tomorrow is a holiday for me
விடுமுறைக்கு நாங்கள் ஊருக்கு செல்வோம்	We will go to the village for the holiday
இந்த ஹோட்டல் பெரியது	This hotel is big
ஹோட்டல் அறை சுத்தமாக உள்ளது	The hotel room is clean
எனது கடவுச்சீட்டு தொலைந்துவிட்டது	My passport is lost
கடவுச்சீட்டு அவசியம் தேவை	Passport is absolutely necessary
எனக்கு விசா கிடைத்தது	I got the visa
விசா விண்ணப்பம் தயார்	The visa application is ready
என் சாமான்கள் எங்கே?	Where is my luggage?
சாமான்கள் எடை அதிகம்	The luggage weight is high
டிக்கெட் முன்பதிவு செய்துவிட்டேன்	I have booked the ticket
டிக்கெட் விலை எவ்வளவு?	How much is the ticket price?
இது ஒரு வரலாற்று மைல்கல்	This is a historical landmark
புதிய மைல்கல் ஒன்றை உருவாக்குங்கள்	Create a new landmark
இந்த கோவில் மிகவும் பழமையானது	This temple is very ancient
கோவில் அமைதியாக உள்ளது	The temple is peaceful
அருங்காட்சியகம் இன்று மூடல்	The museum is closed today
அருங்காட்சியகம் வியக்கத்தக்கது	The museum is amazing
எனது கிராமம் சிறியது	My village is small
கிராமம் அமைதியாக இருக்கும்	The village will be peaceful
இந்த நகரம் மிகவும் பரபரப்பானது	This city is very busy
நகரம் தூங்கவில்லை	The city does not sleep
இந்த நாடு சுதந்திரமானது	This country is free
எனது நாடு இந்தியா	My country is India
