Geh.	Go.
Wie groß ist er?	How tall is he?
Ich verriet Sie.	I betrayed you.
Ich habe Husten.	I have a cough.
Ich habe Fieber.	I have a fever.
Ich habe nichts.	I have nothing.
Ich muss helfen.	I have to help.
Ich muss warten.	I have to wait.
Ich lief weiter.	I kept running.
Ich mag Montage.	I like Mondays.
Ich fische gern.	I like fishing.
Ich mag es auch.	I like it, too.
Ich mag Ketchup.	I like ketchup.
Ich mag Mahjong.	I like mahjong.
Ich mag Orangen.	I like oranges.
Ich mag Austern.	I like oysters.
Ich mag Puzzles.	I like puzzles.
Ich singe gerne.	I like singing.
Ich liebe Tiere.	I love animals.
Ich züchte Vieh.	I raise cattle.
Ich sagte, raus!	I said get out!
Ich ging allein.	I walked alone.
Ich will Hummer.	I want lobster.
Ich will kommen.	I want to come.
Ich will helfen.	I want to help.
Ich war diskret.	I was discreet.
Ich war dankbar.	I was grateful.
Ich war draußen.	I was outdoors.
Ich war bei Tom.	I was with Tom.
Ich war bei dir.	I was with you.
Ich komme rüber.	I'll come over.
Ich bleibe hier.	I'll stay here.
Ich bin Gärtner.	I'm a gardener.
Ich bin Musiker.	I'm a musician.
Ich bin Atheist.	I'm an atheist.
Ich bin todmüde.	I'm dead tired.
Ich komme durch.	I'm getting by.
Ich gehe zurück.	I'm going back.
Ich bin im Auto.	I'm in the car.
Ich komme nicht.	I'm not coming.
Ich weine nicht.	I'm not crying.
Ich habe Ferien.	I'm on holiday.
Ist er ein Arzt?	Is he a doctor?
Ist es weit weg?	Is it far away?
Ist es schon da?	Is it here yet?
Ist sie da drin?	Is it in there?
Ist es das wert?	Is it worth it?
Ist das ein Bär?	Is that a bear?
Ist das koscher?	Is this kosher?
Sie passt nicht.	It doesn't fit.
Es ist nicht da.	It isn't there.
Sie war perfekt.	It was perfect.
Es wird da sein.	It'll be there.
Es ist Toms Job.	It's Tom's job.
Es ist brandneu.	It's brand new.
Er ist nagelneu.	It's brand new.
Es ist Stoßzeit.	It's rush hour.
Das ist so blöd.	It's so stupid.
Es ist jetzt da.	It's there now.
Es ist zu ruhig.	It's too quiet.
Das ist zu kurz.	It's too short.
Es ist zu klein.	It's too small.
Es ist sehr gut.	It's very good.
Halte Tom ruhig.	Keep Tom quiet.
Groß oder klein?	Large or small?
Genießen wir es!	Let's enjoy it.
Gehen wir dahin!	Let's go there.
Höre dir das an!	Listen to this.
Mach es möglich.	Make it happen.
Maria ist blond.	Mary is blonde.
Niemand brüllte.	No one shouted.
Nein, gar nicht.	No, not at all.
Niemand hört zu.	Nobody listens.
Öffne die Türen!	Open the doors.
Öffne diese Tür.	Open this door.
Öffne die Augen.	Open your eyes.
Au! Das tut weh!	Ow! That hurts!
Hilf mir, bitte.	Please help me.
Sag das nochmal.	Say that again.
Sie verehrt ihn.	She adores him.
Sie rief ihn an.	She called him.
Sie hat ein Rad.	She has a bike.
Sie umarmte ihn.	She hugged him.
Sie blieb still.	She kept quiet.
Sie spielt Bach.	She plays Bach.
Sie riecht übel.	She smells bad.
Sie ärgerte ihn.	She teased him.
Sie wurde blind.	She went blind.
Sie ist zu laut.	She's too loud.
Scheuch sie weg!	Shoo them away.
Führe uns herum!	Show us around.
Bring es zu Tom.	Take it to Tom.
Nimm das zurück!	Take that back.
Lasst euch Zeit.	Take your time.
Erzähl es allen.	Tell everybody.
Das war riskant.	That was risky.
Das ist richtig.	That's correct.
Das ist korrekt.	That's correct.
Das ist töricht.	That's foolish.
Das ist Quatsch.	That's hogwash.
Das ist illegal.	That's illegal.
Das ist logisch.	That's logical.
So ist es nicht.	That's not how.
Das ist perfekt.	That's perfect.
Das ist Plastik.	That's plastic.
Das ist so cool.	That's so cool.
Das ist typisch.	That's typical.
Der Wagen hupte.	The car honked.
Der Hund bellte.	The dog barked.
Der Preis stieg.	The price rose.
Die gehören mir.	These are mine.
Das sind unsere.	These are ours.
Sie hassten Tom.	They hated Tom.
Sie mochten Tom.	They liked Tom.
Sie liebten Tom.	They loved Tom.
Sie wollen mehr.	They want more.
Sie haben Angst.	They're afraid.
Sie sind kaputt.	They're broken.
Sie sind defekt.	They're broken.
Das ärgert mich.	This annoys me.
Wirf es dorthin!	Throw it there.
Tom wich zurück.	Tom backed off.
Tom trank Milch.	Tom drank milk.
Tom hatte Krebs.	Tom had cancer.
Tom ist bedient.	Tom has had it.
Tom hat Skorbut.	Tom has scurvy.
Tom hasste Mary.	Tom hated Mary.
Tom hasste dies.	Tom hated this.
Tom hasst Maria.	Tom hates Mary.
Tom hasst Käfer.	Tom hates bugs.
Tom hasst Hunde.	Tom hates dogs.
Tom hilft Maria.	Tom helps Mary.
Tom schritt ein.	Tom intervened.
Tom ist Wächter.	Tom is a guard.
Tom ist Richter.	Tom is a judge.
Tom ist amüsant.	Tom is amusing.
Tom schämt sich.	Tom is ashamed.
Tom ist zynisch.	Tom is cynical.
Tom ist töricht.	Tom is foolish.
Tom ist wie ich.	Tom is like me.
Tom ist neutral.	Tom is neutral.
Tom ist perfekt.	Tom is perfect.
Tom ist beliebt.	Tom is popular.
Tom ist präzise.	Tom is precise.
Tom ist radikal.	Tom is radical.
Tom ist ähnlich.	Tom is similar.
Tom ist so cool.	Tom is so cool.
Tom ist so nett.	Tom is so nice.
Tom ist hungrig.	Tom is starved.
Tom ist seltsam.	Tom is strange.
Tom ist berührt.	Tom is touched.
Tom ist bei mir.	Tom is with me.
Tom ist bei uns.	Tom is with us.
Tom ist besorgt.	Tom is worried.
Tom ging weiter.	Tom kept going.
Tom blieb still.	Tom kept quiet.
Tom blieb ruhig.	Tom kept still.
Tom hielt Wache.	Tom kept watch.
Tom wusste viel.	Tom knew a lot.
Tom fand es gut.	Tom liked that.
Tom sah alt aus.	Tom looked old.
Tom liebt Maria.	Tom loves Mary.
Tom liebt Hunde.	Tom loves dogs.
Tom machte Lärm.	Tom made noise.
Tom braucht das.	Tom needs that.
Tom gewinnt nie.	Tom never wins.
Tom gewinnt oft.	Tom often wins.
Tom eilte davon.	Tom rushed off.
Tom sagte Hallo.	Tom said hello.
Tom hielt es an.	Tom stopped it.
Tom wollte raus.	Tom wanted out.
Tom will Kinder.	Tom wants kids.
Tom war berühmt.	Tom was famous.
Tom war ehrlich.	Tom was honest.
Tom war hungrig.	Tom was hungry.
Tom war drinnen.	Tom was inside.
Tom war höflich.	Tom was polite.
Tom war Zweiter.	Tom was second.
Tom war bekifft.	Tom was stoned.
Tom war dreißig.	Tom was thirty.
Tom ging zuerst.	Tom went first.
Tom wird tanzen.	Tom will dance.
Tom wird es tun.	Tom will do it.
Tom wird fahren.	Tom will drive.
Tom wird teilen.	Tom will share.
Tom zoomte raus.	Tom zoomed out.
Tom ist am Ende.	Tom's finished.
Tom ist harmlos.	Tom's harmless.
War ich zu laut?	Was I too loud?
Hatte Tom Angst?	Was Tom afraid?
Wir haben genug.	We have enough.
Wir haben Gäste.	We have guests.
Wir haben alles.	We have it all.
Wir lachen viel.	We laugh a lot.
Wir sind Brüder.	We're brothers.
Es geht uns gut.	We're doing OK.
Wir sind Genies.	We're geniuses.
Warst du bereit?	Were you ready?
Was ist mit Tom?	What about Tom?
Was brauche ich?	What do I need?
Wozu ist es gut?	What is it for?
Wofür ist es da?	What is it for?
Wo liegt Boston?	Where's Boston?
Wo ist mein Hut?	Where's my hat?
Wer schritt ein?	Who intervened?
Wer bleibt hier?	Who stays here?
Wer schrieb das?	Who wrote that?
Wer ist bei Tom?	Who's at Tom's?
Für wen ist das?	Who's that for?
Wem gehören sie?	Whose are they?
Warum fragst du?	Why do you ask?
Warum fragt ihr?	Why do you ask?
Ja, ich weiß es.	Yes, I know it.
Ihr müsst gehen.	You have to go.
Du warst tapfer.	You were brave.
Ihr wart tapfer.	You were brave.
Du wirst lernen.	You will learn.
Du schaffst das.	You'll make it.
Du bist wie ich.	You're like me.
Sie sind nervös.	You're nervous.
Ihr seid nervös.	You're nervous.
Du bist so faul!	You're so lazy.
Du bist so dünn.	You're so thin.
Du bist zu groß.	You're too big.
Du bist nutzlos.	You're useless.
Du bist besorgt.	You're worried.
Um welche Zeit?	About what time?
Sind dies eure?	Are these yours?
Sind das Rosen?	Are those roses?
Sind das deine?	Are those yours?
Sind Sie Rabbi?	Are you a rabbi?
Sind Sie Ärzte?	Are you doctors?
Seid ihr Ärzte?	Are you doctors?
Bist du gesund?	Are you healthy?
Bist du nervös?	Are you nervous?
Seid ihr Wilde?	Are you savages?
Habt ihr Durst?	Are you thirsty?
Hören Sie mich?	Can you hear me?
Kommt herunter!	Come downstairs.
Muss ich gehen?	Do I have to go?
Haben wir Zeit?	Do we have time?
Esst ihr Fisch?	Do you eat fish?
Essen Sie Kalb?	Do you eat veal?
Kennen Sie sie?	Do you know her?
Kennen Sie ihn?	Do you know him?
Glaubst du das?	Do you think so?
Glaubt ihr das?	Do you think so?
Siehst du fern?	Do you watch TV?
Sei kein Arsch!	Don't be a jerk.
Komm nicht her!	Don't come here.
Alle klatschen.	Everybody claps.
Alle lächelten.	Everyone smiled.
Gib ihnen Geld.	Give them money.
Los, setz dich.	Go on, sit down.
Grün steht dir.	Green suits you.
Er kam spät an.	He arrived late.
Er verriet Sie.	He betrayed you.
Er trinkt viel.	He drinks a lot.
Er sang weiter.	He kept singing.
Er mag Fußball.	He likes soccer.
Er sah sich um.	He looked about.
Er ging angeln.	He went fishing.
Er ging surfen.	He went surfing.
Er ist Gärtner.	He's a gardener.
Er ist fotogen.	He's photogenic.
Hilf uns bitte!	Help us, please.
Ich mag dieses.	I like that one.
Ich tanze gern.	I like to dance.
Ich male gerne.	I like to paint.
Ich feier gern.	I like to party.
Ich sah Tom an.	I looked at Tom.
Ich lachte nie.	I never laughed.
Ich sehe etwas.	I see something.
Ich roch Speck.	I smelled bacon.
Ich möchte Tee.	I want some tea.
Ich war Lehrer.	I was a teacher.
Ich delirierte.	I was delirious.
Ich bin Christ.	I'm a Christian.
Ich komme auch.	I'm coming, too.
Ich kooperiere.	I'm cooperating.
Ich genieße es.	I'm enjoying it.
Ich gehe heute.	I'm going today.
Ist Tom Autist?	Is Tom autistic?
Ist es wichtig?	Is it important?
Ist sie giftig?	Is it poisonous?
Ist es so hart?	Is it that hard?
Ist es zu früh?	Is it too early?
Ist sie Ärztin?	Is she a doctor?
Gibt es Kaffee?	Is there coffee?
Es stimmt wohl.	It must be true.
Es war eiskalt!	It was freezing!
Es war von Tom.	It was from Tom.
Es war zu spät.	It was too late.
Pass bitte auf.	Just be careful.
Knete den Teig.	Knead the dough.
Helfen wir Tom!	Let us help Tom.
Verkleinere es.	Make it smaller.
Maria half Tom.	Mary helped Tom.
Vergiß das nie!	Never forget it.
Niemand mag es.	No one likes it.
Gib bitte Ruhe.	Please be quiet.
Bitte hilf Tom!	Please help Tom.
Sie verschwand.	She disappeared.
Sie vergab ihm.	She forgave him.
Sie redet viel.	She talks a lot.
Sie weckte ihn.	She woke him up.
Halte den Mund!	Shut your mouth.
Jemand hustete.	Someone coughed.
Bleib im Wagen!	Stay in the car.
Unterlasse das!	Stop doing that.
Fege den Boden!	Sweep the floor.
Das war absurd.	That was absurd.
Das geht nicht!	That won't work!
Das ist Betrug!	That's cheating.
Das ist sicher.	That's for sure.
Das ist gewiss.	That's for sure.
Das steht fest.	That's for sure.
Das ist ja süß!	That's so sweet.
Das Bus ist da.	The bus is here.
Es gibt Regeln.	There are rules.
Das sind Rosen.	These are roses.
Das sind deine.	These are yours.
Sie glauben es.	They believe it.
Sie fuhren weg.	They drove away.
Sie gingen hin.	They went there.
Sie waren naiv.	They were naive.
Sie waren dort.	They were there.
Das sind Tiere.	They're animals.
Sie sind super.	They're awesome.
Das ist nichts.	This is nothing.
Das ist so gut.	This is so good.
Das ist unnütz.	This is useless.
Tom tanzt auch.	Tom also dances.
Tom lügt immer.	Tom always lies.
Tom backt Brot.	Tom bakes bread.
Tom glaubt mir.	Tom believes me.
Tom weint viel.	Tom cries a lot.
Tom lügt nicht.	Tom doesn't lie.
Tom übertreibt.	Tom exaggerates.
Tom verstummte.	Tom fell silent.
Tom hatte Pech.	Tom got unlucky.
Tom hat Husten.	Tom has a cough.
Tom hat nichts.	Tom has nothing.
Tom hasst Oper.	Tom hates opera.
Tom ist Moslem.	Tom is a Muslim.
Tom ist Frisör.	Tom is a barber.
Tom ist Butler.	Tom is a butler.
Tom ist Diener.	Tom is a butler.
Tom ist Tänzer.	Tom is a dancer.
Tom ist Anwalt.	Tom is a lawyer.
Tom ist Töpfer.	Tom is a potter.
Tom ist Senior.	Tom is a senior.
Tom ist Sänger.	Tom is a singer.
Tom ist erregt.	Tom is agitated.
Tom ist lästig.	Tom is annoying.
Tom ist Autist.	Tom is autistic.
Tom ist barfuß.	Tom is barefoot.
Tom ist untreu.	Tom is disloyal.
Tom ist beredt.	Tom is eloquent.
Tom ist unreif.	Tom is immature.
Tom ist empört.	Tom is outraged.
Tom verhungert.	Tom is starving.
Tom ist hetero.	Tom is straight.
Tom geht nicht.	Tom isn't going.
Tom mag Bohnen.	Tom likes beans.
Tom mag Schach.	Tom likes chess.
Tom mag Spiele.	Tom likes games.
Tom lebte dort.	Tom lived there.
Tom wohnt dort.	Tom lives there.
Tom liebt Geld.	Tom loves money.
Tom weinte nie.	Tom never cried.
Tom las Romane.	Tom read novels.
Tom liest viel.	Tom reads a lot.
Tom sang leise.	Tom sang softly.
Tom sah nichts.	Tom saw nothing.
Tom bremste ab.	Tom slowed down.
Tom blieb cool.	Tom stayed cool.
Tom blieb hier.	Tom stayed here.
Tom stand dort.	Tom stood there.
Tom redet viel.	Tom talks a lot.
Tom redet taff.	Tom talks tough.
Tom wollte das.	Tom wanted this.
Tom war ominös.	Tom was dubious.
Tom war betagt.	Tom was elderly.
Tom war gesund.	Tom was healthy.
Tom war nervös.	Tom was nervous.
Tom war zu alt.	Tom was too old.
Toms Boot sank.	Tom's boat sank.
Tom ist genial.	Tom's brilliant.
Warte im Wagen!	Wait in the car.
Feind hört mit.	Walls have ears.
Wir arbeiteten.	We were working.
Wir ändern das.	We'll change it.
Wir nehmen das.	We'll take this.
Wir alle gehen.	We're all going.
Wir gehen alle.	We're all going.
Was machen sie?	What do they do?
Was machen die?	What do they do?
Was wissen wir?	What do we know?
Wie ist Tom so?	What's Tom like?
Wo ist das Eis?	Where's the ice?
Wo ist das Klo?	Where's the loo?
Wo ist der Zoo?	Where's the zoo?
Wen lieben Sie?	Who do you love?
Wen meinen Sie?	Who do you mean?
Wer ergab sich?	Who surrendered?
Ihr habt Krebs.	You have cancer.
Du weißt genug.	You know enough.
Sie lachen nie.	You never laugh.
Du bist schuld.	You're to blame.
Sind Sie Arzt?	Are you a doctor?
Sei flexibler.	Be more flexible.
Weinst du oft?	Do you cry often?
Habt ihr Bier?	Do you have beer?
Habt ihr Reis?	Do you have rice?
Habt ihr Zeit?	Do you have time?
Hören Sie das?	Do you hear that?
Wisst ihr das?	Do you know that?
Magst du Bier?	Do you like beer?
Mögt ihr Bier?	Do you like beer?
Magst du Tōfu?	Do you like tofu?
Mögt ihr Wein?	Do you like wine?
Lebt ihr hier?	Do you live here?
Lebst du hier?	Do you live here?
Liest du viel?	Do you read much?
Willst du das?	Do you want that?
Sei kein Narr!	Don't be foolish.
Sei unbesorgt!	Don't be worried.
Rase nicht so!	Don't go so fast!
Sag kein Wort.	Don't say a word.
Langsam essen.	Eat meals slowly.
Alle sprangen.	Everybody jumped.
Alle jubelten.	Everyone cheered.
Jeder tut das.	Everyone does it.
Alle entkamen.	Everyone escaped.
Alle sahen zu.	Everyone watched.
Schlaf weiter!	Go back to sleep.
Halt mal kurz.	Hang on a minute.
Er gab es mir.	He gave it to me.
Er jagt gerne.	He likes hunting.
Er kocht gern.	He likes to cook.
Er singt gern.	He loves singing.
Er mag Angeln.	He loves to fish.
Er hat Grippe.	He's got the flu.
Ich achte Sie.	I look up to you.
Ich liebe Eis.	I love ice cream.
Ich tu’ alles!	I'll do anything.
Ich zahle bar.	I'll pay in cash.
Mir wird kalt.	I'm getting cold.
Ich gehe bald.	I'm leaving soon.
Ich überdrehe.	I'm overreacting.
Ist jemand da?	Is anybody there?
Kann das sein?	Is that possible?
Es gehört uns.	It belongs to us.
Er war schuld.	It was his fault.
Es ist bequem.	It's comfortable.
Niemand kommt.	No one is coming.
Öffne die Tür!	Open up the door.
Rotwein bitte.	Red wine, please.
Rache ist süß.	Revenge is sweet.
Sie mag Tiger.	She likes tigers.
Sie hilft mir.	She's helping me.
Jemand lachte.	Somebody laughed.
Jemand schrie.	Someone screamed.
Das ist teuer.	That's expensive.
Sie entkommen.	They're escaping.
Sie sind oben.	They're upstairs.
Tom half sehr.	Tom helped a lot.
Tom ist links.	Tom is a liberal.
Tom ist Maler.	Tom is a painter.
Tom zieht ein.	Tom is moving in.
Tom schaut zu.	Tom is observing.
Tom skizziert.	Tom is sketching.
Tom ist ledig.	Tom is unmarried.
Tom wacht auf.	Tom is waking up.
Tom mag Äpfel.	Tom likes apples.
Tom mag Ponys.	Tom likes ponies.
Tom mag Sport.	Tom likes sports.
Tom mag Tiger.	Tom likes tigers.
Tom lacht nie.	Tom never laughs.
Tom sucht Rat.	Tom wants advice.
Tom war Bauer.	Tom was a farmer.
Tom plapperte.	Tom was babbling.
Geh langsamer.	Walk more slowly.
Wir dösen weg.	We're dozing off.
Was sagte sie?	What did she say?
Was fühlst du?	What do you feel?
Was haben Sie?	What do you have?
Was meinst du?	What do you mean?
Was meint ihr?	What do you mean?
Was willst du?	What do you want?
Was macht Tom?	What does Tom do?
Was besagt es?	What does it say?
Was macht sie?	What does she do?
Wann endet es?	When does it end?
Wann endet er?	When does it end?
Gehst du auch?	Will you go, too?
Geht ihr auch?	Will you go, too?
Machst du mit?	Will you join us?
Sie sind Arzt.	You are a doctor.
Wart’s nur ab!	You wait and see.
Gibst du auf?	Are you giving up?
Gehst du aus?	Are you going out?
Ißt du Äpfel?	Do you eat apples?
Hast du Geld?	Do you have money?
Musst du weg?	Do you have to go?
Weißt du, wo?	Do you know where?
Hat Tom eine?	Does Tom have one?
Mag Tom dich?	Does Tom like you?
Kommt er her?	Does he come here?
Lebt er hier?	Does he live here?
Trödel nicht!	Don't dilly-dally.
Nichts essen!	Don't eat a thing.
Alle lachten.	Everybody laughed.
Alle schrien.	Everyone screamed.
Auf die Knie!	Get on your knees.
Er kam nicht.	He didn't show up.
Er ist blond.	He has blond hair.
Ich bin baff.	I'm flabbergasted.
Ich nehme ab.	I'm losing weight.
Kuckt jemand?	Is anyone looking?
Lebt es noch?	Is it still alive?
Lebt er noch?	Is it still alive?
Verwirrt das?	Is this confusing?
Es wird kalt.	It's getting cold.
Es wird spät.	It's getting late.
Jemand fehlt.	Someone's missing.
Jemand singt.	Someone's singing.
Jemand redet.	Someone's talking.
Nimm Aspirin.	Take some aspirin.
Die Kuh muht.	The cow is mooing.
Sie keuchten.	They were panting.
Sie hören zu.	They're listening.
Tom sang los.	Tom began to sing.
Tom kann das.	Tom could do this.
Tom war übel.	Tom felt nauseous.
Tom liest es.	Tom is reading it.
Tom stand an.	Tom stood in line.
Tom hörte zu.	Tom was listening.
Tom aß nicht.	Tom wasn't eating.
Was sagt Tom?	What does Tom say?
Was sagt sie?	What does she say?
Wo wohnst du?	Where do you live?
Wo wohnt ihr?	Where do you live?
Wäre das Tom?	Would that be Tom?
Hat er Geld?	Does he have money?
Alle weinen.	Everybody's crying.
Alles weint.	Everybody's crying.
Alle warten.	Everyone's waiting.
Es schüttet.	It is raining hard.
Tom mag den.	Tom likes that one.
Tom mag die.	Tom likes that one.
Mach lauter.	Turn the volume up.
Was hat sie?	What does she have?
Was isst du?	What're you eating?
Wo wohnt er?	Where does he live?
Wer spricht?	Who's on the phone?
Alle reden.	Everybody's talking.
Ich badete.	I was taking a bath.
Feierabend.	Let's call it a day.
Wenden Sie!	Turn the car around.
Das kommt nicht in Frage!	No way!
Ich bin hineingekommen.	I got in.
Ich habe es verstanden.	I got it.
Ich werde es versuchen.	I'll try.
Erzählen Sie Tom davon.	Tell Tom.
Wir sind einverstanden.	We agree.
Das kannst du knicken.	Forget it.
Hier sind fünf Dollar.	Here's $5.
Ich habe ihn verloren.	I lost it.
Ich habe dich gesehen.	I saw you.
Ich habe euch gesehen.	I saw you.
Sie hat mich gebissen.	It bit me.
Es ist jetzt 8.30 Uhr.	It's 8:30.
Das ist ein Fernseher.	It's a TV.
Lassen Sie mich gehen!	Let me go!
Lass es uns probieren!	Let's try!
Thomas hat angefangen.	Tom began.
Wen kümmert das schon?	Who cares?
Bist du aufgestanden?	Are you up?
Kommen Sie doch rein!	Do come in.
Er ist liebenswürdig.	He is kind.
Wie läuft die Arbeit?	How's work?
Ich kann nicht gehen.	I can't go.
Ich habe es gefunden.	I found it.
Ich habe Tee gemacht.	I made tea.
Das habe ich gesehen.	I saw that.
Ich habe sie gesehen.	I saw them.
Ich bin aufgestanden.	I stood up.
I stimme mit „Ja“ ab.	I vote yes.
Ich bin am Verlieren.	I'm losing.
Ich bin hinterlistig.	I'm sneaky.
Ich bin 12 Jahre alt.	I'm twelve.
Ich habe es versucht.	I've tried.
Lassen Sie Tom gehen!	Let Tom go.
Niemand ist gelaufen.	Nobody ran.
Ziehen Sie mich hoch!	Pull me up.
Nehmen Sie einen Bus.	Take a bus.
Macht ein Nickerchen.	Take a nap.
Gehen Sie in Deckung!	Take cover!
Sie haben geschlafen.	They slept.
Sie haben abgestimmt.	They voted.
Tom hat es geschafft.	Tom did it.
Tom hat mich gehauen!	Tom hit me.
Tom hat sich rasiert.	Tom shaved.
Strengt euch mehr an.	Try harder.
Gib dir größere Mühe.	Try harder.
Wir werden gehorchen.	We'll obey.
Wir sind beschäftigt.	We're busy.
Wer hat mich gesehen?	Who saw me?
Du schuldest mir was!	You owe me.
Ist jemand verletzt?	Anyone hurt?
Sind wir dann durch?	Are we done?
Hast du einen Vogel?	Are you mad?
Seien Sie gewappnet!	Be prepared.
Seien Sie gnadenlos!	Be ruthless.
Seien Sie gründlich.	Be thorough.
Können wir aufhören?	Can we stop?
Können wir anhalten?	Can we stop?
Komm und hol es dir.	Come get it.
Hat Tom es versucht?	Did Tom try?
Hat es funktioniert?	Did it work?
Mach es noch einmal.	Do it again!
Streitet euch nicht.	Don't fight.
Er ist ein Blödmann.	He's a jerk.
Er ist nicht daheim.	He's not in.
Ich habe es gekauft.	I bought it.
Ich hab’s verbrannt.	I burned it.
Ich kaufe Kassetten.	I buy tapes.
Ich grub eine Grube.	I dug a pit.
Ich fühlte mich gut.	I felt good.
Ich stellte Tom ein.	I hired Tom.
Ich esse gerne Reis.	I like rice.
Ich liebe das Leben.	I love life.
Ich brauche Bargeld.	I need cash.
Ich will mehr davon.	I need more.
Ich bezahle Steuern.	I pay taxes.
Ich habe das gesagt.	I said that.
Ich fahre Snowboard.	I snowboard.
Ich spreche schnell.	I talk fast.
Ich langweilte mich.	I was bored.
Ich wurde entlassen.	I was fired.
Ich ging nach Hause.	I went home.
Ich habe geflüstert.	I whispered.
Ich werde dort sein.	I'll attend.
Ich werde aufstehen.	I'll get up.
Ich werde nachsehen.	I'll go see.
Ich bin verschuldet.	I'm in debt.
Ich bin verheiratet.	I'm married.
Ich bin kein Lügner.	I'm no liar.
Ich bin erschrocken.	I'm shocked.
Ich bin fassungslos.	I'm stunned.
Ich bin damit durch.	I'm through.
Ich bin unbewaffnet.	I'm unarmed.
Ich bin unglücklich.	I'm unhappy.
Ich bin am Gewinnen.	I'm winning.
Ich bin gescheitert.	I've failed.
Hat Tom viel zu tun?	Is Tom busy?
Ist Tom sich sicher?	Is Tom sure?
Das kann nicht sein!	It can't be!
Das ist eine Krabbe.	It's a crab.
Es hat keinen Zweck.	It's no use.
Lass es mich wissen.	Let me know.
Lasst uns studieren!	Let's study.
Niemand hat gelogen.	Nobody lied.
Halten Sie bitte an!	Please stop!
Lassen Sie Tom frei!	Release Tom.
Schießen Sie zurück.	Return fire.
Fang noch einmal an.	Start again.
Gehen Sie spazieren!	Take a walk.
Sie haben angerufen.	They called.
Tom veränderte sich.	Tom changed.
Tom hat geschummelt.	Tom cheated.
Tom hat entschieden.	Tom decided.
Tom hat eine Glatze.	Tom is bald.
Tom ist sich sicher.	Tom is sure.
Tom ist aufgeblasen.	Tom is vain.
Tom ist eingebildet.	Tom is vain.
Tom ist weggelaufen.	Tom ran off.
Tom entspannte sich.	Tom relaxed.
Tom hat sie gesehen.	Tom saw her.
Tom hat ihn gesehen.	Tom saw him.
Tom schoss auf mich.	Tom shot me.
Tom war ausgegangen.	Tom was out.
Tom wird aussteigen.	Tom'll quit.
Tom ist gelangweilt.	Tom's bored.
Tom ist zudringlich.	Tom's pushy.
Schalte mal CNN ein!	Turn on CNN.
Krieg ist die Hölle.	War is hell.
Wir können ausruhen.	We can rest.
Wir können sprechen.	We can talk.
Wir werden schießen.	We'll shoot.
Wir werden anfangen.	We'll start.
Wir stehen uns nahe.	We're close.
Wir sind menschlich.	We're human.
Was für ein Verlust!	What a loss!
Wer hat geschummelt?	Who cheated?
Wer hat Sie gesehen?	Who saw you?
Wer ist zuerst dran?	Who's first?
Du bist der Nächste.	You're next.
Du bist die Nächste.	You're next.
Sie sind ordentlich.	You're tidy.
Ihr seid ordentlich.	You're tidy.
Du bist aufgeblasen.	You're vain.
Alle Mann von Bord!	Abandon ship!
Bin ich eingeladen?	Am I invited?
Sind wir unter uns?	Are we alone?
Bist du ordentlich?	Are you tidy?
Fragen Sie höflich.	Ask politely.
Seien Sie objektiv.	Be objective.
Die Rechnung bitte.	Bill, please.
Kannst du aufhören?	Can you stop?
Kommen Sie mittags.	Come at noon.
Hat Tom es gewusst?	Did Tom know?
Haben Sie gesungen?	Did you sing?
Tun Sie’s für mich!	Do it for me.
Hör auf zu zappeln!	Don't fidget.
Zieht euch warm an!	Dress warmly.
Repariere das Dach!	Fix the roof.
Geister existieren.	Ghosts exist.
Versuch’s doch mal!	Give it a go.
Gib mir die Hälfte.	Give me half.
Geht in die Schule!	Go to school.
Er ist ein Dichter.	He is a poet.
Er hat es getreten.	He kicked it.
Er hat sie geliebt.	He loved her.
Er sieht krank aus.	He seems ill.
Er macht eine Diät.	He's dieting.
Ich bewundere euch.	I admire you.
Ich bewundere dich.	I admire you.
Ich weiß das nicht.	I don't know.
Ich schwimme nicht.	I don't swim.
Mir ist schwindlig.	I feel dizzy.
Mir war langweilig.	I felt bored.
Ich mag gern Sushi.	I like sushi.
Ich brauche Schlaf.	I need sleep.
Ich benötige Platz.	I need space.
Ich brauche Wasser.	I need water.
Ich spiele Klavier.	I play piano.
Ich gewinne selten.	I seldom win.
Ich verkaufe Farbe.	I sell paint.
Ich verkaufe Zelte.	I sell tents.
Das dachte ich mir.	I thought so.
Ich will Tatsachen.	I want facts.
Ich werde dies tun.	I'll do that.
Ich werde es lesen.	I'll read it.
Ich bin Kanadierin.	I'm Canadian.
Ich bin Katholikin.	I'm Catholic.
Ich bin ein Freund.	I'm a friend.
Ich bin ein Purist.	I'm a purist.
Ich bin Diabetiker.	I'm diabetic.
Ich bin geschieden.	I'm divorced.
Ich bin euphorisch.	I'm euphoric.
Ich werde erwartet.	I'm expected.
Ich bin jetzt hier.	I'm here now.
Ich bin unschuldig.	I'm innocent.
Ich bin kein Engel.	I'm no angel.
Mir ist nicht kalt.	I'm not cold.
Ich bin nicht cool.	I'm not cool.
Ich bin nicht taub.	I'm not deaf.
Ich bin nicht böse.	I'm not evil.
Ich bin nicht frei.	I'm not free.
Ich bin nicht hier.	I'm not here.
Ich bin unverletzt.	I'm not hurt.
Ich schlafe gerade.	I'm sleeping.
Ich bin die Letzte.	I'm the last.
Ich bin begeistert.	I'm thrilled.
Ich bin zu schwach.	I'm too weak.
Ich bin ausgelaugt.	I'm worn out.
