سلام۔	Hi.
یہ ہی تو میں جاننا چاہتی ہوں۔	That's what I want to know.
یہ کتا ایک آنکھ سے اندھا ہے۔	The dog is blind in one eye.
اس سیب کا ذائقہ بہت کڑوا ہے۔	This apple tastes very sour.
وہ آج صبح جلدی اٹھ گیا تھا۔	He got up early this morning.
میں آپ کے بھائی سے بڑا ہوں۔	I am older than your brother.
میں آپ کے بھائی سے بڑی ہوں۔	I am older than your brother.
چاول گرم ممالک میں اگتا ہے۔	Rice grows in warm countries.
میرے چاکلیٹ کا ڈبہ کدھر ہے؟	Where's my box of chocolates?
میرے چاکلیٹ کا ڈبہ کہاں ہے؟	Where's my box of chocolates?
ہر مسمی کی قیمت ۷ پینس ہے۔	The oranges cost 7 pence each.
فوج کے پاس کافی اسلحہ تھا۔	The troops had plenty of arms.
ٹام کچھ کہنے ہی والا تھا۔	Tom was about to say something.
تمھارے گھر والے کیسے ہے؟	How's it going with your family?
کیوں نہ ہم اسے ملنے چلے؟	Why don't we drop by to see her?
وہ اس گھر میں رہتا ہے۔	He lives in that house over there.
چلو کچھ نہ کچھ کرنے کی کوشش کرتے ہیں۔	Let's try something.
مجھے پتہ ہے کہ تمہیں کافی پسند ہے۔	I know you like coffee.
اس نے مجھے میرے ہاتھ سے پکڑ لیا۔	He caught me by the hand.
کیا وہ ہوٹل میں قیام کر رہی ہے؟	Is she staying at a hotel?
ٹام نے بیمار ہونے کا ڈرامہ کیا۔	Tom pretended he was sick.
اس کو اپنی قسمت قبول کرنا پڑی۔	She had to accept her fate.
ان کو اپنی قسمت قبول کرنا پڑی۔	She had to accept her fate.
مجھے قرض کی اب ضرورت نہیں ہے۔	I don't need a loan anymore.
مجھے نہیں لگتا کہ وہ مخلص ہے۔	I don't think he is sincere.
آج ریل گاڑی پورے ٹائم پہ تھی۔	The train was on time today.
میں تمہارے بھائی سے بڑا ہوں۔	I am older than your brother.
میں تمہارے بھائی سے بڑی ہوں۔	I am older than your brother.
ہسپانوی اس کی مادری زبان ہے۔	Spanish is his mother tongue.
ہسپانوی ان کی مادری زبان ہے۔	Spanish is his mother tongue.
تمھیں خود حاضری دینی پڑے گی۔	You have to appear in person.
جاپانی ہماری مادری زبان ہے۔	Japanese is our mother tongue.
ڈاکٹر ابھی موجود نہیں ہے۔	The doctor is not available now.
وہ پورا دن مصروف رہا ہے۔	He has been working all day long.
ہر کھلاڑی نے اپنی بھرپور کوشش کی۔	Each player did his best.
تم ٹام کو کتنی اچھی طرح جانتے ہو؟	How well do you know Tom?
میں نے اس پہ ۱۰ ڈالڑ خرچ کیئے ہے۔	I spent 10 dollars on it.
وہ عجائب گھر کس نے ڈیزائن کیا ہے؟	Who designed that museum?
فرانسیسی ڈبر روٹی بہت مزیدار یے۔	French bread is delicious.
اپنی کتاب صفحہ نمبر ۵۹ پہ کھولو۔	Open your book to page 59.
اپنی دائیں آستین کو اوپر چڑھائو۔	Roll up your right sleeve.
ٹام صحت یابی کی طرف بڑھ رہا ہے۔	Tom is going to get better.
ٹام اپنے باغ کو پانی دے رہا ہے۔	Tom is spraying his garden.
ہم کھاتے ہیں زندہ رہنے کے لئیے۔	We eat so that we can live.
لگتا ہے کہ قیمتیں گر رہی ہیں۔	Prices seem to be going down.
تم جہاں جانا چاہو جا سکتے ہو۔	You can go wherever you want.
تم جہاں جانا چاہو جا سکتی ہو۔	You can go wherever you want.
اس نے اسی وقت پیسے ادا کئیے۔	He paid the money on the spot.
تم اس سے شادی نہیں کر سکتے۔	I'm afraid you can't marry her.
پیرس فرانس کا دارلخلافہ ہے۔	Paris is the capital of France.
غبارے میں پوا بھری ہوئی ہے۔	The balloon is filled with air.
انہوں نے گفتگو کا آغاز کیا۔	They entered into a discussion.
ٹام اور مریم آنا چاہتے ہیں۔	Tom and Mary want to come over.
ٹام نے مریم کی تصویر بنائی۔	Tom painted a picture for Mary.
فرج گوشت کو تازہ رکھتا ہے۔	A refrigerator keeps meat fresh.
اس کلاس میں کتنے لڑکے ہیں؟	How many boys are in this class?
مجھے صرف قینچیاں ملی ہے۔	All I found is a pair of scissors.
وہ ہوٹل کافی لیٹ پہنچی۔	She got to the hotel late at night.
میں جانتا ہوں کہ تمہیں کافی پسند ہے۔	I know you like coffee.
میں جانتا ہوں کہ آپ کو کافی پسند ہے۔	I know you like coffee.
مجھے اس کی آنکھوں میں آنسو نظر آئے۔	I saw tears in his eyes.
میں نے اس کو دس ڈالر واپس کرنے ہے۔	I owe ten dollars to her.
برائے مہربانی تھوڑا سا اونچا بولے۔	Please speak more loudly.
ٹام قیمتی وسائل کا ضیاع کر رہا ہے۔	Tom is wasting resources.
انہوں نے ایک اچھا موقعہ گنوا دیا۔	They missed a good chance.
اس نے وکالت کی تربیت حاصل کی ہے۔	He was trained as a lawyer.
ٹام کار کے حادثے میں بچ گیا تھا۔	Tom survived the car crash.
اسے کل تک ٹھیک ہو جانا چاہئیے۔	It ought to be fine tomorrow.
گیند کو دونوں ہاتھوں سے پکڑو۔	Hold the ball with both hands.
پناہ گزین پل کے نیچے چھپ گئے۔	Refugees hid under the bridge.
بیلجیم فرانس جتنا برا نہیں۔	Belgium is not as big as France.
میں ٹام کا لنگوٹیا یار ہوں۔	I'm a childhood friend of Tom's.
تمہیارے برآمدے میں میز ہے؟	Do you have a table on the patio?
اس نے تیس ہزار ڈالر کمائے۔	She made thirty thousand dollars.
کرسی کھڑکی کے پاس نہیں ہے۔	The chair is not near the window.
جہاذ پہاڑ کے اوپر سے گزرا۔	The plane flew over the mountain.
وہ چھٹیوں میں وہیں رہا۔	He stayed there during the vacation.
اس نے دروازہ کو دھکا دے کر بند کیا۔	She pushed the door shut.
ٹام کو امید ہے کہ مریم نہیں مرے گی۔	Tom hopes Mary won't die.
ٹام قیمتی وسائل کو ضائیع کر رہا ہے۔	Tom is wasting resources.
میں اس پر دوبارہ نظر ثانی کرو گا۔	I'm going to reconsider it.
اس نے یہ غلطی جان بوجھ کے کی ہے۔	His mistake was intentional.
آج ریل کاڑی وقت پہ پہنج گئی تھی۔	The train was on time today.
میں نے اسے بتایا کہ وہ غلط تھا۔	I told him that he was wrong.
فرانسیسی ان کی مادری زبان ہیں۔	French is their mother tongue.
میں جاپان دو سال پہلے آیا تھا۔	I came to Japan two years ago.
میں اگلے ہفتے یورپ جا رہا ہوں۔	I'm going to Europe next week.
میں اگلے ہفتے یورپ جا رہی ہوں۔	I'm going to Europe next week.
میں ٹام اور مریم کا دوست ہوں۔	I'm a friend of Tom and Mary's.
اکاؤنٹس کو آڈٹ کر دیا گیا ہے۔	The accounts have been audited.
ٹام پچھلے ہفتے کہیں نہیں گیا۔	Tom didn't go out last weekend.
کیا تم ڈاکٹر کو بلا سکتے ہو؟	Could you call a doctor, please?
کیا آپ ڈاکٹر کو بلا سکتے ہے؟	Could you call a doctor, please?
کیا تم ڈاکٹر کو بلا سکتی ہو؟	Could you call a doctor, please?
کیا آپ ڈاکٹر کو بلا سکتی ہے؟	Could you call a doctor, please?
کاش میں ابھی بوسٹن میں ہوتا۔	I wish I could be in Boston now.
میں ٹام کا بچپن کا دوست ہوں۔	I'm a childhood friend of Tom's.
اس سوال کا جواب بہت آسان ہے۔	That question is easy to answer.
اس گھڑی کو مرمت کی ضرورت ہے۔	This watch needs to be repaired.
وہ سارا دن کام کوتا رہا ہے۔	He has been working all day long.
کرسی کھڑکی کے ساتھ نہیں ہے۔	The chair is not near the window.
وہ اپنے خرچے کم کرے گے۔	They will cut down on their expenses.
میں نے اسے بیس بال کھیلتے ہوئے دیکھا۔	I saw him play baseball.
یہ آپ کو خطرے میں مبتلا کر سکتا ہے۔	That'll put you in danger.
یہ تم کو خطرے میں مبتلا کر سکتا ہے۔	That'll put you in danger.
میں چاہتا ہوں کہ تم ٹام کو ڈھونڈو۔	I want you to look for Tom.
ٹام کو ڈھائی بجے تک گھر پہنچنا ہے۔	Tom has to be home by 2:30.
میرے چاچا نے مجھے یہ گھڑی دی تھی۔	My uncle gave me this watch.
میرے تایا نے مجھے یہ گھڑی دی تھی۔	My uncle gave me this watch.
میرے خالو نے مجھے یہ گھڑی دی تھی۔	My uncle gave me this watch.
تم کیا چاہتے ہو کہ میں کیا کروں؟	What would you like me to do?
ٹام کی ایک بیٹی کا نام ہے مریم۔	Tom has a daughter named Mary.
میں نے یہ سویٹر کل خریدا تھا۔	I bought this sweater yesterday.
کوئی بھی بچہ نہیں بیٹھا ہوا۔	None of the children are sitting.
بھاگتے چور کی لنگوٹی ہی سہی۔	Something is better than nothing.
تمھیں کل کسی نے کال کی تھی؟	Did anybody call on you yesterday?
اس کائنات کی ابتدا کیا ہے؟	What is the origin of the universe?
ٹریفک حادثہ کیسے پیش آیا؟	How did the traffic accident happen?
تمہاری امی بس آتی ہونگی۔	Your mother will be back before long.
تم رات کو سو سکے تھے۔	Did you get any sleep at all last night?
قطع قلامی معاف۔	I'm sorry to disturb you while you're talking.
برائے مہربانی، دھیان سے فیصلہ کی جیئے گا۔	Please choose wisely.
کیا تم اس پہیلی کا جواب دے سکتے ہو؟	Can you answer this riddle?
غربت نے اسے چوری کرنے پر مجبور کیا۔	Poverty drove him to steal.
میرے ماموں نے مجھے یہ گھڑی دی تھی۔	My uncle gave me this watch.
میرے پھپھا نے مجھے یہ گھڑی دی تھی۔	My uncle gave me this watch.
لگتا ہے کہ اس کی ٹرین چھٹ گئی ہے۔	He may have missed the train.
اس نے کتاب کو الماری میں رکھ دیا۔	He put the book on the shelf.
میں نے ان کو بتایا کہ وہ غلط تھے۔	I told him that he was wrong.
میں دریا میں تیراکی کرنے گیا تھا۔	I went swimming in the river.
میں ڈھائی بجے وہاں پہنچ جائوں گا۔	I'll get there at about 2:30.
اگر تم اسے پوچھو گے تو وہ آئی گی۔	She will come if you ask her.
ہم رات کا کھانا باہر کھا رہے ہیں۔	We're eating dinner outdoors.
تم جدھر بھی جانا چاہو جا سکتے ہو۔	You can go wherever you want.
تم جدھر بھی جانا چاہو جا سکتی ہو۔	You can go wherever you want.
مجھے ابھی نہیں پتا کیا کہنا ہے ۔	I just don't know what to say.
انہوں نے جاپانی شہریت حاصل کرلی۔	They became citizens of Japan.
میرا نہیں خیال ٹام واپس آئے گا۔	I don't think Tom will be back.
وہ اس کتے کا خیال نہیں رکھتے۔	They don't take care of that dog.
وہ پیانو کی روذ مشق کرتی ہے۔	She practices the piano every day.
تم ہمیشہ دیر سے کیوں آتے ہو؟	Why is it that you're always late?
جہاز دس منٹ میں اڑ جائے گا۔	The plane takes off in ten minutes.
میرے پاس کھیل کود کے لئیے وقت نہیں ہے۔	I have no time for games.
ٹام کو امید ہے کہ مریم فوت نہیں ہو گی۔	Tom hopes Mary won't die.
میں اس واقعے کو تفصیل سے سمجھاتا ہوں۔	I'll explain the incident.
میں اس واقعے کو تفصیل سے سمجھاتی ہوں۔	I'll explain the incident.
وہ وہاں دس گھنٹے میں پہنچ جائے گا۔	He'll get there in ten hours.
سردی ہو یا گرمی، وہ پہنج جائے گا۔	He'll be there, rain or shine.
پتہ نہیں وہ کیوں اتنی پریشان ہے۔	I wonder why she is so worried.
میں ہنسے بغیر نہیں رہ سکتا تھا۔	I couldn't keep from snickering.
میں ہنسے بغیر نہیں رہ سکتی تھی۔	I couldn't keep from snickering.
آسمان میں ایک بھی بادل نہیں ہے۔	There wasn't a cloud in the sky.
کیا تم پہلی دفعہ جاپان آئے ہو؟	Is this your first time in Japan?
کیا تم پہلی دفعہ جاپان آئی ہو؟	Is this your first time in Japan?
کیا آپ پہلی دفعہ جاپان آئے ہے؟	Is this your first time in Japan?
کیا آپ پہلی دفعہ جاپان آئی ہے؟	Is this your first time in Japan?
تمھارے پاس اتنا تجربہ نہیں ہے۔	You don't have enough experience.
گلاب کے پتے بہت نازک ہوتے ہے۔	A rose's petals are very delicate.
مجھے چائے پسند ہے نہ ہی کافی۔	I don't like either tea or coffee.
تم نے صرف اس بٹن کو دبانا ہے۔	You have only to push this button.
تینوں لڑکوں کو انعام ملے گا۔	Each of the three boys got a prize.
وہ رات کو دیر سے ہوٹل پہنچی۔	She got to the hotel late at night.
بچے کھلونوں سے کھیل رہے ہیں۔	The children are playing with toys.
ٹام ہمیشہ تیز کافی پیتا ہے۔	Tom always drinks his coffee strong.
الفاظوں کو لغت میں ڈھونڈو۔	Look up the words in your dictionary.
ٹام امید کر رہا ہے کہ مریم نہیں مرے گی۔	Tom hopes Mary won't die.
وہ وہاں دس گھنٹے میں پہنچ جائیں گے۔	He'll get there in ten hours.
تم نے اپنے کمرے کی صفائی کی ہے آج؟	Did you clean your room today?
میں اپنے خاندان کو سہارا دیتا ہوں۔	I manage to support my family.
میں اپنے خاندان کو سہارا دیتی ہوں۔	I manage to support my family.
ٹام سے تم فون پہ رابطہ کر سکتے ہو۔	Tom can be contacted by phone.
مجھے سڑک پہ ایک ڈالر گرا ہوا ملا۔	I found a dollar in the street.
آسمان میں ایک بھی بادل نہیں تھا۔	There wasn't a cloud in the sky.
اجلاس پچھلے ہفتے منعقد ہوا تھا۔	The meeting took place last week.
کیا ہوٹل ہوائی اڈے کے قریب ہے؟	Is the hotel close to the airport?
میں ریڈیو کبھی کبھی سنتا ہوں۔	I almost never listen to the radio.
کیا تم مجھے ۱۰۰۰۰ ین ادھار دے سکتے ہو؟	Can you lend me 10,000 yen?
اس نے مجھے اپنی زندگی کی کہانی سنائی۔	He told me his life's story.
انہوں نے کتاب کو الماری میں رکھ دیا۔	He put the book on the shelf.
کیا میں آپ کی لغت ادھار لے سکتا ہوں؟	May I borrow your dictionary?
وہ ایک اچھے خاندان سے تعلق رکھتی ہے۔	She comes from a good family.
اس کو لوگوں پہ دھونس جمانا پسند ہے۔	He just loves to bully people.
اس نے اس کو اپنے سارے پیسے دے دیئے۔	She gave him all of her money.
میں بہت خوش ہوں تمھاری کامیابی پہ۔	I'm so glad that you succeeded.
کیا تم پچھلے مہینے امریکا میں تھے؟	Were you in America last month?
کیا آپ پچھلے مہینے امریکا میں تھے؟	Were you in America last month?
میری بائسیکل کو مرمت کی ضرورت ہے۔	My bicycle is in need of repair.
تم نے نانا کی ویل چیئر دیکھی ہے؟	Did you see grandpa's wheelchair?
وہ میرے لیئے اب مسکراتی نہیں ہے۔	She doesn't smile for me anymore.
اصل میں میں یونیورسٹی ٹیچر ہوں۔	I'm actually a university teacher.
اس آدمی کو سزائے موت دی گئی ہے۔	The man was given a life sentence.
وہ دوپہر سے پہلے نظر نہیں آیا۔	He did not appear until about noon.
وہ گھر ایک ہفتہ بعد ہی گر گیا۔	The house fell down one week later.
یہ گھر ایک ہفتہ بعد ہی گر گیا۔	The house fell down one week later.
مجھے یہ فلم بہت دلچسپ لگی ہے۔	I found this movie very interesting.
کیوٹو میں کافی پرانے مندر ہے۔	There are many old temples in Kyoto.
وہ ضرور امتحان میں پاس ہوگا۔	He is likely to pass the examination.
سارے بڑے غور سے سن رہے تھے۔	Everyone was listening very carefully.
ابھی بہت سارے کام رہتے ہیں۔	There are still a lot of things to do.
پارٹی پہ صرف چھہ لوگ تھے۔	There were only six people at the party.
میں ٹام کو تمہاری مدد کے لئیے بھیجتا ہوں۔	I'll get Tom to help you.
میرا خیال ہے کہ وہ عورت اس کی پیوی ہے۔	That woman must be his wife.
میں غلطی سے آپ کو اپنا بھائی سمجھا۔	I mistook you for your brother.
میں یہ اپنی والدہ کے لیے چنوں گا۔	I will choose them for my mother.
کیا تم اپنی لغت ادھار دے سکتے ہو؟	Will you lend me your dictionary?
کیا آپ اپنی لغت ادھار دے سکتے ہے؟	Will you lend me your dictionary?
کیا تم نے سب کچھ صحیح سے کیا ہے؟	Have you ever done anything right?
کیا تم نے سب کچھ ٹھیک سے کیا ہے؟	Have you ever done anything right?
تم اکیلے ہو یا کسی کے ساتھ ہو؟	Are you by yourself or with someone?
اپ کو لغت استعمال کرنا آتی ہے؟	Do you know how to use a dictionary?
یہ گوند پلاسٹک کو نہیں جورتی۔	This glue does not adhere to plastic.
اس ہفتے کو تم کیا کر رہے ہو؟	What'll you be doing over the weekend?
اس ہفتے کو تم کیا کر رہی ہو؟	What'll you be doing over the weekend?
اس کے انگریزی میں ۱۰۰ میں سے ۹۰ مارکس آئے ہے۔	He got 90% in English.
ٹام کو ہر وقت کچھ نا کچھ چاہئہے ہوتا ہے۔	Tom always wants something.
میرے الفاظوں کو توڑ مڑوڑ کے پیش نہ کرو۔	Don't twist my words around.
میں ریادہ تر ڈھیڑ سارا دودھ پیتا ہوں۔	I usually drink a lot of milk.
میں کسی طرح سے آٹھ بجے پہنچ جائو گا۔	I'll be there by eight somehow.
میں کسی طرح سے آٹھ بجے پہنچ جائو گی۔	I'll be there by eight somehow.
مجھے ایک اور گاڑی کی ضرورت نہیں ہے۔	I don't really need another car.
میں اپنا کمرہ روزانہ صاف کرتا ہوں۔	I clean my room almost every day.
میں نے ٹام کا کافی دیر انتظار کیا۔	I waited for Tom for a long time.
وہ مجھ سے تین گنا زیادہ کماتا ہے۔	He earns three times more than me.
لائنوں کے درمیان زیادہ فاصلہ دو۔	Leave more space between the lines.
تم بس دھیان رکھنا کہ یہ ٹوٹے نا۔	You must take care not to break it.
میں کل فلم دیکھنے نہیں جا رہا۔	I'm not going to the movies tomorrow.
تمہاری ماں بس راستے میں ہو گی۔	Your mother will be back before long.
میں گھر پہنچتےساتھ ہی سو گیا۔	I went to sleep as soon as I got home.
اس ہفتے کو تمہارا کیا سین ہے؟	What'll you be doing over the weekend?
ایک دریا قصبے کو دو حصوں میں تقسیم کرتی ہے۔	A river divides the town.
انہوں نے مجھے اپنی زندگی کی کہانی سنائی۔	He told me his life's story.
آج ریل گاڑی پابندی کے ساتھ پہنچ گئی تھی۔	The train was on time today.
مجھے لگ رہا ہے کہ آندھی تیز ہو رہی ہے۔	I think the wind's picking up.
ٹام نے مریم کو کتاب پڑھتے ہوِئے دیکھا۔	Tom found Mary reading a book.
مجھے نہیں پتا تھا کہ تم اتنے امیر ہو۔	I didn't know you were so rich.
پولیس نے اس کو رنگے ہاتھوں پکڑ لیا۔	The police caught him red handed.
میز کے اوپر پڑی پوئی لغت میری ہے۔	The dictionary on the desk is mine.
آسٹریلوی لڑکیاں بہت خوبصورت ہیں۔	Australian women are very beautiful.
میں نے اس فلم کو بہت دلچسپ پایا۔	I found this movie very interesting.
صرف چھہ لوگ دعوت پہ آئے تھے۔	There were only six people at the party.
حادثہ پرسو ہوا تھا۔	The accident took place the day before yesterday.
میں آپ کو مقدپے کے بارے میں بتاتا ہوں۔	Let me tell you about the case.
میں آپ کو مقدپے کے بارے میں بتاتی ہوں۔	Let me tell you about the case.
کیا میں آپ کا فون نمبر پوچھ سکتا ہوں؟	May I ask for your phone number?
سورج سے ہمیں حرارت اور روشنی ملتی ہے۔	The sun gives us heat and light.
تم نے دادا ابو کی ویل چیئر دیکھی ہے؟	Did you see grandpa's wheelchair?
آپ نے دادا ابو کی ویل چیئر دیکھی ہے؟	Did you see grandpa's wheelchair?
آپ نے نانا ابو کی ویل چیئر دیکھی ہے؟	Did you see grandpa's wheelchair?
میں نے امتحان میں ایک غلطی کر دی ہے۔	I made a bad mistake on the test.
ٹام نے مریم کو بتایا کہ وہ صحیح تھی۔	Tom told Mary that she was right.
وہ گاڑی کے حادثے میں زخمی ہوئی تھی۔	She was injured in a car accident.
انہوں نے لڑکے کو ڈوبنے سے بچا لیا۔	They rescued the boy from drowning.
وہ اپنے بچوں کا خیال نہیں کرتا۔	He does not take care of his children.
میں شام کو انگریزی پڑھو گا۔	I'm going to study English this afternoon.
میں نے اپنے دوست کو کچھ پیسے ادھار دیے ہے۔	I lent my friend some money.
میری ہارڈ ڈرائیو تقریبا پوری بھڑھ گئی ہے۔	My hard drive is almost full.
میرے پاس یہ خریدنے کے لئیے کافی پیسے ہے۔	I have enough money to buy it.
میرا خیال ہے کہ وہ ایک ایماندار عورت ہے۔	I think she's an honest woman.
مجھے لگتا ہے کہ وہ ایک ایماندار عورت ہے۔	I think she's an honest woman.
ٹام اور مریم نے اپنے آپ کو خود قتل کیا۔	Tom and Mary killed themselves.
اس نے جمیکا میں اپنا نیا گھر بنایا ہے۔	He set up a new home in Jamaica.
میرا خیال ہے ٹام پھر سے لیٹ ہو جائے گا	I assume Tom will be late again.
میں نے ٹام کا کافی دیر تک انتظار کیا۔	I waited for Tom for a long time.
استاد نے میری پیٹھ پر مجھے تھپکی دی۔	The teacher patted me on the back.
آپ کے پاس یہ جوتے میرے سائز میں ہے؟	Do you have these shoes in my size?
میں آپ کی طرف سے اس خط کا جواب دوں؟	Shall I answer this letter for you?
میں تماری طرف سے اس خط کا جواب دوں؟	Shall I answer this letter for you?
کیا آپ اکیلے ہے یا کسی کے ساتھ ہے؟	Are you by yourself or with someone?
ہمیں سزائے موت ختم کر دینی چاہئیے۔	We should abolish the death penalty.
تمہیں صرف زمین کی صفائی کرنی ہے۔	All you have to do is sweep the floor.
مختلف لوگوں کے مختلف خیالات ہیں۔	Different people have different ideas.
اس کے نظریہ کو سمجھنا مشکل ہے۔	It's difficult to understand his theory.
ان کے نظریہ کو سمجھنا مشکل ہے۔	It's difficult to understand his theory.
تم نے وایلن بجانا کیسے سیکھا؟	How did you learn how to play the violin?
میں نے تمہیں رکنے کے لئیے کہا تھا کہ نہیں؟	I told you to stop, didn't I?
میں تھکا ہوا تھا اسی لئے میں سونے چلا گیا۔	I was tired so I went to bed.
یہ وہ بندہ ہے جس پہ آپ بھروسہ کر سکتے ہو۔	He is the man you can rely on.
میں معذرت چاہتا ہوں۔ میں یہاں اجنبی ہوں۔	I am sorry. I am not from here.
میں معافی چاہتا ہوں۔ میں یہاں اجنبی ہوں۔	I am sorry. I am not from here.
میں ماضی کو زیادہ کریدنا نہیں چاہتا۔	I don't want to dredge up the past.
ٹام اور مریم دونوں تیراکی جانتے ہیں۔	Tom and Mary both know how to swim.
تمہیں اس کو راز رکھنا ہوگا، ٹھیک ہے؟	You've got to keep this secret, OK?
اس نے جو بتاہا تھا وہ جھوٹ نکل آیا۔	What he said turned out to be a lie.
وہ تقریباّ میری بہن کی عمر کی ہے۔	She's about the same age as my sister.
بہار کا موسم آتے ہی برف پگھل گئی۔	The snow melted away when spring came.
مجھے لگ رہا ہے کہ وہ آج آئے گی۔	I have a feeling that she'll come today.
تمھارے خاندان میں کتنے لوگ ہے؟	How many people are there in your family?
ٹام پیر کو شاید مصروف ہو گا۔	Tom is probably going to be busy on Monday.
میں نے اپنی بہن کے لئیے ایک نئی ٹوپی خریدی۔	I bought my sister a new hat.
میں نے اپنی بہن کے لئیے ایک نئی ٹوپی لی ہے۔	I bought my sister a new hat.
میں معذرت چاہتا ہوں۔ میں یہاں خود نیا ہوں	I am sorry. I am not from here.
کاش میں نے کسی اور مرد سے شادی کرلی ہوتی۔	I wish I'd married another man.
میں نہیں جانتا اگر میرے پاس وقت ہوا تو ۔	I don't know if I have the time.
کیا کبھی کسی نے اس کے بارے میں سوچا ہے؟	Has anybody ever thought of this?
خربوزہ خربوزے کو دیکھ کر رنگ پکڑتا ہے۔	Birds of a feather flock together.
میں اس سے پیار کرتا تھا مگر اب نہیں۔	I used to love her, but not anymore.
سیمسٹر امتہان آخرکار ختم ہو گئے ہیں۔	The semester exams are finally over.
جیسے ہی بارش رکتی ہے، ہم چل پڑے گے۔	Let's go as soon as it stops raining.
عمارت کے سامنے ایک گاڑی کھڑی ہے۔	There is a car in front of the building.
وہ اس ملک میں آتی جاتی رہتی ہے۔	She's a frequent visitor to this country.
میں نے چھت پہ ہلکے نیلے رنگ کا پینٹ کیا ہے۔	I painted the roof light blue.
وہ تھکا ہوا تھا اس لئے وہ سونے چلا گیا ہے۔	He was tired so he went to bed.
میں معذرت چاہتا ہوں۔ میں یہاں سے نہیں ہوں۔	I am sorry. I am not from here.
میں معافی چاہتا ہوں۔ میں یہاں خود نیا ہوں۔	I am sorry. I am not from here.
میں معافی چاہتا ہوں۔ میں یہاں سے نہیں ہوں۔	I am sorry. I am not from here.
میرا نہیں خیال تھا کہ تم اتنے بوڑھے ہو گے۔	I didn't think you were so old.
میں تمھارے جانے کے بعد اکیلی ہو جائو گی۔	I'll be lonely after you've gone.
میں تمھارے جانے کے بعد اکیلا ہو جائو گا۔	I'll be lonely after you've gone.
کیا کسی کو پتہ ہے کہ میرا بیٹا کدھر ہے؟	Does someone know where my son is?
وہ زیادہ تر آنکھیں بند کر کے سوچتا ہے۔	He often thinks with his eyes shut.
وہ زیادہ تر آنکھیں بند کر کے سوچتے ہے۔	He often thinks with his eyes shut.
وہ غیر ملکیوں سے بات کرنے کا عادی ہے۔	He is used to talking to foreigners.
ہم رات بارہ بجے تک باتیں کرتے رہیں۔	We talked on the phone until midnight.
وہ انگریزی جرمن لہجہ میں بولتا ہے۔	He speaks English with a German accent.
تمھیں دکان سڑک کے کونے میں ملے گی۔	You'll find the shop around the corner.
ٹھنڈا موسم اور کتنا عرصہ رہے گا؟	How long will this cold weather continue?
تمھارے خاندان میں کتنے افراد ہے؟	How many people are there in your family?
مجھے گانے کی دھن یاد نہیں آ رہی۔	I can't remember the melody of that song.
میں اپنی گاڑی کی چابیاں پیچھے چھوڑ آیا ہوں۔	I have left my car keys behind.
بہت کم جاپانی صحیح انگریزی بول سکتے ہیں۔	Few Japanese can use English well.
تم نے بعد میں چہل قدمی کے لئیے چلنا ہے؟	Do you want to go for a walk later?
آپ نے بعد میں چہل قدمی کے لئیے چلنا ہے؟	Do you want to go for a walk later?
میری اس سے ملاقات میکسیکو میں ہوئی تھی۔	I met her during my stay in Mexico.
اب بچھتائے کیا ہوت جب چڑیا چگ گئی کھیت۔	It's no use crying over spilt milk.
وہ گھر ایک ہفتہ بعد ہی زمین بوس ہو گیا۔	The house fell down one week later.
یہ گھر ایک ہفتہ بعد ہی زمین بوس ہو گیا۔	The house fell down one week later.
میرے پاس آج دوپہر کچھ کرنے کو نہیں ہے۔	I have nothing to do this afternoon.
وہ اور صرف وہ ہی پوری سچائی جانتا ہے۔	He and only he knows the whole truth.
میں ٹرین پر اپنا ٹینس ریکیٹ چھوڑ آیا۔	I left my tennis racket on the train.
مجھے حیرت ہے کہ تم نے انعام جیت لیا ۔	I'm surprised that you won the prize.
مجھے حیرت ہے کہ آپ نے انعام جیت لیا ۔	I'm surprised that you won the prize.
میں ہمیشہ سے وہ کتاب پڑھنا چاہتا تھا۔	I've always wanted to read that book.
میں ہمیشہ سے وہ کتاب پڑھنا چاہتی تھی۔	I've always wanted to read that book.
انگریزی پوری دنیا میں پڑھای جاتی ہے۔	English is studied all over the world.
اس کے خیالات کو سمجھنا آسان نہیں ہے۔	It's not easy to understand his ideas.
کمپیوٹر میں معلومات کا اندراج کرو۔	Enter the information into the computer.
پتا نہیں میرے پاس وقت ہے کہ نہیں ۔	I don't know whether I have time or not.
ہر وقت ایماندار ہونا آسان نہیں ہے۔	It's not easy to be honest all the time.
ہم نے گاڑی میں کافی سامان ڈال دیا۔	We loaded a lot of luggage into the car.
تم یہاں اتنی رات کو کیا کر رہے ہو؟	What're you doing here so late at night?
گرم موسم میں پانی جلد اڑ جاتا ہے۔	In hot weather, water evaporates quickly.
اسی چیز کے ہونے کی مجھے امید تھی۔	That's exactly what I expected to happen.
یہ پتھر اس والے سے دگنا بھاری ہے۔	This stone is twice as heavy as that one.
میں کبھی دوبارہ تمہاری شکل نہیں دیکھنا چاہتا۔	I don't want to see you again.
میں کبھی دوبارہ تمہاری شکل نہیں دیکھنا چاہتی۔	I don't want to see you again.
برائے مہربانی سب کو بتادو کہ میں شرمندہ ہوں۔	Please tell everyone I'm sorry.
برائے مہربانی ان کی واپسی تک انتظار فرمائیے۔	Please wait till he comes back.
میں اپنی اگلی سالگرہ پہ سولہ کی ہو جائو گی۔	I will be sixteen next birthday.
