హాయ్, మీరు ఎలా ఉన్నారు?	Hi, how are you?
ఇది వర్షపు రోజు	This is a rainy day
వర్షపు నీళ్లు పడ్డాయి	Rainy water fell
ఆకాశం మేఘావృతంగా ఉంది	The sky is cloudy
మేఘావృతం వల్ల చీకటిగా ఉంది	It is dark because of the cloudiness
మంచు పర్వతాలు అందంగా ఉన్నాయి	The snowy mountains are beautiful
మంచు కురుస్తోంది	Snow is falling
ఈ కాఫీ చాలా వేడి	This coffee is very hot
వేడి నీళ్లు కావాలి	I want hot water
చల్లని గాలి వీస్తోంది	Cool breeze is blowing
ఈ నీళ్లు చాలా చల్లని	This water is very cold
వెచ్చని పాలు తాగండి	Drink warm milk
వెచ్చని నీటి స్నానం చేయి	Take a warm water bath
చల్లని పానీయం కావాలి	I want a cool drink
చల్లని గాలి బాగుంది	Cool breeze is good
ఈరోజు గాలులతో కూడిన వాతావరణం	Today is windy weather
గాలులతో కూడిన సాయంత్రం	Windy evening
పొగమంచు వల్ల దారి కనిపించదు	The way is not visible due to fog
పొగమంచు ఉదయం బాగుంటుంది	Foggy morning is nice
వర్షం పడుతోంది	It is raining
వర్షం ఆగింది	The rain stopped
మంచు తెల్లగా ఉంటుంది	Snow is white
మంచు పర్వతాలు చల్లగా ఉంటాయి	Snowy mountains are cold
పెద్ద తుఫాను వచ్చింది	A big storm came
తుఫాను వల్ల చెట్లు పడ్డాయి	Trees fell due to the storm
ఉరుము శబ్దం విన్నాను	I heard the sound of thunder
ఉరుము భయం వేసింది	Thunder caused fear
మెరుపు మెరుస్తోంది	Lightning is flashing
మెరుపు వేగంగా వచ్చింది	Lightning came quickly
ఇంద్రధనస్సు రంగురంగులుగా ఉంది	The rainbow is colorful
ఆకాశంలో ఇంద్రధనస్సు వచ్చింది	The rainbow appeared in the sky
ఆకాశం నీలంగా ఉంది	The sky is blue
ఆకాశం చాలా పెద్దది	The sky is very big
మేఘం తెల్లగా ఉంది	The cloud is white
ఒక మేఘం కదిలింది	A cloud moved
సూర్యుడు తూర్పున ఉదయిస్తాడు	The sun rises in the east
సూర్యుడు వేడిని ఇస్తాడు	The sun gives heat
చంద్రుడు రాత్రి కనిపిస్తాడు	The moon is visible at night
చంద్రుడు తెల్లగా ఉన్నాడు	The moon is white
ఆకాశంలో ఒక నక్షత్రం ఉంది	There is one star in the sky
నక్షత్రం మెరుస్తోంది	The star is shining
ఉష్ణోగ్రత పెరిగింది	The temperature increased
ఉష్ణోగ్రత తగ్గింది	The temperature decreased
వాతావరణం బాగుంది	The weather is good
ఈరోజు వాతావరణం వేడిగా ఉంది	Today the weather is hot
వర్ష సూచన ఉంది	There is a rain forecast
సూచన చూడండి	Check the forecast
వసంత పూలు వికసించాయి	Spring flowers bloomed
వేసవిలో ఎండ ఎక్కువగా ఉంటుంది	It is very sunny in summer
శరదృతువులో ఆకులు రాలుతాయి	Leaves fall in autumn
శరదృతువు చల్లగా ఉంటుంది	Autumn is cool
చలికాలంలో చలి ఎక్కువ	Cold is more in winter
చలికాలం దుస్తులు వేసుకోండి	Wear winter clothes
నేల పొడిగా ఉంది	The ground is dry
పొడి బ్రష్ వాడండి	Use a dry brush
బట్టలు తడిగా ఉన్నాయి	The clothes are wet
తడి చేతులు తుడుచుకో	Wipe the wet hands
గాలి తేమతో కూడినది	The air is humid
తేమతో కూడిన వాతావరణం ఇబ్బందిగా ఉంది	Humid weather is uncomfortable
నీళ్లు గడ్డకట్టడం ప్రారంభమైంది	Water started freezing
గడ్డకట్టడం వల్ల మంచు వచ్చింది	Snow came due to freezing
ఇది ఏ సీజన్?	Which season is this?
నాకు ఈ సీజన్ ఇష్టం.	I like this season.
పుస్తకాలు కొనండి	Buy books
వారు పండ్లు అమ్ముతారు	They sell fruits
అక్కడ బట్టలు అమ్ముతారు	They sell clothes there
ఇది చాలా చౌక	This is very cheap
ఆ ధర చౌక	That price is cheap
ఇది ఖరీదైన వాచ్	This is an expensive watch
అది ఖరీదైన కారు	That is an expensive car
నగదు తీసుకురండి	Bring cash
నగదు లేదు	There is no cash
కార్డు పనిచేయడం లేదు	The card is not working
కార్డు ఎక్కడ ఉంది?	Where is the card?
దుకాణం తెరిచారు	The shop is open
దుకాణం మూసి ఉంది	The shop is closed
సూపర్ మార్కెట్ పెద్దది	The supermarket is large
సూపర్ మార్కెట్ ఎక్కడ?	Where is the supermarket?
మార్కెట్ కి వెళ్ళండి	Go to the market
మార్కెట్ లో రద్దీగా ఉంది	The market is crowded
మాల్ చాలా బాగుంది	The mall is very good
మాల్ లో సినిమా ఉంది	There is a cinema in the mall
పరిమాణం సరిపోలేదు	The size is not right
సరైన పరిమాణం ఎంచుకోండి	Choose the correct size
ఇది చిన్నది	This is small
చిన్నది బాగుంది	The small one is good
మధ్యస్థ పరిమాణం కావాలి	I want medium size
మధ్యస్థ ధర ఉంది	There is a medium price
పెద్ద ఇల్లు కావాలి	I want a large house
పెద్ద బ్యాగ్ తీసుకోండి	Take a large bag
బిల్లు చెల్లించాలి	Must pay the bill
డబ్బులు చెల్లించాలి	Must pay money
ఎక్కువ ఖర్చు అయ్యింది	It cost a lot
ఖర్చు ఎంత అయ్యింది?	How much was the cost?
వారు డబ్బు ఖర్చు చేస్తారు	They spend money
ఎక్కువ ఖర్చు చేస్తారు	They spend a lot
డబ్బులను సేవ్ చేయండి	Save the money
డబ్బును సేవ్ చేయాలి	Must save money
అమ్మకం లో ఉంది	It is on sale
ఈ అమ్మకం బాగుంది	This sale is good
తగ్గింపు ఉందిగా?	Is there a discount?
తగ్గింపు ఎంత?	How much is the discount?
రసీదు చూపండి	Show the receipt
రసీదు ఎక్కడ ఉంది?	Where is the receipt?
మార్పు ఇవ్వండి	Give the change
మార్పు సరిపోలేదు	The change is not enough
వినియోగదారుడు వచ్చాడు	The customer came
వినియోగదారుడు అడిగారు	The customer asked
సహాయకుడు వచ్చాడు	The assistant came
సహాయకుడు ఎక్కడ ఉన్నారు?	Where is the assistant?
బుట్ట లో పండ్లు ఉన్నాయి	There are fruits in the basket
బుట్ట ఎక్కడ ఉంది?	Where is the basket?
ట్రాలీ తీసుకోండి	Take the trolley
ట్రాలీ లో సామాన్లు ఉన్నాయి	There are things in the trolley
బట్టలు కొనాలి	Must buy clothes
బట్టలు తెరిచారు	They opened the clothes
కొత్త షూ కావాలి	I want new shoes
ఈ షూ బాగుంది	This shoe is good
దీనిని ప్రయత్నించండి	Try this on
బట్టలను ప్రయత్నించండి	Try on the clothes
రంగు ఎంచుకోండి	Choose the color
ఒకటి ఎంచుకోండి	Choose one
బేరం చేయకండి	Don't bargain
బేరం చేయండి	Do bargain
స్టోర్ ఎక్కడ ఉంది?	Where is the store?
నేను స్టోర్ కి వెళ్తాను	I will go to the store
ఆమె చాలా సంతోషంగా ఉంది	She is very happy
నేను ఇప్పుడు సంతోషంగా ఉంది	I am happy now
అతను విచారంగా ఉంది	He is sad
ఆమె ఎందుకు విచారంగా ఉంది	Why is she sad
అతను బాగా అలసిపోయాడు	He got very tired
తాతయ్య అలసిపోయాడు	Grandfather got tired
నాకు ఆకలిగా ఉంది	I am hungry
పిల్లాడికి ఆకలిగా ఉంది	The child is hungry
నాకు దాహం వేసింది	I am thirsty
ఆమెకు దాహం వేసింది	She is thirsty
అతను చాలా ఆందోళన చెందాడు	He got very worried
నాన్న ఆందోళన చెందాడు	Father got worried
అతను ఉత్సాహంగా ఉన్నాడు	He is excited
పిల్లలు ఉత్సాహంగా ఉన్నారు	Children are excited
అతను ఇప్పుడు నీరసం	He is bored now
ఆమె నీరసంగా ఉంది	She is bored
నేను చీకటికి భయపడ్డాను	I was scared of the dark
అతను పాముకు భయపడ్డాను	He was afraid of the snake
నేను ఎలుకకు భయపడ్డాను	I was afraid of the mouse
పిల్లలు కుక్కకు భయపడ్డాను	Children were afraid of the dog
అతను వార్త విని ఆశ్చర్యపోయాడు	He was surprised to hear the news
రాము ఆశ్చర్యపోయాడు	Ramu was surprised
అతను నాడీగా ఉన్నాడు	He is nervous
అతను పరీక్షలో నాడీగా ఉన్నాడు	He is nervous in the exam
ఈ ప్రదేశం ప్రశాంతతగా ఉంది	This place is calm
ఆమె మనసు ప్రశాంతతగా ఉంది	Her mind is calm
నాకు గర్వంగా ఉంది	I am proud
అతనికి తన కొడుకుపై గర్వంగా ఉంది	He is proud of his son
అతనికి అసూయ ఉంది	He has jealousy
అతను అసూయ పడ్డాడు	He felt jealous
ఆమె చాలా పిరికి	She is very shy
అతను పిరికిగా ఉన్నాడు	He is shy
అతను నమ్మకంగా ఉన్నాడు	He is confident
ఆమె నమ్మకంగా మాట్లాడింది	She spoke confidently
అతను అయోమయంలో పడ్డాడు	He got confused
నేను అయోమయంలో పడ్డాడు	I got confused
అతను జబ్బుపడిన వ్యక్తి	He is a sick person
ఆమె జబ్బుపడిన ఆమె	She is a sick woman
అతనికి జరిమానా పడింది	He got a fine
కారుకు జరిమానా పడింది	The car got a fine
అతను చాలా కలత చెందాడు	He got very upset
ఆమె కలత చెందాడు	She got upset
అతను చిరాకుపడ్డాడు	He got annoyed
అమ్మ చిరాకుపడ్డాడు	Mother got annoyed
అతను నిరాశ చెందాడు	He got disappointed
నేను నిరాశ చెందాడు	I got disappointed
అతను ఇబ్బందిపడ్డాడు	He got embarrassed
ఆమె ఇబ్బందిపడ్డాడు	She got embarrassed
అతను ఉపశమనం పొందింది	He felt relieved
ఆమె ఉపశమనం పొందింది	She felt relieved
అతను కృతజ్ఞతతో ఉన్నాడు	He is grateful
నేను కృతజ్ఞతతో ఉన్నాను	I am grateful
నాకు మంచి అనుభూతి వచ్చింది	I had a good feel
అది వింత అనుభూతి	That is a strange feel
అతని మానసిక స్థితి బాగుంది	His mood is good
ఆమె మానసిక స్థితి సరిగా లేదు	Her mood is not good
అది ఒక బలమైన భావోద్వేగం	That is a strong emotion
అతనికి భావోద్వేగం కలిగింది	He felt emotion
ఆ సినిమా బాగుంది	That movie is good
నేను సినిమా చూశాను	I watched a movie
ఈ క్రీడ చాలా కష్టం	This sport is very difficult
నాకు క్రీడ అంటే ఇష్టం	I like sport
చదవడం మంచి అలవాటు	Reading is a good habit
అతనికి చదవడం ఇష్టం	He likes reading
నాకు పెయింటింగ్ ఇష్టం	I like painting
పెయింటింగ్ ఒక కళ	Painting is an art
ఆ డ్రాయింగ్ బాగుంది	That drawing is good
నేను డ్రాయింగ్ నేర్చుకుంటున్నాను	I am learning drawing
ఆమె నృత్యం బాగా చేస్తుంది	She dances well
నృత్యం చాలా అందంగా ఉంది	The dance is very beautiful
వారు పాటలు పాడుతున్నారు	They are singing songs
పిల్లలు పాడుతున్నారు	The children are singing
నాకు వంట చేయడం ఇష్టం	I like cooking
ఈ వంట రుచిగా ఉంది	This cooking is tasty
మా ప్రయాణం బాగుంది	Our travel is good
ప్రయాణం చాలా సరదాగా ఉంది	Travel is very fun
నేను ఈత కొట్టడం నేర్చుకున్నాను	I learned swimming
ఈత కొట్టడం ఆరోగ్యకరం	Swimming is healthy
చేపలు పట్టడం ఒక వ్యాపకం	Fishing is a hobby
అతను చేపలు పట్టడం ఇష్టపడ్డాడు	He liked fishing
హైకింగ్ చాలా కష్టంగా ఉంది	Hiking is very difficult
ఫోటోగ్రఫీ నా ఇష్టం	Photography is my interest
ఫోటోగ్రఫీ చాలా బాగుంది	Photography is very good
మా తోటలో పూలు ఉన్నాయి	There are flowers in our garden
తోట చాలా పెద్దదిగా ఉంది	The garden is very big
అతను స్వచ్ఛంద సేవకుడు	He is a volunteer
స్వచ్ఛంద సేవకుడు సహాయం చేశాడు	The volunteer helped
మా జట్టు గెలిచింది	Our team won
ఈ జట్టు చాలా బలంగా ఉంది	This team is very strong
నీ అభిరుచి ఏమిటి?	What is your hobby?
నాకు సంగీతం అనే అభిరుచి ఉంది	I have a hobby of music
ఈ ఆట సరదాగా ఉంది	This game is fun
మనం సరదాగా గడిపాము	We spent time funnily
మీరు విశ్రాంతి తీసుకోండి	You take rest
జీవితాన్ని ఆనందించండి	Enjoy life
మేము పార్టీని ఆనందించండి	We enjoy the party
ఈ కచేరీ బాగుంది	This concert is good
నేను కచేరీకి వెళ్లాను	I went to the concert
ఇది ఆసక్తికరమైన పుస్తకం	This is an interesting book
కథ చాలా ఆసక్తికరమైనది	The story is very interesting
ఈ సినిమా నీరసం	This movie is boring
పని నీరసం అనిపిస్తుంది	Work feels boring
నాకు ఖాళీ సమయం లేదు	I have no free time
మీ ఖాళీ సమయం ఎప్పుడు?	When is your free time?
వారాంతం చాలా బాగుంది	The weekend is very good
వారాంతం సరదాగా గడిచింది	The weekend passed funnily
పార్టీ ఎక్కడ ఉంది?	Where is the party?
పార్టీ చాలా బాగుంది	The party is very good
కచేరీ ఎప్పుడు మొదలవుతుంది?	When does the concert start?
కచేరీ చాలా పెద్దదిగా ఉంది	The concert is very big
ఆమె ఒక మంచి నర్సు	She is a good nurse
నర్సు ఇక్కడ ఉంది	The nurse is here
ఈ ఔషధం తీసుకోండి	Take this medicine
ఆ ఔషధం ఎక్కడ ఉంది?	Where is that medicine?
ఈ టాబ్లెట్ వేసుకోండి	Take this tablet
టాబ్లెట్ ఇక్కడ ఉంది	The tablet is here
ఆసుపత్రి ఎక్కడ ఉంది?	Where is the hospital?
నేను ఆసుపత్రికి వెళ్తున్నాను	I am going to the hospital
క్లినిక్ మూసి ఉంది	The clinic is closed
క్లినిక్ చాలా చిన్నది	The clinic is very small
నాకు తలనొప్పి ఉంది	I have a headache
తలనొప్పిగా ఉంది	It feels like a headache
నాకు కడుపునొప్పి ఉంది	I have a stomachache
కడుపునొప్పి తగ్గింది	The stomachache decreased
నాకు పంటి నొప్పి ఉంది	I have a toothache
పంటి నొప్పి ఎక్కువగా ఉంది	The toothache is severe
అతనికి జ్వరం ఉంది	He has a fever
జ్వరం తగ్గిందా?	Did the fever go down?
నాకు దగ్గు ఉంది	I have a cough
దగ్గుకు మందు కావాలి	Need medicine for cough
చల్లని నీళ్లు కావాలి	I want cold water
వాతావరణం చాలా చల్లనిగా ఉంది	The weather is very cold
నాకు ఫ్లూ వచ్చింది	I got the flu
ఫ్లూ వల్ల నీరసంగా ఉంది	Feeling weak due to flu
కొంచెం విశ్రాంతి తీసుకోండి	Take some rest
ఇది ఆరోగ్యకరమైన ఆహారం	This is healthy food
ఆరోగ్యకరమైన జీవితం కావాలి	Want a healthy life
పిల్లలు జబ్బుపడినట్లు ఉన్నారు	The children look sick
కాళ్లు బాధించింది	Legs hurt
మనసు నన్ను బాధించింది	The heart hurt me
ఆయన గాయపడ్డారు	He got injured
ఆమె గాయపడ్డారు	She got injured
నాకు నియామకం ఉంది	I have an appointment
నియామకం ఎప్పుడు?	When is the appointment?
తనిఖీ సమయం అయ్యింది	It is check-up time
తనిఖీ ఎక్కడ జరుగుతుంది?	Where does the check-up happen?
ప్రిస్క్రిప్షన్ ఎక్కడుంది?	Where is the prescription?
ప్రిస్క్రిప్షన్ చదవండి	Read the prescription
చికిత్స మొదలైంది	The treatment started
వ్యాయామం చాలా ముఖ్యం	Exercise is very important
ప్రతిరోజూ వ్యాయామం చేయండి	Do exercise every day
విటమిన్ టాబ్లెట్ తీసుకోండి	Take the vitamin tablet
విటమిన్ ఎక్కడ దొరుకుతుంది?	Where can I find vitamin?
టీకా వేయించుకోండి	Get the vaccine
టీకా సమయం అయ్యింది	It is time for the vaccine
అతను త్వరగా కోలుకుంటారు	He will recover quickly
రోగులు త్వరగా కోలుకుంటారు	Patients recover quickly
ఇప్పుడు మంచి అనుభూతి ఉంది	Now it feels better
మీరు మంచి అనుభూతి చెందుతున్నారు	You are feeling better
బ్యాంకు ఎక్కడ ఉంది?	Where is the bank?
నేను బ్యాంకుకు వెళ్తున్నాను.	I am going to the bank.
పోస్టాఫీసు మూసి ఉంది.	The post office is closed.
పోస్టాఫీసు దగ్గర ఆగు.	Stop near the post office.
లైబ్రరీలో పుస్తకాలు ఉన్నాయి.	There are books in the library.
లైబ్రరీ చాలా పెద్దది.	The library is very big.
మ్యూజియం ఎప్పుడు తెరుస్తారు?	When do they open the museum?
మ్యూజియం చూడముచ్చటగా ఉంది.	The museum is wonderful to see.
పార్క్ లో పిల్లలు ఆడుకుంటున్నారు.	Children are playing in the park.
పార్క్ చాలా అందంగా ఉంది.	The park is very beautiful.
విమానాశ్రయం చాలా దూరంలో ఉంది.	The airport is very far.
విమానాశ్రయం లోకి వెళ్ళు.	Go into the airport.
మార్కెట్ లో రద్దీగా ఉంది.	It is crowded in the market.
మార్కెట్ ఎక్కడ ఉంది?	Where is the market?
ఈ వీధి చాలా ఇరుకు.	This street is very narrow.
వీధి చివర ఒక షాపు ఉంది.	There is a shop at the end of the street.
ఈ రహదారి చాలా పొడవు.	This road is very long.
రహదారి మీద జాగ్రత్తగా నడు.	Walk carefully on the road.
వంతెన పాతది.	The bridge is old.
వంతెన మీద వాహనాలు ఉన్నాయి.	There are vehicles on the bridge.
ఆ భవనం చాలా ఎత్తు.	That building is very tall.
భవనం లోపల ఎవరున్నారు?	Who is inside the building?
ఆసుపత్రి దగ్గర ఆగు.	Stop near the hospital.
పాఠశాల ఉదయం ఎనిమిది గంటలకు తెరుస్తారు.	The school opens at eight in the morning.
పాఠశాల దగ్గర ఆగు.	Stop near the school.
రెస్టారెంట్ లో భోజనం చేయి.	Eat food in the restaurant.
ఈ రెస్టారెంట్ చాలా బాగుంది.	This restaurant is very good.
కేఫ్ లో కాఫీ తాగు.	Drink coffee in the café.
నేను కేఫ్ కి వెళ్తున్నాను.	I am going to the café.
హోటల్ రూమ్ ఖాళీగా ఉందా?	Is the hotel room vacant?
హోటల్ ఎక్కడ ఉంది?	Where is the hotel?
చర్చి ఆదివారం రద్దీగా ఉంటుంది.	The church is crowded on Sunday.
చర్చి దగ్గర ఆగు.	Stop near the church.
దేవాలయం లో శాంతి ఉంది.	There is peace in the temple.
దేవాలయం ఎక్కడ ఉంది?	Where is the temple?
మసీదు పక్కన ఒక దుకాణం ఉంది.	There is a shop next to the mosque.
మసీదు కి వెళ్ళు.	Go to the mosque.
సినిమా చాలా బాగుంది.	The cinema is very good.
సినిమా ఎప్పుడు మొదలు అవుతుంది?	When does the cinema start?
థియేటర్ లో రద్దీగా ఉంది.	It is crowded in the theatre.
థియేటర్ ఎక్కడ ఉంది?	Where is the theatre?
దుకాణం మూసి ఉంది.	The shop is closed.
దుకాణం లో పాలు ఉన్నాయి.	There is milk in the shop.
కార్యాలయం ఎక్కడ ఉంది?	Where is the office?
కార్యాలయం లో పని ఉంది.	There is work in the office.
చతురస్రం మధ్యలో విగ్రహం ఉంది.	There is a statue in the middle of the square.
ఈ చతురస్రం చాలా పెద్దది.	This square is very big.
మూలలో ఒక పిల్లి ఉంది.	There is a cat in the corner.
మూలలో ఒక డబ్బా ఉంది.	There is a box in the corner.
సరైన దిశ ఏది?	Which is the correct direction?
దిశ తెలుసుకుని వెళ్ళు.	Find the direction and go.
పటం లో చూడండి.	Look in the map.
నా దగ్గర పటం ఉంది.	I have a map.
ఇక్కడ ఒక మలుపు ఉంది.	There is a turn here.
మలుపు దగ్గర ఆగు.	Stop at the turn.
నేరుగా వెళ్ళండి.	Go straight.
నేరుగా వెళ్ళి ఎడమకు తిరుగు.	Go straight and turn left.
బస్సు ఎక్కడ ఉంది?	Where is the bus?
బస్సు వచ్చింది.	The bus arrived.
రైలు వేగంగా ఉంది.	The train is fast.
రైలు ఎప్పుడు వస్తుంది?	When will the train come?
బైక్ కొత్తది.	The bike is new.
నా బైక్ ఇక్కడ ఉంది.	My bike is here.
టాక్సీ పిలవండి.	Call the taxi.
టాక్సీ చాలా ఖరీదు.	The taxi is very expensive.
విమానం ఆకాశంలో ఉంది.	The plane is in the sky.
విమానం ఎప్పుడు ల్యాండ్ అవుతుంది?	When will the plane land?
విమానం వేగంగా వెళ్తుంది.	The airplane goes fast.
విమానం ఎక్కడ ఉంది?	Where is the airplane?
పడవ చిన్నది.	The boat is small.
పడవ నీటిలో ఉంది.	The boat is in the water.
ఓడ చాలా పెద్దది.	The ship is very big.
ఓడ సముద్రంలో ఉంది.	The ship is in the ocean.
మెట్రో చాలా వేగంగా ఉంది.	The metro is very fast.
నేను మెట్రో ఎక్కుతాను.	I will get on the metro.
టిక్కెట్టు ఎక్కడ ఉంది?	Where is the ticket?
టిక్కెట్టు కొనండి.	Buy the ticket.
వేదిక ఖాళీగా ఉంది.	The platform is empty.
వేదిక ఎక్కడ ఉంది?	Where is the platform?
ప్రయాణం బాగుంది.	The journey is good.
ప్రయాణం ఎప్పుడు మొదలవుతుంది?	When does the journey start?
యాత్ర చాలా బాగుంది.	The trip is very good.
నేను యాత్రకు వెళ్తాను.	I will go on a trip.
డ్రైవర్ చాలా మంచివారు.	The driver is very good.
ప్రయాణీకుడు వేచి ఉన్నాడు.	The passenger is waiting.
ప్రయాణీకుడు టిక్కెట్టు అడిగాడు.	The passenger asked for the ticket.
ట్రాఫిక్ చాలా ఎక్కువగా ఉంది.	The traffic is very heavy.
ట్రాఫిక్ ఇక్కడ ఉంది.	The traffic is here.
ట్రాఫిక్ జామ్ వల్ల ఆలస్యమైంది.	It is late because of the traffic jam.
అక్కడ ట్రాఫిక్ జామ్ ఉంది.	There is a traffic jam there.
ఈ మార్గం సరైనదా?	Is this route correct?
మార్గం చాలా పొడవు.	The route is very long.
పటం ఎక్కడ ఉంది?	Where is the map?
పటం చూడండి.	Look at the map.
నేను డ్రైవ్ చేస్తాను.	I will drive.
డ్రైవ్ చేయడం కష్టం.	Driving is difficult.
ఇది మంచి రైడ్.	This is a good ride.
నేను బైక్ రైడ్ చేస్తాను.	I will ride the bike.
పక్షులు ఎగురుతాయి.	Birds fly.
విమానాలు ఎగురుతాయి.	Planes fly.
బంతిని క్యాచ్ చేయండి.	Catch the ball.
అతను క్యాచ్ మిస్ చేశాడు.	He missed the catch.
నేను బస్సును మిస్ అయ్యాను.	I missed the bus.
అతను మీటింగ్‌ను మిస్ చేశాడు.	He missed the meeting.
వారు ఇప్పుడే చేరుకుంటారు.	They will arrive now.
మేము రేపు చేరుకుంటారు.	We will arrive tomorrow.
బస్సు ఇప్పుడు బయలుదేరు.	The bus departs now.
రైలు ఎప్పుడు బయలుదేరు?	When does the train depart?
రైలు ఆలస్యం అయ్యింది.	The train is delayed.
ఇది చాలా ఆలస్యం.	This is very late.
షెడ్యూల్ ఏమిటి?	What is the schedule?
షెడ్యూల్ మార్చండి.	Change the schedule.
నా వృత్తి చాలా బాగుంది	My career is very good
ఆమె తన వృత్తిలో ఉంది	She is in her career
అతనికి మంచి అనుభవం ఉంది	He has good experience
నాకు ఈ పనిలో అనుభవం లేదు	I have no experience in this work
ఇంటర్వ్యూ ఎప్పుడు మొదలవుతుంది	When does the interview start
ఇంటర్వ్యూ చాలా కష్టంగా ఉంది	The interview was very difficult
నా జీతం తక్కువగా ఉంది	My salary is low
ఆయనకు ఎక్కువ జీతం వచ్చింది	He got a higher salary
ఈరోజు వేతనం చెల్లించారు	The wage was paid today
వేతనం సమయానికి ఇవ్వండి	Give the wage on time
మేనేజర్ గదిలో ఉన్నారు	The manager is in the room
మా మేనేజర్ చాలా మంచివారు	Our manager is very good
నా సహోద్యోగి సహాయం చేశారు	My colleague helped
ఆమె నా సహోద్యోగి	She is my colleague
సమావేశం రేపు జరుగుతుంది	The meeting happens tomorrow
ముఖ్యమైన సమావేశం పూర్తయింది	The important meeting is over
ఈ ప్రాజెక్ట్ చాలా పెద్దది	This project is very big
ప్రాజెక్ట్ పని మొదలైంది	The project work started
గడువు రేపు ముగుస్తుంది	The deadline ends tomorrow
గడువు లోపు పూర్తి చేయండి	Finish before the deadline
నాకు ప్రమోషన్ వచ్చింది	I got a promotion
ప్రమోషన్ కోసం ప్రయత్నించండి	Try for the promotion
కారు కిరాయికి ఇచ్చాను	I gave the car for hire
ఈ ఇంటి కిరాయి ఎంత	What is the hire of this house
అగ్ని ప్రమాదం జరిగింది	A fire accident happened
అగ్ని చాలా వేడిగా ఉంది	The fire is very hot
ఉద్యోగానికి దరఖాస్తు చేయండి	Apply for the job
నేను దరఖాస్తు చేశాను	I applied
శిక్షణ రేపు ప్రారంభమవుతుంది	Training starts tomorrow
శిక్షణ చాలా అవసరం	Training is very necessary
ఆయనకు సంగీత నైపుణ్యం ఉంది	He has a musical skill
నైపుణ్యం పెంచుకోవడం ముఖ్యం	Increasing skill is important
కంప్యూటర్ పునఃప్రారంభం చేయండి	Restart the computer
పునఃప్రారంభం తర్వాత ప్రయత్నించండి	Try after the restart
ఆ జట్టు చాలా బలంగా ఉంది	That team is very strong
ఇది నా బాధ్యత	This is my responsibility
మీ బాధ్యత గుర్తుంచుకోండి	Remember your responsibility
వినియోగదారుడు సంతోషంగా ఉన్నాడు	The customer is happy
వినియోగదారుడు ఫిర్యాదు చేశాడు	The customer complained
క్లయింట్ రేపు వస్తారు	The client will come tomorrow
క్లయింట్ సంతృప్తిగా ఉన్నారు	The client is satisfied
నా కార్యాలయం ఇక్కడ ఉంది	My office is here
పని ప్రదేశం శుభ్రంగా ఉండాలి	The workplace should be clean
పని ప్రదేశం దూరంగా ఉంది	The workplace is far away
ఆయన పదవీ విరమణ చేశారు	He retired
పదవీ విరమణ తర్వాత విశ్రాంతి తీసుకోండి	Take rest after retirement
ఇది పెద్ద సాధించిన విజయం	This is a big achievement
ఆమె సాధించిన విజయం గొప్పది	The achievement she achieved is great
ఆయన మంచి ఉద్యోగి	He is a good employee
కొత్త ఉద్యోగి వచ్చారు	A new employee came
యజమాని ఆదేశించారు	The employer ordered
యజమాని చాలా కఠినంగా ఉన్నారు	The employer is very strict
ఈ విషయం చాలా కష్టం	This subject is very difficult
ఆ విషయం నాకు తెలుసు	I know that subject
ఈ కోర్సు చాలా బాగుంది	This course is very good
మీకు ఏ కోర్సు కావాలి?	Which course do you want?
నాకు డిగ్రీ వచ్చింది	I got the degree
ఆయన డిగ్రీ పూర్తి చేశారు	He completed the degree
విశ్వవిద్యాలయం ఎక్కడ ఉంది?	Where is the university?
పెద్ద విశ్వవిద్యాలయం ఇక్కడ ఉంది	The big university is here
భాష ఒక గొప్ప నైపుణ్యం	Language is a great skill
ఆమెకు సంగీత నైపుణ్యం ఉంది	She has a skill in music
జ్ఞానం శక్తివంతమైనది	Knowledge is powerful
పుస్తకాల్లో జ్ఞానం ఉంటుంది	Knowledge is in books
రోజూ సాధన చేయండి	Practice every day
సాధన ఫలితాన్నిస్తుంది	Practice gives results
పుస్తకాలు భాషను మెరుగుపరుస్తాయి	Books improve the language
మంచి అలవాట్లు జీవితాన్ని మెరుగుపరుస్తాయి	Good habits improve life
నా లక్ష్యం డాక్టర్ అవ్వడం	My goal is to become a doctor
మీ లక్ష్యం ఏమిటి?	What is your goal?
తర్వాతి పాఠం చదవండి	Read the next lesson
హోంవర్క్ పూర్తి చేయండి	Complete the homework
ఆయన హోంవర్క్ మర్చిపోయాడు	He forgot the homework
ఈ వ్యాసం చాలా పెద్దది	This essay is very long
ఒక చిన్న వ్యాసం రాయండి	Write a short essay
ఉపన్యాసం ఇంకా జరగలేదు	The lecture has not happened yet
ఆయన ఉపన్యాసం బాగుంది	His lecture is good
అతడు తెలివైన విద్యార్థి	He is a clever student
నేను ఒక విద్యార్థిని	I am a student
పట్టభద్రుడు ఉద్యోగం వెతుకుతున్నాడు	The graduate is looking for a job
ఆమె ఒక పట్టభద్రుడు	She is a graduate
నాకు స్కాలర్షిప్ వచ్చింది	I got the scholarship
స్కాలర్షిప్ కోసం దరఖాస్తు చేయండి	Apply for the scholarship
ఈ పరిశోధన కొత్తది	This research is new
పరిశోధన చాలా ముఖ్యం	Research is very important
నా బోధకుడు చాలా మంచివారు	My tutor is very good
ఆయన గొప్ప బోధకుడు	He is a great tutor
