ہیلو، آپ کیسے ہیں؟	Hello, how are you?
بچہ بہت بھوکا ہے۔	The child is very hungry.
کتا بھوکا ہے۔	The dog is hungry.
وہ پیاسا ہے۔	He is thirsty.
پیاسا پرندہ پانی پیتا ہے۔	The thirsty bird drinks water.
امی بہت فکر مند ہیں۔	Mother is very worried.
وہ اپنے بھائی کے لیے فکر مند ہے۔	He is worried for his brother.
بچہ بہت پرجوش ہے۔	The child is very excited.
ہم سفر کے لیے پرجوش ہیں۔	We are excited for the trip.
وہ اندھیرے سے خوفزدہ ہے۔	He is scared of the dark.
خوفزدہ بچہ رو رہا ہے۔	The scared child is crying.
کتے سے مت ڈرنا۔	Do not be afraid of the dog.
وہ اکیلے جانے سے ڈرنا چاہتا ہے۔	He wants to be afraid of going alone.
اس کی گھبراہٹ واضح ہے۔	His nervousness is obvious.
اس گھبراہٹ کی وجہ کیا ہے؟	What is the reason for this nervousness?
سمندر بہت پرسکون ہے۔	The ocean is very calm.
آپ کا چہرہ پرسکون ہے۔	Your face is calm.
مجھے اپنے بیٹے پر فخر ہے۔	I am proud of my son.
ہمیں اپنے ملک پر فخر ہے۔	We are proud of our country.
وہ بہت غیرت مند آدمی ہے۔	He is a very proud/honorable man.
غیرت مند لوگ سچ بولتے ہیں۔	Honorable people speak the truth.
وہ آج بہت تنہا ہے۔	He is very lonely today.
پرندہ درخت پر تنہا ہے۔	The bird is lonely on the tree.
لڑکی بہت شرمیلی ہے۔	The girl is very shy.
وہ ایک شرمیلی بچی ہے۔	She is a shy girl.
وہ بہت پراعتماد ہے۔	He is very confident.
پراعتماد لوگ کامیاب ہوتے ہیں۔	Confident people succeed.
میں الجھن میں ہوں۔	I am confused.
وہ فیصلے کے بارے میں الجھن میں ہے۔	He is confused about the decision.
سچ بول کر راحت ملی۔	I felt relieved by speaking the truth.
اسے اب راحت ملی۔	He felt relieved now.
میں آپ کا شکر گزار ہوں۔	I am grateful to you.
وہ اللہ کا شکر گزار ہے۔	He is grateful to Allah.
میں خوشی محسوس کرتا ہوں۔	I feel happiness.
آپ کیا محسوس کرتے ہیں؟	What do you feel?
آج آپ کا مزاج کیسا ہے؟	How is your mood today?
اس کا مزاج اچھا ہے۔	His mood is good.
اپنے جذبات پر قابو رکھو۔	Control your emotions.
یہ انسانی جذبات ہیں۔	These are human emotions.
مجھے موسیقی پسند ہے۔	I like music.
موسیقی بہت خوبصورت ہے۔	Music is very beautiful.
یہ پینٹنگ بہت اچھی ہے۔	This painting is very good.
مجھے پینٹنگ کرنا پسند ہے۔	I like to do painting.
یہ ڈرائنگ بہت سادہ ہے۔	This drawing is very simple.
وہ ڈرائنگ سیکھ رہی ہے۔	She is learning drawing.
کھانا پکانا ایک فن ہے۔	Cooking is an art.
میں کھانا پکانا سیکھتا ہوں۔	I learn cooking.
ماہی گیری ایک صبر کا کام ہے۔	Fishing is a work of patience.
وہ ماہی گیری کے لیے گیا۔	He went for fishing.
پیدل سفر بہت مشکل تھا۔	Hiking was very difficult.
ہم پیدل سفر پر گئے۔	We went hiking.
فوٹو گرافی میرا شوق ہے۔	Photography is my hobby.
اس کی فوٹو گرافی اچھی ہے۔	Her photography is good.
میں ایک رضاکار ہوں۔	I am a volunteer.
وہ ایک اچھا رضاکار ہے۔	He is a good volunteer.
اب آرام کرو۔	Now relax.
تم یہاں آرام کرو۔	You relax here.
زندگی سے لطف اندوز ہوں۔	Enjoy life.
ہم لطف اندوز ہوئے۔	We enjoyed.
میرا فارغ وقت کم ہے۔	My free time is less.
آپ کے فارغ وقت کیا ہے؟	What is your free time?
ہفتے کے آخر میں چھٹی ہے۔	There is a holiday at the weekend.
ہفتے کے آخر میں ملتے ہیں۔	Let's meet at the weekend.
کنسرٹ بہت بڑا تھا۔	The concert was very big.
میں کنسرٹ میں گیا۔	I went to the concert.
یہ دوا کڑوی ہے۔	This medicine is bitter.
دوا لے لو۔	Take the medicine.
ایک گولی کھائیں۔	Eat one tablet.
گولی میز پر ہے۔	The tablet is on the table.
کلینک بند ہے۔	The clinic is closed.
کلینک کہاں ہے؟	Where is the clinic?
مجھے سر درد ہے۔	I have a headache.
سر درد شدید ہے۔	The headache is severe.
اسے پیٹ میں درد ہے۔	He has a stomachache.
پیٹ میں درد کیوں ہے؟	Why is there pain in the stomach?
دانت کا درد بہت ہے۔	The toothache is a lot.
دانت کا درد ختم ہوا۔	The toothache ended.
اسے شدید کھانسی ہے۔	He has a severe cough.
کھانسی کے لیے دوا لیں۔	Take medicine for the cough.
مجھے فلو ہو گیا ہے۔	I have gotten the flu.
فلو کی وجہ سے بخار ہے۔	There is fever because of the flu.
وہ بہت صحت مند ہے۔	He is very healthy.
صحت مند رہنا ضروری ہے۔	Staying healthy is important.
میری انگلی پر چوٹ ہے۔	There is a hurt on my finger.
چوٹ گہری ہے۔	The hurt is deep.
میری تقرری کل ہے۔	My appointment is tomorrow.
تقرری کا وقت کیا ہے؟	What is the appointment time?
چیک اپ ضروری ہے۔	A check-up is necessary.
میرا چیک اپ اچھا تھا۔	My check-up was good.
نسخہ یہاں ہے۔	The prescription is here.
نسخہ پڑھ لیں۔	Read the prescription.
علاج شروع ہو گیا ہے۔	Treatment has started.
علاج مہنگا ہے۔	The treatment is expensive.
وٹامن بہت ضروری ہیں۔	Vitamins are very important.
یہ وٹامن گولی ہے۔	This is a vitamin tablet.
ویکسین کب ملے گی؟	When will the vaccine be available?
ویکسین لگوا لیں۔	Get the vaccine.
آپ کی جلد وصولی ہو۔	May you have a speedy recovery.
بیمار کی وصولی ہو رہی ہے۔	The patient is recovering.
اب آپ بہتر محسوس کریں گے۔	Now you will feel better.
میں بہتر محسوس کریں گا۔	I will feel better.
پوسٹ آفس کہاں ہے؟	Where is the post office?
میں پوسٹ آفس جا رہا ہوں۔	I am going to the post office.
لائبریری بہت بڑی ہے۔	The library is very big.
یہ میری لائبریری ہے۔	This is my library.
میوزیم بند ہے۔	The museum is closed.
ہم میوزیم گئے تھے۔	We went to the museum.
اسٹیشن دور ہے۔	The station is far.
اسٹیشن پر بھیڑ ہے۔	The station is crowded.
یہ ریستوراں اچھا ہے۔	This restaurant is good.
ریستوراں میں کھانا کھائیں۔	Eat food in the restaurant.
کیفے میں کافی پئیں۔	Drink coffee in the café.
وہ کیفے چھوٹا ہے۔	That café is small.
چرچ پر جائیں۔	Go to the church.
یہ پرانا چرچ ہے۔	This is an old church.
مسجد صاف ہے۔	The mosque is clean.
مسجد میں نماز پڑھیں۔	Pray in the mosque.
تھیٹر کہاں ہے؟	Where is the theatre?
تھیٹر میں شور ہے۔	There is noise in the theatre.
یہ ایک بڑا مربع ہے۔	This is a big square.
مربع میں لوگ ہیں۔	There are people in the square.
نقشہ یہاں ہے۔	The map is here.
نقشہ دیکھیں۔	Look at the map.
یہ دائیں موڑ ہے۔	This is a right turn.
اگلا موڑ لیں۔	Take the next turn.
میری موٹر سائیکل نئی ہے۔	My bike is new.
یہ موٹر سائیکل تیز ہے۔	This bike is fast.
ہوائی جہاز اوپر ہے۔	The plane is up.
ایک بڑا ہوائی جہاز دیکھو۔	Look at a big plane.
میرا ہوائی جہاز لیٹ ہے۔	My airplane is late.
ہوائی جہاز بہت تیز ہے۔	The airplane is very fast.
کشتی پانی میں ہے۔	The boat is in the water.
یہ چھوٹی کشتی ہے۔	This is a small boat.
میٹرو بہت تیز ہے۔	The metro is very fast.
میٹرو کہاں ہے؟	Where is the metro?
اسٹیشن بہت بڑا ہے۔	The station is very big.
میں اسٹیشن پر ہوں۔	I am at the station.
پلیٹ فارم نمبر ایک کہاں ہے؟	Where is platform number one?
پلیٹ فارم پر رش ہے۔	The platform is crowded.
ڈرائیور آرام سے چلاؤ۔	Driver, drive slowly.
وہ ایک اچھا ڈرائیور ہے۔	He is a good driver.
مسافر آرام کر رہا ہے۔	The passenger is resting.
ایک مسافر یہاں ہے۔	A passenger is here.
یہ بہت بڑا ٹریفک جام ہے۔	This is a very big traffic jam.
ٹریفک جام کی وجہ سے دیر ہوئی۔	It was late because of the traffic jam.
یہ راستہ بہت لمبا ہے۔	This route is very long.
صحیح راستہ کہاں ہے؟	Where is the correct route?
نقشہ یہاں رکھو۔	Put the map here.
یہ ایک پرانا نقشہ ہے۔	This is an old map.
یہ سواری بہت اچھی ہے۔	This ride is very good.
مجھے سواری پسند ہے۔	I like the ride.
پرواز کب شروع ہوگی؟	When will the fly begin?
پرواز بہت اونچی ہے۔	The fly is very high.
بس پکڑنا مشکل ہے۔	It is hard to catch the bus.
کتا گیند پکڑنا چاہتا ہے۔	The dog wants to catch the ball.
ٹرین ابھی روانہ ہوئی۔	The train just departed.
ہم کل روانہ ہوں گے۔	We will depart tomorrow.
فلائٹ میں تاخیر ہے۔	There is a delay in the flight.
اس تاخیر کی وجہ کیا ہے؟	What is the reason for this delay?
میرا شیڈول بہت مصروف ہے۔	My schedule is very busy.
شیڈول چیک کرو۔	Check the schedule.
میرا کیریئر بہت اچھا ہے۔	My career is very good.
آپ کا کیریئر کیا ہے؟	What is your career?
میری تنخواہ کم ہے۔	My salary is low.
آپ کی تنخواہ کتنی ہے؟	How much is your salary?
یہ روزانہ کی اجرت ہے۔	This is the daily wage.
اجرت وقت پر دیں۔	Give the wage on time.
مینیجر دفتر میں ہے۔	The manager is in the office.
وہ ایک اچھا مینیجر ہے۔	He is a good manager.
میرا ساتھی بہت مددگار ہے۔	My colleague is very helpful.
آپ کا ساتھی کون ہے؟	Who is your colleague?
پروجیکٹ مکمل ہو گیا ہے۔	The project is complete.
یہ ایک بڑا پروجیکٹ ہے۔	This is a big project.
آخری تاریخ کل ہے۔	The deadline is tomorrow.
آخری تاریخ یاد رکھیں۔	Remember the deadline.
اسے فروغ کی ضرورت ہے۔	It needs promotion.
اسے جلد فروغ ملے گا۔	He will get a promotion soon.
گاڑی کرایہ پر لینا چاہتے ہیں۔	They want to hire a car.
کمرہ کرایہ پر لینا ہے۔	The room is to be hired.
اس اصول کو لاگو کریں۔	Apply this rule.
قوانین لاگو کریں۔	Apply the laws.
یہ ایک نئی مہارت ہے۔	This is a new skill.
آپ کی مہارت کیا ہے؟	What is your skill?
کھیل کو دوبارہ شروع کریں۔	Restart the game.
ہمیں اسے دوبارہ شروع کرنا چاہیے۔	We should restart it.
باس بہت سخت ہے۔	The boss is very strict.
میرا باس اچھا آدمی ہے۔	My boss is a good man.
یہ میری ذمہ داری ہے۔	This is my responsibility.
اپنی ذمہ داری سمجھیں۔	Understand your responsibility.
گاہک خوش ہے۔	The customer is happy.
گاہک انتظار کر رہا ہے۔	The customer is waiting.
کلائنٹ کا فون آیا۔	The client called.
میرا کلائنٹ بہت اہم ہے۔	My client is very important.
کام کی جگہ صاف ہے۔	The workplace is clean.
آپ کی کام کی جگہ کہاں ہے؟	Where is your workplace?
وہ اگلے سال ریٹائر ہوں گے۔	He will retire next year.
اب ریٹائر ہونے کا وقت ہے۔	Now is the time to retire.
وہ ایک محنتی ملازم ہے۔	He is a hardworking employee.
نئے ملازم کا استقبال کریں۔	Welcome the new employee.
میرا آجر بہت مہربان ہے۔	My employer is very kind.
آپ کا آجر کون ہے؟	Who is your employer?
موضوع کیا ہے؟	What is the subject?
یہ موضوع مشکل ہے۔	This subject is difficult.
کورس بہت اچھا ہے۔	The course is very good.
میں کورس ختم کر رہا ہوں۔	I am finishing the course.
میری ڈگری مکمل ہوگئی۔	My degree is complete.
آپ کی ڈگری کیا ہے؟	What is your degree?
ہمیں مہارت کی ضرورت ہے۔	We need skill.
اپنی اردو بہتر کریں۔	Improve your Urdu.
اسے بہتر کریں۔	Improve it.
میرا مقصد بڑا ہے۔	My goal is big.
آپ کا مقصد کیا ہے؟	What is your goal?
سبق بہت آسان ہے۔	The lesson is very easy.
آج کا سبق یاد کریں۔	Memorize today's lesson.
مضمون بہت لمبا ہے۔	The essay is very long.
ایک نیا مضمون لکھیں۔	Write a new essay.
پروفیسر کمرے میں ہیں۔	The professor is in the room.
وہ ایک اچھے پروفیسر ہیں۔	He is a good professor.
وہ ایک گریجویٹ ہے۔	He is a graduate.
میں گریجویٹ ہو گیا۔	I graduated.
اسکالرشپ مل گئی۔	The scholarship was received.
اسکالرشپ بہت ضروری ہے۔	Scholarship is very important.
تحقیق جاری ہے۔	Research is ongoing.
یہ تحقیق بہت اہم ہے۔	This research is very important.
میرا ٹیوٹر اچھا ہے۔	My tutor is good.
آپ کا ٹیوٹر کون ہے؟	Who is your tutor?
کیمپس بہت بڑا ہے۔	The campus is very big.
میں کیمپس میں ہوں۔	I am on campus.
ڈپلومہ مل گیا۔	The diploma was received.
یہ میرا ڈپلومہ ہے۔	This is my diploma.
تعلیم سب کے لیے ہے۔	Education is for everyone.
تعلیم بہت ضروری ہے۔	Education is very important.
ہم مل کر سیکھیں۔	Let's learn together.
اسے حفظ کرنا مشکل ہے۔	It is difficult to memorize this.
سبق حفظ کرنا ہے۔	The lesson is to be memorized.
میرا مطالعہ جاری ہے۔	My study is ongoing.
مطالعہ کرنا اچھی عادت ہے۔	Studying is a good habit.
یہ ثقافت بہت قدیم ہے۔	This culture is very old.
ہمیں اپنی ثقافت پر فخر ہے۔	We are proud of our culture.
یہ ایک پرانی روایت ہے۔	This is an old tradition.
وہ اپنی روایت مانتے ہیں۔	They follow their tradition.
یہ ہماری اپنی مرضی کے مطابق رسم ہے۔	This is a custom according to our own will.
وہ اپنی مرضی کے مطابق جیتے ہیں۔	They live according to their own will.
تہوار کا وقت آگیا ہے۔	The time for the festival has come.
میرا پسندیدہ تہوار عید ہے۔	My favorite festival is Eid.
سیاح شہر میں گھوم رہے ہیں۔	Tourists are roaming the city.
وہ ایک مشہور سیاح ہے۔	He is a famous tourist.
میرا رہنما بہت اچھا ہے۔	My guide is very good.
ہمیں ایک رہنما کی ضرورت ہے۔	We need a guide.
یہ ایک خوبصورت یادگار ہے۔	This is a beautiful souvenir.
میں نے ایک یادگار خریدی۔	I bought a souvenir.
وہ بیرون ملک رہتا ہے۔	He lives abroad.
میں بیرون ملک جانا چاہتا ہوں۔	I want to go abroad.
مقامی لوگ بہت مہمان نواز ہیں۔	Local people are very hospitable.
یہ مقامی کھانا بہت لذیذ ہے۔	This local food is very delicious.
میرا پاسپورٹ گم ہو گیا۔	My passport is lost.
آپ اپنا پاسپورٹ دکھائیں۔	Show your passport.
میرا ویزا لگ گیا۔	My visa was issued.
ویزا کے لیے درخواست دیں۔	Apply for the visa.
یہ ایک مشہور تاریخی نشان ہے۔	This is a famous landmark.
شہر میں بہت سے تاریخی نشان ہیں۔	There are many landmarks in the city.
میوزیم آج بند ہے۔	The museum is closed today.
میرا گاؤں بہت چھوٹا ہے۔	My village is very small.
وہ اپنے گاؤں میں رہتا ہے۔	He lives in his village.
نئی جگہ دریافت کریں۔	Explore new places.
ہم نے شہر کو دریافت کریں۔	Let us explore the city.
یہ ماحول بہت پرسکون ہے۔	This environment is very peaceful.
اپنے ماحول کا خیال رکھیں۔	Take care of your environment.
آلودگی ایک بڑا مسئلہ ہے۔	Pollution is a big problem.
شہر میں آلودگی زیادہ ہے۔	There is more pollution in the city.
یہاں کی آب و ہوا اچھی ہے۔	The climate here is good.
آب و ہوا بدل رہی ہے۔	The climate is changing.
سورج توانائی کا ذریعہ ہے۔	The sun is a source of energy.
ہمیں توانائی بچانی چاہیے۔	We should save energy.
پلاسٹک کو ری سائیکل کریں۔	Recycle the plastic.
ہمیں کاغذ ری سائیکل کرنا چاہیے۔	We should recycle paper.
زمین کی حفاظت کریں۔	Protect the earth.
ہمیں جنگلات کی حفاظت کرنی چاہیے۔	We must protect the forests.
زمین ایک خوبصورت سیارہ ہے۔	Earth is a beautiful planet.
یہ کون سا سیارہ ہے؟	Which planet is this?
یہ فضلہ کہاں جائے گا؟	Where will this waste go?
کچرے کا فضلہ کم کریں۔	Reduce garbage waste.
جنگل بہت بڑا ہے۔	The forest is very big.
ہم جنگل میں گئے۔	We went into the forest.
مٹی گیلی ہے۔	The soil is wet.
یہ مٹی زرخیز ہے۔	This soil is fertile.
یہ ایک چھوٹا پلانٹ ہے۔	This is a small plant.
پلانٹ کو پانی دیں۔	Give water to the plant.
گرین ہاؤس میں پودے ہیں۔	There are plants in the greenhouse.
یہ گرین ہاؤس بہت بڑا ہے۔	This greenhouse is very big.
درجہ حرارت بڑھ رہا ہے۔	The temperature is rising.
آج درجہ حرارت کم ہے۔	The temperature is low today.
جنگلی حیات خطرے میں ہے۔	Wildlife is in danger.
ہمیں جنگلی حیات بچانی چاہیے۔	We should save wildlife.
یہ شمسی پینل ہے۔	This is a solar panel.
شمسی توانائی سستی ہے۔	Solar energy is cheap.
ہوا قابل تجدید توانائی ہے۔	Wind is renewable energy.
یہ ذریعہ قابل تجدید ہے۔	This source is renewable.
کاربن کا استعمال کم کریں۔	Reduce the use of carbon.
کاربن کی مقدار زیادہ ہے۔	The amount of carbon is high.
گاڑیوں سے اخراج زیادہ ہے۔	Emissions from cars are high.
کاربن اخراج کو روکیں۔	Stop carbon emission.
یہ بیگ ماحول دوست ہے۔	This bag is eco-friendly.
ہمیں ماحول دوست بننا چاہیے۔	We should be eco-friendly.
میرا لیپ ٹاپ نیا ہے۔	My laptop is new.
یہ لیپ ٹاپ تیز ہے۔	This laptop is fast.
انٹرنیٹ بہت سست ہے۔	The internet is very slow.
انٹرنیٹ یہاں کام کرتا ہے۔	The internet works here.
میرا اسمارٹ فون ٹوٹ گیا۔	My smartphone broke.
نیا اسمارٹ فون خریدیں۔	Buy a new smartphone.
یہ ایک اچھی ایپ ہے۔	This is a good app.
ایپ ڈاؤن لوڈ کریں۔	Download the app.
ویب سائٹ کھولیے	Open the website.
یہ ویب سائٹ مفید ہے۔	This website is useful.
سکرین صاف کریں۔	Clean the screen.
سکرین بہت بڑی ہے۔	The screen is very big.
کی بورڈ کہاں ہے؟	Where is the keyboard?
میرا کی بورڈ خراب ہے۔	My keyboard is broken.
چوہا میز پر ہے۔	The mouse is on the table.
یہ چوہا تیز ہے۔	This mouse is fast.
فائل ڈاؤن لوڈ کریں	Download the file.
پھر ڈاؤن لوڈ کریں	Download again.
تصویر اپ لوڈ کریں	Upload the picture.
جلدی اپ لوڈ کریں	Upload quickly.
ای میل بھیجیں	Send the email.
آپ کی ای میل کہاں ہے؟	Where is your email?
وہ آن لائن ہے۔	He is online.
ہم آن لائن ملیں گے۔	We will meet online.
میں ابھی آف لائن ہوں۔	I am offline right now.
وہ آف لائن چلا گیا۔	He went offline.
پاس ورڈ یاد رکھیں	Remember the password.
میرا پاس ورڈ غلط ہے۔	My password is wrong.
نیٹ ورک کمزور ہے۔	The network is weak.
نیٹ ورک چیک کریں۔	Check the network.
یہ وائرلیس ہے	This is wireless.
وائرلیس ہیڈ فون لائیں	Bring wireless headphones.
یہ ایک چھوٹا آلہ ہے۔	This is a small device.
آلہ کہاں رکھا ہے؟	Where is the device kept?
سافٹ ویئر انسٹال کریں۔	Install the software.
سافٹ ویئر پرانا ہے۔	The software is old.
ہارڈ ویئر مہنگا ہے۔	The hardware is expensive.
ہارڈ ویئر تبدیل کریں۔	Change the hardware.
اپ ڈیٹ شروع کریں۔	Start the update.
نیا اپ ڈیٹ آیا ہے۔	A new update has come.
نام تلاش کریں	Search the name.
گوگل پر تلاش کریں	Search on Google.
یہاں کلک کریں	Click here.
بٹن پر کلک کریں	Click on the button.
سوشل میڈیا استعمال کریں۔	Use social media.
سوشل میڈیا وقت ضائع کرتا ہے۔	Social media wastes time.
یہ ایک ڈیجیٹل گھڑی ہے۔	This is a digital watch.
ڈیجیٹل دنیا بڑی ہے۔	The digital world is big.
میرا ساتھی بہت اچھا ہے	My partner is very good.
میرا پڑوسی بہت مہربان ہے	My neighbour is very kind.
کیا آپ کا پڑوسی یہاں رہتا ہے؟	Does your neighbour live here?
وہ میرا دور کا رشتہ دار ہے	He is a distant relative of mine.
میرا رشتہ دار کل آئے گا	My relative will come tomorrow.
مہمان کا استقبال کریں	Welcome the guest.
میرا ایک مہمان گھر پر ہے	I have a guest at home.
میزبان نے بہت اچھا کھانا بنایا	The host made very good food.
ایک اچھا میزبان مہربان ہوتا ہے	A good host is kind.
ہمارا رشتہ بہت مضبوط ہے	Our relationship is very strong.
یہ ایک پرانا رشتہ ہے	This is an old relationship.
آپ کا اعتماد ضروری ہے	Your trust is important.
ہمیں ایک دوسرے پر اعتماد رکھنا چاہیے	We should trust each other.
بڑوں کا احترام کریں	Respect the elders.
اس کے دل میں سب کے لیے احترام ہے	He has respect for everyone in his heart.
سچے دوست کی حمایت کریں	Support a true friend.
آپ کی حمایت کا شکریہ	Thank you for your support.
بحث کرنا چھوڑ دیں	Stop arguing.
ہم اس بات پر بحث نہ کریں	Let us not argue about this.
میں آپ سے متفق ہوں	I agree with you.
کیا آپ متفق ہیں؟	Do you agree?
میں آپ سے متفق نہیں ہوں	I do not agree with you.
ہم اس بات پر متفق نہیں ہیں	We do not agree on this.
ہماری دوستی بہت پرانی ہے	Our friendship is very old.
سچی دوستی ایک نعمت ہے	True friendship is a blessing.
وہ ایک وفادار کتا ہے	He is a loyal dog.
میرا دوست بہت وفادار ہے	My friend is very loyal.
وہ بہت مددگار انسان ہے	He is a very helpful person.
کیا آپ میری مددگار بن سکتے ہیں؟	Can you be helpful to me?
وہ ایک شائستہ لڑکی ہے	She is a polite girl.
ہمیں شائستہ بات کرنی چاہیے	We should speak politely.
وہ لڑکا بہت بدتمیز ہے	That boy is very rude.
بدتمیز لوگوں سے دور رہیں	Stay away from rude people.
وہ بہت غیرت مند آدمی ہے	He is a very proud/honourable man.
میرا دوست غیرت مند ہے	My friend is honourable.
میرا آپ پر انحصار ہے	I depend on you.
ہمیں اپنے آپ پر انحصار کرنا چاہیے	We should depend on ourselves.
آپ سب کے ساتھ ہو جاؤ	You get along with everyone.
ہمیں ایک ساتھ ہو جانا چاہیے	We should get along.
اپنی کتاب شیئر کریں	Share your book.
کیا آپ یہ شیئر کریں گے؟	Will you share this?
بچوں کی دیکھ بھال کریں	Take care of the children.
میری دیکھ بھال کا شکریہ	Thank you for my care.
میری معذرت قبول کریں	Accept my apology.
کیا آپ اسے قبول کریں گے؟	Will you accept it?
اللہ سب کو معاف کر دیں	May Allah forgive everyone.
براہ کرم مجھے معاف کر دیں	Please forgive me.
خبریں بہت ضروری ہیں۔	News are very important.
یہ تازہ خبریں ہیں۔	These are fresh news.
میگزین میز پر ہے۔	The magazine is on the table.
مجھے یہ میگزین پسند ہے۔	I like this magazine.
مضمون بہت طویل ہے۔	The article is very long.
ایک نیا مضمون پڑھیں۔	Read a new article.
یہ ایک بڑا چینل ہے۔	This is a big channel.
چینل پر خبر دیکھیں۔	Watch news on the channel.
رپورٹر وہاں موجود ہے۔	The reporter is present there.
ایک اچھا رپورٹر بنیں۔	Become a good reporter.
وہ ایک بہادر صحافی ہے۔	He is a brave journalist.
صحافی نے سوال کیا۔	The journalist asked a question.
سرخی بہت دلچسپ ہے۔	The headline is very interesting.
سرخی کو پڑھیں۔	Read the headline.
نشر جلد شروع ہوگی۔	The broadcast will start soon.
یہ ایک لائیو نشر ہے۔	This is a live broadcast.
سوشل میڈیا بہت تیز ہے۔	Social media is very fast.
ٹیلی ویژن بند کریں۔	Turn off the television.
ٹیلی ویژن پر میچ دیکھیں۔	Watch the match on television.
اشتہار بہت رنگین ہے۔	The advertisement is very colorful.
یہ اشتہار نیا ہے۔	This advertisement is new.
سامعین خوش ہیں۔	The audience is happy.
سامعین کی تعداد زیادہ ہے۔	The number of audience is high.
عوامی رائے اہم ہے۔	Public opinion is important.
یہ ایک عوامی مسئلہ ہے۔	This is a public issue.
اپ ڈیٹ چیک کریں۔	Check the update.
تازہ اپ ڈیٹ کیا ہے؟	What is the latest update?
بریکنگ نیوز سنیں۔	Listen to the breaking news.
بریکنگ نیوز بہت اہم ہے۔	Breaking news is very important.
رپورٹ تیار ہے۔	The report is ready.
رپورٹ لکھیں۔	Write the report.
کتاب شائع کریں	Publish the book.
خبر شائع کریں	Publish the news.
وہ ایک مشہور شخصیت ہے۔	He is a celebrity.
مشہور شخصیت یہاں آئی۔	The celebrity came here.
میری خوراک سادہ ہے۔	My diet is simple.
اچھی خوراک ضروری ہے۔	Good diet is necessary.
مجھے سونا پسند ہے۔	I like to sleep.
سونا صحت کے لیے اچھا ہے۔	Sleeping is good for health.
کام کا تناؤ زیادہ ہے۔	Work stress is high.
تناؤ کم کرنا چاہیے۔	Stress should be reduced.
تھوڑا آرام کرو۔	Relax a little.
میرا معمول سخت ہے۔	My routine is strict.
روزانہ کا معمول بدل گیا۔	The daily routine changed.
یہ ایک بری عادت ہے۔	This is a bad habit.
اچھی عادت اپنائیں۔	Adopt a good habit.
متوازن غذا کھائیں۔	Eat a balanced diet.
یہ ایک متوازن ٹیم ہے۔	This is a balanced team.
وہ بہت فعال ہے۔	He is very active.
فعال رہنا ضروری ہے۔	It is important to stay active.
میری طرز زندگی سادہ ہے۔	My lifestyle is simple.
طرز زندگی بدلنی چاہیے۔	Lifestyle should change.
یوگا کرنا سیکھیں۔	Learn to do yoga.
یوگا بہت مفید ہے۔	Yoga is very useful.
مراقبہ سکون دیتا ہے۔	Meditation gives peace.
مراقبہ کرنا شروع کریں۔	Start doing meditation.
اس میں غذائیت ہے؟	Is there nutrition in this?
غذائیت بہت ضروری ہے۔	Nutrition is very important.
پروٹین کہاں سے ملے گا؟	Where will protein be found?
پروٹین زیادہ کھائیں۔	Eat more protein.
اس میں ایک کیلوری ہے۔	There is one calorie in this.
کیلوری گننا مشکل ہے۔	Counting calories is difficult.
مجھ میں توانائی نہیں ہے۔	I have no energy.
توانائی برقرار رکھیں۔	Maintain the energy.
تندرستی اللہ کی نعمت ہے۔	Wellness is a blessing from Allah.
تندرستی کا خیال رکھیں۔	Take care of wellness.
تندرستی کے لیے دوڑیں۔	Run for fitness.
روزانہ تندرستی ضروری ہے۔	Daily fitness is necessary.
پٹھوں میں درد ہے۔	There is pain in the muscles.
پٹھوں کو مضبوط کریں۔	Strengthen the muscles.
چینی کم استعمال کریں۔	Use less sugar.
چینی بہت میٹھی ہے۔	Sugar is very sweet.
تمباکو نوشی چھوڑ دیں۔	Quit smoking.
تمباکو نوشی نقصان دہ ہے۔	Smoking is harmful.
وہ صحت مند ہے۔	He is healthy.
صحت مند رہیں۔	Stay healthy.
وہ بہت مضبوط ہے۔	He is very strong.
اپنی بنیاد مضبوط کریں۔	Make your foundation strong.
یہ معاشرہ بہت مختلف ہے۔	This society is very different.
ہمارا معاشرہ بدل رہا ہے۔	Our society is changing.
یہ ایک بڑا مسئلہ ہے۔	This is a big issue.
مسئلہ حل ہو گیا۔	The issue was solved.
مساوات سب کے لیے ضروری ہے۔	Equality is necessary for all.
ہم مساوات چاہتے ہیں۔	We want equality.
انصاف ہونا چاہیے۔	There should be justice.
انصاف سب کا حق ہے۔	Justice is everyone's right.
یہ نئی پالیسی ہے۔	This is a new policy.
پالیسی واضح ہونی چاہیے۔	The policy should be clear.
ہماری برادری بہت اچھی ہے۔	Our community is very good.
اس برادری میں اتحاد ہے۔	There is unity in this community.
یہ ایک بڑی مہم ہے۔	This is a big campaign.
مہم کامیاب رہی۔	The campaign was successful.
وہ ایک رضاکار ہے۔	He is a volunteer.
رضاکار یہاں موجود ہیں۔	Volunteers are present here.
یہ عطیہ بہت ضروری ہے۔	This donation is very necessary.
عطیہ جمع ہو گیا۔	The donation was collected.
عدم مساوات ایک دکھ ہے۔	Inequality is a sorrow.
عدم مساوات ختم ہونی چاہیے۔	Inequality should end.
امتیاز کرنا غلط ہے۔	Discriminating is wrong.
امتیاز ختم کریں۔	End the discrimination.
تعصب بری چیز ہے۔	Prejudice is a bad thing.
تعصب سے بچیں۔	Avoid prejudice.
فلاح و بہبود ضروری ہے۔	Welfare is necessary.
