#NAME?	#NAME؟
(1) (Japanese) maple	(1) (جاپانی) میپل
Here you go. / Go ahead.	یہ لو۔ / آگے بڑھو۔
Here's your boarding pass. Boarding starts at 9:30.	یہ رہا آپ کا بورڈنگ پاس۔ بورڈنگ 9:30 بجے شروع ہوتی ہے۔
Here's your cappuccino and muffin. Enjoy!	یہ رہا آپ کا کیپوچینو اور مفن۔ لطف اٹھائیں!
Here's your change.	یہ رہی آپ کی تبدیلی۔
Here's your fried rice. Enjoy!	یہ رہے آپ کے تلے ہوئے چاول۔ لطف اٹھائیں!
Hi there!	ہیلو وہاں!
Hi there! Can I help you find something?	ہیلو وہاں! کیا میں آپ کو کچھ تلاش کرنے میں مدد کر سکتا ہوں؟
Hi! What can I get for you today?	ہائے! آج میں آپ کے لیے کیا لے سکتا ہوں؟
His car is very fast.	اس کی گاڑی بہت تیز ہے۔
How about another day?	ایک اور دن کے بارے میں کیا خیال ہے؟
How about this scarf? It comes in many colors.	اس سکارف کے بارے میں کیا خیال ہے؟ یہ بہت سے رنگوں میں آتا ہے۔
How about...?; How is...?	کیسے...؟ کیسا ہے...؟
How are you?	کیسی ہو؟
How did you fix it?	آپ نے اسے کیسے ٹھیک کیا؟
How do you do?	آپ کیسے کرتے ہیں؟
How do you get to work?	آپ کام پر کیسے جاتے ہیں؟
How do you go to school?	آپ اسکول کیسے جاتے ہیں؟
How do you say it in Japanese?	آپ اسے جاپانی میں کیسے کہتے ہیں؟
How far is it from here?	یہ یہاں سے کتنی دور ہے؟
How long does it take?	کتنا وقت لگتا ہے؟
How long have we been waiting?	ہم کب سے انتظار کر رہے ہیں؟
How long have you been learning Japanese?	آپ کب سے جاپانی سیکھ رہے ہیں؟
How many books do you have?	آپ کے پاس کتنی کتابیں ہیں؟
How many brothers do you have?	آپ کے کتنے بھائی ہیں؟
How many children are in the park?	پارک میں کتنے بچے ہیں؟
How many cylindrical objects?	کتنی بیلناکار اشیاء؟
How many days will you stay?	کتنے دن ٹھہرو گے؟
How many people are in your family?	آپ کے خاندان میں کتنے لوگ ہیں؟
How many people came?	کتنے لوگ آئے؟
How many round objects?	کتنی گول اشیاء؟
How many sheets of paper, please?	کاغذ کی کتنی شیٹس، براہ مہربانی؟
How many thin/flat objects?	کتنی پتلی / چپٹی اشیاء؟
How many things?	کتنی چیزیں؟
How much do you spend a month?	آپ ایک مہینے میں کتنا خرچ کرتے ہیں؟
How much does it cost?	اس کی قیمت کتنی ہے؟
How much does this come to?	یہ کتنا آتا ہے؟
How much for two?	دو کے لیے کتنا؟
How much is the fare?	کرایہ کتنا ہے؟
How much is the salary?	تنخواہ کتنی ہے؟
How much is this shirt?	یہ قمیض کتنے کی ہے؟
How much is this?	یہ کتنا ہے؟
How much money do you have?	آپ کے پاس کتنے پیسے ہیں؟
How much money do you need?	آپ کو کتنے پیسے کی ضرورت ہے؟
How much time do we have?	ہمارے پاس کتنا وقت ہے؟
How much water is there?	کتنا پانی ہے؟
How much?	کتنا؟
How old are you?	آپ کی عمر کتنی ہے؟
How was Christmas?	کرسمس کیسا رہا؟
I	میں
I (ego) (boastful first-person pronoun)	میں (انا) (فخر کرنے والا پہلا شخص ضمیر)
I (formal)	میں (رسمی)
I (used by males)	میں (مردوں کے ذریعہ استعمال کیا جاتا ہے)
I (used by men)	میں (مردوں کے ذریعہ استعمال کیا جاتا ہے)
I agree with you.	میں آپ سے متفق ہوں۔
I already ate.	میں پہلے ہی کھا چکا ہوں۔
I am Japanese.	میں جاپانی ہوں۔
I am Mike.	میں مائیک ہوں
I am Tarou.	میں تارو ہوں۔
I am a student.	میں ایک طالب علم ہوں۔
I am a teacher.	میں ایک استاد ہوں۔
I am an engineer.	میں ایک انجینئر ہوں۔
I am at school.	میں سکول میں ہوں۔
I am aware (humble)	میں باخبر ہوں (عاجزی سے)
I am cooking.	میں کھانا بنا رہا ہوں۔
I am dancing.	میں ناچ رہا ہوں۔
I am drinking coffee.	میں کافی پی رہا ہوں۔
I am feeling better now.	میں اب بہتر محسوس کر رہا ہوں۔
I am from India.	میں ہندوستان سے ہوں۔
I am going to the market now.	میں ابھی بازار جا رہا ہوں۔
I am going to visit my grandparents.	میں اپنے دادا دادی سے ملنے جا رہا ہوں۔
I am going to visit my parents next week.	میں اگلے ہفتے اپنے والدین سے ملنے جا رہا ہوں۔
I am heading to the airport.	میں ہوائی اڈے کی طرف جا رہا ہوں۔
I am hungry.	میں بھوکا ہوں
I am learning English.	میں انگریزی سیکھ رہا ہوں۔
I am learning to drive.	میں گاڑی چلانا سیکھ رہا ہوں۔
I am married.	میں شادی شدہ ہوں۔
I am not a teacher.	میں استاد نہیں ہوں۔
I am not angry with you.	میں تم سے ناراض نہیں ہوں۔
I am not going to give up.	میں ہار ماننے والا نہیں ہوں۔
I am not listening to you.	میں آپ کی بات نہیں سن رہا ہوں۔
I am not sure, ...	مجھے یقین نہیں ہے،...
I am reading a book.	میں ایک کتاب پڑھ رہا ہوں۔
I am running.	میں دوڑ رہا ہوں۔
I am singing.	میں گا رہا ہوں
I am sitting on a chair.	میں کرسی پر بیٹھا ہوں۔
I am sleeping.	میں سو رہا ہوں۔
I am standing.	میں کھڑا ہوں۔
I am studying Japanese	میں جاپانی پڑھ رہا ہوں۔
I am studying now.	میں ابھی پڑھ رہا ہوں۔
I am taking a shower now.	میں ابھی نہا رہا ہوں۔
I am taller than you.	میں تم سے اونچا ہوں۔
I am thinking.	میں سوچ رہا ہوں۔
I am thirsty.	میں پیاسا ہوں۔
I am tired after work.	میں کام کے بعد تھک گیا ہوں۔
I am tired today.	میں آج تھک گیا ہوں۔
I am very happy today.	میں آج بہت خوش ہوں۔
I am waiting for a friend.	میں ایک دوست کا انتظار کر رہا ہوں۔
I am walking.	میں چل رہا ہوں۔
I am watching TV.	میں ٹی وی دیکھ رہا ہوں۔
I am working right now.	میں ابھی کام کر رہا ہوں۔
I am working.	میں کام کر رہا ہوں۔
I am...	میں ہوں...
I arrived at the airport.	میں ہوائی اڈے پر پہنچا۔
I ask questions in class.	میں کلاس میں سوال کرتا ہوں۔
I ask the teacher.	میں استاد سے پوچھتا ہوں۔
I ate breakfast.	میں نے ناشتہ کیا۔
I ate one apple.	میں نے ایک سیب کھایا۔
I ate ramen with a friend.	میں نے ایک دوست کے ساتھ رامین کھایا۔
I ate some rice for lunch.	میں نے دوپہر کے کھانے میں کچھ چاول کھائے۔
I ate too much.	میں نے بہت زیادہ کھایا۔
I ate with my family.	میں نے اپنے خاندان کے ساتھ کھانا کھایا۔
I ate with my senior.	میں نے اپنے سینئر کے ساتھ کھانا کھایا۔
I beg your pardon; excuse me	میں آپ سے معافی مانگتا ہوں؛ معاف کیجئے گا
I borrow this book.	میں یہ کتاب ادھار لیتا ہوں۔
I bought a bag.	میں نے ایک بیگ خریدا۔
I bought a book and a pen.	میں نے ایک کتاب اور ایک قلم خریدا۔
I bought a flight ticket to London.	میں نے لندن کے لیے فلائٹ ٹکٹ خریدا۔
I bought it at the convenience store.	میں نے اسے سہولت اسٹور سے خریدا۔
I bought new shoes and clothes.	میں نے نئے جوتے اور کپڑے خریدے۔
I bought one book.	میں نے ایک کتاب خریدی۔
I bought one fish.	میں نے ایک مچھلی خریدی۔
I bought two apples.	میں نے دو سیب خریدے۔
I bought two bicycles.	میں نے دو سائیکلیں خریدیں۔
I bought two pairs of socks.	میں نے جرابوں کے دو جوڑے خریدے۔
I brought a lunch box.	میں لنچ باکس لایا۔
I buy bread.	میں روٹی خریدتا ہوں۔
I buy food and drinks.	میں کھانا اور مشروبات خریدتا ہوں۔
I buy shoes at a shoe shop.	میں جوتے کی دکان سے جوتے خریدتا ہوں۔
I buy stamps at the post office.	میں پوسٹ آفس میں ڈاک ٹکٹ خریدتا ہوں۔
I call my friend.	میں اپنے دوست کو فون کرتا ہوں۔
I call my parents every week.	میں ہر ہفتے اپنے والدین کو فون کرتا ہوں۔
I call my parents.	میں اپنے والدین کو فون کرتا ہوں۔
I called my friend.	میں نے اپنے دوست کو بلایا۔
I came from India.	میں انڈیا سے آیا ہوں۔
I can contact you anytime.	میں آپ سے کسی بھی وقت رابطہ کر سکتا ہوں۔
I can cook.	میں پکا سکتا ہوں۔
I can drink alcohol.	میں شراب پی سکتا ہوں۔
I can drink the water.	میں پانی پی سکتا ہوں۔
I can drive.	میں گاڑی چلا سکتا ہوں۔
I can eat sushi.	میں سشی کھا سکتا ہوں۔
I can eat vegetables.	میں سبزیاں کھا سکتا ہوں۔
I can go to Japan.	میں جاپان جا سکتا ہوں۔
I can hear a voice.	میں ایک آواز سن سکتا ہوں۔
I can play soccer.	میں فٹ بال کھیل سکتا ہوں۔
I can play tennis.	میں ٹینس کھیل سکتا ہوں۔
I can play the guitar.	میں گٹار بجا سکتا ہوں۔
I can play the piano.	میں پیانو بجا سکتا ہوں۔
I can read English.	میں انگریزی پڑھ سکتا ہوں۔
I can read kanji.	میں کانجی پڑھ سکتا ہوں۔
I can ride a bicycle.	میں سائیکل چلا سکتا ہوں۔
I can sing Japanese songs.	میں جاپانی گانے گا سکتا ہوں۔
I can speak Japanese	میں جاپانی بول سکتا ہوں۔
I can speak Japanese.	میں جاپانی بول سکتا ہوں۔
I can speak a little.	میں تھوڑا بول سکتا ہوں۔
I can speak three languages.	میں تین زبانیں بول سکتا ہوں۔
I can speak 「language」.	میں "زبان" بول سکتا ہوں۔
I can swim very well.	میں بہت اچھی تیر سکتی ہوں۔
I can use this computer.	میں یہ کمپیوٹر استعمال کر سکتا ہوں۔
I can use this dictionary.	میں یہ لغت استعمال کر سکتا ہوں۔
I can write kana.	میں کانا لکھ سکتا ہوں۔
I can't afford to buy a car.	میں گاڑی خریدنے کی استطاعت نہیں رکھتا۔
I can't eat very spicy food.	میں زیادہ مسالہ دار کھانا نہیں کھا سکتا۔
I can't find my friend.	مجھے اپنا دوست نہیں مل رہا۔
I can't find my keys.	مجھے اپنی چابیاں نہیں مل رہیں۔
I can't hear you well.	میں آپ کو اچھی طرح سے نہیں سن سکتا۔
I can't hear you.	میں آپ کو سن نہیں سکتا
I can't speak English.	میں انگریزی نہیں بول سکتا۔
I can't speak Japanese well yet.	میں ابھی تک جاپانی اچھی طرح نہیں بول سکتا۔
I carry a bag.	میں ایک بیگ لے کر جاتا ہوں۔
I caught a cold.	مجھے سردی لگ گئی۔
I changed my job last year.	میں نے پچھلے سال اپنی نوکری بدل لی۔
I choose shoes and a hat.	میں جوتے اور ٹوپی کا انتخاب کرتا ہوں۔
I clean my room.	میں اپنا کمرہ صاف کرتا ہوں۔
I clean the desk and the chair.	میں میز اور کرسی صاف کرتا ہوں۔
I clean the house on Sundays.	میں اتوار کو گھر صاف کرتا ہوں۔
I close the door.	میں دروازہ بند کرتا ہوں۔
I come back home at six.	میں چھ بجے گھر واپس آتا ہوں۔
I commute by train every day.	میں ہر روز ٹرین سے سفر کرتا ہوں۔
I completely agree.	میں پوری طرح متفق ہوں۔
I cook dinner for my family.	میں اپنے خاندان کے لیے رات کا کھانا بناتا ہوں۔
I cook dinner.	میں رات کا کھانا بناتا ہوں۔
I cook rice. (make a meal)	میں چاول پکاتا ہوں۔ (کھانا بنائیں)
I cook with my friend.	میں اپنے دوست کے ساتھ کھانا پکاتا ہوں۔
I could help you with that.	میں اس میں آپ کی مدد کر سکتا ہوں۔
I could run fast in my youth.	میں اپنی جوانی میں تیز دوڑ سکتا تھا۔
I could swim when I was five.	جب میں پانچ سال کا تھا تو میں تیر سکتا تھا۔
I couldn't sleep last night.	میں کل رات سو نہیں سکا۔
I couldn't sleep much.	میں زیادہ سو نہیں سکتا تھا۔
I cut bread with a knife.	میں نے چاقو سے روٹی کاٹ لی۔
I cut my hair.	میں نے اپنے بال کاٹ دیئے۔
I cut paper with scissors.	میں نے کینچی سے کاغذ کاٹا۔
I did my homework last night.	میں نے کل رات اپنا ہوم ورک کیا۔
I didn't do my homework.	میں نے اپنا ہوم ورک نہیں کیا۔
I didn't go shopping yesterday.	میں کل شاپنگ کرنے نہیں گیا تھا۔
I didn't see him.	میں نے اسے نہیں دیکھا۔
I didn't sleep well.	مجھے اچھی طرح نیند نہیں آئی۔
I didn't understand.	میں سمجھ نہیں پایا۔
I disagree completely.	میں مکمل طور پر متفق نہیں ہوں۔
I dislike it	میں اسے ناپسند کرتا ہوں۔
I dislike it.	میں اسے ناپسند کرتا ہوں۔
I do laundry twice a week.	میں ہفتے میں دو بار لانڈری کرتا ہوں۔
I do my homework.	میں اپنا ہوم ورک کرتا ہوں۔
I do not know	میں نہیں جانتا
I do research at university.	میں یونیورسٹی میں تحقیق کرتا ہوں۔
I do the laundry.	میں لانڈری کرتا ہوں۔
I don't care.	مجھے کوئی پرواہ نہیں
I don't drink alcohol.	میں شراب نہیں پیتا۔
I don't drink coffee.	میں کافی نہیں پیتا۔
I don't eat meat.	میں گوشت نہیں کھاتا۔
I don't eat much meat.	میں زیادہ گوشت نہیں کھاتا۔
I don't eat sushi.	میں سشی نہیں کھاتا۔
I don't exercise every day.	میں ہر روز ورزش نہیں کرتا۔
I don't have a phone.	میرے پاس فون نہیں ہے۔
I don't have any money.	میرے پاس پیسے نہیں ہیں۔
I don't have enough money.	میرے پاس اتنے پیسے نہیں ہیں۔
I don't have many questions.	میرے پاس زیادہ سوالات نہیں ہیں۔
I don't have much experience.	میرے پاس زیادہ تجربہ نہیں ہے۔
I don't have much time.	میرے پاس زیادہ وقت نہیں ہے۔
I don't have time today.	آج میرے پاس وقت نہیں ہے۔
I don't have time.	میرے پاس وقت نہیں ہے۔
I don't have to work tomorrow.	مجھے کل کام نہیں کرنا ہے۔
I don't intend to study.	میرا مطالعہ کرنے کا ارادہ نہیں ہے۔
I don't know (humble)	میں نہیں جانتا (عاجزی)
I don't know yet.	میں ابھی تک نہیں جانتا
I don't know.	میں نہیں جانتا
I don't like cats.	مجھے بلیاں پسند نہیں ہیں۔
I don't like cold weather.	مجھے سرد موسم پسند نہیں ہے۔
I don't like green tea.	مجھے سبز چائے پسند نہیں۔
I don't like that idea.	مجھے یہ خیال پسند نہیں ہے۔
I don't open the window.	میں کھڑکی نہیں کھولتا۔
I don't pick up unknown numbers.	میں نامعلوم نمبر نہیں اٹھاتا۔
I don't smoke.	میں سگریٹ نہیں پیتا
I don't think it's good.	مجھے نہیں لگتا کہ یہ اچھا ہے۔
I don't think so.	مجھے ایسا نہیں لگتا۔
I don't understand	میں سمجھا نہیں
I don't understand at all	میں بالکل نہیں سمجھتا
I don't understand the meaning of this.	مجھے اس کا مطلب سمجھ نہیں آتا۔
I don't understand this lesson.	مجھے یہ سبق سمجھ نہیں آتا۔
I don't understand this.	مجھے یہ بات سمجھ نہیں آتی۔
I don't understand well.	میں اچھی طرح نہیں سمجھتا۔
I don't understand, please say it again.	مجھے سمجھ نہیں آئی، براہ کرم دوبارہ کہیں۔
I don't understand.	میں سمجھا نہیں
I don't want any soup.	مجھے کوئی سوپ نہیں چاہیے۔
I don't want any trouble.	میں کوئی پریشانی نہیں چاہتا۔
I don't want cola.	مجھے کولا نہیں چاہیے۔
I don't watch TV.	میں ٹی وی نہیں دیکھتا۔
I don't work today.	میں آج کام نہیں کرتا۔
I drank coffee at a cafe.	میں نے ایک کیفے میں کافی پیی۔
I drank too much coffee.	میں نے بہت زیادہ کافی پی لی۔
I drank too much.	میں نے بہت زیادہ پیا۔
I drank water and rested.	میں نے پانی پیا اور آرام کیا۔
I draw a picture.	میں تصویر کھینچتا ہوں۔
I drew one picture.	میں نے ایک تصویر کھینچی۔
I drink coffee during break.	میں وقفے کے دوران کافی پیتا ہوں۔
I drink coffee in the morning.	میں صبح کافی پیتا ہوں۔
I drink coffee.	میں کافی پیتا ہوں۔
I drink tea at a cafe.	میں ایک کیفے میں چائے پیتا ہوں۔
I drink tea in the morning.	صبح چائے پیتا ہوں۔
I eat a lot of vegetables.	میں سبزیاں بہت کھاتا ہوں۔
I eat a meal and watch TV.	میں کھانا کھاتا ہوں اور ٹی وی دیکھتا ہوں۔
I eat at a restaurant.	میں ایک ریستوراں میں کھاتا ہوں۔
I eat bread and drink coffee.	میں روٹی کھاتا ہوں اور کافی پیتا ہوں۔
I eat bread and eggs in the morning.	میں صبح روٹی اور انڈے کھاتا ہوں۔
I eat breakfast and go to school.	میں ناشتہ کرتا ہوں اور اسکول جاتا ہوں۔
I eat breakfast at 8.	میں 8 بجے ناشتہ کرتا ہوں۔
I eat sukiyaki.	میں سوکیاکی کھاتا ہوں۔
I eat sushi.	میں سوشی کھاتا ہوں۔
I eat with my family.	میں اپنے خاندان کے ساتھ کھانا کھاتا ہوں۔
I eat yam and rice.	میں شکرقندی اور چاول کھاتا ہوں۔
I ended up forgetting my keys.	میں اپنی چابیاں بھول گیا۔
I enjoy listening to music.	مجھے موسیقی سننے میں مزہ آتا ہے۔
I enjoy reading at night.	مجھے رات کو پڑھنا اچھا لگتا ہے۔
I enjoy reading books.	مجھے کتابیں پڑھنے کا مزہ آتا ہے۔
I entered an empty room.	میں ایک خالی کمرے میں داخل ہوا۔
I exercise at home.	میں گھر پر ورزش کرتا ہوں۔
I exercise every day.	میں ہر روز ورزش کرتا ہوں۔
I feel calm now.	میں اب پرسکون محسوس کر رہا ہوں۔
I feel confident.	مجھے اعتماد محسوس ہوتا ہے۔
I feel embarrassed.	مجھے شرمندگی محسوس ہوتی ہے۔
I feel good.	مجھے اچھا لگتا ہے۔
I feel grateful.	میں شکر گزار محسوس کرتا ہوں۔
I feel heartbroken.	مجھے دل ٹوٹا ہوا محسوس ہوتا ہے۔
I feel honored / sorry	مجھے اعزاز / افسوس محسوس ہوتا ہے۔
I feel much better now.	میں اب بہت بہتر محسوس کر رہا ہوں۔
I feel relieved now.	میں اب راحت محسوس کر رہا ہوں۔
I feel relieved.	میں راحت محسوس کرتا ہوں۔
I feel sad.	مجھے دکھ ہوتا ہے۔
I feel sick.	میں بیمار محسوس کرتا ہوں۔
I feel very sick.	میں بہت بیمار محسوس کر رہا ہوں۔
I finished my homework.	میں نے اپنا ہوم ورک ختم کیا۔
I finished work and went home.	میں کام ختم کر کے گھر چلا گیا۔
I forgot my charger.	میں اپنا چارجر بھول گیا۔
I forgot my keys at home.	میں اپنی چابیاں گھر میں بھول گیا۔
I forgot my notebook.	میں اپنی نوٹ بک بھول گیا۔
I forgot my wallet.	میں اپنا پرس بھول گیا۔
I found a coin on the street.	مجھے سڑک پر ایک سکہ ملا۔
I gave a presentation today.	میں نے آج ایک پریزنٹیشن دی۔
I gave a presentation.	میں نے پریزنٹیشن دی۔
I get up at 6 in the morning.	میں صبح 6 بجے اٹھتا ہوں۔
I get up at 8 o'clock.	میں 8 بجے اٹھتا ہوں۔
I give a present to my daughter.	میں اپنی بیٹی کو تحفہ دیتا ہوں۔
I go back home.	میں گھر واپس چلا جاتا ہوں۔
I go by bicycle.	میں سائیکل سے جاتا ہوں۔
I go by bus.	میں بس سے جاتا ہوں۔
I go by plane flying in the sky.	میں آسمان میں اڑتے ہوائی جہاز سے جاتا ہوں۔
I go down.	میں نیچے جاتا ہوں۔
I go out tomorrow morning.	میں کل صبح باہر جا رہا ہوں۔
I go out.	میں باہر جاتا ہوں۔
I go that way.	میں اس طرف جاتا ہوں۔
I go to Japan in March.	میں مارچ میں جاپان جاتا ہوں۔
I go to Kyoto tomorrow.	میں کل کیوٹو جاؤں گا۔
I go to Tokyo.	میں ٹوکیو جاتا ہوں۔
I go to bed around eleven.	میں گیارہ کے قریب بستر پر جاتا ہوں۔
I go to my friend's house to play.	میں کھیلنے کے لیے اپنے دوست کے گھر جاتا ہوں۔
I go to school by bicycle.	میں سائیکل پر سکول جاتا ہوں۔
I go to school late.	میں اسکول دیر سے جاتا ہوں۔
I go to school.	میں سکول جاتا ہوں۔
I go to sleep around 11.	میں 11 کے قریب سونے جاتا ہوں۔
I go to the gym three times a week.	میں ہفتے میں تین بار جم جاتا ہوں۔
I go to the library to borrow a book.	میں ایک کتاب ادھار لینے لائبریری جاتا ہوں۔
I go to the mountains.	میں پہاڑوں پر جاتا ہوں۔
I go to the park on Sunday.	میں اتوار کو پارک جاتا ہوں۔
I go to the sea.	میں سمندر میں جاتا ہوں۔
I go to the station.	میں اسٹیشن جاتا ہوں۔
I go to the supermarket every day.	میں ہر روز سپر مارکیٹ جاتا ہوں۔
I go to town to shop.	میں شاپنگ کرنے شہر جاتا ہوں۔
I go to work at the company.	میں کمپنی میں کام پر جاتا ہوں۔
I go to work by bus.	میں بس سے کام پر جاتا ہوں۔
I go to work by train.	میں ٹرین سے کام پر جاتا ہوں۔
I go to work.	میں کام پر جاتا ہوں۔
I go up.	میں اوپر جاتا ہوں۔
I got a salary raise.	مجھے تنخواہ میں اضافہ ملا۔
I got an email.	مجھے ایک ای میل ملا۔
I got hurt.	مجھے چوٹ لگی۔
I got injured.	میں زخمی ہو گیا۔
I got married last year.	میری شادی پچھلے سال ہوئی۔
I got on the wrong bus.	میں غلط بس میں چڑھ گیا۔
I got rained on (lit. was rained on by rain).	I get rained on (lit. was rained on by rain)۔
I got separated from my child.	میں اپنے بچے سے الگ ہو گیا۔
I got the teacher to lend me a book.	مجھے ایک کتاب دینے کے لیے استاد ملا۔
I got wet in the rain.	میں بارش میں بھیگ گیا۔
I graduated last year.	میں نے پچھلے سال گریجویشن کیا تھا۔
I graduated.	میں نے گریجویشن کیا۔
I had finished my homework when she came.	جب وہ آئی تو میں اپنا ہوم ورک ختم کر چکا تھا۔
I had my hair cut yesterday.	میں نے کل اپنے بال کٹوائے تھے۔
I had never felt so happy.	میں نے کبھی اتنی خوشی محسوس نہیں کی تھی۔
I had never seen the ocean before that day.	میں نے اس دن سے پہلے کبھی سمندر نہیں دیکھا تھا۔
I had seen that place in a dream.	میں نے وہ جگہ خواب میں دیکھی تھی۔
I had two slices of cake.	میرے پاس کیک کے دو ٹکڑے تھے۔
I hadn't realized how late it was.	مجھے اندازہ نہیں تھا کہ کتنی دیر ہو چکی ہے۔
I have a bag and a backpack.	میرے پاس ایک بیگ اور ایک بیگ ہے۔
I have a boyfriend.	میرا ایک بوائے فرینڈ ہے۔
I have a car.	میرے پاس کار ہے۔
I have a cat.	میرے پاس ایک بلی ہے۔
I have a dog named Max.	میرے پاس میکس نام کا کتا ہے۔
I have a dog.	میرے پاس ایک کتا ہے۔
I have a dream, I want to become a doctor.	میرا ایک خواب ہے، میں ڈاکٹر بننا چاہتا ہوں۔
I have a fever.	مجھے بخار ہے۔
I have a girlfriend.	میری ایک گرل فرینڈ ہے۔
I have a headache.	میرے سر میں درد ہے۔
I have a lot of homework.	میرے پاس بہت زیادہ ہوم ورک ہے۔
I have a meeting at ten.	میری دس بجے میٹنگ ہے۔
I have a meeting.	میری میٹنگ ہے۔
I have a question.	میرا ایک سوال ہے۔
I have a reservation.	میرے پاس ریزرویشن ہے۔
I have a savings account.	میرے پاس سیونگ اکاؤنٹ ہے۔
I have a toothache.	مجھے دانت میں درد ہے۔
I have a younger sister.	میری ایک چھوٹی بہن ہے۔
I have an idea.	میرے پاس ایک آئیڈیا ہے۔
I have an older brother.	میرا ایک بڑا بھائی ہے۔
I have been feeling tired all week.	میں سارا ہفتہ تھکا ہوا محسوس کر رہا ہوں۔
I have been practicing the piano every day.	میں ہر روز پیانو کی مشق کر رہا ہوں۔
I have been reading this novel for weeks.	میں یہ ناول ہفتوں سے پڑھ رہا ہوں۔
I have been studying English since 2021.	میں 2021 سے انگریزی پڑھ رہا ہوں۔
I have been thinking about your offer.	میں آپ کی پیشکش کے بارے میں سوچ رہا ہوں۔
I have been to Japan.	میں جاپان گیا ہوں۔
I have been very busy lately.	میں حال ہی میں بہت مصروف رہا ہوں۔
I have been waiting for an hour.	میں ایک گھنٹے سے انتظار کر رہا ہوں۔
I have been working here for five years.	میں یہاں پانچ سال سے کام کر رہا ہوں۔
I have bread and coffee for breakfast.	میرے پاس ناشتے کے لیے روٹی اور کافی ہے۔
I have bread and milk for breakfast.	میرے پاس ناشتے میں روٹی اور دودھ ہے۔
I have breakfast at eight.	میں آٹھ بجے ناشتہ کرتا ہوں۔
I have eaten sushi before.	میں نے پہلے بھی سشی کھائی ہے۔
I have just finished my work.	میں نے ابھی اپنا کام ختم کیا ہے۔
I have lived here for ten years.	میں یہاں دس سال سے مقیم ہوں۔
I have lived here since 2019.	میں یہاں 2019 سے مقیم ہوں۔
I have lost my keys.	میں نے اپنی چابیاں کھو دی ہیں۔
I have lunch at my desk.	میں اپنی میز پر دوپہر کا کھانا کھا رہا ہوں۔
I have many friends.	میرے بہت سے دوست ہیں۔
I have never seen it.	میں نے اسے کبھی نہیں دیکھا۔
I have never seen such a beautiful sunset.	اتنا خوبصورت غروب آفتاب میں نے کبھی نہیں دیکھا۔
I have no money.	میرے پاس پیسے نہیں ہیں۔
I have no time	میرے پاس وقت نہیں ہے۔
I have no time.	میرے پاس وقت نہیں ہے۔
I have received / understood	میں نے حاصل / سمجھ لیا ہے۔
I have seen this movie before.	میں نے یہ فلم پہلے دیکھی ہے۔
I have some friends in Tokyo.	ٹوکیو میں میرے کچھ دوست ہیں۔
I have some money.	میرے پاس کچھ پیسے ہیں۔
I have time.	میرے پاس وقت ہے۔
I have to finish this today.	مجھے آج اسے ختم کرنا ہے۔
I have to get up early.	مجھے جلدی اٹھنا ہے۔
I have to study for the exam.	مجھے امتحان کے لیے پڑھنا ہے۔
I have two brothers.	میرے دو بھائی ہیں۔
I have two children.	میرے دو بچے ہیں۔
I have visited Japan twice.	میں دو بار جاپان جا چکا ہوں۔
I haven't been sleeping well lately.	مجھے حال ہی میں اچھی نیند نہیں آ رہی ہے۔
I haven't eaten today.	میں نے آج کھانا نہیں کھایا۔
I haven't eaten yet.	میں نے ابھی تک کھانا نہیں کھایا۔
I haven't seen him since last year.	میں نے اسے پچھلے سال سے نہیں دیکھا۔
I head toward the station.	میں اسٹیشن کی طرف بڑھتا ہوں۔
I heard good news.	میں نے اچھی خبر سنی۔
I hope to see you soon.	میں جلد ہی آپ سے ملنے کی امید کرتا ہوں۔
I humbly receive (said before eating)	میں نے عاجزی سے قبول کیا (کھانے سے پہلے کہا)
I intend to go to Japan next week.	میں اگلے ہفتے جاپان جانے کا ارادہ رکھتا ہوں۔
I invited (them) to a meal.	میں نے (انہیں) کھانے پر مدعو کیا۔
I just ate.	میں نے ابھی کھایا۔
I keep sneezing.	مجھے چھینکیں آتی رہتی ہیں۔
I know	میں جانتا ہوں
I know his name.	میں اس کا نام جانتا ہوں۔
I know the answer.	میں جواب جانتا ہوں۔
I leave home at 8.	میں 8 بجے گھر سے نکلتا ہوں۔
I leave home at eight.	میں آٹھ بجے گھر سے نکلتا ہوں۔
I left a message.	میں نے ایک پیغام چھوڑا۔
I like Japan.	مجھے جاپان پسند ہے۔
I like cats.	مجھے بلیاں پسند ہیں۔
I like flowers and music.	مجھے پھول اور موسیقی پسند ہے۔
I like it	مجھے یہ پسند ہے۔
I like manga.	مجھے منگا پسند ہے۔
I like playing with rabbits.	مجھے خرگوش کے ساتھ کھیلنا پسند ہے۔
I like sushi more than yakiniku.	مجھے یاکینیکو سے زیادہ سشی پسند ہے۔
I like sushi, but it's expensive.	مجھے سشی پسند ہے، لیکن یہ مہنگا ہے۔
I like sushi.	مجھے سشی پسند ہے۔
I like swimming in the sea.	مجھے سمندر میں تیرنا پسند ہے۔
I like the morning walk.	مجھے صبح کی سیر پسند ہے۔
I like walking more than shopping.	مجھے شاپنگ سے زیادہ پیدل جانا پسند ہے۔
I listen to English podcasts.	میں انگریزی پوڈ کاسٹ سنتا ہوں۔
I listen to Japanese CDs.	میں جاپانی سی ڈیز سنتا ہوں۔
I listen to music.	میں موسیقی سنتا ہوں۔
I live in Delhi.	میں دہلی میں رہتا ہوں۔
