ನಮಸ್ಕಾರ, ನೀವು ಹೇಗಿದ್ದೀರಾ?	Hello, how are you?
ಇಂದಿನ ತಾಪಮಾನ ಎಷ್ಟು	What is the temperature today
ಹವಾಮಾನ ಬದಲಾಗಿದೆ	The weather has changed
ಹವಾಮಾನ ಚೆನ್ನಾಗಿದೆ	The weather is good
ಮುನ್ಸೂಚನೆ ಸರಿಯಿಲ್ಲ	The forecast is not correct
ಮಳೆ ಮುನ್ಸೂಚನೆ ಇದೆ	There is a rain forecast
ಇದು ಯಾವ ಋತು	Which season is this
ವಸಂತ ಬಂದಿದೆ	Spring has come
ವಸಂತ ಕಾಲ ಸುಂದರ	Spring season is beautiful
ಬೇಸಿಗೆಯಲ್ಲಿ ರಜೆ ಇದೆ	There is a holiday in summer
ಬೇಸಿಗೆಗೆ ಬಿಸಿಲು ಜಾಸ್ತಿ	Summer has more sun
ಶರತ್ಕಾಲದ ಬೆಳಕು ಚೆನ್ನಾಗಿದೆ	The autumn light is nice
ಶರತ್ಕಾಲ ಶುರುವಾಯಿತು	Autumn has started
ಚಳಿಗಾಲ ಬಂದಿದೆ	Winter has come
ಗಾಳಿ ಶುಷ್ಕ ಇದೆ	The air is dry
ಇದು ಶುಷ್ಕ ಪ್ರದೇಶ	This is a dry area
ಬಟ್ಟೆ ತೇವ ಇದೆ	The cloth is wet
ತೇವ ಮಣ್ಣಿನ ವಾಸನೆ	The smell of wet soil
ಇಲ್ಲಿ ಆರ್ದ್ರ ವಾತಾವರಣ	It is a humid atmosphere
ಆರ್ದ್ರತೆ ಜಾಸ್ತಿ ಇದೆ	Humidity is high
ನೀರು ಘನೀಕರಿಸುವ ಹಂತದಲ್ಲಿದೆ	Water is at freezing point
ಘನೀಕರಿಸುವ ಚಳಿ ಇದೆ	It is freezing cold
ಈ ಮನೆ ಮಾರಾಟ ಇಲ್ಲ	This house is not for sale
ಈ ಪುಸ್ತಕದ ಬೆಲೆ ಎಷ್ಟು?	What is the price of this book?
ಅಲ್ಲಿ ಬೆಲೆ ತುಂಬಾ ಕಡಿಮೆ	The price is very low there
ಇದು ಅಗ್ಗದ ಬಟ್ಟೆ	This is cheap cloth
ಅಕ್ಕಿ ಅಗ್ಗದ ಆಗಿದೆ	Rice has become cheap
ಆ ಮನೆ ತುಂಬಾ ದುಬಾರಿ	That house is very expensive
ದುಬಾರಿ ಕಾರು ನನಗೆ ಬೇಡ	I don't want an expensive car
ನನ್ನ ಹತ್ತಿರ ನಗದು ಇಲ್ಲ	I don't have cash
ನಗದು ಪಾವತಿ ಮಾಡಿ	Make cash payment
ನನ್ನ ಕಾರ್ಡ್ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ	My card is not working
ಕಾರ್ಡ್ ಪಾವತಿ ಸಾಧ್ಯವೇ?	Is card payment possible?
ಈ ಅಂಗಡಿ ತೆರೆದಿದೆ	This shop is open
ಅಂಗಡಿ ಎಲ್ಲಿದೆ?	Where is the shop?
ಅಂಗಡಿ ಮುಚ್ಚಿದೆ	The shop is closed
ಅಕ್ಕಪಕ್ಕದ ಅಂಗಡಿ ದೊಡ್ಡದು	The nearby shop is big
ಸೂಪರ್ಮಾರ್ಕೆಟ್ ತುಂಬಾ ದೂರವಿದೆ	The supermarket is very far
ನಾನು ಸೂಪರ್ಮಾರ್ಕೆಟ್ ಗೆ ಹೋಗುವೆ	I will go to the supermarket
ಮಾರುಕಟ್ಟೆ ತುಂಬಾ ಗಿಜಿಗಿಜಿ ಇದೆ	The market is very crowded
ಮಾರುಕಟ್ಟೆ ಬೆಲೆ ಜಾಸ್ತಿ ಇದೆ	Market price is high
ಈ ಮಾಲ್ ಹೊಸದು	This mall is new
ನಾವು ಮಾಲ್ ಗೆ ಹೋದೆವು	We went to the mall
ಇದರ ಗಾತ್ರ ಎಷ್ಟು?	What is its size?
ಗಾತ್ರ ಸರಿಯಾಗಿ ಇಲ್ಲ	The size is not right
ಇದು ಸಣ್ಣ ಮನೆ	This is a small house
ಸಣ್ಣ ಮಗು ಅಳುತ್ತಿದೆ	The small child is crying
ಇದು ಮಧ್ಯಮ ಗಾತ್ರದ ಬಟ್ಟೆ	This is medium size cloth
ಅವನು ಮಧ್ಯಮ ಎತ್ತರದವನು	He is of medium height
ಅದು ದೊಡ್ಡದು ಮತ್ತು ಕೆಂಪು	That is large and red
ನನಗೆ ದೊಡ್ಡದು ಬೇಕು	I want a large one
ಬೆಲೆ ಪಾವತಿಸಿ	Pay the price
ಇದರ ಒಟ್ಟು ವೆಚ್ಚ ಎಷ್ಟು?	What is the total cost of this?
ವೆಚ್ಚ ತುಂಬಾ ಜಾಸ್ತಿ ಆಯ್ತು	The cost became too high
ಅವರು ಹೆಚ್ಚು ಖರ್ಚು ಮಾಡುತ್ತಾರೆ	They spend more
ನಾನು ಹಣ ಖರ್ಚು ಮಾಡುತ್ತಾರೆ	I spend money
ಸ್ವಲ್ಪ ಹಣ ಉಳಿಸಿ	Save some money
ನಾನು ಹಣ ಉಳಿಸಿ ಇಟ್ಟುಕೊಂಡೆ	I saved the money
ಇಂದು ಮಾರಾಟ ಇದೆ	There is a sale today
ಬಟ್ಟೆ ಮಾರಾಟ ನಡೆಯುತ್ತಿದೆ	Clothes sale is going on
ಇಲ್ಲಿ ರಿಯಾಯಿತಿ ಇದೆಯೇ?	Is there a discount here
ರಿಯಾಯಿತಿ ತುಂಬಾ ಕಡಿಮೆ ಇದೆ	The discount is very low
ರಶೀದಿ ತೋರಿಸಿ	Show the receipt
ರಶೀದಿ ಇಲ್ಲ	There is no receipt
ನನಗೆ ಸ್ವಲ್ಪ ಬದಲಾವಣೆ ಬೇಕು	I need some change
ಚಿಕ್ಕ ಬದಲಾವಣೆ ನೀಡಿ	Give small change
ಗ್ರಾಹಕರು ಕಾಯುತ್ತಿದ್ದಾರೆ	The customers are waiting
ಒಬ್ಬ ಹೊಸ ಗ್ರಾಹಕ ಬಂದಿದ್ದಾನೆ	A new customer has come
ಸಹಾಯಕ ಸಹಾಯ ಮಾಡುತ್ತಾರೆ	The assistant helps
ಸಹಾಯಕ ಇಲ್ಲ	There is no assistant
ಬುಟ್ಟಿ ತುಂಬಾ ಭಾರವಾಗಿದೆ	The basket is very heavy
ಬುಟ್ಟಿ ಎಲ್ಲಿದೆ?	Where is the basket?
ಟ್ರಾಲಿ ಇಲ್ಲಿದೆ	The trolley is here
ಟ್ರಾಲಿ ತಗೆದುಕೊಿ	Take the trolley
ಈ ಶೂ ಚೆನ್ನಾಗಿದೆ	This shoe is good
ಹೊಸ ಶೂ ಖರೀದಿಸಿ	Buy new shoes
ಇದನ್ನು ಪ್ರಯತ್ನಿಸಿ	Try this on
ನಾನು ಪ್ರಯತ್ನಿಸಿ ನೋಡುವೆ	I will try and see
ನಿಮ್ಮ ಆಯ್ಕೆ ಯಾವುದು?	What is your choice?
ಒಂದು ಆಯ್ಕೆ ಮಾಡಿ	Make one choice
ದಯವಿಟ್ಟು ಹಿಂತಿರುಗಿ	Please return
ಅವನು ಈಗ ಹಿಂತಿರುಗಿ ಬಂದನು	He returned now
ಚೌಕಾಸಿ ಮಾಡುವುದು ನನಗೆ ಗೊತ್ತು	I know how to bargain
ಬೆಲೆ ಚೌಕಾಸಿ ಮಾಡಬೇಡಿ	Do not bargain the price
ಅವಳು ತುಂಬಾ ಸಂತೋಷವಾಗಿದೆ	She is very happy
ನಾನು ಈಗ ಸಂತೋಷವಾಗಿದೆ	I am happy now
ಅವನಿಗೆ ತುಂಬಾ ದುಃಖ	He has much sadness
ಇದು ದೊಡ್ಡ ದುಃಖ	This is a great sadness
ಅವನು ತುಂಬಾ ಕೋಪಗೊಂಡ	He became very angry
ಅಮ್ಮ ಈಗ ಕೋಪಗೊಂಡ	Mother became angry now
ನನ್ನ ದೇಹ ಸುಸ್ತಾಗಿದೆ	My body is tired
ಅವಳು ತುಂಬಾ ಸುಸ್ತಾಗಿದೆ	She is very tired
ಮಗು ಹಸಿದಿದೆ	The baby is hungry
ನಾಯಿ ಹಸಿದಿದೆ	The dog is hungry
ಅವಳು ಬಾಯಾರಿದ ಹುಡುಗಿ	She is a thirsty girl
ಅವನು ಬಾಯಾರಿದ ವ್ಯಕ್ತಿ	He is a thirsty man
ಅವನು ಚಿಂತಿತನಾದ ವ್ಯಕ್ತಿ	He is a worried man
ಅವಳು ಚಿಂತಿತನಾದ ಹುಡುಗಿ	She is a worried girl
ಅವನಿಗೆ ತುಂಬಾ ಹರ್ಷ	He has much excitement
ನಮಗೆ ತುಂಬಾ ಹರ್ಷ	We have much excitement
ನನಗೆ ಬೇಸರವಾಯಿತು	I became bored
ಅವನಿಗೆ ಬೇಸರವಾಯಿತು	He became bored
ಅವಳಿಗೆ ಭಯವಾಯಿತು	She became scared
ನನಗೆ ತುಂಬಾ ಭಯವಾಯಿತು	I became very scared
ಅವರು ಬೆಕ್ಕನ್ನು ಹೆದರುತ್ತಾರೆ	They are afraid of the cat
ಮಕ್ಕಳು ಕತ್ತಲನ್ನು ಹೆದರುತ್ತಾರೆ	Children are afraid of the dark
ನನಗೆ ಆಶ್ಚರ್ಯವಾಯಿತು	I was surprised
ಅವನಿಗೆ ಆಶ್ಚರ್ಯವಾಯಿತು	He was surprised
ಅವನು ನರ ವ್ಯಕ್ತಿ	He is a nervous person
ಅವಳು ನರ ಹುಡುಗಿ	She is a nervous girl
ಅವಳು ಶಾಂತ ವ್ಯಕ್ತಿ	She is a calm person
ಇಲ್ಲಿ ಎಲ್ಲವೂ ಶಾಂತ	Everything is calm here
ನನಗೆ ನಿನ್ನ ಮೇಲೆ ಹೆಮ್ಮೆ	I am proud of you
ಅವನಿಗೆ ತನ್ನ ಕೆಲಸದ ಮೇಲೆ ಹೆಮ್ಮೆ	He is proud of his work
ಅವನಿಗೆ ಹೊಟ್ಟೆಕಿಚ್ಚು ಇದೆ	He has jealousy
ಅವಳಿಗೆ ತುಂಬಾ ಹೊಟ್ಟೆಕಿಚ್ಚು	She has much jealousy
ಅವಳು ಏಕಾಂಗಿ ಹುಡುಗಿ	She is a lonely girl
ಅವನು ಏಕಾಂಗಿ ವ್ಯಕ್ತಿ	He is a lonely man
ಅವಳು ನಾಚಿಕೆ ಹುಡುಗಿ	She is a shy girl
ನನಗೆ ತುಂಬಾ ನಾಚಿಕೆ	I have much shyness
ಅವನಿಗೆ ಆತ್ಮವಿಶ್ವಾಸ ಇದೆ	He has confidence
ನನಗೆ ಆತ್ಮವಿಶ್ವಾಸ ಇದೆ	I have confidence
ಅವನು ಗೊಂದಲದಲ್ಲಿ ಇದ್ದಾನೆ	He is in confusion
ಅವಳು ಗೊಂದಲದಲ್ಲಿ ಇದ್ದಾಳೆ	She is in confusion
ಅವನಿಗೆ ಅನಾರೋಗ್ಯ ಇದೆ	He has sickness
ಅವಳಿಗೆ ಅನಾರೋಗ್ಯ ಇದೆ	She has sickness
ಅವನು ಶ್ರೇಷ್ಠ ವ್ಯಕ್ತಿ	He is a great man
ಇದು ಶ್ರೇಷ್ಠ ಕೆಲಸ	This is a great work
ಅವನಿಗೆ ಅಸಮಾಧಾನ ಇದೆ	He has dissatisfaction
ಅವಳಿಗೆ ಅಸಮಾಧಾನ ಇದೆ	She has dissatisfaction
ಅವನು ಸಿಟ್ಟಾದ ವ್ಯಕ್ತಿ	He is an annoyed man
ಅವಳು ಸಿಟ್ಟಾದ ಹುಡುಗಿ	She is an annoyed girl
ಅವನಿಗೆ ನಿರಾಶೆಯಾಯಿತು	He became disappointed
ನನಗೆ ನಿರಾಶೆಯಾಯಿತು	I became disappointed
ಅವನಿಗೆ ಮುಜುಗರವಾಯಿತು	He became embarrassed
ನನಗೆ ಮುಜುಗರವಾಯಿತು	I became embarrassed
ಅವನಿಗೆ ಸಮಾಧಾನವಾಯಿತು	He became relieved
ನನಗೆ ಸಮಾಧಾನವಾಯಿತು	I became relieved
ನಾವು ಕೃತಜ್ಞರಾಗಿರಬೇಕು	We must be grateful
ನೀವು ಕೃತಜ್ಞರಾಗಿರಬೇಕು	You must be grateful
ನನಗೆ ಸುಖ ಅನಿಸುತ್ತದೆ	I feel happy
ಅವನಿಗೆ ಸುಖ ಅನಿಸುತ್ತದೆ	He feels happy
ಅವನ ಮನಸ್ಥಿತಿ ಚೆನ್ನಾಗಿದೆ	His mood is good
ನನ್ನ ಮನಸ್ಥಿತಿ ಚೆನ್ನಾಗಿದೆ	My mood is good
ಇದು ಒಂದು ಭಾವನೆ	This is an emotion
ಪ್ರೀತಿ ಒಂದು ಭಾವನೆ	Love is an emotion
ನನಗೆ ಸಂಗೀತ ಇಷ್ಟ	I like music
ಸಂಗೀತ ತುಂಬಾ ಸುಮಧುರ	Music is very sweet
ಈ ಹಾಡು ಚೆನ್ನಾಗಿದೆ	This song is good
ಆ ಹಾಡು ಕೇಳು	Listen to that song
ಈ ಚಲನಚಿತ್ರ ದೊಡ್ಡದು	This movie is big
ಒಂದು ಹೊಸ ಚಲನಚಿತ್ರ ನೋಡಿ	Watch a new movie
ಒಂದು ಹಳೆಯ ಚಿತ್ರ ನೋಡಿ	Watch an old film
ಚಿತ್ರ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ	The film is very good
ಕ್ರೀಡೆ ಆರೋಗ್ಯಕ್ಕೆ ಒಳ್ಳೆಯದು	Sport is good for health
ನಿಮ್ಮ ನೆಚ್ಚಿನ ಕ್ರೀಡೆ ಯಾವುದು?	Which is your favorite sport?
ಪುಸ್ತಕ ಓದುವುದು ಒಳ್ಳೆಯ ಹವ್ಯಾಸ	Reading books is a good hobby
ನನಗೆ ಓದುವುದು ಇಷ್ಟ	I like reading
ಚಿತ್ರಕಲೆ ಒಂದು ಕಲೆ	Painting is an art
ಅವಳ ಚಿತ್ರಕಲೆ ಅದ್ಭುತ	Her painting is wonderful
ಈ ರೇಖಾಚಿತ್ರ ಸರಳವಾಗಿದೆ	This drawing is simple
ನನಗೆ ರೇಖಾಚಿತ್ರ ಇಷ್ಟ	I like drawing
ನೃತ್ಯ ನನಗೆ ಇಷ್ಟ	I like dancing
ಅವಳು ನೃತ್ಯ ಮಾಡುತ್ತಾಳೆ	She is dancing
ಹಾಡುವುದು ಒಂದು ಕಲೆ	Singing is an art
ನನಗೆ ಹಾಡುವುದು ಇಷ್ಟ	I like singing
ಅಮ್ಮ ಅಡುಗೆ ಮಾಡುತ್ತಾಳೆ	Mother is cooking
ಅಡುಗೆ ಮನೆಯಲ್ಲಿ ಇಲ್ಲ	The cooking is not in the kitchen
ಪ್ರಯಾಣ ಮಾಡುವುದು ಖುಷಿ	Traveling is joy
ನನ್ನ ಪ್ರಯಾಣ ಚೆನ್ನಾಗಿತ್ತು	My travel was good
ಈಜು ಕಲಿಯುವುದು ಸುಲಭ	Learning swimming is easy
ಅವನು ಈಜು ಮಾಡುತ್ತಾನೆ	He is swimming
ಮೀನುಗಾರಿಕೆ ಒಂದು ಹವ್ಯಾಸ	Fishing is a hobby
ನನಗೆ ಮೀನುಗಾರಿಕೆ ಇಷ್ಟ	I like fishing
ಪಾದಯಾತ್ರೆ ತುಂಬಾ ಕಷ್ಟ	Hiking is very difficult
ನಾವು ಪಾದಯಾತ್ರೆ ಮಾಡೋಣ	Let us go hiking
ಛಾಯಾಗ್ರಹಣ ಒಂದು ಕಲೆ	Photography is an art
ನನ್ನ ಛಾಯಾಗ್ರಹಣ ನೋಡಿ	Look at my photography
ಉದ್ಯಾನ ತುಂಬಾ ದೊಡ್ಡದು	The garden is very big
ಈ ಉದ್ಯಾನ ಸುಂದರವಾಗಿದೆ	This garden is beautiful
ಅವನು ಒಬ್ಬ ಸ್ವಯಂಸೇವಕ	He is a volunteer
ನಾನು ಸ್ವಯಂಸೇವಕನಾಗಿ ಕೆಲಸ ಮಾಡುವೆ	I will work as a volunteer
ನಿಮ್ಮ ಹವ್ಯಾಸ ಏನು?	What is your hobby?
ಓದುವುದು ನನ್ನ ಹವ್ಯಾಸ	Reading is my hobby
ಇದು ತುಂಬಾ ವಿನೋದ	This is very fun
ನಮಗೆ ವಿನೋದ ಬೇಕು	We want fun
ನನಗೆ ವಿಶ್ರಾಂತಿ ಬೇಕು	I need relax
ಜೀವನವನ್ನು ಆನಂದಿಸಿ	Enjoy the life
ಈ ಕ್ಷಣವನ್ನು ಆನಂದಿಸಿ	Enjoy this moment
ಕಥೆ ಆಸಕ್ತಿದಾಯಕವಾಗಿದೆ	The story is interesting
ಇದು ಆಸಕ್ತಿದಾಯಕ ಪುಸ್ತಕ	This is an interesting book
ಸಭೆಯು ತುಂಬಾ ನೀರಸ	The meeting is very boring
ಈ ಪಾಠ ನೀರಸವಾಗಿದೆ	This lesson is boring
ನನ್ನ ಉಚಿತ ಸಮಯ ಕಡಿಮೆ	My free time is less
ನಿಮ್ಮ ಉಚಿತ ಸಮಯ ಯಾವಾಗ?	When is your free time?
ವಾರಾಂತ್ಯದಲ್ಲಿ ನಾವು ಹೋಗೋಣ	Let us go on the weekend
ವಾರಾಂತ್ಯವು ಸಂತೋಷದ ಸಮಯ	The weekend is a happy time
ಹುಟ್ಟುಹಬ್ಬದ ಪಕ್ಷ ದೊಡ್ಡದು	The birthday party is big
ಪಕ್ಷಕ್ಕೆ ಎಲ್ಲರೂ ಬನ್ನಿ	Everyone come to the party
ಸಂಗೀತ ಕಚೇರಿ ಚೆನ್ನಾಗಿತ್ತು	The concert was good
ಅವಳು ಸಂಗೀತ ಕಚೇರಿಯಲ್ಲಿ ಹಾಡುತ್ತಾಳೆ	She sings in the concert
ವೈದ್ಯರು ಇಲ್ಲಿ ಇದ್ದಾರೆ	The doctor is here
ವೈದ್ಯರು ಒಳ್ಳೆಯವರು	The doctor is good
ದಾದಿ ಬಂದಿದ್ದಾರೆ	The nurse has come
ದಾದಿ ಸಹಾಯ ಮಾಡುತ್ತಾರೆ	The nurse helps
ಔಷಧ ತೆಗೆದುಕೊಳ್ಳಿ	Take the medicine
ಈ ಔಷಧ ಉತ್ತಮ	This medicine is good
ಟ್ಯಾಬ್ಲೆಟ್ ಸೇವಿಸಿ	Take the tablet
ಟ್ಯಾಬ್ಲೆಟ್ ಇಲ್ಲ	There is no tablet
ಆಸ್ಪತ್ರೆ ದೂರವಿದೆ	The hospital is far
ಆಸ್ಪತ್ರೆ ದೊಡ್ಡದಾಗಿದೆ	The hospital is big
ಕ್ಲಿನಿಕ್ ಎಲ್ಲಿದೆ?	Where is the clinic?
ಕ್ಲಿನಿಕ್ ಮುಚ್ಚಿದೆ	The clinic is closed
ನನಗೆ ನೋವು ಇದೆ	I have pain
ನೋವು ಕಡಿಮೆ ಆಯ್ತು	The pain decreased
ತಲೆನೋವು ಇದೆ	There is a headache
ತಲೆನೋವು ಜಾಸ್ತಿ ಇದೆ	The headache is severe
ಹೊಟ್ಟೆನೋವು ಇದೆ	There is a stomachache
ಹೊಟ್ಟೆನೋವು ಕಡಿಮೆ ಆಯ್ತು	The stomachache decreased
ಹಲ್ಲುನೋವು ತುಂಬಾ ಇದೆ	The toothache is a lot
ಹಲ್ಲುನೋವು ಕಡಿಮೆ ಮಾಡು	Reduce the toothache
ಅವನಿಗೆ ಜ್ವರ ಇದೆ	He has a fever
ಜ್ವರ ಇಂದಿಲ್ಲ	There is no fever now
ನನಗೆ ಕೆಮ್ಮು ಇದೆ	I have a cough
ಕೆಮ್ಮು ಹೋಗಲಿಲ್ಲ	The cough did not go
ಶೀತ ಜಾಸ್ತಿ ಇದೆ	The cold is severe
ಅವಳಿಗೆ ಜ್ವರ ಇದೆ	She has a fever
ಜ್ವರ ಬಂದಿದೆ	The fever has come
ವಿಶ್ರಾಂತಿ ತಗೊಳ್ಳಿ	Take some rest
ವಿಶ್ರಾಂತಿ ಬೇಕು	Rest is needed
ಆರೋಗ್ಯಕರ ಆಹಾರ ಸೇವಿಸಿ	Eat healthy food
ಇದು ಆರೋಗ್ಯಕರ	This is healthy
ಅವನು ಅನಾರೋಗ್ಯ ಪಡಿದ್ದಾನೆ	He is sick
ಅನಾರೋಗ್ಯದಿಂದ ಮಲಗಿದ್ದೆ	I lay down due to sickness
ಕೈ ನೋವಾಯಿತು	The hand hurt
ಕಾಲು ನೋವಾಯಿತು	The leg hurt
ಅವರು ಗಾಯಗೊಂಡಿದ್ದಾರೆ	They are injured
ಅವನು ಗಾಯಗೊಂಡಿದ್ದಾರೆ	He is injured
ನೇಮಕಾತಿ ಇದೆ	There is an appointment
ನೇಮಕಾತಿ ಯಾವಾಗ?	When is the appointment?
ತಪಾಸಣೆ ಮಾಡಿಸಿ	Get a check-up
ತಪಾಸಣೆ ಮುಗಿಯಿತು	The check-up finished
ಪ್ರಿಸ್ಕ್ರಿಪ್ಷನ್ ಎಲ್ಲಿದೆ?	Where is the prescription?
ಪ್ರಿಸ್ಕ್ರಿಪ್ಷನ್ ತಗೆದುಕೊ	Take the prescription
ಚಿಕಿತ್ಸೆ ಶುರುವಾಯಿತು	The treatment started
ಚಿಕಿತ್ಸೆ ಅಗತ್ಯವಿದೆ	Treatment is necessary
ಸಲಹೆ ಕೇಳಿ	Ask for advice
ನಿಮ್ಮ ಸಲಹೆ ಏನು?	What is your advice?
ವ್ಯಾಯಾಮ ಮಾಡಿ	Do exercise
ದಿನಕ್ಕೆ ವ್ಯಾಯಾಮ ಬೇಕು	Daily exercise is needed
ವಿಟಮಿನ್ ಮುಖ್ಯ	Vitamin is important
ವಿಟಮಿನ್ ಮಾತ್ರೆ ಸೇವಿಸಿ	Take the vitamin tablet
ಲಸಿಕೆ ತೆಗೆದುಕೊಳ್ಳಿ	Take the vaccine
ಲಸಿಕೆ ಅಗತ್ಯವಿದೆ	Vaccine is necessary
ಬೇಗ ಚೇತರಿಸಿಕೊಳ್ಳಿ	Recover quickly
ಇಂದು ಉತ್ತಮ ಭಾವನೆ	Feeling better today
ಅವಳು ಉತ್ತಮ ಭಾವನೆ	She feels better
ಬ್ಯಾಂಕ್ ಎಲ್ಲಿದೆ?	Where is the bank?
ಬ್ಯಾಂಕ್ ಇಂದು ಮುಚ್ಚಿದೆ.	The bank is closed today.
ಅಂಚೆ ಕಛೇರಿ ಹತ್ತಿರವಿದೆ.	The post office is nearby.
ಅಂಚೆ ಕಛೇರಿಗೆ ಹೋಗಿ.	Go to the post office.
ಗ್ರಂಥಾಲಯದಲ್ಲಿ ಪುಸ್ತಕಗಳಿವೆ.	There are books in the library.
ನಾನು ಗ್ರಂಥಾಲಯಕ್ಕೆ ಹೋಗುವೆ.	I will go to the library.
ವಸ್ತುಸಂಗ್ರಹಾಲಯ ತುಂಬಾ ದೊಡ್ಡದು.	The museum is very big.
ವಸ್ತುಸಂಗ್ರಹಾಲಯ ಎಲ್ಲಿದೆ?	Where is the museum?
ಉದ್ಯಾನವನ ಸುಂದರವಾಗಿದೆ.	The park is beautiful.
ಮಕ್ಕಳು ಉದ್ಯಾನವನದಲ್ಲಿದ್ದಾರೆ.	Children are in the park.
ನಿಲ್ದಾಣ ಎಲ್ಲಿದೆ?	Where is the station?
ಬಸ್ ನಿಲ್ದಾಣಕ್ಕೆ ಹೋಗಿ.	Go to the bus station.
ವಿಮಾನ ನಿಲ್ದಾಣ ದೂರವಿದೆ.	The airport is far away.
ವಿಮಾನ ನಿಲ್ದಾಣ ಎಲ್ಲಿದೆ?	Where is the airport?
ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಹಣ್ಣುಗಳಿವೆ.	There are fruits in the market.
ಮಾರುಕಟ್ಟೆಗೆ ಹೋಗೋಣ.	Let's go to the market.
ಬೀದಿ ತುಂಬಾ ಕಿರಿದಾಗಿದೆ.	The street is very narrow.
ಈ ಬೀದಿ ಎಲ್ಲಿದೆ?	Where is this street?
ರಸ್ತೆ ತುಂಬಾ ಉದ್ದವಾಗಿದೆ.	The road is very long.
ರಸ್ತೆಯಲ್ಲಿ ವಾಹನಗಳಿವೆ.	There are vehicles on the road.
ಸೇತುವೆ ತುಂಬಾ ಹಳೆಯದು.	The bridge is very old.
ಸೇತುವೆ ಮೇಲೆ ಹೋಗಿ.	Go over the bridge.
ಕಟ್ಟಡ ತುಂಬಾ ಎತ್ತರವಾಗಿದೆ.	The building is very tall.
ಹೊಸ ಕಟ್ಟಡ ಎಲ್ಲಿದೆ?	Where is the new building?
ಆಸ್ಪತ್ರೆ ಎಲ್ಲಿದೆ?	Where is the hospital?
ಆಸ್ಪತ್ರೆಗೆ ಹೋಗಿ.	Go to the hospital.
ಶಾಲೆ ಮುಗಿದಿದೆ.	School is over.
ನಾನು ಶಾಲೆಗೆ ಹೋಗುವೆ.	I go to school.
ರೆಸ್ಟೋರೆಂಟ್ ಎಲ್ಲಿದೆ?	Where is the restaurant?
ರೆಸ್ಟೋರೆಂಟ್‌ನಲ್ಲಿ ಆಹಾರ ಚೆನ್ನಾಗಿದೆ.	The food in the restaurant is good.
ಕೆಫೆ ಎಲ್ಲಿದೆ?	Where is the café?
ಆ ಕೆಫೆ ಚೆನ್ನಾಗಿದೆ.	That café is nice.
ಹೋಟೆಲ್ ಎಲ್ಲಿದೆ?	Where is the hotel?
ಹೋಟೆಲ್‌ನಲ್ಲಿ ರೂಮ್ ಇದೆಯೇ?	Is there a room in the hotel?
ಚರ್ಚ್ ಹತ್ತಿರವಿದೆ.	The church is nearby.
ಚರ್ಚ್‌ಗೆ ಹೋಗಿ.	Go to the church.
ದೇವಸ್ಥಾನದಲ್ಲಿ ಜನ 많ಿದ್ದಾರೆ.	There are many people in the temple.
ದೇವಸ್ಥಾನ ಎಲ್ಲಿದೆ?	Where is the temple?
ಮಸೀದಿ ಎಲ್ಲಿದೆ?	Where is the mosque?
ಮಸೀದಿಗೆ ಹೋಗಿ.	Go to the mosque.
ಸಿನಿಮಾ ಚೆನ್ನಾಗಿದೆ.	The cinema is good.
ಸಿನಿಮಾ ಎಲ್ಲಿದೆ?	Where is the cinema?
ರಂಗಭೂಮಿ ದೊಡ್ಡದಾಗಿದೆ.	The theatre is big.
ರಂಗಭೂಮಿಗೆ ಹೋಗೋಣ.	Let's go to the theatre.
ಅಂಗಡಿಯಲ್ಲಿ ಹಾಲು ಇದೆ.	There is milk in the shop.
ಈ ಚೌಕ ದೊಡ್ಡದಾಗಿದೆ.	This square is big.
ಚೌಕದಲ್ಲಿ ಜನರು ಇದ್ದಾರೆ.	There are people in the square.
ಮೂಲೆಯಲ್ಲಿ ಒಂದು ಅಂಗಡಿ ಇದೆ.	There is a shop in the corner.
ಮೂಲೆಯಲ್ಲಿ ನಿಲ್ಲಿ.	Stand in the corner.
ನಿರ್ದೇಶನ ಸರಿಯಾಗಿ ಇಲ್ಲ.	The direction is not correct.
ನಿರ್ದೇಶನ ತೋರಿಸಿ.	Show the direction.
ನಕ್ಷೆ ಎಲ್ಲಿದೆ?	Where is the map?
ನಕ್ಷೆ ನೋಡಿ.	Look at the map.
ಬಲಕ್ಕೆ ತಿರುಗಿ.	Turn right.
ಇಲ್ಲಿ ತಿರುಗಿ.	Turn here.
ಬಸ್ ಬಂದಿತು	The bus came
ಬಸ್ ದೊಡ್ಡದು	The bus is big
ರೈಲು ವೇಗವಾಗಿದೆ	The train is fast
ರೈಲು ಬಂದಿದೆ	The train has arrived
ಕಾರು ಹೊಸದು	The car is new
ನನ್ನ ಕಾರು ಕೆಂಪು	My car is red
ಬೈಕ್ ನಿಲ್ಲಿಸಿ	Stop the bike
ಅವನ ಬೈಕ್ ಹಳೆಯದು	His bike is old
ಟ್ಯಾಕ್ಸಿ ಕರೆದಿದ್ದೇನೆ	I have called a taxi
ಟ್ಯಾಕ್ಸಿ ಎಲ್ಲಿಯಿದೆ?	Where is the taxi?
ವಿಮಾನ ಮೇಲೆ ಇದೆ	The plane is above
ವಿಮಾನ ವೇಗವಾಗಿ ಹೋಗುತ್ತದೆ	The plane goes fast
