buenos dias, Juan.	good morning, Juan.
Es tiempo de evaluar todo.	It is time to evaluate everything.
Hago una revisión rápida.	I am doing a quick review.
La revisión es necesaria.	The review is necessary.
Debemos comunicar el cambio.	We must communicate the change.
Es vital comunicar la idea.	It is vital to communicate the idea.
No puede corresponder a eso.	It cannot correspond to that.
Eso no suele corresponder.	That does not usually correspond.
Hago un seguimiento diario.	I do a daily follow-up.
Necesito el seguimiento ahora.	I need the follow-up now.
Mañana es la fecha límite.	Tomorrow is the deadline.
No olvides la fecha límite.	Do not forget the deadline.
Tengo mucha carga de trabajo.	I have a heavy workload.
Reduce tu carga de trabajo.	Reduce your workload.
El proceso es eficiente.	The process is efficient.
Eres muy eficiente hoy.	You are very efficient today.
Debemos llevar a cabo el plan.	We must carry out the plan.
El viento puede provocar fuego.	The wind can bring about fire.
No quiero provocar problemas.	I do not want to bring about problems.
Voy a mirar en la caja.	I am going to look into the box.
Ella quiere mirar en el libro.	She wants to look into the book.
No podemos posponer la cita.	We cannot put off the appointment.
Ellos deciden posponer el viaje.	They decide to put off the trip.
Debo idear un plan nuevo.	I must come up with a new plan.
Puedes idear una solución.	You can come up with a solution.
Él quiere señalar el error.	He wants to point out the error.
Ella puede señalar la salida.	She can point out the exit.
Voy a configurar el teléfono.	I am going to set up the phone.
Ayúdame a configurar el router.	Help me set up the router.
Esto no cuenta para la nota.	This does not account for the grade.
Tu esfuerzo cuenta para todo.	Your effort accounts for everything.
Debes hacer copia de seguridad hoy.	You must back up today.
Quiero hacer copia de seguridad ahora.	I want to back up now.
El coche puede descomponerse pronto.	The car can break down soon.
No quiero que llegue a descomponerse.	I do not want it to break down.
Quiero ponerse al día con ella.	I want to catch up with her.
Ellos deben ponerse al día pronto.	They must catch up soon.
Suelo encontrarse con amigos aquí.	I usually come across friends here.
Él puede encontrarse con el jefe.	He can come across the boss.
Debo reducir el consumo de sal.	I must cut down on salt.
Quieres reducir los gastos hoy.	You want to cut down on expenses today.
Debo tratar con el cliente.	I must deal with the client.
Ella sabe tratar con la gente.	She knows how to deal with people.
Ellos quieren llevarse bien con todos.	They want to get along with everyone.
Nos podemos llevarse bien con ellos.	We can get along with them.
Es difícil mantenerse al día con todo.	It is hard to keep up with everything.
Debo mantenerse al día con las noticias.	I must keep up with the news.
Ella espero con ansias el viaje.	She looks forward to the trip.
Yo espero con ansias tu respuesta.	I look forward to your answer.
Ella quiere maquillar sus ojos.	She wants to make up her eyes.
No debes maquillar tanto la cara.	You should not make up the face so much.
Podemos quedarse sin leche pronto.	We can run out of milk soon.
No quiero quedarse sin dinero.	I do not want to run out of money.
Ellos deben presentarse a las diez.	They must show up at ten.
Él no quiere presentarse hoy.	He does not want to show up today.
Tú quieres tomar después de él.	You want to take after him.
Ella suele tomar después de mamá.	She tends to take after mom.
El avión va a despegar ahora.	The plane is going to take off now.
El avión puede despegar tarde.	The plane can take off late.
La legislación es muy compleja.	The legislation is very complex.
Estudio la legislación actual.	I study the current legislation.
No es mi jurisdicción.	It is not my jurisdiction.
La jurisdicción es clara.	The jurisdiction is clear.
La enmienda es necesaria.	The amendment is necessary.
Leyeron la enmienda hoy.	They read the amendment today.
La constitución es antigua.	The constitution is old.
Respetamos la constitución.	We respect the constitution.
El veredicto es final.	The verdict is final.
Esperamos el veredicto.	We await the verdict.
El poder judicial es independiente.	The judiciary is independent.
Trabajo en el poder judicial.	I work in the judiciary.
El referéndum es el domingo.	The referendum is on Sunday.
Votamos en el referéndum.	We voted in the referendum.
La soberanía es importante.	Sovereignty is important.
Defendemos la soberanía nacional.	We defend national sovereignty.
El parlamento está lleno.	The parliament is full.
El parlamento votó ayer.	The parliament voted yesterday.
El gabinete se reúne ahora.	The cabinet is meeting now.
Es un gabinete pequeño.	It is a small cabinet.
La regulación es estricta.	The regulation is strict.
Necesitamos una nueva regulación.	We need a new regulation.
El estatuto es claro.	The statute is clear.
Leí el estatuto legal.	I read the legal statute.
La cláusula es injusta.	The clause is unfair.
Cambiamos la cláusula uno.	We changed clause one.
La provisión es limitada.	The provision is limited.
Leyeron la provisión legal.	They read the legal provision.
El demandante llegó tarde.	The plaintiff arrived late.
El demandante quiere dinero.	The plaintiff wants money.
El testimonio fue largo.	The testimony was long.
El testimonio es falso.	The testimony is false.
La apelación fue rechazada.	The appeal was rejected.
Presento una apelación hoy.	I am filing an appeal today.
Tiene una convicción fuerte.	He has a strong conviction.
La convicción fue justa.	The conviction was fair.
La sanción es severa.	The sanction is severe.
Recibió una sanción económica.	He received a financial sanction.
Ella tiene inmunidad total.	She has total immunity.
La inmunidad es temporal.	The immunity is temporary.
El candidato es joven.	The candidate is young.
Es un candidato fuerte.	He is a strong candidate.
La campaña empezó ayer.	The campaign started yesterday.
La campaña es costosa.	The campaign is expensive.
Es una circunscripción grande.	It is a large constituency.
Él representa la circunscripción.	He represents the constituency.
La moralidad es muy importante.	Morality is very important.
Su moralidad es cuestionable.	His morality is questionable.
La percepción es subjetiva.	Perception is subjective.
Cambió mi percepción del arte.	It changed my perception of art.
La doctrina es antigua.	The doctrine is old.
Siguen una doctrina estricta.	They follow a strict doctrine.
Su ideología es clara.	His ideology is clear.
No comparto esa ideología.	I do not share that ideology.
El escepticismo es útil.	Skepticism is useful.
Tengo un poco de escepticismo.	I have a little skepticism.
Es un crisis existencial.	It is an existential crisis.
El miedo existencial es real.	Existential fear is real.
Es una paradoja extraña.	It is a strange paradox.
No entiendo la paradoja.	I do not understand the paradox.
El razonamiento es lógico.	The reasoning is logical.
Usa un razonamiento simple.	He uses simple reasoning.
La sabiduría viene con tiempo.	Wisdom comes with time.
Busco la sabiduría eterna.	I seek eternal wisdom.
Es una creencia fuerte.	It is a strong belief.
Tengo una creencia diferente.	I have a different belief.
Lee el resumen ahora.	Read the abstract now.
Tengo la certeza total.	I have total certainty.
No hay certeza aquí.	There is no certainty here.
La contemplación es paz.	Contemplation is peace.
Amo la contemplación sola.	I love contemplation alone.
La existencia es un misterio.	Existence is a mystery.
Dudo de mi existencia.	I doubt my existence.
Busco el significado real.	I seek the real meaning.
Estudio la epistemología ahora.	I study epistemology now.
La epistemología es difícil.	Epinistemology is difficult.
El determinismo es complejo.	Determinism is complex.
No creo en el determinismo.	I do not believe in determinism.
Él es inteligente y además es amable.	He is intelligent and furthermore he is kind.
Ella canta y además baila muy bien.	She sings and moreover she dances very well.
No estudió y en consecuencia reprobó.	He didn't study and consequently he failed.
Llovió mucho y en consecuencia hay tráfico.	It rained a lot and accordingly there is traffic.
Él corre y de manera similar ella camina.	He runs and similarly she walks.
Yo quiero té, por el contrario él quiere café.	I want tea, conversely he wants coffee.
Primero comió y posteriormente salió.	First he ate and subsequently he left.
El hielo inevitablemente se derrite.	The ice inevitably melts.
Es posiblemente el mejor libro.	It is arguably the best book.
Tengo hambre, por lo tanto voy a comer.	I am hungry, therefore I am going to eat.
No hay pan, por lo tanto voy al mercado.	There is no bread, hence I am going to the market.
Él ahorra dinero y por lo tanto puede viajar.	He saves money and thereby he can travel.
Come ahora o de lo contrario tendrás hambre.	Eat now or otherwise you will be hungry.
Él es alto e igualmente fuerte.	He is tall and likewise strong.
El azul es bello e igualmente el rojo.	Blue is beautiful and equally red.
Me gusta el postre, especialmente el pastel.	I like dessert, especially the cake.
Me gusta el arte, particularmente la pintura.	I like art, particularly painting.
El niño creció notablemente este año.	The boy grew remarkably this year.
Sin duda ella es la jefa.	Undoubtedly she is the boss.
Presumiblemente el tren llega tarde.	Presumably the train is late.
Aparentemente no hay nadie en casa.	Apparently there is nobody at home.
Aparentemente el plan es bueno.	Seemingly the plan is good.
En última instancia, nosotros decidimos.	Ultimately, we decide.
Eventualmente todo estará bien.	Eventually everything will be fine.
Inicialmente pensé que era fácil.	Initially I thought it was easy.
Él es principalmente un profesor.	He is primarily a teacher.
Este club es exclusivamente para socios.	This club is exclusively for members.
El clima está cada vez más caliente.	The weather is increasingly hot.
El precio subió significativamente.	The price rose significantly.
El pueblo creció considerablemente.	The town grew considerably.
Es un motivo puramente profesional.	It is a purely professional motive.
Es estrictamente prohibido fumar aquí.	It is strictly forbidden to smoke here.
Él lo dijo explícitamente ayer.	He said it explicitly yesterday.
Ella lo dijo implícitamente en el texto.	She said it implicitly in the text.
El plan es integral.	The plan is comprehensive.
Busco un enfoque integral.	I am looking for a comprehensive approach.
El proceso es riguroso.	The process is rigorous.
Él es muy riguroso.	He is very rigorous.
Hay un cambio sustancial.	There is a substantial change.
El ahorro es sustancial.	The saving is substantial.
El diseño es intrincado.	The design is intricate.
Es un camino intrincado.	It is an intricate path.
El mensaje es ambiguo.	The message is ambiguous.
Es un resultado ambiguo.	It is an ambiguous result.
Ella es muy elocuente.	She is very eloquent.
El discurso fue elocuente.	The speech was eloquent.
Sé muy pragmático.	Be very pragmatic.
Él tiene un plan pragmático.	He has a pragmatic plan.
El daño es extenso.	The damage is extensive.
Es un bosque extenso.	It is an extensive forest.
Es un motivo convincente.	It is a compelling motive.
El caso es convincente.	The case is convincing.
Es un testimonio convincente.	It is a convincing testimony.
El plan es plausible.	The plan is plausible.
Es una explicación plausible.	It is a plausible explanation.
El proyecto es viable.	The project is viable.
No es una opción viable.	It is not a viable option.
El tema es contencioso.	The topic is contentious.
Es un asunto contencioso.	It is a contentious matter.
El debate es controvertido.	The debate is controversial.
Es un tema controvertido.	It is a controversial topic.
Es un cambio sutil.	It is a subtle change.
Tiene un gusto sutil.	He has a subtle taste.
El tono es consistente.	The tone is consistent.
Es un trabajo consistente.	It is consistent work.
El relato es inconsistente.	The account is inconsistent.
Es un argumento inconsistente.	It is an inconsistent argument.
El daño es aparente.	The damage is apparent.
Es un éxito aparente.	It is an apparent success.
Leo el resumen corto.	I read the short abstract.
El resumen es claro.	The abstract is clear.
Dame un ejemplo concreto.	Give me a concrete example.
El plan es concreto.	The plan is concrete.
El aviso es explícito.	The warning is explicit.
Es un acuerdo explícito.	It is an explicit agreement.
El mensaje es implícito.	The message is implicit.
Es un acuerdo implícito.	It is an implicit agreement.
El color predominante es rojo.	The predominant color is red.
Es el grupo predominante.	It is the predominant group.
Ellos quieren contender el premio.	They want to contend for the prize.
No debes contender con todos.	You should not contend with everyone.
Él suele afirmar la verdad.	He usually asserts the truth.
Ella puede afirmar su postura.	She can assert her position.
Es difícil refutar este dato.	It is difficult to refute this datum.
Él intentó refutar mi teoría.	He tried to refute my theory.
Debes fundamentar tu respuesta ahora.	You must substantiate your answer now.
Ellos van a fundamentar el plan.	They are going to substantiate the plan.
El juez puede conceder el deseo.	The judge can concede the wish.
Ella no quiso conceder el punto.	She did not want to concede the point.
Debemos estipular las reglas hoy.	We must stipulate the rules today.
El contrato suele estipular el precio.	The contract usually stipulates the price.
Me gusta formular hipótesis nuevas.	I like to hypothesize new things.
Puedes formular hipótesis sobre eso.	You can hypothesize about that.
Quiero enfatizar este punto clave.	I want to emphasize this key point.
Ella suele enfatizar los detalles.	She usually emphasizes the details.
Quiero proponer una idea nueva.	I want to propose a new idea.
Ellos van a proponer el cambio.	They are going to propose the change.
Puedo sugerir un libro bueno.	I can suggest a good book.
Ella quiere sugerir un camino.	She wants to suggest a path.
Vengo a reclamar mi maleta.	I come to claim my suitcase.
Ellos suelen reclamar sus derechos.	They usually claim their rights.
No quiero oponerse al plan.	I do not want to oppose the plan.
Ellos tienden a oponerse siempre.	They tend to oppose always.
Debo admitir que fue difícil.	I must admit that it was difficult.
Él no quiere admitir el error.	He does not want to admit the error.
Podemos concluir la reunión ahora.	We can conclude the meeting now.
Ella quiere concluir el relato.	She wants to conclude the story.
Puedes inferir la respuesta aquí.	You can infer the answer here.
Él suele inferir conclusiones rápidas.	He usually infers quick conclusions.
Esto puede implicar un riesgo.	This can imply a risk.
No quiero implicar a nadie.	I do not want to imply anyone.
Puedo deducir el resultado final.	I can deduce the final result.
Ella puede deducir la lógica.	She can deduce the logic.
No quiso aludir al pasado.	He did not want to allude to the past.
Ella suele aludir a su gato.	She usually alludes to her cat.
Esto sirve para ilustrar el punto.	This serves to illustrate the point.
Él quiere ilustrar el libro.	He wants to illustrate the book.
Esto puede ejemplificar el problema.	This can exemplify the problem.
Ella quiere ejemplificar el caso.	She wants to exemplify the case.
Debo elaborar el plan detallado.	I must elaborate the detailed plan.
Ella quiere elaborar una tarta.	She wants to elaborate a cake.
El negocio quiere expandir la red.	The business wants to expand the network.
El gas tiende a expandir rápido.	The gas tends to expand quickly.
Debes validar el código ahora.	You must validate the code now.
Ella quiere validar la cuenta.	She wants to validate the account.
Un salto significativo es bueno.	A significant jump is good.
Tengo un monto sustancial.	I have a substantial amount.
El costo es marginal.	The cost is marginal.
Es un beneficio marginal.	It is a marginal benefit.
El proceso es gradual.	The process is gradual.
El cambio fue gradual.	The change was gradual.
Los precios pueden fluctuar.	Prices can fluctuate.
Los niveles suelen fluctuar.	Levels usually fluctuate.
La meseta es alta.	The plateau is high.
Llegamos a una meseta.	We reached a plateau.
El declive fue rápido.	The decline was fast.
Vemos un declive lento.	We see a slow decline.
El precio puede aumentar.	The price can increase.
Quiero aumentar mi ahorro.	I want to increase my savings.
El riesgo debe disminuir.	The risk must decrease.
El nivel va a disminuir.	The level is going to decrease.
Hubo una oleada de calor.	There was a heat wave.
Una oleada de gente llegó.	A surge of people arrived.
Los precios pueden caer en picado.	Prices can plummet.
Vimos caer en picado el valor.	We saw the value plummet.
El precio debe estabilizar.	The price must stabilize.
Es hora de estabilizar.	It is time to stabilize.
El agua debe nivelar.	The water must level off.
Debemos nivelar la base.	We must level off the base.
La inmersión fue corta.	The dip was short.
Hice una inmersión rápida.	I took a quick dip.
Ellos superan en número a nosotros.	They outnumber us.
Las mujeres superan en número hoy.	Women outnumber today.
La proporción es correcta.	The proportion is correct.
Es una proporción pequeña.	It is a small proportion.
El porcentaje es bajo.	The percentage is low.
Busco un porcentaje mayor.	I am looking for a higher percentage.
Mira las estadísticas reales.	Look at the real statistics.
Es una estimación baja.	It is a low estimate.
Hice una estimación rápida.	I made a quick estimate.
Llegamos aproximadamente a las diez.	We arrive approximately at ten.
Es aproximadamente un kilo.	It is approximately one kilo.
Tengo aproximadamente diez libros.	I have roughly ten books.
Cuesta aproximadamente cien pesos.	It costs roughly one hundred pesos.
No debe exceder el límite.	It must not exceed the limit.
Puede exceder la meta.	It can exceed the goal.
Eso cuenta para el total.	That accounts for the total.
Ella cuenta para el equipo.	She accounts for the team.
El frío baja gradualmente.	The cold drops gradually.
Mejoro gradualmente cada día.	I improve gradually every day.
El precio sube constantemente.	The price rises steadily.
Ella lee constantemente.	She reads steadily.
El precio bajó bruscamente.	The price dropped sharply.
El clima cambió bruscamente.	The weather changed sharply.
Todo cambió dramáticamente.	Everything changed dramatically.
El plan mejoró dramáticamente.	The plan improved dramatically.
El precio es notablemente alto.	The price is noticeably high.
Es notablemente más grande.	It is noticeably larger.
En general, todo está bien.	Overall, everything is fine.
Es bueno en general.	It is good overall.
Él lee mientras que ella escribe.	He reads while she writes.
Yo como mientras que tú bebes.	I eat while you drink.
Él mintió, por lo cual perdió todo.	He lied, whereby he lost everything.
No hay agua, por lo cual tengo sed.	There is no water, whereby I am thirsty.
Llueve, por lo tanto no voy.	It is raining, hence I am not going.
Es tarde, por lo tanto debo dormir.	It is late, hence I must sleep.
Él es amable, igualmente ella también.	He is kind, likewise she is too.
Ella estudia, igualmente él estudia.	She studies, likewise he studies.
Él es rico, por el contrario ella es pobre.	He is rich, conversely she is poor.
Yo quiero pan, mientras que él no.	I want bread, whereas he does not.
Es posiblemente la mejor opción.	It is arguably the best option.
Él es inteligente, además es muy trabajador.	He is intelligent, furthermore he is hardworking.
Tengo hambre, además tengo sed.	I am hungry, furthermore I am thirsty.
No hay pan, además no hay leche.	There is no bread, moreover there is no milk.
Estudio mucho, por lo tanto apruebo.	I study a lot, therefore I pass.
Llegué tarde, por lo tanto pido perdón.	I arrived late, therefore I apologize.
No estudió, en consecuencia reprobó.	He did not study, consequently he failed.
Hizo frío, en consecuencia usé abrigo.	It was cold, consequently I used a coat.
La ley cambió, en consecuencia actuamos.	The law changed, accordingly we acted.
Él gritó, en consecuencia yo respondí.	He shouted, accordingly I responded.
Ella canta, de manera similar él baila.	She sings, similarly he dances.
Ella lee, de manera similar él escribe.	She reads, similarly he writes.
Tú eres importante, igualmente yo también.	You are important, equally I am too.
Ella es alta, igualmente él es alto.	She is tall, equally he is tall.
El sol brilla, en contraste la luna es fría.	The sun shines, in contrast the moon is cold.
Él es lento, en contraste ella es rápida.	He is slow, in contrast she is fast.
No es rojo, por el contrario es azul.	It is not red, on the contrary it is blue.
No estoy triste, por el contrario estoy feliz.	I am not sad, on the contrary I am happy.
Me gusta el mar, por otro lado amo la montaña.	I like the sea, on the other hand I love the mountain.
Es caro, por otro lado es muy bueno.	It is expensive, on the other hand it is very good.
Comió mucho, como resultado se siente mal.	He ate a lot, as a result he feels bad.
Llovió mucho, como resultado hay inundaciones.	It rained a lot, as a result there are floods.
Tengo frutas, por ejemplo manzanas.	I have fruits, for instance apples.
Ella estudia idiomas, por ejemplo francés.	She studies languages, for instance French.
Uso colores, por ejemplo rojo y azul.	I use colors, for example red and blue.
Él juega deportes, por ejemplo tenis.	He plays sports, for example tennis.
Él es músico, además es poeta.	He is a musician, in addition he is a poet.
Tengo un perro, además tengo un gato.	I have a dog, in addition I have a cat.
Para resumir, el libro es corto.	To sum up, the book is short.
Para resumir, el plan falló.	To sum up, the plan failed.
En conclusión, ganamos el juego.	In conclusion, we won the game.
En conclusión, el viaje terminó.	In conclusion, the trip ended.
En última instancia, él decidió quedar.	Ultimately, he decided to stay.
En última instancia, el precio subió.	Ultimately, the price went up.
Evidentemente, ella tiene razón.	Evidently, she is right.
Evidentemente, el gato tiene hambre.	Evidently, the cat is hungry.
Innegablemente, el sol es caliente.	Undeniably, the sun is hot.
Innegablemente, ella es la jefa.	Undeniably, she is the boss.
Aparentemente, el coche no funciona.	Seemingly, the car does not work.
Aparentemente, él está cansado.	Seemingly, he is tired.
Presumiblemente, él llegará tarde.	Presumably, he.
Debemos dilucidar el misterio pronto.	We must elucidate the mystery soon.
Él quiere dilucidar los hechos.	He wants to elucidate the facts.
Puedo corroborar tu historia.	I can corroborate your story.
Ellos van a corroborar los datos.	They are going to corroborate the data.
No es fácil extrapolar estos resultados.	It is not easy to extrapolate these results.
Ella sabe extrapolar la tendencia.	She knows how to extrapolate the trend.
Necesito sintetizar la información.	I need to synthesize the information.
Él puede sintetizar el reporte.	He can synthesize the report.
Debes delinear el plan ahora.	You must delineate the plan now.
Ella quiere delinear los límites.	She wants to delineate the limits.
La lluvia puede precipitar la caída.	The rain can precipitate the fall.
No queremos precipitar la decisión.	We do not want to precipitate the decision.
Debemos mitigar el riesgo.	We must mitigate the risk.
El plan busca mitigar el daño.	The plan seeks to mitigate the damage.
No quieres exacerbar el problema.	You do not want to exacerbate the problem.
El ruido puede exacerbar el dolor.	The noise can exacerbate the pain.
Quiero determinar la causa exacta.	I want to ascertain the exact cause.
Él debe determinar el precio.	He must ascertain the price.
El postulado es muy simple.	The postulate is very simple.
Ella aceptó el postulado nuevo.	She accepted the new postulate.
El juez debe adjudicar el premio.	The judge must adjudicate the prize.
Ellos van a adjudicar los fondos.	They are going to adjudicate the funds.
Quieren amalgamar los dos estilos.	They want to amalgamate the two styles.
Podemos amalgamar estas ideas.	We can amalgamate these ideas.
El calor puede catalizar la reacción.	The heat can catalyze the reaction.
Él quiere catalizar el cambio.	He wants to catalyze the change.
Él intentó eludir la pregunta.	He tried to circumvent the question.
No puedes eludir tu responsabilidad.	You cannot circumvent your responsibility.
No debes combinar los dos conceptos.	You should not conflate the two concepts.
Es fácil combinar los colores.	It is easy to conflate the colors.
Puedes interpretar el texto así.	You can construe the text this way.
Ella sabe interpretar el silencio.	She knows how to construe the silence.
Debemos descifrar el código antiguo.	We must decipher the ancient code.
Él quiere descifrar el mensaje.	He wants to decipher the message.
Ella suele escudriñar cada detalle.	She usually scrutinizes every detail.
Debes escudriñar el documento bien.	You must scrutinize the document well.
Ellos suelen desaprobar esa actitud.	They usually deprecate that attitude.
No quiero desaprobar tu idea.	I do not want to deprecate your idea.
No es bueno menospreciar el esfuerzo.	It is not good to disparage the effort.
Él tiende a menospreciar el arte.	He tends to disparage art.
Debemos difundir la noticia ya.	We must disseminate the news now.
Ella quiere difundir el mensaje.	She wants to disseminate the message.
Puedes encapsular la idea aquí.	You can encapsulate the idea here.
Él sabe encapsular el concepto.	He knows how to encapsulate the concept.
Debes enumerar los ingredientes.	You must enumerate the ingredients.
Ella puede enumerar los errores.	She can enumerate the errors.
Necesito acelerar el proceso.	I need to expedite the process.
Ellos quieren acelerar la entrega.	They want to expedite the delivery.
Puedes yuxtaponer las dos imágenes.	You can juxtapose the two images.
Él quiere yuxtaponer los contrastes.	He wants to juxtapose the contrasts.
Ellos buscan legitimar el proceso.	They seek to legitimize the process.
Debemos legitimar el nuevo mando.	We must legitimize the new command.
Esto puede perpetuar el error.	This could perpetuate the error.
Él quiere perpetuar el legado.	He wants to perpetuate the legacy.
Debo reiterar mi punto.	I must reiterate my point.
Ella quiere reiterar la invitación.	She wants to reiterate the invitation.
Debemos estipular las reglas.	We must stipulate the rules.
Ellos van a estipular el precio.	They are going to stipulate the price.
Suelo suponer que es verdad.	I usually surmise that it is true.
No debes suponer nada.	You should not surmise anything.
El amor puede trascender el tiempo.	Love can transcend time.
El correo usa un guión bajo.	The email uses an underscore.
Pon un guión bajo aquí.	Put an underscore here.
Él quiere desenmarañar el hilo.	He wants to unravel the thread.
Es difícil desenmarañar el nudo.	It is difficult to unravel the knot.
No debes vilipendiar al artista.	You must not vilify the artist.
Ellos suelen vilipendiar al líder.	They usually vilify the leader.
Ella quiere reivindicar su derecho.	She wants to vindicate her right.
El grupo busca reivindicar la verdad.	The group seeks to vindicate the truth.
Es una espada de doble filo.	It is a double-edged sword.
Usa una espada de doble filo.	Use a double-edged sword.
Busco el quid de la cuestión.	I am looking for the crux of the matter.
Es el quid de la cuestión.	It is the crux of the matter.
Es un punto discutible ahora.	It is a moot point now.
No es un punto discutible.	It is not a moot point.
Es bueno a largo plazo.	It is good in the long run.
Mira a largo plazo.	Look in the long run.
Es así por la misma razón.	It is so by the same token.
Hago esto por la misma razón.	I do this by the same token.
Fue a expensas de todo.	It was at the expense of everything.
Vivo a expensas de otros.	I live at the expense of others.
Cocina con una pizca de sal.	Cook with a pinch of salt.
Tómalo con una pizca de sal.	Take it with a pinch of salt.
Quiero jugar al abogado del diablo.	I want to play devil's advocate.
Suele jugar al abogado del diablo.	He usually plays devil's advocate.
Debemos estar en la misma pagina.	We must be on the same page.
Tengo que morder la bala.	I have to bite the bullet.
Es hora de morder la bala.	It is time to bite the bullet.
Voy para quemar el aceite de medianoche.	I go to burn the midnight oil.
Sigue para quemar el aceite de medianoche.	Keep burning the midnight oil.
Es hora para trazar la línea.	It is time to draw the line.
Vengo para trazar la línea aquí.	I come to draw the line here.
Viene para estar atento al bebé.	He comes to keep an eye on the baby.
Necesito para estar atento al gato.	I need to keep an eye on the cat.
No debes dejar salir al gato de la bolsa.	You must not let the cat out of the bag.
Voy a dejar salir al gato de la bolsa.	I am going to let the cat out of the bag.
Suele darlo por sentado siempre.	He usually takes it for granted always.
No debes darlo por sentado.	You must not take it for granted.
Suele hacer la vista gorda.	He usually turns a blind eye.
No quiero hacer la vista gorda.	I do not want to turn a blind eye.
Parece estar sobre hielo fino.	He seems to be on thin ice.
No quieres estar sobre hielo fino.	You do not want to be on thin ice.
Puede costar un brazo y una pierna.	It can cost an arm and a leg.
Va a costar un brazo y una pierna.	It is going to cost an arm and a leg.
Suele tener un cambio de opinión.	He usually has a change of heart.
Quiero tener un cambio de opinión.	I want to have a change of heart.
Ella parece estar sobre la luna.	She seems to be over the moon.
Quiero estar sobre la luna.	I want to be over the moon.
Es bueno para verse cara a cara.	It is good to see eye to eye.
Quiero para verse cara a cara.	I want to see eye to eye.
No quiere sentarse en la valla.	He does not want to sit on the fence.
Suele sentarse en la valla.	He usually sits on the fence.
No quiere derramar los frijoles.	He does not want to spill the beans.
Ella va a derramar los frijoles.	She is going to spill the beans.
Parece estar bajo el clima hoy.	He seems to be under the weather today.
No quiero estar bajo el clima.	I do not want to be under the weather.
Es bueno para romper el hielo.	It is good to break the ice.
Quiero para romper el hielo ahora.	I want to break the ice now.
Es bueno para dar en el clavo.	It is good to hit the nail on the head.
Puedes para dar en el clavo.	You can hit the nail on the head.
No quiero tirarle la pierna a alguien.	I do not want to pull someone's leg.
Suele tirarle la pierna a alguien.	He usually pulls someone's leg.
En conclusión, el libro es bueno.	In conclusion, the book is good.
En conclusión, no hay tiempo.	In conclusion, there is no time.
Para resumir, la historia terminó.	To sum up, the story ended.
Para resumir, necesito más agua.	To sum up, I need more water.
En equilibrio, todo está bien.	On balance, everything is fine.
El precio está en equilibrio.	The price is on balance.
En esencia, somos iguales.	In essence, we are the same.
Es simple en esencia.	It is simple in essence.
Además, tengo un perro.	In addition, I have a dog.
Además, hace frío hoy.	In addition, it is cold today.
En contraste, ella es alta.	In contrast, she is tall.
El color es rojo en contraste.	The color is red in contrast.
No es así, por el contrario.	It is not so, on the contrary.
Por el contrario, yo prefiero té.	On the contrary, I prefer tea.
En otras palabras, es difícil.	In other words, it is difficult.
Dilo en otras palabras, por favor.	Say it in other words, please.
Como el sol, por ejemplo.	Like the sun, for instance.
Por ejemplo, me gusta el pan.	For instance, I like bread.
Como resultado, el gato saltó.	As a result, the cat jumped.
Ganamos como resultado del juego.	We won as a result of the game.
En primer lugar, leo el libro.	In the first place, I read the book.
En primer lugar, abre la puerta.	In the first place, open the door.
En segundo lugar, tomo café.	In the second place, I drink coffee.
En segundo lugar, ella llegó.	In the second place, she arrived.
Por último, cerramos la tienda.	Lastly, we closed the store.
Por último, el tren llegó.	Lastly, the train arrived.
En segundo lugar, el perro ladra.	Secondly, the dog barks.
En segundo lugar, el cielo es azul.	Secondly, the sky is blue.
En tercer lugar, el gato duerme.	Thirdly, the cat sleeps.
En tercer lugar, como una manzana.	Thirdly, I eat an apple.
Él habló y ella a su vez respondió.	He spoke and she in turn responded.
A su vez, el tiempo pasa.	In turn, time passes.
Por el contrario, el agua es fría.	By contrast, the water is cold.
Por el contrario, no quiero ir.	By contrast, I do not want to go.
En comparación, este es más grande.	In comparison, this one is larger.
Es pequeño en comparación.	It is small in comparison.
Por un lado, es caro.	On the one hand, it is expensive.
Por un lado, el día es largo.	On the one hand, the day is long.
Por otro lado, es muy bonito.	On the other hand, it is very pretty.
Por otro lado, no hay comida.	On the other hand, there is no food.
En lugar de té, quiero agua.	Instead of tea, I want water.
Camina en lugar de correr.	Walk instead of running.
Alternativamente, podemos ir al cine.	Alternatively, we can go to the cinema.
Alternativamente, usa el color azul.	Alternatively, use the blue color.
No estudié, por lo tanto reprobé.	I didn't study, therefore I failed.
Hace frío, por lo tanto uso abrigo.	It is cold, therefore I wear a coat.
En consecuencia, el perro corrió.	Consequently, the dog ran.
En consecuencia, ella no vino.	Consequently, she did not come.
Es tarde, por lo tanto duermo.	It is late, hence I sleep.
No hay pan, por lo tanto compro.	There is no bread, hence I buy.
Estudió mucho, por lo tanto ganó.	He studied a lot, thereby he won.
Usa el mapa, por lo tanto llega.	Use the map, thereby arrive.
El artista es notablemente joven.	The artist is notably young.
Es notablemente más rápido.	He is notably faster.
Comemos principalmente frutas.	We eat chiefly fruits.
Es principalmente un problema de tiempo.	It is chiefly a time problem.
El mensaje es inequívoco.	The message is unequivocal.
Es un éxito inequívoco.	It is an unequivocal success.
El dato es irrefutable.	The data is irrefutable.
La prueba es irrefutable.	The proof is irrefutable.
La luz es muy tenue.	The light is very tenuous.
Es un vínculo tenue.	It is a tenuous bond.
El riesgo es inherente.	The risk is inherent.
