#NAME?	#اسم؟
(1) (Japanese) maple	(1) (اليابانية) القيقب
We might go out for dinner.	ربما نخرج لتناول العشاء.
We must leave now.	يجب أن نغادر الآن.
We must respect our parents.	يجب علينا أن نحترم والدينا.
We need a lot of water.	نحن بحاجة إلى الكثير من الماء.
We need some milk.	نحن بحاجة إلى بعض الحليب.
We need to get the car repaired.	نحن بحاجة إلى إصلاح السيارة.
We played football yesterday.	لقد لعبنا كرة القدم بالأمس.
We played music all night.	لقد لعبنا الموسيقى طوال الليل.
We ran to the bus stop.	ركضنا إلى محطة الحافلات.
We really enjoyed it.	لقد استمتعنا حقا.
We saw a great movie.	لقد شاهدنا فيلما عظيما.
We saw an elephant at the zoo.	لقد رأينا فيلًا في حديقة الحيوان.
We saw many birds.	لقد شاهدنا العديد من الطيور.
We saw some birds in the sky.	لقد رأينا بعض الطيور في السماء.
We should be kind to animals.	ينبغي أن نكون لطفاء مع الحيوانات.
We should leave early.	يجب أن نغادر مبكراً.
We should save money.	يجب علينا توفير المال.
We shouldn't talk in the library.	لا ينبغي لنا أن نتحدث في المكتبة.
We shouldn't waste food.	لا ينبغي لنا أن نهدر الطعام.
We split the bill.	لقد قسمنا الفاتورة.
We spoke to the manager.	تحدثنا إلى المدير.
We stayed there for a week.	بقينا هناك لمدة أسبوع.
We talk about everything.	نحن نتحدث عن كل شيء.
We took a family photo.	لقد التقطنا صورة عائلية.
We took lots of photos.	لقد التقطنا الكثير من الصور.
We took photos together.	لقد التقطنا الصور معًا.
We use online meetings.	نحن نستخدم الاجتماعات عبر الإنترنت.
We visited our grandparents.	قمنا بزيارة أجدادنا.
We waited for an hour.	انتظرنا لمدة ساعة.
We walked along the beach.	مشينا على طول الشاطئ.
We want to see the museum.	نريد أن نرى المتحف.
We watch TV after dinner.	نشاهد التلفاز بعد العشاء.
We watch TV in the evening.	نشاهد التلفاز في المساء.
We went to the station.	ذهبنا إلى المحطة.
We were having dinner together.	كنا نتناول العشاء معًا.
We were walking in the park.	كنا نسير في الحديقة.
We were watching the match together.	كنا نشاهد المباراة معاً.
We weren't expecting you.	لم نكن نتوقعك.
We will be celebrating her birthday next month.	سنحتفل بعيد ميلادها الشهر المقبل.
We will be driving through the night.	سوف نقود السيارة طوال الليل.
We will be staying at a hotel in Goa.	سوف نقيم في فندق في غوا.
We will have lived here for ten years by 2030.	سنعيش هنا لمدة عشر سنوات بحلول عام 2030.
We will have tested the machine before using it.	سنقوم باختبار الجهاز قبل استخدامه.
We will meet again soon.	سوف نلتقي مرة أخرى قريبا.
We won't be needing this anymore.	لن نكون بحاجة لهذا بعد الآن.
We won't give up.	لن نستسلم.
We won't have spent all our money.	لن ننفق كل أموالنا.
We would have dinner at seven.	سنتناول العشاء في السابعة.
We would visit them every summer.	كنا نزورهم كل صيف.
We wouldn't have been late if we had left on time.	لم نكن لنتأخر لو غادرنا في الوقت المحدد.
We'll have dinner at eight.	سنتناول العشاء في الثامنة.
We'll see what happens.	سنرى ما سيحدث.
We'll welcome the new year.	سنستقبل العام الجديد.
We're almost there.	نحن على وشك الوصول.
We're going to have a party on Saturday.	سنقيم حفلة يوم السبت.
We're ready to order.	نحن جاهزون للطلب.
Wear a warm coat.	ارتداء معطف دافئ.
Wednesday	الأربعاء
Wednesday (short)	الاربعاء (قصير)
Welcome (to our store)	مرحبا بكم (في متجرنا)
Welcome home	مرحبًا بك في بيتك
Welcome home (polite)	مرحبًا بك في بيتك (مهذبًا)
Welcome.	مرحبًا.
Were I you, I would accept the offer.	لو كنت أنت، كنت سأقبل العرض.
Were you sleeping?	هل كنت نائما؟
What I really need is more time.	ما أحتاجه حقًا هو المزيد من الوقت.
What are you doing now?	ماذا تفعل الآن؟
What are you doing?	ماذا تفعل؟
What are you going to do tonight?	ماذا ستفعل الليلة؟
What are your plans for the weekend?	ما هي خططك لعطلة نهاية الأسبوع؟
What are your working hours?	ما هي ساعات العمل الخاصة بك؟
What color do you like?	ما اللون الذي يعجبك؟
What color is your car?	ما هو لون سيارتك؟
What country's person is (he)? (Where is he from?)	شخص أي بلد هو (هو)؟ (من أين هو؟)
What day is it today?	ما هو اليوم؟
What day is today?	ما هو اليوم؟
What day of the week is it today?	في أي يوم من أيام الأسبوع هو اليوم؟
What did you do last weekend?	ماذا فعلت في نهاية الأسبوع الماضي؟
What did you do on the weekend?	ماذا فعلت في عطلة نهاية الأسبوع؟
What did you eat?	ماذا أكلت؟
What do you do for work?	ماذا تفعل من أجل العمل؟
What do you eat?	ماذا تأكل؟
What do you like?	ماذا تريد؟
What do you recommend for dessert?	ماذا تنصح للحلوى؟
What do you think?	ماذا تعتقد؟
What do you want for breakfast?	ماذا تريد على الفطور؟
What do you want to eat?	ماذا تريد أن تأكل؟
What do you want?	ماذا تريد؟
What does she do?	ما الذي تفعله هي؟
What is that?	ما هذا؟
What is this?	ما هذا؟
What is today's date?	ما هو تاريخ اليوم؟
What is your favorite dream?	ما هو حلمك المفضل؟
What is your favorite food?	ما هو طعامك المفضل؟
What is your hobby in Japan?	ما هي هوايتك في اليابان؟
What is your name?	ما اسمك؟
What kind of music do you like?	ما نوع الموسيقى التي تحبها؟
What languages can you speak?	ما هي اللغات التي يمكنك التحدث بها؟
What month is it now?	ما هو الشهر الآن؟
What shall we do?	ماذا سنفعل؟
What should I do?	ماذا علي أن أفعل؟
What should I/we do?	ماذا يجب علي/علينا أن نفعل؟
What should we do now?	ماذا يجب أن نفعل الآن؟
What sport do you like?	ما هي الرياضة التي تحبها؟
What time do you sleep every day?	في أي وقت تنام كل يوم؟
What time do you usually wake up?	في أي وقت تستيقظ عادة؟
What time does school start?	في أي وقت تبدأ المدرسة؟
What time does the bank open?	في أي وقت يفتح البنك؟
What time is boarding?	ما هو وقت الصعود؟
What time is check-out?	ما هو وقت الخروج؟
What time is checkout?	ما هو وقت الخروج؟
What time is it now?	ما هو الوقت الآن؟
What time is it?	أي ساعة؟
What time is the next train?	ما هو موعد القطار التالي؟
What time shall we meet?	في أي وقت سنلتقي؟
What time should we meet?	في أي وقت يجب أن نلتقي؟
What was he doing there?	ماذا كان يفعل هناك؟
What were you doing at midnight?	ماذا كنت تفعل في منتصف الليل؟
What would you like to drink?	ماذا تحب أن تشرب؟
What would you like?	ماذا تريد؟
What year is it now?	ما هو العام الآن؟
What's the forecast?	ما هي التوقعات؟
What's the price?	ما هو السعر؟
What's today's temperature?	ما هي درجة الحرارة اليوم؟
What's your address?	ما هو عنوانك؟
What's your favorite thing?	ما هو الشيء المفضل لديك؟
What's your name?	ما اسمك؟
What's your number?	ما هو رقمك؟
When I arrive at work, I'll call.	عندما أصل إلى العمل، سأتصل.
When I arrived, the train had already left.	عندما وصلت، كان القطار قد غادر بالفعل.
When I buy new shoes, I'll wear them.	عندما أشتري حذاءً جديدًا، سأرتديه.
When I was a student, I lived in Japan.	عندما كنت طالبا، عشت في اليابان.
When I was young, I would play outside.	عندما كنت صغيراً، كنت ألعب في الخارج.
When are you free?	متى تكون حرا؟
When are you going to leave?	متى ستغادر؟
When did he leave?	متى غادر؟
When did the show start?	متى بدأ العرض؟
When did you arrive?	متى وصلت؟
When does the train leave?	متى يغادر القطار؟
When is the meeting?	متى الاجتماع؟
When is the next train?	ما موعد القطار القادم؟
When is your birthday?	متى يحين عيد ميلادك؟
When it rains, I open an umbrella.	عندما يهطل المطر، أفتح المظلة.
When spring comes, it gets warm.	عندما يأتي الربيع، يصبح الجو دافئا.
Where are the fitting rooms?	أين غرف القياس؟
Where are you from?	من أين أنت؟
Where are you going?	إلى أين أنت ذاهب؟
Where are you originally from?	من أين أنت أصلا؟
Where can I buy tickets?	أين يمكنني شراء التذاكر؟
Where can I find an ATM?	أين يمكنني العثور على جهاز الصراف الآلي؟
Where can I park?	أين يمكنني الركن؟
Where did he go?	أين ذهب؟
Where did you go?	أين ذهبت؟
Where do I buy a ticket?	من أين يمكنني شراء تذكرة؟
Where do you live now?	أين تعيش الآن؟
Where do you live?	أين تعيش؟
Where do you work?	أين تعمل؟
Where is a safe place?	أين هو المكان الآمن؟
Where is it?	أين هي؟
Where is she going to live?	أين ستعيش؟
Where is the ATM?	أين جهاز الصراف الآلي؟
Where is the bank?	أين هو البنك؟
Where is the bus stop?	أين محطة الحافلات؟
Where is the cashier?	أين أمين الصندوق؟
Where is the department store?	أين يقع المتجر؟
Where is the fire station?	أين تقع محطة الإطفاء؟
Where is the hospital?	أين المستشفى؟
Where is the nearest mall?	أين يقع أقرب مول؟
Where is the pharmacy?	أين الصيدلية؟
Where is the restroom?	أين المرحاض؟
Where is the station?	أين المحطة؟
Where is the train station?	أين تقع محطة القطار؟
Where is this place?	أين هذا المكان؟
Where should I put this?	أين يجب أن أضع هذا؟
Where to, sir?	إلى أين يا سيدي؟
Where's a good place to eat?	أين هو المكان الجيد لتناول الطعام؟
Where's the nearest bank?	أين أقرب بنك؟
Where's the nearest station?	أين أقرب محطة؟
Which color would you like?	أي لون تريد؟
Which do you like, weekends or weekdays?	أيهما تفضل، عطلات نهاية الأسبوع أم أيام الأسبوع؟
Which is better?	أيهما أفضل؟
Which one do you like (of two)?	أيهما تفضل (من الاثنين)؟
Which one do you like best?	أي واحد تحب أفضل؟
Which one is the cheapest?	أي واحد هو أرخص؟
Which one is your book?	أي واحد هو كتابك؟
Which one is yours?	أي واحد هو لك؟
Which two do you compare?	أيهما تقارن؟
While I was cooking, he was watching TV.	بينما كنت أطبخ، كان هو يشاهد التلفاز.
White Day	اليوم الأبيض
Who called you?	من اتصل بك؟
Who came?	من جاء؟
Who did you talk with?	مع من تحدثت؟
Who is responsible for this decision?	ومن المسؤول عن هذا القرار؟
Who is she?	من هي؟
Who is the tallest in the class?	من هو الأطول في الفصل؟
Who is your teacher?	من هو معلمك؟
Who made this cake?	من صنع هذه الكعكة؟
Who will you travel with?	مع من ستسافر؟
Whose bag is that?	لمن تلك الحقيبة؟
Whose bicycle is this?	لمن هذه الدراجة؟
Why are you crying?	لماذا تبكي؟
Why are you sad?	لماذا أنت حزين؟
Why did you leave early?	لماذا غادرت مبكرا؟
Why do you study English?	لماذا تدرس اللغة الإنجليزية؟
Why don't you try again?	لماذا لا تحاول مرة أخرى؟
Why is the sky blue?	لماذا السماء زرقاء؟
Why?; What for?	لماذا؟؛ لماذا؟
Will she be flying tomorrow?	هل ستطير غدا؟
Will she come with us?	هل ستأتي معنا؟
Will the store have closed by then?	هل سيكون المتجر مغلقًا بحلول ذلك الوقت؟
Will they accept the offer?	فهل سيقبلون العرض؟
Will they have finished the construction?	هل سينتهون من البناء؟
Will we be seeing you this weekend?	هل سنراكم في نهاية هذا الأسبوع؟
Will we have arrived before sunset?	هل سنصل قبل غروب الشمس؟
Will we have enough time?	هل سيكون لدينا ما يكفي من الوقت؟
Will you be coming to the office tomorrow?	هل ستأتي إلى المكتب غدا؟
Will you be using this laptop?	هل ستستخدم هذا الكمبيوتر المحمول؟
Will you come to the party?	هل ستأتي إلى الحفلة؟
Will you have completed the report by Monday?	هل ستكمل التقرير بحلول يوم الاثنين؟
Will you have decided by tomorrow?	هل ستقرر بحلول الغد؟
Will you help me with this?	هل ستساعدني في هذا؟
Winter days are short.	أيام الشتاء قصيرة.
Winter is the coldest season.	الشتاء هو أبرد موسم.
With regard to your query, please see the attached file.	بالنسبة لاستفسارك، يرجى الاطلاع على الملف المرفق.
Without a dictionary, I don't understand.	بدون قاموس لا أفهم.
Won't you eat with me?	لن تأكل معي؟
Work is tough.	العمل صعب.
Would it be okay if I left early?	هل سيكون الأمر على ما يرام إذا غادرت مبكراً؟
Would you be free tomorrow?	هل ستكون حرا غدا؟
Would you help me with this?	هل يمكنك مساعدتي في هذا؟
Would you like anything else?	هل تريد أي شيء آخر؟
Would you like anything to drink?	هل ترغب في شرب أي شيء؟
Would you like it hot or iced?	هل تفضلها ساخنة أم مثلجة؟
Would you like it wrapped as a gift?	هل ترغب في تغليفها كهدية؟
Would you like me to help?	هل تريد مني أن أساعد؟
Would you like some coffee?	هل ترغب ببعض القهوة؟
Would you like some tea?	هل ترغب ببعض الشاي؟
Would you like to dance?	هل ترغب في الرقص؟
Would you like to watch a movie?	هل ترغب في مشاهدة فيلم؟
Would you mind closing the door?	هل تمانع في إغلاق الباب؟
Would you open the window, please?	هلا فتحت النافذة من فضلك؟
Would you recommend this hotel?	هل تنصح بهذا الفندق؟
Written in 1900, the book is still popular.	الكتاب الذي كتب عام 1900، لا يزال يحظى بشعبية كبيرة.
Xylophone	إكسيليفون
Yellow	أصفر
Yes, I can come tomorrow.	نعم، أستطيع أن آتي غدا.
Yes, I can swim.	نعم أستطيع السباحة.
Yes, I do like it.	نعم، أنا أحب ذلك.
Yes, I understand.	نعم، أنا أفهم.
Yesterday I stayed up late.	بالأمس بقيت مستيقظا لوقت متأخر.
Yesterday was Sunday.	أمس كان يوم الأحد.
Yesterday was very busy.	أمس كان مشغولاً للغاية.
You are going to love this place.	سوف تحب هذا المكان.
You are my best friend.	أنت أفضل صديق لي.
You are not wrong.	أنت لست مخطئا.
You are right.	أنت محق.
You are so kind to me.	أنت لطيف جدا بالنسبة لي.
You are the one I want. (You're good.)	أنت من أريد. (أنت جيد.)
You are working very hard.	أنت تعمل بجد.
You came very early.	لقد جئت في وقت مبكر جدا.
You can apply regardless of age.	يمكنك التقديم بغض النظر عن العمر.
You can call me any time.	يمكنك الاتصال بي في أي وقت.
You can pick up the medicine at the pharmacy next door.	يمكنك الحصول على الدواء من الصيدلية المجاورة.
You can sit here.	يمكنك الجلوس هنا.
You can't smoke in here.	لا يمكنك التدخين هنا.
You don't have to bring anything.	ليس عليك إحضار أي شيء.
You don't have to come if you're busy.	ليس عليك أن تأتي إذا كنت مشغولاً.
You don't have to go to work today.	ليس عليك الذهاب إلى العمل اليوم.
You don't have to practice every day.	ليس عليك التدرب كل يوم.
You don't know the answer.	أنت لا تعرف الجواب.
You had told me not to worry.	لقد أخبرتني ألا تقلق.
You have a nice smile.	لديك ابتسامة لطيفة.
You have been talking for two hours!	لقد كنت تتحدث لمدة ساعتين!
You have done a great job.	لقد قمت بعمل عظيم.
You have grown so much.	لقد كبرت كثيرا.
You have my apologies.	لديك اعتذاري.
You have my keys.	لديك مفاتيحي.
You may be right.	قد تكون على حق.
You may borrow my book.	يمكنك استعارة كتابي.
You might want to try this restaurant.	قد ترغب في تجربة هذا المطعم.
You must be here at nine.	يجب أن تكون هنا في الساعة التاسعة.
You must be quiet in the library.	يجب أن تكون هادئًا في المكتبة.
You must be tired after working so hard. (ritualistic expression)	لا بد أنك متعب بعد العمل الجاد. (تعبير طقوسي)
You must not look during the exam.	يجب أن لا تنظر أثناء الامتحان.
You must not smoke here.	يجب أن لا تدخن هنا.
You must not tell anyone.	يجب أن لا تخبر أحدا.
You must wear a helmet.	يجب عليك ارتداء خوذة.
You must wear a seatbelt.	يجب عليك ارتداء حزام الأمان.
You mustn't be late.	لا يجب أن تتأخر.
You need to rest.	أنت بحاجة إلى الراحة.
You play the guitar?	هل تعزف على الجيتار؟
You should apologize to her.	يجب عليك أن تعتذر لها.
You should check the weather.	يجب عليك التحقق من الطقس.
You should drink more water.	يجب عليك شرب المزيد من الماء.
You should rest.	يجب أن ترتاح.
You should try the local food.	يجب أن تجرب الأطعمة المحلية.
You should wear a helmet.	يجب عليك ارتداء خوذة.
You shouldn't worry so much.	لا يجب أن تقلق كثيرًا.
You speak English very well.	أنت تتحدث الإنجليزية بشكل جيد جداً.
You were talking too fast.	كنت تتحدث بسرعة كبيرة.
You will be feeling better soon.	سوف تشعر بالتحسن قريبا.
You will enjoy this book.	سوف تستمتع بهذا الكتاب.
You will succeed if you try.	سوف تنجح إذا حاولت.
You're welcome.	على الرحب والسعة.
Your answer is more accurate than mine.	إجابتك أكثر دقة من إجابتي.
Your bag is 2 kilos overweight.	حقيبتك زائدة عن الوزن بمقدار 2 كيلو.
Your keys are on the counter.	مفاتيحك على المنضدة.
Zebra	حمار وحشي
[counter for bound volumes]	[عداد المجلدات المقيدة]
[counter for equipment]	[عداد المعدات]
[counter for flat objects]	[عداد الأجسام المسطحة]
[counter for long objects]	[عداد الأجسام الطويلة]
[counter for smaller animals]	[عداد للحيوانات الصغيرة]
[generic counter for smaller items]	[عداد عام للعناصر الصغيرة]
a	أ
a bit slower, please	أبطأ قليلا، من فضلك
a bowl; a pot	وعاء؛ وعاء
a burner; origin of a fire	الموقد أصل النار
a certain...; some...	معين...؛ بعض...
a change	تغيير
a cold	نزلة برد
a cold (illness)	البرد (المرض)
a corner	زاوية
a cup / one glass	كوب / كوب واحد
a dance	رقصة
a double-edged sword	سيف ذو حدين
a draw (in competition); tie game	التعادل (في المنافسة)؛ لعبة التعادل
a drink	مشروب
a drink, drinks	مشروب، مشروبات
a few	عدد قليل
a few seconds	بضع ثوان
a glance; a look; a glimpse	لمحة؛ نظرة؛ لمحة
a habit (often a bad habit); peculiarity	عادة (عادة سيئة في كثير من الأحيان)؛ خصوصية
a house; a home; a family; a household	منزل؛ منزل؛ عائلة؛ منزل
a joint; joining point	مشترك؛ نقطة الانضمام
a kind; a sort	نوع؛ نوع ما
a line; earnestly; blindly; straightforwardly	خط؛ بجدية؛ عمياء؛ بشكل مباشر
a little	قليلا
a little more	أكثر من ذلك بقليل
a little while ago	منذ قليل
a little; a few	قليلا؛ عدد قليل
a little; small quantity	قليلا؛ كمية صغيرة
a little; somewhat; somehow	قليلا؛ إلى حد ما؛ بطريقة أو بأخرى
a lot	كثيرا
a means; e.g. of living	وسيلة؛ على سبيل المثال من المعيشة
a moment	لحظة
a moment; an instant	لحظة؛ لحظة
a moot point	نقطة خلافية
a part	جزء
a patient	مريض
a region; a zone; the whole place	منطقة؛ منطقة؛ المكان كله
a rest	راحة
a series; a chain; a ream (of paper)	سلسلة؛ سلسلة رزمة (من الورق)
a sigh	تنهد
a snack	وجبة خفيفة
a soliloquy; a monologue; speaking to oneself	مناجاة. مونولوج؛ يتحدث إلى نفسه
a space	مساحة
a species; a kind; a variety	نوع؛ نوع؛ مجموعة متنوعة
a vase	مزهرية
a.m. / morning	صباحا/صباحا
abacus	المعداد
abandon	التخلي
abatement	تخفيض
abdomen; belly; stomach	البطن. بطن؛ المعدة
ability	القدرة
ability; efficiency	القدرة؛ الكفاءة
ability; faculty	القدرة؛ أعضاء هيئة التدريس
able	قادر
able; capable; efficient; skill	قادر؛ قادر؛ فعال؛ مهارة
abolish	إلغاء
abolition	إلغاء
abortion	الإجهاض
about	حول
about (approximate measurement)	حول (القياس التقريبي)
about / roughly	حوالي / تقريبًا
about how much	حول كم
about this much	حول هذا القدر
about; roughly; as a rule; approximately	حول؛ تقريبا؛ كقاعدة عامة؛ تقريبا
above	أعلاه
abroad	في الخارج
abruptly; suddenly; unexpectedly; all at once	فجأة؛ فجأة؛ بشكل غير متوقع؛ في كل مرة
absence	غياب
absence without notice	الغياب دون سابق إنذار
absence; non-attendance	غياب؛ عدم الحضور
absence; not at home	غياب؛ ليس في المنزل
absent	غائب
absentmindedly	شارد الذهن
absolute	مطلق
absolute; unconditional; absoluteness	مطلق؛ غير مشروط؛ مطلقة
absolutely	على الاطلاق
absorb	استيعاب
absorption; suction; attraction	الامتصاص؛ الشفط. جاذبية
abstain from voting; renunciation of a right	الامتناع عن التصويت؛ التنازل عن حق
abstract	مجردة
absurd	سخيف
abundance	وفرة
abundance; wealth; plenty; bounty	وفرة؛ ثروة؛ كثير؛ مكافأة
abundant; wealthy; plentiful; rich	وفيرة؛ ثري؛ وفير؛ غني
abuse	سوء المعاملة
abuse; insult; slander; evil speaking	سوء المعاملة؛ يسُبّ؛ القذف. التحدث بالشر
academic	أكاديمي
academic background	الخلفية الأكاديمية
academy	أكاديمية
accelerate	تسريع
acceleration	التسارع
accent	لهجة
accept	قبول
acceptable	مقبول
acceptance	القبول
access	الوصول
accessible	يمكن الوصول إليها
accident	حادث
accidentally	بطريق الخطأ
accommodate	استيعاب
accommodation	الإقامة
accompany	مرافقة
accomplish	إنجاز
accomplishment	الإنجاز
accordance	وفقا
according to	وفقا ل
according to ...	وفقا ل...
accordingly	وفقا لذلك
account	حساب
account for	حساب ل
account; finance; accountant	حساب؛ تمويل؛ محاسب
accountability	المساءلة
accountable	مسؤول
accountant	محاسب
accounting	المحاسبة
accumulate	تتراكم
accumulation	تراكم
accuracy	الدقة
accurate	دقيقة
accurate; punctuality; exactness; authenticity; veracity	دقيقة؛ الالتزام بالمواعيد. دقة؛ أصالة؛ صحة
accurately	بدقة
accusation	اتهام
accuse	يتهم
accused	متهم
achieve	تحقيق
achievement	الإنجاز
achievement; performance; results; work; contribution	الإنجاز؛ أداء؛ نتائج؛ عمل؛ مساهمة
achievements; actual results	الإنجازات؛ النتائج الفعلية
achievements; merit; meritorious service; meritorious deed	الإنجازات؛ استحقاق؛ خدمة جديرة بالتقدير؛ عمل جدير بالتقدير
acid	حمض
acidity	الحموضة
acknowledge	نعترف
acquaintance	التعارف
acquire	الحصول على
acquisition	اكتساب
acquisition; possession	الاستحواذ؛ حيازة
acre	فدان
across	عبر
act	تصرف
acting; performance	التمثيل؛ الأداء
action	عمل
action; activity	عمل؛ النشاط
action; conduct; behaviour; mobilization	عمل؛ سلوك؛ سلوك؛ التعبئة
action; movements; motions; bearing; behaviour; manners	عمل؛ الحركات؛ حركات؛ تحمل. سلوك؛ الأخلاق
activate	تفعيل
activation	التنشيط
active	نشط
activist	ناشط
activity	النشاط
actor	ممثل
actor; actress	ممثل؛ ممثلة
actor; actress; player; performer	ممثل؛ ممثلة؛ لاعب؛ المؤدي
actress	ممثلة
actual	فعلي
actual place; local	المكان الفعلي؛ محلي
actual spot; scene; scene of the crime	بقعة فعلية؛ مشهد؛ مسرح الجريمة
actually	في الواقع
actually; really	في الواقع؛ حقا
acute	حاد
ad	إعلان
adapt	التكيف
adaptation	التكيف
adapting to circumstances	التكيف مع الظروف
add	إضافة
addiction	الإدمان
addition	إضافة
addition and subtraction; allowance for	الجمع والطرح؛ بدل ل
addition; supplement; appendix	إضافة؛ ملحق؛ الملحق
additional	إضافية
additionally	بالإضافة إلى ذلك
address	عنوان
address; direction	العنوان؛ الاتجاه
addressed to	موجهة إلى
adequate	كافية
adequately	بشكل كاف
adhere	تلتزم
adjacent	المجاورة
adjectival noun; quasi-adjective	اسم صفة؛ شبه صفة
adjudicate	الفصل في الأمر
adjust	ضبط
adjustment	التعديل
adjustment; completion; consolidation	تعديل؛ انتهاء؛ التوحيد
administer	إدارة
administration	الإدارة
administrative	إداري
administrator	مسؤول
admiration; Well done!	الإعجاب؛ أحسنت!
admire	معجب
admission	القبول
admission-paid; toll	القبول مدفوع؛ حصيلة
admit	أعترف
admittedly	باعتراف الجميع
adolescent	مراهق
adopt	اعتماد
adoption	التبني
adroit	بارع
adult	بالغ
advance	تقدم
advance; drive; progress	تقدم؛ يقود؛ التقدم
advanced	متقدم
advanced level; high grade; senior	المستوى المتقدم درجة عالية كبار
advantage	ميزة
advantageous; better; profitable; lucrative	مفيد أحسن؛ مربحة. مربحة
advantages and disadvantages; interest	مزايا وعيوب. الفائدة
adventure	مغامرة
adverb	ظرف
adverse	سلبي
advertise	أعلن
advertisement	إعلان
advertising	إعلان
advice	نصيحة
advice; counsel; remonstrance; recommendation	نصيحة؛ مستشار؛ احتجاج؛ توصية
advise	تقديم المشورة
advocate	داعية
aerial; overhead; fiction; fanciful	هوائي؛ النفقات العامة. خيالي؛ خيالي
aeroplane	طائرة
aesthetic	جمالية
affair	قضية
affect	تؤثر
affectation; conceit; snobbery	التكلف؛ غرور. غطرسة
affection	المودة
affiliation	الانتماء
affirmation; confirmation	تأكيد؛ تأكيد
afford	تحمل
affordable	بأسعار معقولة
afraid	خائف
after	بعد
after (an event)	بعد (حدث)
after a long time	بعد وقت طويل
after all	بعد كل شيء
after all; eventually	بعد كل شيء؛ في نهاية المطاف
after that	بعد ذلك
after this; from now on; hereafter; thereafter	بعد هذا؛ من الآن فصاعدا؛ الآخرة؛ بعد ذلك
aftermath	أعقاب
afternoon	بعد الظهر
afterwards	بعد ذلك
afterwards; since then; in the future	بعد ذلك؛ منذ ذلك الحين؛ في المستقبل
again	مرة أخرى
again and again; repeatedly	مرارا وتكرارا. مرارا وتكرارا
again; and	مرة أخرى؛ و
again; once more; a second time	مرة أخرى؛ مرة أخرى؛ مرة ثانية
against	ضد
age	العمر
age; era; period; date	العمر؛ عصر؛ فترة؛ تاريخ
age; years	العمر؛ سنوات
aged	الذين تتراوح أعمارهم بين
agency	وكالة
agenda	جدول الأعمال
agent	وكيل
aggression	العدوان
aggressive	عدوانية
ago	منذ
ago; since; before; previous	منذ؛ منذ؛ قبل؛ السابقة
agree	أوافق
agreement	اتفاق
agreement; rules; code	اتفاق؛ قواعد؛ كود
agricultural	الزراعية
agricultural chemicals	المواد الكيميائية الزراعية
agricultural community; farm village; rural	المجتمع الزراعي؛ قرية المزرعة ريفي
agricultural produce	المنتجات الزراعية
agriculture	الزراعة
ah	آه
ahead	قدما
aid	مساعدة
aid / assistance	المعونة / المساعدة
aid; assistance; help; reinforcement	مساعدة؛ مساعدة؛ يساعد؛ التعزيز
aide	مساعد
aim	الهدف
air	الهواء
air conditioner	مكيف الهواء
air conditioning	تكييف الهواء
air; atmosphere	الهواء؛ الجو
aircraft	الطائرات
airline	شركة طيران
airplane	طائرة
airport	المطار
alarm	إنذار
alarm clock	المنبه
albeit	وإن كان
album	الألبوم
alcohol	الكحول
alcohol / sake	الكحول / ساكي
alcohol; rice wine	الكحول. نبيذ الأرز
alcohol; sake	الكحول. من أجل
alcoholic	كحولي
alcove	الكوة
alert	تنبيه
alien	كائن فضائي
alighting; getting off	النزول. النزول
align	محاذاة
alignment	محاذاة
alike	على حد سواء
alive	على قيد الحياة
all	الكل
all (of the people) together	كل (الناس) معا
all at once	في كل مرة
all day long	طوال اليوم
all members (unanimity); all hands; the whole crew	جميع الأعضاء (الإجماع)؛ كل الأيدي؛ الطاقم بأكمله
all night; all night vigil; sleepless night	طوال الليل؛ الوقفة الاحتجاجية طوال الليل. ليلة بلا نوم
all of you (respect)	لكم جميعا (الاحترام)
all over; given in; given up hope; bring to knees	في كل مكان؛ الواردة في؛ تخلى عن الأمل؛ جلب على الركبتين
all present; all concerned; all of us	كل الحاضرين؛ جميع المعنيين؛ كل واحد منا
all right	حسنًا
all together; batch; one lump; one bundle; summing up	كل ذلك معًا؛ حزمة؛ كتلة واحدة حزمة واحدة تلخيص
all; entirely; completely; without exception	الكل؛ تماما؛ بالكامل؛ بدون استثناء
all; everyone; everybody	الكل؛ الجميع؛ الجميع
all; everything; without exception; the whole; entirely; absolutely	الكل؛ كل شئ؛ بلا استثناء؛ الكل؛ تماما؛ على الاطلاق
all; the whole; entirely; in general; wholly	الكل؛ الكل؛ تماما؛ على العموم؛ بالكامل
all; whole; entire; complete; overall; pan	الكل؛ جميع؛ كامل؛ مكتمل؛ إجمالي؛ عموم
allegation	ادعاء
allege	يزعم
allegedly	يزعم
alliance	تحالف
allocate	تخصيص
allocation	التخصيص
allotment; assignment; allocation; quota; rationing	تخصيص؛ تكليف؛ توزيع؛ الحصة؛ تقنين
allow	السماح
allowance	بدل
allowance; grant; supply	بدل؛ منحة؛ العرض
allude	يلمح
ally	حليف
almost	تقريبا
almost / hardly	تقريبا / بالكاد
alone	وحده
alone; unmarried	وحده؛ غير متزوج
along	على طول
along railway line	على طول خط السكة الحديد
along the lines of	على غرار
along with	جنبا إلى جنب مع
alongside	جنبا إلى جنب
already	بالفعل
already; too late	بالفعل؛ بعد فوات الأوان
also	ايضا
alter	تغيير
alternating current; intercourse; (cultural) exchange; intermingling	التيار المتردد الجماع. التبادل (الثقافي)؛ الاختلاط
alternation; change; relief; relay; shift	التناوب. يتغير؛ اِرتِياح؛ تتابع. التحول
