#NAME?	#NAME?
(1) (Japanese) maple	(1) (ಜಪಾನೀಸ್) ಮೇಪಲ್
Please call a taxi to the airport.	ದಯವಿಟ್ಟು ವಿಮಾನ ನಿಲ್ದಾಣಕ್ಕೆ ಟ್ಯಾಕ್ಸಿಗೆ ಕರೆ ಮಾಡಿ.
Please call an ambulance.	ದಯವಿಟ್ಟು ಆಂಬ್ಯುಲೆನ್ಸ್‌ಗೆ ಕರೆ ಮಾಡಿ.
Please call me.	ದಯವಿಟ್ಟು ನನಗೆ ಕರೆ ಮಾಡಿ.
Please call someone.	ದಯವಿಟ್ಟು ಯಾರಿಗಾದರೂ ಕರೆ ಮಾಡಿ.
Please call the police.	ದಯವಿಟ್ಟು ಪೊಲೀಸರಿಗೆ ಕರೆ ಮಾಡಿ.
Please carry this.	ದಯವಿಟ್ಟು ಇದನ್ನು ಒಯ್ಯಿರಿ.
Please close the door.	ದಯವಿಟ್ಟು ಬಾಗಿಲು ಮುಚ್ಚಿ.
Please come again.	ದಯವಿಟ್ಟು ಮತ್ತೊಮ್ಮೆ ಬನ್ನಿ.
Please come back soon.	ದಯವಿಟ್ಟು ಬೇಗ ಹಿಂತಿರುಗಿ.
Please come here.	ದಯವಿಟ್ಟು ಇಲ್ಲಿಗೆ ಬನ್ನಿ.
Please come this way.	ದಯವಿಟ್ಟು ಈ ಕಡೆ ಬನ್ನಿ.
Please come tomorrow.	ದಯವಿಟ್ಟು ನಾಳೆ ಬನ್ನಿ.
Please cut this paper.	ದಯವಿಟ್ಟು ಈ ಕಾಗದವನ್ನು ಕತ್ತರಿಸಿ.
Please don't break it.	ದಯವಿಟ್ಟು ಅದನ್ನು ಮುರಿಯಬೇಡಿ.
Please don't come late.	ದಯವಿಟ್ಟು ತಡವಾಗಿ ಬರಬೇಡಿ.
Please don't enter this room.	ದಯವಿಟ್ಟು ಈ ಕೊಠಡಿಯನ್ನು ಪ್ರವೇಶಿಸಬೇಡಿ.
Please don't forget.	ದಯವಿಟ್ಟು ಮರೆಯಬೇಡಿ.
Please don't smoke here.	ದಯವಿಟ್ಟು ಇಲ್ಲಿ ಧೂಮಪಾನ ಮಾಡಬೇಡಿ.
Please don't smoke.	ದಯವಿಟ್ಟು ಧೂಮಪಾನ ಮಾಡಬೇಡಿ.
Please don't talk here.	ದಯವಿಟ್ಟು ಇಲ್ಲಿ ಮಾತನಾಡಬೇಡಿ.
Please don't talk while eating.	ದಯವಿಟ್ಟು ಊಟ ಮಾಡುವಾಗ ಮಾತನಾಡಬೇಡಿ.
Please don't worry.	ದಯವಿಟ್ಟು ಚಿಂತಿಸಬೇಡಿ.
Please drink lots of water.	ದಯವಿಟ್ಟು ಸಾಕಷ್ಟು ನೀರು ಕುಡಿಯಿರಿ.
Please drive slowly.	ದಯವಿಟ್ಟು ನಿಧಾನವಾಗಿ ಚಾಲನೆ ಮಾಡಿ.
Please email me the file.	ದಯವಿಟ್ಟು ಫೈಲ್ ಅನ್ನು ನನಗೆ ಇಮೇಲ್ ಮಾಡಿ.
Please explain it again.	ದಯವಿಟ್ಟು ಅದನ್ನು ಮತ್ತೊಮ್ಮೆ ವಿವರಿಸಿ.
Please fasten your seatbelt.	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಸೀಟ್‌ಬೆಲ್ಟ್ ಅನ್ನು ಕಟ್ಟಿಕೊಳ್ಳಿ.
Please fill it with gas.	ದಯವಿಟ್ಟು ಅದನ್ನು ಅನಿಲದಿಂದ ತುಂಬಿಸಿ.
Please fill out this form.	ದಯವಿಟ್ಟು ಈ ಫಾರ್ಮ್ ಅನ್ನು ಭರ್ತಿ ಮಾಡಿ.
Please get off here.	ದಯವಿಟ್ಟು ಇಲ್ಲಿಂದ ಇಳಿಯಿರಿ.
Please give me a coffee.	ದಯವಿಟ್ಟು ನನಗೆ ಕಾಫಿ ಕೊಡಿ.
Please give me coffee.	ದಯವಿಟ್ಟು ನನಗೆ ಕಾಫಿ ಕೊಡಿ.
Please give me some water.	ದಯವಿಟ್ಟು ನನಗೆ ಸ್ವಲ್ಪ ನೀರು ಕೊಡಿ.
Please give me the menu.	ದಯವಿಟ್ಟು ನನಗೆ ಮೆನು ನೀಡಿ.
Please give me this book.	ದಯವಿಟ್ಟು ಈ ಪುಸ್ತಕವನ್ನು ನನಗೆ ಕೊಡು.
Please give me three pens.	ದಯವಿಟ್ಟು ನನಗೆ ಮೂರು ಪೆನ್ನುಗಳನ್ನು ಕೊಡಿ.
Please give me two apples.	ದಯವಿಟ್ಟು ನನಗೆ ಎರಡು ಸೇಬುಗಳನ್ನು ನೀಡಿ.
Please give me water.	ದಯವಿಟ್ಟು ನನಗೆ ನೀರು ಕೊಡಿ.
Please give me...	ದಯವಿಟ್ಟು ನನಗೆ ಕೊಡು...
Please give my best regards (to ...)	ದಯವಿಟ್ಟು ನನ್ನ ಶುಭಾಶಯಗಳನ್ನು ನೀಡಿ (ಗೆ...)
Please go buy some milk.	ದಯವಿಟ್ಟು ಸ್ವಲ್ಪ ಹಾಲು ಖರೀದಿಸಿ.
Please go straight.	ದಯವಿಟ್ಟು ನೇರವಾಗಿ ಹೋಗಿ.
Please go that way.	ದಯವಿಟ್ಟು ಆ ಕಡೆ ಹೋಗು.
Please help me!	ದಯವಿಟ್ಟು ನನಗೆ ಸಹಾಯ ಮಾಡಿ!
Please help me.	ದಯವಿಟ್ಟು ನನಗೆ ಸಹಾಯ ಮಾಡಿ.
Please hold on a moment.	ದಯವಿಟ್ಟು ಸ್ವಲ್ಪ ಕಾಯಿರಿ.
Please leave home and come back	ದಯವಿಟ್ಟು ಮನೆ ಬಿಟ್ಟು ಹಿಂತಿರುಗಿ
Please look at this photo.	ದಯವಿಟ್ಟು ಈ ಫೋಟೋವನ್ನು ನೋಡಿ.
Please look at this.	ದಯವಿಟ್ಟು ಇದನ್ನು ನೋಡಿ.
Please open the door.	ದಯವಿಟ್ಟು ಬಾಗಿಲು ತೆರೆಯಿರಿ.
Please open the window.	ದಯವಿಟ್ಟು ವಿಂಡೋವನ್ನು ತೆರೆಯಿರಿ.
Please read this book.	ದಯವಿಟ್ಟು ಈ ಪುಸ್ತಕವನ್ನು ಓದಿ.
Please rest today.	ದಯವಿಟ್ಟು ಇಂದು ವಿಶ್ರಾಂತಿ ಪಡೆಯಿರಿ.
Please say it again.	ದಯವಿಟ್ಟು ಮತ್ತೊಮ್ಮೆ ಹೇಳಿ.
Please say it once more.	ದಯವಿಟ್ಟು ಇನ್ನೊಮ್ಮೆ ಹೇಳಿ.
Please send an email.	ದಯವಿಟ್ಟು ಇಮೇಲ್ ಕಳುಹಿಸಿ.
Please send the photo.	ದಯವಿಟ್ಟು ಫೋಟೋ ಕಳುಹಿಸಿ.
Please show me the menu.	ದಯವಿಟ್ಟು ನನಗೆ ಮೆನು ತೋರಿಸಿ.
Please sing a song.	ದಯವಿಟ್ಟು ಒಂದು ಹಾಡು ಹಾಡಿ.
Please sit here.	ದಯವಿಟ್ಟು ಇಲ್ಲಿ ಕುಳಿತುಕೊಳ್ಳಿ.
Please sit on this chair.	ದಯವಿಟ್ಟು ಈ ಕುರ್ಚಿಯ ಮೇಲೆ ಕುಳಿತುಕೊಳ್ಳಿ.
Please sleep early.	ದಯವಿಟ್ಟು ಬೇಗ ಮಲಗು.
Please speak in a loud voice.	ದಯವಿಟ್ಟು ದೊಡ್ಡ ಧ್ವನಿಯಲ್ಲಿ ಮಾತನಾಡಿ.
Please speak slowly.	ದಯವಿಟ್ಟು ನಿಧಾನವಾಗಿ ಮಾತನಾಡಿ.
Please speak with feeling.	ದಯವಿಟ್ಟು ಭಾವನೆಯಿಂದ ಮಾತನಾಡಿ.
Please step back.	ದಯವಿಟ್ಟು ಹಿಂದೆ ಸರಿಯಿರಿ.
Please stop making noise.	ದಯವಿಟ್ಟು ಶಬ್ದ ಮಾಡುವುದನ್ನು ನಿಲ್ಲಿಸಿ.
Please take a photo.	ದಯವಿಟ್ಟು ಫೋಟೋ ತೆಗೆಯಿರಿ.
Please take me to the hospital.	ದಯವಿಟ್ಟು ನನ್ನನ್ನು ಆಸ್ಪತ್ರೆಗೆ ಕರೆದುಕೊಂಡು ಹೋಗು.
Please take me to this address.	ದಯವಿಟ್ಟು ನನ್ನನ್ನು ಈ ವಿಳಾಸಕ್ಕೆ ಕರೆದುಕೊಂಡು ಹೋಗು.
Please take out the trash.	ದಯವಿಟ್ಟು ಕಸವನ್ನು ಹೊರತೆಗೆಯಿರಿ.
Please take that photo.	ದಯವಿಟ್ಟು ಆ ಫೋಟೋ ತೆಗೆಯಿರಿ.
Please take this medicine.	ದಯವಿಟ್ಟು ಈ ಔಷಧಿಯನ್ನು ತೆಗೆದುಕೊಳ್ಳಿ.
Please teach me.	ದಯವಿಟ್ಟು ನನಗೆ ಕಲಿಸಿ.
Please tell me the phone number.	ದಯವಿಟ್ಟು ನನಗೆ ಫೋನ್ ಸಂಖ್ಯೆಯನ್ನು ತಿಳಿಸಿ.
Please tell me your phone number.	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಫೋನ್ ಸಂಖ್ಯೆಯನ್ನು ನನಗೆ ತಿಳಿಸಿ.
Please turn down the music.	ದಯವಿಟ್ಟು ಸಂಗೀತವನ್ನು ತಿರಸ್ಕರಿಸಿ.
Please turn left.	ದಯವಿಟ್ಟು ಎಡಕ್ಕೆ ತಿರುಗಿ.
Please turn off your phone.	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಫೋನ್ ಅನ್ನು ಆಫ್ ಮಾಡಿ.
Please turn right.	ದಯವಿಟ್ಟು ಬಲಕ್ಕೆ ತಿರುಗಿ.
Please turn up the volume.	ದಯವಿಟ್ಟು ವಾಲ್ಯೂಮ್ ಅನ್ನು ಹೆಚ್ಚಿಸಿ.
Please wait a moment.	ದಯವಿಟ್ಟು ಸ್ವಲ್ಪ ನಿರೀಕ್ಷಿಸಿ.
Please wait for the bus.	ದಯವಿಟ್ಟು ಬಸ್ಸಿಗಾಗಿ ಕಾಯಿರಿ.
Please wait here.	ದಯವಿಟ್ಟು ಇಲ್ಲಿ ನಿರೀಕ್ಷಿಸಿ.
Please wake up early tomorrow.	ದಯವಿಟ್ಟು ನಾಳೆ ಬೇಗ ಎದ್ದೇಳಿ.
Please wear a jacket.	ದಯವಿಟ್ಟು ಜಾಕೆಟ್ ಧರಿಸಿ.
Please write here.	ದಯವಿಟ್ಟು ಇಲ್ಲಿ ಬರೆಯಿರಿ.
Please write it down.	ದಯವಿಟ್ಟು ಅದನ್ನು ಬರೆಯಿರಿ.
Please write your name.	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಹೆಸರನ್ನು ಬರೆಯಿರಿ.
Prices are rising.	ಬೆಲೆಗಳು ಏರುತ್ತಿವೆ.
Prime Minister	ಪ್ರಧಾನ ಮಂತ್ರಿ
Queen	ರಾಣಿ
Rabbit	ಮೊಲ
Ramen, please.	ರಾಮನ್, ದಯವಿಟ್ಟು.
Rarely does he eat out.	ವಿರಳವಾಗಿ ಅವನು ಹೊರಗೆ ತಿನ್ನುತ್ತಾನೆ.
Reading helps me improve.	ಓದುವಿಕೆ ನನಗೆ ಸುಧಾರಿಸಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ.
Really?	ನಿಜವಾಗಿಯೂ?
Relationships need care.	ಸಂಬಂಧಗಳಿಗೆ ಕಾಳಜಿ ಬೇಕು.
Rice is eaten in many countries.	ಅನೇಕ ದೇಶಗಳಲ್ಲಿ ಅಕ್ಕಿಯನ್ನು ತಿನ್ನಲಾಗುತ್ತದೆ.
Right or left, which one?	ಬಲ ಅಥವಾ ಎಡ, ಯಾವುದು?
Room key, please.	ರೂಮ್ ಕೀ, ದಯವಿಟ್ಟು.
Rules are made to be broken.	ನಿಯಮಗಳನ್ನು ಮುರಿಯಲು ಮಾಡಲಾಗಿದೆ.
Run!	ಓಡಿ!
Sadly, I couldn't go to the party.	ದುಃಖಕರವೆಂದರೆ ನಾನು ಪಾರ್ಟಿಗೆ ಹೋಗಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
Saturday	ಶನಿವಾರ
Saturday (short)	ಶನಿವಾರ (ಸಣ್ಣ)
School was closed.	ಶಾಲೆ ಮುಚ್ಚಲಾಗಿತ್ತು.
See you later!	ನಂತರ ನೋಡೋಣ!
See you next week!	ಮುಂದಿನ ವಾರ ನೋಡೋಣ!
See you next week.	ಮುಂದಿನ ವಾರ ನೋಡೋಣ.
See you tomorrow!	ನಾಳೆ ನೋಡೋಣ!
See you tomorrow.	ನಾಳೆ ನೋಡೋಣ.
See you. (lit., I'm leaving ahead of you.)	ನಿಮ್ಮನ್ನು ನೋಡಿ. (ಲಿಟ್., ನಾನು ನಿಮ್ಮ ಮುಂದೆ ಹೊರಡುತ್ತಿದ್ದೇನೆ.)
Seldom do we see such dedication.	ಅಂತಹ ಸಮರ್ಪಣೆಯನ್ನು ನಾವು ವಿರಳವಾಗಿ ನೋಡುತ್ತೇವೆ.
September	ಸೆಪ್ಟೆಂಬರ್
Shall I carry your bag?	ನಾನು ನಿಮ್ಮ ಚೀಲವನ್ನು ಒಯ್ಯಬೇಕೇ?
Shall I help you?	ನಾನು ನಿಮಗೆ ಸಹಾಯ ಮಾಡಲೇ?
Shall I help?	ನಾನು ಸಹಾಯ ಮಾಡಲೇ?
Shall I make tea?	ನಾನು ಚಹಾ ಮಾಡಲೇ?
Shall I open the door?	ನಾನು ಬಾಗಿಲು ತೆರೆಯಬೇಕೇ?
Shall I open the window?	ನಾನು ಕಿಟಕಿಯನ್ನು ತೆರೆಯಬೇಕೇ?
Shall we eat together?	ಒಟ್ಟಿಗೆ ಊಟ ಮಾಡೋಣವೇ?
Shall we go watch a movie?	ನಾವು ಸಿನಿಮಾ ನೋಡಲು ಹೋಗೋಣವೇ?
She always smiles at me.	ಅವಳು ಯಾವಾಗಲೂ ನನ್ನನ್ನು ನೋಡಿ ನಗುತ್ತಾಳೆ.
She asked if I wanted coffee.	ನನಗೆ ಕಾಫಿ ಬೇಕೇ ಎಂದು ಕೇಳಿದಳು.
She asked if I was okay.	ನಾನು ಸರಿಯೇ ಎಂದು ಕೇಳಿದಳು.
She ate an apple.	ಅವಳು ಸೇಬು ತಿಂದಳು.
She ate an orange.	ಅವಳು ಕಿತ್ತಳೆ ತಿಂದಳು.
She bought a dress.	ಅವಳು ಉಡುಪನ್ನು ಖರೀದಿಸಿದಳು.
She bought a new phone.	ಅವಳು ಹೊಸ ಫೋನ್ ಖರೀದಿಸಿದಳು.
She bought some flowers.	ಅವಳು ಕೆಲವು ಹೂವುಗಳನ್ನು ಖರೀದಿಸಿದಳು.
She can play the piano.	ಅವಳು ಪಿಯಾನೋ ನುಡಿಸಬಲ್ಲಳು.
She can speak French; he can too.	ಅವಳು ಫ್ರೆಂಚ್ ಮಾತನಾಡಬಲ್ಲಳು; ಅವನೂ ಮಾಡಬಹುದು.
She can speak three languages.	ಅವಳು ಮೂರು ಭಾಷೆಗಳನ್ನು ಮಾತನಾಡಬಲ್ಲಳು.
She climbed up the stairs.	ಅವಳು ಮೆಟ್ಟಿಲುಗಳನ್ನು ಹತ್ತಿದಳು.
She couldn't come to class yesterday.	ಅವಳು ನಿನ್ನೆ ತರಗತಿಗೆ ಬರಲಾಗಲಿಲ್ಲ.
She decided to study abroad.	ಅವಳು ವಿದೇಶದಲ್ಲಿ ಅಧ್ಯಯನ ಮಾಡಲು ನಿರ್ಧರಿಸಿದಳು.
She didn't watch TV.	ಅವಳು ಟಿವಿ ನೋಡಲಿಲ್ಲ.
She doesn't drink much coffee.	ಅವಳು ಹೆಚ್ಚು ಕಾಫಿ ಕುಡಿಯುವುದಿಲ್ಲ.
She doesn't eat fish.	ಅವಳು ಮೀನು ತಿನ್ನುವುದಿಲ್ಲ.
She doesn't have any time.	ಅವಳಿಗೆ ಸಮಯವಿಲ್ಲ.
She doesn't like loud music.	ಅವಳು ಜೋರಾಗಿ ಸಂಗೀತವನ್ನು ಇಷ್ಟಪಡುವುದಿಲ್ಲ.
She doesn't work on Fridays.	ಅವಳು ಶುಕ್ರವಾರ ಕೆಲಸ ಮಾಡುವುದಿಲ್ಲ.
She fell under the table.	ಅವಳು ಮೇಜಿನ ಕೆಳಗೆ ಬಿದ್ದಳು.
She finished cooking dinner.	ಅವಳು ರಾತ್ರಿಯ ಅಡುಗೆ ಮುಗಿಸಿದಳು.
She goes to bed at night.	ರಾತ್ರಿ ಮಲಗಲು ಹೋಗುತ್ತಾಳೆ.
She had already left when I called.	ನಾನು ಕರೆದಾಗ ಅವಳು ಆಗಲೇ ಹೊರಟು ಹೋಗಿದ್ದಳು.
She had cooked dinner by the time we got home.	ನಾವು ಮನೆಗೆ ಬರುವಷ್ಟರಲ್ಲಿ ಅವಳು ಊಟವನ್ನು ತಯಾರಿಸಿದ್ದಳು.
She had forgotten my name.	ಅವಳು ನನ್ನ ಹೆಸರನ್ನು ಮರೆತಿದ್ದಳು.
She had studied hard before the exam.	ಪರೀಕ್ಷೆಗೂ ಮುನ್ನ ಕಷ್ಟಪಟ್ಟು ಓದಿದ್ದಳು.
She had to take a taxi.	ಅವಳು ಟ್ಯಾಕ್ಸಿ ತೆಗೆದುಕೊಳ್ಳಬೇಕಾಗಿತ್ತು.
She has a dog and a cat.	ಆಕೆಗೆ ನಾಯಿ ಮತ್ತು ಬೆಕ್ಕು ಇದೆ.
She has a good job.	ಆಕೆಗೆ ಒಳ್ಳೆಯ ಕೆಲಸವಿದೆ.
She has a lot of clothes.	ಅವಳ ಬಳಿ ಸಾಕಷ್ಟು ಬಟ್ಟೆಗಳಿವೆ.
She has already left.	ಅವಳು ಆಗಲೇ ಹೊರಟು ಹೋಗಿದ್ದಾಳೆ.
She has become a great singer.	ಅವಳು ದೊಡ್ಡ ಗಾಯಕಿಯಾಗಿದ್ದಾಳೆ.
She has been cooking since morning.	ಬೆಳಗ್ಗಿನಿಂದಲೇ ಅಡುಗೆ ಮಾಡುತ್ತಿದ್ದಳು.
She has been crying.	ಅವಳು ಅಳುತ್ತಲೇ ಬಂದಿದ್ದಾಳೆ.
She has been learning to cook.	ಅಡುಗೆ ಕಲಿಯುತ್ತಿದ್ದಾಳೆ.
She has been looking for a new job.	ಅವಳು ಹೊಸ ಉದ್ಯೋಗವನ್ನು ಹುಡುಕುತ್ತಿದ್ದಾಳೆ.
She has been sick since Monday.	ಸೋಮವಾರದಿಂದ ಆಕೆ ಅನಾರೋಗ್ಯದಿಂದ ಬಳಲುತ್ತಿದ್ದಳು.
She has finished her homework.	ಅವಳು ತನ್ನ ಮನೆಕೆಲಸವನ್ನು ಮುಗಿಸಿದ್ದಾಳೆ.
She has long hair.	ಅವಳಿಗೆ ಉದ್ದನೆಯ ಕೂದಲು ಇದೆ.
She has many friends.	ಆಕೆಗೆ ಅನೇಕ ಸ್ನೇಹಿತರಿದ್ದಾರೆ.
She has some money.	ಅವಳ ಬಳಿ ಸ್ವಲ್ಪ ಹಣವಿದೆ.
She has three boxes.	ಅವಳ ಬಳಿ ಮೂರು ಪೆಟ್ಟಿಗೆಗಳಿವೆ.
She has three children.	ಆಕೆಗೆ ಮೂವರು ಮಕ್ಕಳಿದ್ದಾರೆ.
She has to cook dinner.	ಅವಳು ಭೋಜನವನ್ನು ಬೇಯಿಸಬೇಕು.
She has to wake up early.	ಅವಳು ಬೇಗ ಏಳಬೇಕು.
She has to work on Saturday.	ಅವಳು ಶನಿವಾರ ಕೆಲಸ ಮಾಡಬೇಕು.
She has worked here since 2019.	ಅವರು 2019 ರಿಂದ ಇಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ.
She has written three books.	ಅವಳು ಮೂರು ಪುಸ್ತಕಗಳನ್ನು ಬರೆದಿದ್ದಾಳೆ.
She hates waking up early.	ಅವಳು ಬೇಗನೆ ಏಳುವುದನ್ನು ದ್ವೇಷಿಸುತ್ತಾಳೆ.
She is a doctor.	ಅವಳು ವೈದ್ಯೆ.
She is an engineer.	ಅವಳು ಇಂಜಿನಿಯರ್.
She is capable of solving complex problems.	ಅವಳು ಸಂಕೀರ್ಣ ಸಮಸ್ಯೆಗಳನ್ನು ಪರಿಹರಿಸಲು ಸಮರ್ಥಳು.
She is cooking dinner.	ಅವಳು ಭೋಜನವನ್ನು ಅಡುಗೆ ಮಾಡುತ್ತಿದ್ದಾಳೆ.
She is going to become a doctor.	ಅವಳು ವೈದ್ಯೆಯಾಗಲಿದ್ದಾಳೆ.
She is going to buy a new phone.	ಅವಳು ಹೊಸ ಫೋನ್ ಖರೀದಿಸಲಿದ್ದಾಳೆ.
She is going to call you tonight.	ಅವಳು ಇಂದು ರಾತ್ರಿ ನಿಮಗೆ ಕರೆ ಮಾಡಲಿದ್ದಾಳೆ.
She is good at cooking.	ಅವಳು ಅಡುಗೆ ಮಾಡುವುದರಲ್ಲಿ ನಿಪುಣಳು.
She is having her house painted.	ಅವಳು ತನ್ನ ಮನೆಗೆ ಬಣ್ಣ ಬಳಿಯುತ್ತಿದ್ದಾಳೆ.
She is my mother.	ಅವಳು ನನ್ನ ತಾಯಿ.
She is my younger sister.	ಅವಳು ನನ್ನ ತಂಗಿ.
She is not at home.	ಅವಳು ಮನೆಯಲ್ಲಿಲ್ಲ.
She is standing at the door.	ಅವಳು ಬಾಗಿಲಲ್ಲಿ ನಿಂತಿದ್ದಾಳೆ.
She is the best student.	ಅವಳು ಅತ್ಯುತ್ತಮ ವಿದ್ಯಾರ್ಥಿನಿ.
She is the most beautiful.	ಅವಳು ಅತ್ಯಂತ ಸುಂದರಿ.
She is the most talented student.	ಅವಳು ಅತ್ಯಂತ ಪ್ರತಿಭಾವಂತ ವಿದ್ಯಾರ್ಥಿನಿ.
She is the tallest in her class.	ಅವಳು ತನ್ನ ತರಗತಿಯಲ್ಲಿ ಅತ್ಯಂತ ಎತ್ತರದವಳು.
She is wearing a red dress.	ಅವಳು ಕೆಂಪು ಬಟ್ಟೆಯನ್ನು ಧರಿಸಿದ್ದಾಳೆ.
She is writing a letter.	ಅವಳು ಪತ್ರ ಬರೆಯುತ್ತಿದ್ದಾಳೆ.
She lives in Mumbai.	ಅವಳು ಮುಂಬೈನಲ್ಲಿ ವಾಸಿಸುತ್ತಾಳೆ.
She lives in Tokyo.	ಅವಳು ಟೋಕಿಯೊದಲ್ಲಿ ವಾಸಿಸುತ್ತಾಳೆ.
She looked as if she were about to burst into tears.	ಅವಳು ಅಳಲು ತೋಡಿಕೊಳ್ಳುವವಳಂತೆ ಕಾಣುತ್ತಿದ್ದಳು.
She looks like her mother.	ಅವಳು ತನ್ನ ತಾಯಿಯಂತೆ ಕಾಣುತ್ತಾಳೆ.
She made a delicious cake.	ಅವಳು ರುಚಿಕರವಾದ ಕೇಕ್ ಮಾಡಿದಳು.
She made some cookies.	ಅವಳು ಕೆಲವು ಕುಕೀಗಳನ್ನು ಮಾಡಿದಳು.
She may call you later.	ಅವಳು ನಿಮಗೆ ನಂತರ ಕರೆ ಮಾಡಬಹುದು.
She may come to the party.	ಅವಳು ಪಾರ್ಟಿಗೆ ಬರಬಹುದು.
She may not come today.	ಅವಳು ಇಂದು ಬರದೇ ಇರಬಹುದು.
She might be sleeping now.	ಅವಳು ಈಗ ಮಲಗಿರಬಹುದು.
She might not be feeling well.	ಅವಳಿಗೆ ಚೆನ್ನಾಗಿಲ್ಲದಿರಬಹುದು.
She moved to a new city.	ಅವಳು ಹೊಸ ನಗರಕ್ಕೆ ತೆರಳಿದಳು.
She must see a doctor.	ಅವಳು ವೈದ್ಯರನ್ನು ನೋಡಬೇಕು.
She needs to rest.	ಅವಳು ವಿಶ್ರಾಂತಿ ಪಡೆಯಬೇಕು.
She plays the piano.	ಅವಳು ಪಿಯಾನೋ ನುಡಿಸುತ್ತಾಳೆ.
She promised to call me.	ಅವಳು ನನಗೆ ಕರೆ ಮಾಡುವುದಾಗಿ ಭರವಸೆ ನೀಡಿದಳು.
She pushed the box across the floor.	ಅವಳು ಪೆಟ್ಟಿಗೆಯನ್ನು ನೆಲದ ಮೇಲೆ ತಳ್ಳಿದಳು.
She ran across the street.	ಅವಳು ಬೀದಿಯಲ್ಲಿ ಓಡಿದಳು.
She realized she had forgotten her keys.	ಅವಳು ತನ್ನ ಕೀಲಿಗಳನ್ನು ಮರೆತಿದ್ದಾಳೆಂದು ಅವಳು ಅರಿತುಕೊಂಡಳು.
She remembered to bring the tickets.	ಅವಳು ಟಿಕೆಟ್ ತರಲು ನೆನಪಿಸಿಕೊಂಡಳು.
She runs faster than me.	ಅವಳು ನನಗಿಂತ ವೇಗವಾಗಿ ಓಡುತ್ತಾಳೆ.
She said it was raining outside.	ಹೊರಗೆ ಮಳೆ ಬರುತ್ತಿದೆ ಎಂದಳು.
She said she could swim.	ಅವಳು ಈಜಬಹುದು ಎಂದು ಹೇಳಿದಳು.
She said she had finished the work.	ಕೆಲಸ ಮುಗಿಸಿದೆ ಎಂದಳು.
She said she was learning English.	ಅವಳು ಇಂಗ್ಲಿಷ್ ಕಲಿಯುತ್ತಿರುವುದಾಗಿ ಹೇಳಿದಳು.
She said she would call me.	ಅವಳು ನನಗೆ ಕರೆ ಮಾಡುವುದಾಗಿ ಹೇಳಿದಳು.
She said that she was tired.	ಸುಸ್ತಾಗಿದೆ ಎಂದಳು.
She said the food was delicious.	ಊಟ ರುಚಿಕರವಾಗಿದೆ ಎಂದಳು.
She sat in front of the TV.	ಟಿವಿ ಮುಂದೆ ಕುಳಿತಳು.
She should bring an umbrella.	ಅವಳು ಕೊಡೆ ತರಬೇಕು.
She should eat healthier food.	ಅವಳು ಆರೋಗ್ಯಕರ ಆಹಾರವನ್ನು ಸೇವಿಸಬೇಕು.
She should study harder.	ಅವಳು ಕಷ್ಟಪಟ್ಟು ಓದಬೇಕು.
She sings more beautifully than him.	ಅವನಿಗಿಂತ ಸುಂದರವಾಗಿ ಹಾಡುತ್ತಾಳೆ.
She spent a lot of money.	ಅವಳು ಸಾಕಷ್ಟು ಹಣವನ್ನು ಖರ್ಚು ಮಾಡಿದಳು.
She stepped out of the car.	ಅವಳು ಕಾರಿನಿಂದ ಇಳಿದಳು.
She studied for two hours.	ಅವಳು ಎರಡು ಗಂಟೆಗಳ ಕಾಲ ಅಧ್ಯಯನ ಮಾಡಿದಳು.
She suggested going to the park.	ಅವಳು ಉದ್ಯಾನವನಕ್ಕೆ ಹೋಗಲು ಸೂಚಿಸಿದಳು.
She teaches at a school.	ಅವಳು ಶಾಲೆಯಲ್ಲಿ ಕಲಿಸುತ್ತಾಳೆ.
She told me not to worry.	ಚಿಂತಿಸಬೇಡ ಎಂದಳು.
She told me she would call.	ಅವಳು ಕರೆ ಮಾಡುವುದಾಗಿ ಹೇಳಿದಳು.
She told me that she loved me.	ಅವಳು ನನ್ನನ್ನು ಪ್ರೀತಿಸುತ್ತಿದ್ದಳು ಎಂದು ಹೇಳಿದಳು.
She used to live in Mumbai.	ಅವಳು ಮುಂಬೈನಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದಳು.
She walked into the room.	ಕೋಣೆಗೆ ನಡೆದಳು.
She was born in June.	ಅವಳು ಜೂನ್ ನಲ್ಲಿ ಜನಿಸಿದಳು.
She was born on a Sunday.	ಅವಳು ಭಾನುವಾರದಂದು ಜನಿಸಿದಳು.
She was cooking when I arrived.	ನಾನು ಬಂದಾಗ ಅವಳು ಅಡುಗೆ ಮಾಡುತ್ತಿದ್ದಳು.
She was cooking while he was working.	ಅವನು ಕೆಲಸ ಮಾಡುವಾಗ ಅವಳು ಅಡುಗೆ ಮಾಡುತ್ತಿದ್ದಳು.
She was singing in the shower.	ಶವರ್ ನಲ್ಲಿ ಹಾಡುತ್ತಿದ್ದಳು.
