वाह!	Wow!
उसकी राष्ट्रीयता क्या है?	What is his nationality?
क्या आपने खाना खा लिया ?	Have you eaten your food?
वह मेरी बात नहीं सुनेगा।	He will not listen to me.
मुझसे और नहीं चला जाएगा।	I can't walk any further.
मेरा भाग जाने का मन हुआ।	I felt like running away.
क्या आपके पापा टीचर हैं?	Is your father a teacher?
डॉक्टर ने मेरी नब्ज़ ली।	The doctor felt my pulse.
टोक्यो बहुत बड़ा शहर है।	Tokyo is a very big city.
तुम्हारी शादी कब हुई थी?	When did you get married?
तुमने मुझे पागल कर दिया।	You made me lose my mind.
उसने मुझे लिखना सिखाया।	He taught me how to write.
मैं इस बार नहीं आ सकता।	I can't make it this time.
मुझे उसकी झलक दिखाई दी।	I caught a glimpse of her.
मैं छाँओं में खड़ा हूँ।	I'm standing in the shade.
मेरी एक अटैची ग़ायब है।	One of my bags is missing.
हम शादी से संबंधित हैं।	We're related by marriage.
अभी तक तुमने कुछ किया?	Have you done anything yet?
उसने काम अपने-आप किया।	He did the work on his own.
तुम्हें कहीं जाना है?	Do you want to go somewhere?
मेने उसे नियम समझाया।	I explained the rule to him.
मुझे एक कप चाय दीजिए।	Please give me a cup of tea.
उसने सौ डॉलर बचा लिए।	She saved a hundred dollars.
दस घर जलकर राख हो गए।	Ten houses were burned down.
वह नगर दो मील दूर है।	That town is two miles away.
तुम यहाँ क्यों आए हो?	What have you come here for?
वह सेव सड़ने लगा है।	The apple has begun to decay.
जनसंख्या बढ़ रही है।	The population is increasing.
इस कमरे में मेज़ है।	There is a desk in this room.
अपना वादा मत तोड़ो।	Don't go back on your promise.
कल का मौसम कैसा था?	How was the weather yesterday?
कृपया ध्यान दीजिए।	Give me your attention, please.
ऐसा अक्सर होता है।	Such a thing occurs frequently.
उनकी शादी कल होगी।	Their wedding will be tomorrow.
फ़ोन कई बार बजा।	The telephone rang several times.
एक आदमी के लिए काम करना ज़रूरी है।	A man must work.
क्या आप रोज़ जॉगिंग करते हैं?	Do you jog every day?
मछलियाँ समुंदर में रहतीं हैं।	Fish live in the sea.
मैंने तो मज़ाक समझकर बोला था।	I meant it as a joke.
मैं मानता हूँ कि मैं ग़लत था।	I'll admit I'm wrong.
लिंकन की मौत १८६५ में हुई थी।	Lincoln died in 1865.
तुम्हारा कुत्ता बहुत बड़ा है।	Your dog is very big.
तुम्हारा कुत्ता बहुत मोटा है।	Your dog is very fat.
मैं अपने काम से थक चुका हूँ।	I am tired of my work.
क्या मैं तुमसे आगे चली जाऊं?	May I go ahead of you?
लोमड़ी जंगली जानवर होती है।	A fox is a wild animal.
मैं अपने-आप करना चाहता हूँ।	I want to do it myself.
क्या वह हमारी सहायता करेगा?	Is he going to help us?
उसने मुझे अपना कमरा दिखाया।	She showed me her room.
तुम्हारी याददाश्त अच्छी है।	You have a good memory.
अब से हमें परेशान मत करना।	Don't bother us anymore.
उसको मेहनत करने की आदत है।	He is used to hard work.
शादी लोगों को बदल देती है।	Marriage changes people.
हम चाय में चीनी डालते हैं।	We put sugar in our tea.
तुम्हारे पास कलम है क्या?	Do you have a pen on you?
शादी में जल्दबाजी न करें।	Don't rush into marriage.
मुझे खाँसी की दवाई चाहिए।	I need coughing medicine.
मैं उसको यह बात समझाउँगा।	I will explain it to her.
हम हवा के बिना मर जाएँगे।	We would die without air.
तुम कितने बजे घर जाते हो?	What time do you go home?
आज सेव सस्ते बिक रहे थे।	Apples were on sale today.
वह सबका मज़ाक उड़ाता है।	He makes fun of everybody.
वह वहाँ जाने से डरता था।	He was afraid to go there.
मुझे गाड़ी चलाना आता है।	I know how to drive a car.
मुझे उसके मरने का डर था।	I was afraid he might die.
यह मेरे दोस्त के लिए है।	It's for a friend of mine.
दुश्मन पास नहीं आ पाएगा।	The enemy won't get close.
यह मेज़ लकड़ी की बनी है।	This desk is made of wood.
मुझसे कल फिर आकर मिलना।	Come see me again tomorrow.
उन सभी के पास साईकल है।	Each of them has a bicycle.
मुसलाधार बारिश होती है।	It's raining cats and dogs.
मुसलाधार वर्षा होती है।	It's raining cats and dogs.
उसके हाथ-पैर लम्बे हैं।	She has long arms and legs.
बत्ती बंद करदो, प्लीज़।	Turn off the light, please.
हमने सब हाथ से ही किया।	We did everything manually.
हमारे औरडर का क्या हुआ?	What happened to our order?
वह मेरे बजाय वहां गया।	He went there instead of me.
उसने कहा कि वह खुश थी।	She said that she was happy.
दुकान आज खुली नहीं है।	The store is not open today.
हम पड़ोसी हुआ करते थे।	We were next-door neighbors.
आप कहाँ बैठना चाहेंगे?	Where would you like to sit?
इस दीवार पर मत झुँको।	Don't lean against this wall.
मैं नतीजे से खुश हूँ।	I am pleased with the result.
ट्रेन पटरी से उतर गई।	The train ran off the tracks.
काश कल बारिश हो जाए।	I hope that it rains tomorrow.
वह आज टीवी पर आएगी।	She is appearing on TV tonight.
उसने अपनी बारी का इंतेज़ार किया।	He waited his turn.
वह दिखने में बहुत अमीर लगता है।	He seems to be rich.
मुझे पता है कि वह चीज़ क्या है।	I know what that is.
उसने मुझे दो किताबें उधार दीं।	He lent me two books.
तुम्हारी नौकरी कैसी चल रही है?	How's your job going?
उसने लाल रंग के कपड़े पहने थे।	She wore a red dress.
क्या यह अफ़वाह सच हो सकती है?	Can the rumor be true?
उसके पास थोड़े-बहुत पैसे हैं।	He has a little money.
मैंने उसे अपना नौकर बना लिया।	I made him my servant.
अभी मेरा लंच ब्रेक चल रहा है।	I'm on my lunch break.
वह अपने पति से नफ़रत करती थी।	She hated her husband.
वे एक-दूसरे से नफ़रत करते थे।	They hated each other.
उन्होंने मदद के लिए चिल्लाया।	They shouted for help.
टॉम अभी भी खरीदारी कर रहा है।	Tom is still shopping.
क्या तुम्हारी हरी आँखें हैं।	Do you have green eyes?
मुझे तुम्हारी दया नहीं चहिए।	I don't want your pity.
मैं कमरे की सफ़ाई करूँ क्या?	Shall I clean the room?
टॉम ने इंजन को चालू कर दिया।	Tom started the engine.
तुम्हारे ख़याल से वह कौन है?	Who do you think he is?
शराब की एक बूंद भी मत पियो।	Don't drink any alcohol.
ग्लास रेत से बनाया जाता है।	Glass is made from sand.
उसको घमण्डी होने की आदत है।	He tends to be arrogant.
मुझे अपना काम बहुत पसंद है।	I like my job very much.
मुझे टॉम से बात करनी चाहिए।	I should speak with Tom.
टॉम ने मैरी को एक नोट भेजा।	Tom sent a note to Mary.
तुम्हारे कोई भाई हैं क्या?	Do you have any brothers?
उस चाबी के साथतानी मत करो!	Don't play with that key!
वह संगीत का बहुत शौकीन है।	He is very fond of music.
मुझे पियानो बजाना पसंद है।	I like playing the piano.
मुझे उनकी मदद करनी पड़ेगी।	I will have to help them.
लोहा सोने से सख्त होता है।	Iron is harder than gold.
क्या आपके पिताजी टीचर हैं?	Is your father a teacher?
हमें टॉम से बात करनी होगी।	We've got to talk to Tom.
उसको बहादुरी की ज़रूरत है।	What he lacks is courage.
हाँ, मुझे यह बहुत पसंद है।	Yes, I like it very much.
क्या आप इसे शादी कहते हैं?	You call that a marriage?
आपको बाहर नहीं होना चाहिए।	You shouldn't be outside.
A B से पाँचगुना लम्बा है।	A is 5 times as long as B.
दरवाज़े को खुला मत छोड़ो।	Don't leave the door open.
वह तुम्हें समझता नहीं है।	He doesn't understand you.
उसने थोड़ी देर हिचकिचाया।	He hesitated for a moment.
उसे मौत की सज़ा दे दी गई।	He was sentenced to death.
मैं रोज़ छः बजे उठता हूँ।	I get up at six every day.
संदर्भ पर निर्भर करता है।	It depends on the context.
उसने सब कुछ अपने-आप किया।	She did it all by herself.
टॉम उबले अंडे बना रहा है।	Tom is making boiled eggs.
हम तालाब के आस-पास टहलें।	We walked around the pond.
तुम्हें तुरंत जाना चाहिए।	You had better go at once.
वह अचानक से मशहूर बन गई।	She suddenly became famous.
बरसात पूरे दिन होती रही।	The rain continued all day.
यह वर्षा ऋतु का मौसम है।	This is the monsoon season.
यह शब्द ग्रीक से आता है।	This word comes from Greek.
हमने उसका जन्मदिन मनाया।	We celebrated his birthday.
हमने टॉम को कप्तान चुना।	We chose Tom to be captain.
इस पक्षी का नाम क्या है?	What do you call this bird?
आपके भाई का नाम क्या है?	What's your brother's name?
सारा ब्रॅड कहाँ चला गया?	Where did all the bread go?
बत्ती चालू कर दोगे क्या?	Will you turn on the light?
कनाडा जापान से बड़ा है।	Canada is larger than Japan.
वे जापानी हैं या चीनी?	Are they Japanese or Chinese?
मुंह में मत डालो उसको।	Don't put that in your mouth.
तुम उसे कैसे जानते थे?	How did you come to know her?
अब उनके तीन बच्चे हैं।	Now they have three children.
इसको अपना घर ही समझिए।	Please make yourself at home.
मुझे अपनी कौपी दिखाईए।	Please show me your notebook.
तुम कितनी बजे सोते हो?	What time do you go to sleep?
आधे सेव सड़ चुके हैं।	Half of the apples are rotten.
वो कुछ करने वाले हैं।	They're going to do something.
हम खबर सुनकर चौंक गए।	We were surprised at the news.
जाँच-पड़ताल जारी है।	The investigation is under way.
आप को कैसा रस चाहिए?	What kind of juice do you want?
आज बहुत ठंडा है ना?	It is very cold today, isn't it?
वह अफ़वाह सच निकली।	The rumor turned out to be true.
मैं तुम्हारे पिताजी को जानता हूँ।	I know your father.
तुम मेरी कलम इस्तेमाल कर सकते हो।	You may use my pen.
तुम्हें गाड़ी चलाना आता है क्या?	Can you drive a car?
यहाँ हस्ताक्षर कर सकते हैं क्या?	Could you sign here?
मुझे गर्मी का मौसम पसंद नहीं है।	I don't like summer.
क्या आप हर दिन जॉगिंग करते हैं?	Do you jog every day?
मुझे पता है उसने क्यों किया था।	I know why he did it.
वह हमको अच्छी तरह से जानता है।	He knows us very well.
उसने प्रतियोगिता फिरसे जीत ली।	He won the race again.
मैं भी बॉस्टन में ही रहता हूँ।	I live in Boston, too.
वह हमेशा मन लगाकर काम करती है।	She always works hard.
उस आदमी ने सारी उम्मीद छोड़दी।	The man lost all hope.
उन्होंने मेरी का मज़ाक उड़ाया।	They made fun of Mary.
मैंने उससे वह करने को कहा था।	I asked him to do that.
स्कूल साढ़े तीन बजे छूटता है।	School is over at 3:30.
वह हमेशा काले कपड़े पहनती है।	She always wears black.
गेट को खुला छोड़ दिया गया था।	The gate was left open.
उस लड़की ने पीछे मुड़कर देखा।	The girl looked around.
आपको क्या करना अच्छा लगता है?	What do you like to do?
हम समय में पहुँच जाएँगे क्या?	Will we arrive in time?
तुम्हें टॉम को रोकना ही होगा।	You've got to stop Tom.
तुम मंगलवार को खाली हो क्या?	Are you free on Tuesday?
उसको अहंकारी होने की आदत है।	He tends to be arrogant.
उसको अभिमानी होने की आदत है।	He tends to be arrogant.
मैं तुम्हें एक तोहफ़ा दूँगा।	I'll give you a present.
हमारी आज स्कूल से छुट्टी है।	We have no school today.
हमें जल्द ही वापिस जाना है ।	We have to go back soon.
तुम टेनिस कब खेलना चाहते हो?	When do you play tennis?
बुरी खबर तेज़ी से फैलती है।	Bad news travels quickly.
मुझे यह जैकेट पसंद नहीं है।	I don't like this jacket.
क्या आपके पापा अध्यापक हैं?	Is your father a teacher?
इस कीमत में टैक्स शामिल है।	This amount includes tax.
तुम साथ आना चाहते हो क्या?	Do you want to come along?
वह आसमान की ओर देख रहा था।	He was looking at the sky.
वह बच्चे की तरह सो रहा है।	He's sleeping like a baby.
मैं उससे नाई के यहाँ मिला।	I met him at the barber's.
मैं एक और तौलिया लाती हूँ।	I'll bring one more towel.
मेरा दाहिना पैर सो गया है।	My right foot is sleeping.
वह अभी तक यहाँ नहीं आई है।	She has not come here yet.
कुछ सांप ज़हरीले होते हैं।	Some snakes are poisonous.
क़ैदी को रिहा कर दिया गया।	The prisoner was released.
उन्होंने एक-दूसरे को देखा।	They looked at each other.
हम सब टॉम के लिए दुःखी थे।	We all felt sorry for Tom.
मुझसे बात क्यों कर रहे हो?	Why are you talking to me?
तुमने कभी क्वाला देखा है?	Have you ever seen a koala?
हमारी ट्रेन अचानक रुक गई।	Our train stopped suddenly.
अपना अच्छे से ख़याल रखना।	Take good care of yourself.
दुल्हन अचानक से हँस पड़ी।	The bride suddenly laughed.
पेंट अभी तक सूखा नहीं है।	The paint hasn't dried yet.
मेज़ पर बस्ता रखा हुआ है।	There is a bag on the desk.
कृपया बत्ती बंद कर दीजिए।	Turn off the light, please.
हम सब उसके मज़ाक पर हँसे।	We all laughed at his joke.
हमने उसका हिसाब लगा लिया।	We've got that figured out.
सब टॉम के लिए दुःखी थे I	Everyone felt sorry for Tom.
सभी उसकी अच्छाई करते है।	Everyone speaks well of him.
गरम पानी नहीं चल रहा है।	The hot water isn't running.
अब हम टॉम को क्या बताएँ?	What should we tell Tom now?
इटली की राजधानी रोम है।	The capital of Italy is Rome.
टॉम घर छोड़ना चाहता है।	Tom wants to leave the house.
तुम यूरोप कब जा रहे हो?	When are you going to Europe?
आप विदेश में कबसे हैं?	How long have you been abroad?
मैं कल अमेरिका जाऊँगी।	I will go to America tomorrow.
सारे फूल मुरझा गए हैं।	The flowers have all withered.
उनसे ग़लती हो गई होगी।	They must have made a mistake.
ऐसे लोग कम ही होंगे।	There are few, if any, such men.
मैंने तो मज़ाक के तौर पर कहा था।	I meant it as a joke.
क्या मैं आपकी मदद कर सकता हूँ ?	Can I give you a hand?
क्या तुम्हें यह किताब पसंद है ?	Do you like this book?
वो फ़र्निचर का व्यापार करता है।	He deals in furniture.
मैंने टॉम के लिए एक कॉफी खरीदी।	I bought Tom a coffee.
उन्होंने मदद के लिए आवाज़ लगाई।	They shouted for help.
वह ज़्यादा तेज़ नहीं भाग सकता।	He can't run very fast.
मैंने उस औरत को गुस्सा दिलाया।	I made the woman angry.
स्कूल अप्रैल में शुरू होता है।	School begins in April.
तम्हे क्या करना अच्छा लगता है?	What do you like to do?
मेरे पास ज़्यादा समय नहीं है।	I do not have much time.
मुझे शहर की ज़िन्दगी पसंद है।	I really like city life.
काश मैं तुम्हारी मदद कर सकता।	I wish I could help you.
मैंने बीयर पीना छोड़ दिया है।	I've quit drinking beer.
उसने तुम्हें कुछ बताया क्या?	Did he tell you anything?
वह कभी भी संतुष्ट नहीं होता।	He's always dissatisfied.
मैंने पहला पृष्ठ पढ़ा लिया I	I've read the first page.
क्या तुम्हारे पापा टीचर हैं?	Is your father a teacher?
मेरे पिताजी कैंसर से चल बसे।	My father died of cancer.
ये किताबें काफ़ी पुरानी हैं।	These are very old books.
हमने नदी के किनारे सैर करी।	He walked along the river.
मैंने कल एक किताब खरीदी थी।	I bought a book yesterday.
मुझे पता लगा कि वह कहाँ थी।	I found out where she was.
मैं क्लब जॉइन करना चाहूंगा।	I'd like to join the club.
मेरे कमरे में टीवी नहीं है।	There is no TV in my room.
हमें आपकी चिंता लगी हुई है।	We were worried about you.
मैं रोज़ बीस मील चलता हूँ।	I cover twenty miles a day.
मुझे बहुत मज़ेदार लगती है!	It seems interesting to me.
मुझे बहुत दिलचस्प लगती है!	It seems interesting to me.
यह गाड़ी जापान में बनी थी।	This car was made in Japan.
हमें नहीं पता हम कहाँ हैं।	We don't know where we are.
उसने मुझे वह नियम समझाया।	He explained the rule to me.
वह अपनी क़ब्र खोद रहा है।	He is digging his own grave.
उसने यह किताब कल पढ़ी थी।	He read this book yesterday.
आप यहाँ कितने दिन रहेंगे?	How long will you stay here?
मैं कल उससे मिलने जाऊँगा।	I will call on him tomorrow.
वह मेरे लिए बहुत कठिन था।	It was too difficult for me.
देखो बाहर क्या हो रहा है।	See what's going on outside.
उसने गलत नम्बर मिला डाला।	She dialed the wrong number.
टॉम ने मैरी को सूची देदी।	Tom handed the list to Mary.
आपकी शादी मुश्किल में है।	Your marriage is in trouble.
वह टेनिस अच्छा खेलता है।	He is good at playing tennis.
विवाह एक गंभीर मामला है।	Marriage is a serious matter.
तुम्हें कल आना चाहिए था।	You should've come yesterday.
फ़िल्म देखने चलें क्या?	How about going to the movies?
यह नदी एक मील चौड़ी है।	This river is one mile across.
क्या यह अरेंज मैरिज थी?	Was this an arranged marriage?
पत्र किसको लिखा गया था?	Who was the letter written to?
आपका दल हमसे बेहतर है |	Your team is better than ours.
तुम्हें कैसा रस चाहिए?	What kind of juice do you want?
घर में सब-कुछ ठीक है।	Everything is all right at home.
ये प्रश्न सरल हैं।	These questions are easy to answer.
मैंने उसके बाहर जाने की आवाज़ सुनी।	I heard him go out.
मैं दोपहर बारह बजे खाना खाती हूँ।	I have lunch at noon.
मैं नौ बजे से पहले वापस आ जाऊँगा।	I'll be back by nine.
वे कम-से-कम साठ बरस के तो होंगे।	He must be over sixty.
वह थोड़ी देर में वापस आ रहा है।	He will soon come back.
क्या मैं कमरा साफ़ कर सकती हूँ?	Should I clean my room?
टॉम ने मनोचिकित्सा की पढ़ाई की।	Tom studied psychiatry.
हम अक्सर ग़लतियाँ कर बैठते हैं।	We often make mistakes.
उसने अपने परिवार को छोड़ दिया।	He abandoned his family.
उसने अपने देश को धोखा दे दिया।	He betrayed his country.
उसपर चोरी का इलज़ाम लगाया गया।	He was accused of theft.
वह एक राजा से बहुत ज़्यादा था।	He was more than a king.
वह हमेशा शिकायत करता रहता है ।	He's always complaining.
उसकी कहानी सच्ची नहीं हो सकती।	Her story can't be true.
मुझे दंत चिकित्सक से मिलना है।	I have to see a dentist.
क्या तुम इसे राज़ रख सकते हो?	Can you keep it a secret?
बाहर नहीं जाना चाहते हो क्या?	Don't you want to go out?
वह अभी एक उपन्यास पढ़ रहा है।	He's reading a novel now.
क्या आपके पिताजी अध्यापक हैं?	Is your father a teacher?
हमारी टीम बहुत अच्छी नहीं है।	Our team isn't very good.
टॉम को अच्छे से तैरना आता है।	Tom is able to swim well.
तुम कौनसे स्कूल में पढ़ते हो?	What school do you go to?
उसे अपना स्कूल बहुत पसंद है।	He likes his school a lot.
वह किताब को खरीदना चाहता था।	He wanted to buy the book.
आपके पास कितनी गाड़ियाँ हैं?	How many cars do you have?
आज मैंने एक नया दोस्त बनाया।	I made a new friend today.
काश ये समस्या मुझे हुई होती।	I wish I had this problem.
मुझे इतिहास में दिलचस्पी है।	I'm interested in history.
मेरा भाई टोक्यो में रहता है।	My brother lives in Tokyo.
मेरे पिता शायद सो रहे होंगे।	My father may be sleeping.
यहाँ बीस परिवार बसे हुए हैं।	Twenty families live here.
ईमानदारी सर्वोत्तम नीति है।	Honesty is the best policy.
वह कितने दिनों से बीमार है?	How long has she been sick?
कहा जाता है कि वह बीमार है।	It is said that he is sick.
सब लोगों के लिए एक समान है।	It's the same for everyone.
वह अपने कमरे में रो रही थी।	She was crying in her room.
उस आदमी ने मुझे सर पर मारा।	The man hit me on the head.
यह उपन्यास बहुत रोमांचक है।	The novel is very exciting.
टॉम वह अकेले करना चाहता है।	Tom wants to do that alone.
हमे अपना वादा निभाना चाहिए।	We should keep our promise.
मैंने उसे तीन बार देखा है।	I have seen her three times.
मुझे पता था कि तुम समझोगे।	I knew you would understand.
मानो कोई सपना सच आ गया हो।	It's like a dream come true.
मेरी को स्पा जाना पसंद है।	Mary loves going to the spa.
अब मुझे सब समझ में आता है।	Now I understand everything.
उसने उसको अकेले जाने दिया।	She allowed him to go alone.
यहाँ धूम्रपान करना मना है।	Smoking is not allowed here.
टॉम ने मैरी को सूची सौंपी।	Tom handed the list to Mary.
टॉम ने उसे आग से बचा लिया।	Tom saved her from the fire.
दक्षिण टर्मिनल कहाँ पर है?	Where is the south terminal?
तुम कभी कनाडा गए हो क्या?	Have you ever been to Canada?
वह कल तुमसे मिलने आया था।	He came to see you yesterday.
बोलो तुम्हें कौनसा चाहिए।	Say which one you would like.
उसने मुझसे वह बात छिपाई।	He concealed the fact from me.
मुझे बच्चे को सुलाना है।	I have to put the baby to bed.
कुत्ते को रोज़ खिलाईएगा।	Please feed the dog every day.
वे उसे समझदार मानते हैं।	They consider him intelligent.
टॉम शाम को वापस आ जाएगा।	Tom will be back this evening.
मैं तुमसे खुश नहीं हूँ।	I have a bone to pick with you.
मुझे एक कप कॉफ़ी चाहिए।	I want to have a cup of coffee.
बच्चे पतंग उड़ा रहे थे।	The children were flying kites.
हिरण अकेले दौड़ रहा था।	The deer was running by itself.
विमान तीन बजे पहुँचेगा।	The plane will arrive at three.
मेरी घड़ी ख़राब हो गई।	My watch isn't working properly.
पानी कल बंद हो गया था।	The water was cut off yesterday.
भारत की आबादी क्या है?	What is the population of India?
उनकी शादी टूट रही थी।	Their marriage was falling apart.
कोई भी तुम्हारी सहायता नहीं करेगा।	Nobody will help you.
मोटी मुर्गियाँ कम अंडे देतीं हैं।	Fat hens lay few eggs.
अगर टॉम जाएगा, तो मैं भी जाऊंगा।	If Tom goes, so will I.
उसने विदेश जाने का निर्णय लिया।	He decided to go abroad.
मेरे पास ज़्यादा पैसे नहीं हैं।	I don't have much money.
मेरे पास अभी कोई पैसे नहीं हैं।	I have no money with me.
उसने सफ़ेद कपड़े पहने हुएँ हैं।	She is dressed in white.
तुम कभी भी मदद क्यों नहीं करते?	Why don't you ever help?
उसपर कत्ल का इलज़ाम लगाया गया।	He was accused of murder.
यदि आ सको तो हमारे साथ आ जाना।	If you can, come with us.
क्या तुम्हारे पिताजी टीचर हैं?	Is your father a teacher?
उसने हमें चुप रहने के लिए कहा।	She asked us to be quiet.
दस साल बहुत लम्बा समय होता है।	Ten years is a long time.
खाना अभी तक तैयार नहीं हुआ है।	The food's not ready yet.
कम से कम वह हिस्सा तो सच था ।	At least that part's true.
तुम यहाँ पहले आए हुए हो क्या?	Have you been here before?
हमारे पास कितनी कटोरियाँ हैं?	How many bowls do we have?
मुझे यह साइकिल अब भी पसंद है।	I still love this bicycle.
टॉम खुद को रोने से रोक न सका।	Tom couldn't help but cry.
टॉम रविवार को भी काम करता है।	Tom works on Sundays, too.
आपकी रक्षा करना हमारा काम है।	We're here to protect you.
कौआ कोयले जैसा काला होता है।	A crow is as black as coal.
आपके पास अपौइंटमेंट है क्या?	Do you have an appointment?
उसने मुझसे थोड़े पैसे माँगे।	He asked me for some money.
मुझे वास्तव में ऐसा करना है।	I actually have to do that.
टॉम, मुझे तुमसे बात करनी है।	Tom, I want to talk to you.
तुमने मेरी शादी बचा ली, टॉम।	You saved my marriage, Tom.
हम आखिरकार झील तक पहुँच गए।	At last, we got to the lake.
वह हर रोज़ बेसबॉल खेलता है।	He plays baseball every day.
तकरीबन दस एक अरब येन होंगे?	Is it about ten million yen?
यह सरासर समय की बर्बादी है।	It is a sheer waste of time.
किसी ने दरवाज़े पर खटखटाया।	Someone knocked on the door.
कमरे में तम्बाकू की महक थी।	The room smelled of tobacco.
वे दोनों अच्छे अध्यापक हैं।	They are both good teachers.
टॉम बहुत जिद्दी हो सकता है।	Tom can be awfully stubborn.
टॉम की शादी अक्टूबर में है।	Tom's wedding is in October.
हम चाय चीनी डालकर पीते हैं।	We drink our tea with sugar.
मुझे कॉफ़ी पीना पसंद नहीं।	I don't like to drink coffee.
यह उसकी चिट्ठी का जवाब है।	It's an answer to her letter.
मेज़ के नीचे एक बिल्ली है।	There's a cat under the desk.
उसे मेहनत करने की आदत है।	He is accustomed to hard work.
मैं सफ़र पर उसके साथ गया।	I accompanied him on the trip.
मुझे उसको देखा नहीं जाता।	I can't bear the sight of him.
राजा की देश पर हुकूमत थी।	The king governed the country.
तुम किस तरह का काम करोगे?	What kind of work will you do?
इससे सस्ता वाला है क्या?	Do you have one that's cheaper?
मेरा शौक गिटार बजाना है।	My hobby is playing the guitar.
वह दूर से हसीना लगती है।	She's a beauty from a distance.
कुत्ता रातभर भौंकता रहा।	The dog kept barking all night.
इस कहानी का लेखक कौन है?	Who's the author of this story?
टीवी चालू कर दोगे क्या?	Will you turn on the television?
न वह वहाँ गया, न मैं।	He didn't go there. Neither did I.
जंगल के जानवर मर गए।	The animals in the forest died off.
शेर जंगल का राजा है।	The lion is the king of the jungle.
मैंने तुम्हें बताने की कोशिश करी थी।	I tried to tell you.
यह वही चीज़ है जिसकी मुझे ज़रूरत है।	This is what I need.
वह दिखने में घोड़े की तरह लगता है।	He looks like a horse.
अब मेरे पास बहुत थोड़े पैसे हैं।	I have little money now.
क्या टॉम आपकी कक्षा में नहीं है?	Isn't Tom in your class?
इससे मेरे कोई लेना-देना नहीं है।	It's no concern of mine.
क्या आप काले घोड़े को देखते हो?	Do you see a black horse?
वह कम-से-कम तीस साल का तो होगा।	He can't be under thirty.
वह बहुत सारे लोगों को जानता है।	He knows a lot of people.
मैं तुम्हारे बिना जी नहीं सकता।	I can't live without you.
मैं तुम्हारे बगैर जी नहीं सकती।	I can't live without you.
मैं मेट्रो लेकर स्कूल जाती हूँ।	I go to school by subway.
क्या तुम्हारे पापा अध्यापक हैं?	Is your father a teacher?
तुम पार्टी में आ सकते हो क्या?	Can you come to the party?
मुझे थोड़ा आराम करने का मन है।	I feel like taking a rest.
मैंने गाड़ी को कल ठीक किया था।	I fixed the car yesterday.
मैं मैनेजर से मिलना चाहता हूँ।	I want to see the manager.
मैं मैनेजर से मिलना चाहती हूँ।	I want to see the manager.
उसने मुझे अपनी नई गाड़ी दिखाई।	She showed me her new car.
टॉम और मैरी परेशान लग रहे हैं।	Tom and Mary look worried.
मुझे वापस फ़ोन करना मत भूलना।	Don't fail to call me back.
वह आमतौर पर घर देर से आता है।	He usually comes home late.
मुझसे और काम नहीं किया जाएगा।	I can't take any more work.
मुझे कुछ अंडे खरीदने जाना है।	I need to go get some eggs.
चूहा ज़िन्दा है या मर गया है?	Is the mouse dead or alive?
उसको कहानी पहले से ही पता थी।	She knew the story already.
वह टेनिस बहुत अच्छा खेलती है।	She plays tennis very well.
यह तो बहुत ही अच्छा सुझाव है।	That's really a great idea.
उसे जो डब्बा मिला वह खाली था।	The box he found was empty.
यह पानी पिया नहीं जा सकता है।	The water is not drinkable.
टॉम और मैं दोनों वहाँ रहेंगे।	Tom and I'll both be there.
टॉम अकेले वैसा करना चाहता है।	Tom wants to do that alone.
आप इसके हित में हैं या नहीं?	Are you for or against this?
मैं उसके साथ सैर के लिए गया।	I accompanied her on a walk.
मैं तुमसे ज़्यादा सुंदर हूँ।	I'm more beautiful than you.
लोहा एक बहुत उपयोगी धातु है।	Iron is a very useful metal.
नौ खिलाड़ी एक टीम बनाते हैं।	Nine players make up a team.
वह नगर दो मील की दूरी पर है।	That town is two miles away.
इस मकान में ग्यारह कमरे हैं।	This house has eleven rooms.
टॉम एक मास्टर मैनिपुलेटर है।	Tom is a master manipulator.
टॉम अभी गाड़ी नहीं चला सकता।	Tom isn't able to drive yet.
हम चाय चीनी के साथ लेते हैं।	We drink our tea with sugar.
रेखांकित शब्दों को सुधारिए।	Correct the underlined words.
वह कैनटीन में लन्च खाता है।	He eats lunch at a cafeteria.
इसलिए क्योंकि तुम लड़की हो।	That's because you're a girl.
चट्टान लगभग बिलकुल सीधी है।	The cliff is almost vertical.
घोड़ा बड़े काम का जानवर है।	The horse is a useful animal.
तुम्हें डॉक्टर बुलाना होगा।	You must send for the doctor.
वह समुंदर की ओर चल रहा था।	He was walking toward the sea.
हमारी टीम पहला मैच हार गई।	Our team lost the first match.
इस डब्बे में पाँच सेव हैं।	This box contains five apples.
आज मेरी बहन का जन्मदिन है।	Today is my sister's birthday.
वह नतीजे के लिए बेचैन है।	He is anxious about the result.
मुझे नहीं पता वह कब आएगा।	I don't know when he will come.
यहाँ पर कल फिर मिलते हैं।	Let's meet here again tomorrow.
यहाँ एक चर्च हुआ करता था।	There used to be a church here.
यह मेरी बहन की तस्वीर है।	This is a picture of my sister.
टॉम मुझे सब कुछ बताता था।	Tom used to tell me everything.
वह अगले स्टॉप पर उतर गई।	She got off at the next station.
ट्रेन हल्के से आकर रुकी।	The train came to a smooth stop.
सम्मेलन कल समाप्त होगा।	The conference will end tomorrow.
मुझे गुफ़ा में ये मिला।	This is what I found in the cave.
वह काम खतम कर चुकी है।	She has already finished the work.
वह आज भी एक रहस्य है।	The mystery still remains unsolved.
